,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,52409000,None,None,None,None,9907000,None,None,11961000,None,22637000,None,None,2541000,9605000,2054000,60452000,50847000,None,None,None,2054000,None,None,9907000,9907000,None,USD,5836881000,19896000,None,None,5100738000,736143000,None,None,20431000,172723000,22453000,223642000,4581477000,266400000,None,None,None,27944000,67229000,None,618751000,492605000,618751000,32795000,363570000,None,3293000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-731723000,0,-731723000,-1995000,65000000,810511000,747240000,4247000,9907000,91511000,12723000,None,1875000,-2042000,0,None,-12721000,9387000,1425000,None,None,None,25.39,
1,2020-03-31,USD,47750000,None,None,None,None,3516000,None,None,4359000,None,23177000,None,None,4888000,12427000,843000,57452000,45025000,None,None,None,843000,None,None,3516000,3516000,None,USD,5002429000,20886000,539237000,None,4295836000,706593000,None,None,20355000,164858000,40005000,223642000,3965346000,174889000,None,None,None,7486000,66798000,None,508250000,462065000,508250000,17203000,298436000,None,3821000,None,None,None,None,None,None,None,None,None,None,None,298436000,None,None,None,None,None,513894000,None,None,None,21000000,USD,-172174000,0,-172174000,-6485000,115000000,-9595000,-114417000,-1482000,3516000,-171359000,10410000,None,1856000,-2033000,-9302000,None,-4141000,10633000,1510000,None,None,None,24.11,25.39
2,2019-12-31,USD,47926000,26639400,None,46993000,None,13986000,None,None,17562000,None,21646000,None,20353600,3167000,13621000,3576000,58147000,44526000,None,None,None,3576000,-2791600,None,13986000,13986000,None,USD,4992654000,21876000,511688000,15468000,4282789000,709865000,None,None,20524000,163375000,15583000,223642000,3931506000,346248000,4075294000,None,None,4900000,66790000,370053000,372545000,464347000,372545000,15468000,183302000,8337000,4326000,None,None,None,None,None,None,None,None,None,None,None,183302000,None,None,None,None,None,521066000,None,None,None,21000000,USD,-43829000,0,-43829000,7967000,-84089000,77354000,171101000,-2676000,13986000,45629000,12104000,None,2038000,None,-11508000,None,-1451000,179000,1106000,None,None,None,37.6,24.11
3,2019-09-30,USD,47726000,28870600,None,45129000,None,12047000,None,None,15120000,None,23142000,None,16258400,2227000,13828000,3073000,58665000,44837000,None,None,None,3073000,-1138400,None,12047000,12047000,None,USD,4905840000,23053000,421445000,15201000,4199532000,706308000,None,None,20737000,149389000,17744000,223642000,3900679000,300619000,3902400000,None,None,6494000,67175000,324153000,353000000,459613000,353000000,15201000,267272000,8333000,4915000,None,None,None,None,None,None,None,None,None,None,None,267272000,None,None,None,None,None,529688000,None,None,None,21000000,USD,-47523000,0,-47523000,-5172000,71195000,94550000,36845000,4931000,12047000,68012000,20985000,None,2001000,None,-13986000,None,-293000,2271000,11214000,None,None,None,32.09,37.6
4,2019-06-30,USD,49416000,27947000,None,48009000,None,14248000,None,None,17929000,None,23037000,None,20062000,2341000,13375000,3681000,58946000,45571000,None,None,None,3681000,-2133000,None,14248000,14248000,None,USD,4794211000,24231000,418796000,16508000,4089510000,704701000,None,None,21147000,137342000,14230000,223642000,3874200000,232607000,3864171000,None,None,4233000,59690000,255409000,348173000,456828000,348173000,16508000,196017000,6294000,3531000,None,None,None,None,None,None,None,None,None,None,None,196017000,None,None,None,None,None,541979000,None,None,None,22000000,USD,-50548000,0,-50548000,5673000,-54997000,10159000,80579000,-976000,14248000,-26236000,14153000,None,1933000,None,-15825000,None,-544000,-535000,650000,None,None,None,33.34,32.09
5,2019-03-31,USD,47892000,28036000,None,46890000,None,12678000,None,None,15775000,None,23143000,None,18854000,2191000,12546000,3097000,57149000,44603000,None,None,None,3097000,-3079000,None,12678000,12678000,None,USD,4768802000,25409000,448949000,16194000,4065025000,703777000,None,None,21484000,123094000,13833000,223642000,3823154000,258843000,3784572000,None,None,3015000,60327000,276189000,345716000,454726000,345716000,16194000,250954000,1152000,4511000,None,None,None,None,None,None,None,None,None,None,None,250954000,None,None,None,None,None,556184000,None,None,None,22000000,USD,-91614000,0,-91614000,-91199000,-23498000,61885000,102063000,3871000,12678000,-10104000,19625000,None,1931000,None,-16680000,None,2177000,-1060000,415000,None,None,None,33.72,33.34
6,2018-12-31,USD,45208000,26201000,13429000,45208000,0,13163000,0,0,16162000,0,24203000,None,19007000,1998000,10465000,None,None,None,0,0,0,2999000,-2845000,0,13163000,13163000,None,USD,4655249000,26587000,None,44710000,3952265000,702984000,None,None,21938000,112131000,12525000,223125000,3728999000,241247000,3665348000,None,None,-2888000,41717000,286587000,348234000,453272000,None,None,274392000,630000,3662536000,None,None,None,None,None,None,None,None,None,None,None,274392000,None,None,None,None,None,571803000,None,None,None,16000000,USD,8435000,0,143067000,3467000,-16076000,-79189000,-62421000,-3741000,13163000,77479000,13601000,None,2031000,None,1418000,None,None,1410000,1562000,None,None,None,32.37,33.72
7,2018-09-30,USD,29964000,18268000,7300000,29964000,0,8879000,0,0,10800000,0,16878000,None,11696000,1390000,7300000,None,None,None,0,0,0,1921000,-896000,0,8879000,8879000,None,USD,3035539000,2688000,None,11609000,2707408000,328131000,0,None,13397000,98968000,11103000,39389000,2457443000,191468000,2435897000,None,None,-5996000,18970000,205083000,311966000,286054000,0,None,260408000,2006000,2433791000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000,USD,-2269000,0,-80193000,5074000,-64000000,56778000,120005000,4933000,8879000,-9177000,14238000,None,685000,0,0,0,0,815000,411000,None,None,None,41.7,32.37
8,2018-06-30,USD,28990000,19155000,7008000,28990000,0,7556000,0,0,9130000,0,17661000,None,9835000,1494000,6377000,None,None,None,0,0,0,1574000,-705000,0,7556000,7556000,None,USD,2966426000,2883000,None,12413000,2646538000,319888000,0,None,13341000,90089000,7427000,39389000,2371894000,200645000,2314763000,324348000,324348000,-4207000,19049000,215508000,317703000,277616000,0,None,324348000,2450000,2313786000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000,USD,4960000,0,-69384000,-2596000,43000000,72532000,28984000,131000,7556000,10557000,7409000,None,629000,0,0,0,0,1926000,370000,None,None,None,43.35,41.7
9,2018-03-31,USD,27882000,17988000,6155000,27882000,0,7711000,0,0,9165000,0,14066000,None,13214000,1415000,5502000,None,None,None,0,0,0,1454000,-729000,0,7711000,7711000,None,USD,2886484000,42468000,None,10521000,2574496000,311988000,0,2284802000,13302000,78926000,8406000,39389000,411560000,190088000,2286014000,281288000,281288000,-3607000,18605000,201417000,321539000,269520000,0,10521000,281288000,365000,2284802000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000,USD,-3710000,0,-24645000,-1199000,-50000000,21819000,70831000,499000,7711000,7985000,10811000,None,602000,0,0,0,0,856000,1076000,None,None,None,39.15,43.35
