,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,299910000,-176484000,147346000,-147346000,34133000,14075000,35578000,None,19991000,None,54213000,4995000,29138000,-266275000,14142000,5916000,2954000,-11188000,None,None,None,5916000,2041000,None,14075000,14075000,None,USD,3137577000,551984000,None,398525000,2046840000,1090737000,31140000,466741000,702000,920478000,133093000,1280226000,311033000,129223000,580459000,34206000,34206000,-98334000,69011000,852407000,199964000,-741473000,None,324659000,1282889000,None,79512000,None,None,702000,None,920478000,-399663000,None,124684000,None,59301000,59975000,1282889000,152352000,1466381000,None,None,None,667554000,3137577000,129223000,None,116366996,USD,-15534000,9560000,-15534000,-8516000,-40831000,-39313000,-151000,8625000,14075000,13182000,68029000,13623000,35692000,None,1669000,None,None,14725000,7018000,-19646000,None,13182000,26.99,
1,2020-03-31,USD,291485000,-154554000,165837000,-165837000,-18141000,-24427000,39024000,None,-35312000,None,66009000,-6858000,-11283000,-259587000,17171000,-10885000,2900000,-14271000,None,None,None,-10885000,-9758000,None,-24427000,-24427000,None,USD,3109899000,569327000,None,381675000,2042101000,1067798000,31959000,454978000,702000,906403000,113440000,1280226000,314017000,119124000,556356000,34177000,34177000,-97752000,67893000,806446000,198554000,-781755000,None,305647000,1321452000,None,67201000,None,None,702000,None,906403000,-398278000,None,123658000,None,63795000,57639000,1321452000,132334000,1485745000,None,None,None,656723000,3109899000,119124000,None,115882242,USD,-10138000,-4463000,-10138000,-6541000,-22330000,-60837000,-10973000,-13596000,-24427000,-13475000,57500000,6682000,33822000,None,-27534000,None,None,-2813000,3597000,48699000,None,-13475000,24.15,26.99
2,2019-12-31,USD,399920000,-275517000,173104000,-173104000,108761000,55486000,34601000,None,90652000,None,58049000,6348000,102413000,-368167000,18109000,35166000,2949000,-15160000,None,None,None,35166000,3399000,None,55486000,55486000,None,USD,3257534000,591486000,None,2582215000,2127566000,1129968000,32053000,511474000,702000,930830000,122043000,1280525000,337385000,121398000,611950000,34148000,34148000,-91583000,70380000,920376000,None,1129968000,None,431930000,1339007000,None,66328000,None,None,702000,None,930830000,-377639000,None,72733000,51611000,121991000,61815000,1339007000,144556000,1515616000,None,None,None,667658000,3257534000,121398000,None,115986352,USD,-25199000,-4459000,-17435000,12124000,-34549000,-28476000,-1164000,-7979000,55486000,2800000,48711000,-10179000,35245000,None,7237000,None,-53744000,26362000,4360000,-53744000,None,2800000,37.885,24.15
3,2019-09-30,USD,354901000,-229486000,174168000,-174168000,55937000,31814000,36543000,None,36950000,None,57703000,619000,55318000,-323732000,18987000,5136000,2988000,-15999000,None,None,None,5136000,-2369000,None,31814000,31814000,None,USD,3340756000,599282000,None,557976000,2281819000,1058937000,24407000,623474000,702000,875344000,117303000,1278265000,325292000,121581000,734880000,34119000,34119000,-94636000,72747000,1004890000,190326000,-818610000,None,325333000,1373555000,None,77287000,None,None,702000,None,875344000,-383126000,None,132276000,62970000,2335866000,63393000,1373555000,148977000,1546939000,None,None,None,660653000,3340756000,121581000,None,115566482,USD,-33285000,-9707000,-33285000,-24461000,14273000,-18956000,-13000,15265000,31814000,-20168000,32073000,16456000,35139000,None,-33216000,None,-53906000,12277000,8824000,-53906000,None,-20168000,31.325,37.885
4,2019-06-30,USD,297618000,-149358000,155240000,-155240000,-1483000,5725000,39235000,None,-16806000,None,82281000,4399000,-5882000,-270874000,15323000,-22531000,2997000,-12326000,None,None,None,-22531000,1402000,None,5725000,5725000,None,USD,3450320000,621222000,None,696194000,2397743000,1052577000,23243000,750209000,702000,843530000,116648000,1279472000,294522000,139396000,870249000,34089000,34089000,-93026000,70805000,1121983000,177513000,-848117000,None,286393000,1352096000,None,85951000,None,None,702000,None,843530000,-349426000,None,115756000,63569000,2328337000,65743000,1352096000,152155000,1527494000,None,None,None,650797000,3450320000,139396000,None,116684869,USD,-769933000,14433000,-769933000,-765268000,718320000,720016000,-185000,-4246000,5725000,-35479000,14438000,-21889000,30708000,None,1881000,None,-5953000,-8586000,4665000,-5953000,None,-35912000,34.34,31.325
5,2019-03-31,USD,205855000,-86848000,114941000,-114941000,-26972000,-25963000,36194000,None,-38586000,None,60947000,1121000,-28093000,-183989000,11614000,-12623000,-10481000,-8581000,None,None,None,-12623000,-1912000,None,-25963000,-25963000,None,USD,2114142000,293657000,None,72294000,1081558000,1032584000,24705000,181973000,702000,837805000,117861000,909691000,87283000,176173000,260377000,20788000,20788000,-91296000,70909000,514217000,177407000,-170764000,None,265750000,645784000,None,57616000,None,None,702000,None,837805000,-351587000,None,109853000,38408000,1599925000,64970000,645784000,150692000,821181000,None,None,None,636960000,2114142000,176173000,None,116530435,USD,-9828000,-19936000,-9828000,-4578000,-7794000,-5361000,-2624000,-29427000,-25963000,27238000,42427000,-21573000,25605000,None,5057000,None,94549000,-10255000,5250000,94549000,433000,27671000,32.87,34.34
6,2018-12-31,USD,319950000,-910525000,104281000,-794111000,118619000,87690000,32969000,0,108744000,0,44975000,2205000,116414000,-988469000,9875000,None,None,None,13000000,0,0,21054000,-7670000,0,87690000,87690000,None,USD,2122455000,305355000,None,63107000,1074224000,1048231000,31715000,192897000,702000,863768000,119715000,909691000,268203000,148502000,296620000,20767000,20767000,-92617000,72729000,566477000,189010000,-166815000,None,354868000,650989000,None,82956000,None,None,702000,None,863768000,-355857000,None,52145000,27048000,1555978000,None,650989000,94900000,777604000,None,None,None,632235000,2122455000,148502000,None,116123361,USD,None,5568000,-5583000,-3752000,-6444000,-4403000,-66000,12505000,87690000,73484000,83470000,36500000,25217000,None,2041000,None,-73203000,1698000,1831000,-73203000,-1324000,72160000,27.67,32.87
7,2018-09-30,USD,245525000,114693000,102473000,143052000,29818000,15233000,36008000,0,17245000,0,57789000,1459000,28359000,20896000,12573000,None,None,None,0,0,0,2012000,-11114000,0,15233000,15233000,None,USD,1984324000,321373000,None,49119000,1021386000,962938000,75161000,153743000,702000,776078000,108696000,909691000,264488000,76342000,249631000,18765000,18765000,-88466000,75437000,413335000,181832000,-268126000,0,287874000,656159000,0,77123000,0,0,702000,0,776078000,-357923000,None,54477000,28179000,1570989000,None,656159000,40435000,771755000,None,None,None,632547000,1984324000,76342000,None,115981696,USD,None,-8037000,-10426000,-5100000,-5992000,-1731000,-7253000,7157000,15233000,17194000,29351000,1260000,25981000,0,4261000,0,-9246000,4160000,5326000,-9246000,115000,17309000,28.14,27.67
8,2018-06-30,USD,234995000,120892000,116261000,118734000,-1093000,-14574000,37862000,0,-10810000,0,61997000,1065000,-2158000,21033000,9717000,None,None,None,0,0,0,3764000,-8652000,0,-14574000,-14574000,None,USD,1965736000,324237000,None,49858000,1025021000,940715000,76075000,160948000,702000,760845000,109793000,909691000,263009000,59033000,260417000,22988000,22988000,-84604000,78813000,389986000,180197000,-293213000,0,281095000,654811000,0,76481000,0,0,702000,0,760845000,-361079000,None,57631000,25181000,1575750000,None,654811000,33718000,764604000,None,None,None,624851000,1965736000,59033000,None,115765255,USD,-1467000,3033000,-16762000,-10124000,-3386000,-21875000,-7253000,12506000,-14574000,-12662000,25975000,3568000,25097000,0,-18489000,0,-1052000,9903000,5171000,-1052000,-2586000,-15248000,24.67,28.14
9,2018-03-31,USD,209310000,118678000,107336000,101974000,-14015000,-19428000,36791000,0,-23380000,0,60542000,2689000,-16704000,21345000,9365000,None,None,None,0,0,0,-3952000,-6676000,0,-19428000,-19428000,None,USD,2015169000,339341000,None,58971000,1036147000,979022000,71944000,175951000,702000,775420000,106949000,909691000,266068000,74281000,270337000,20379000,20379000,-71697000,80775000,419294000,187133000,-270010000,0,286042000,658861000,0,74007000,0,0,702000,0,775420000,-342316000,None,56826000,22109000,1595875000,None,658861000,35005000,765810000,None,None,None,616913000,2015169000,74281000,None,116394285,USD,None,-9597000,-12589000,-6652000,-7539000,-29695000,-7253000,-35887000,-19428000,2852000,45136000,-21144000,25692000,0,-22156000,0,68741000,872000,5937000,68741000,1719000,4571000,23.72,24.67
