,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,33618000,54366000,6658000,26960000,-9366000,-17421000,5255000,None,-16850000,None,32492000,184000,-9550000,16619000,7484000,571000,178000,-7306000,None,None,None,571000,15098000,None,-17421000,-17421000,None,USD,728208000,382505000,None,44322000,405257000,290905000,41028000,18642000,48000,-690702000,121510000,None,24830000,40577000,138228000,67478000,67478000,-1223000,141685000,158022000,None,-59554000,25410000,14773000,157288000,32940000,52108000,None,None,48000,None,-690702000,-638000,None,45996000,None,570186000,28173000,157288000,68713000,267029000,None,None,None,983420000,728208000,65987000,None,None,USD,25127000,3744000,23150000,None,None,0,None,1207000,-17421000,2380000,-20770000,-8276000,14651000,None,0,-7374000,196000,-6289000,1977000,196000,None,2380000,0.73,
1,2020-03-31,USD,28099000,83481000,3843000,24256000,-5904000,-6472000,7705000,None,-13470000,None,37426000,265000,-6169000,34219000,7566000,-6998000,312000,-7254000,None,4131000,None,-6998000,26032000,None,-6472000,-6472000,None,USD,753827000,390311000,None,44856000,414432000,306674000,49272000,20995000,48000,-673281000,134706000,None,30281000,32417000,70628000,592000,592000,-819000,142500000,168285000,None,-50916000,50477000,14969000,220062000,25566000,49041000,None,None,48000,None,-673281000,-638000,None,52731000,None,585542000,29603000,220062000,74470000,343804000,None,None,None,981364000,753827000,82894000,None,48000000,USD,13288000,-16307000,11043000,13288000,-1578000,-1578000,-981000,-16918000,-6472000,-29314000,-38779000,-23229000,14084000,None,0,-345000,7114000,-13625000,2245000,7114000,None,-29314000,0.9326,0.73
2,2019-12-31,USD,50496000,27343000,8667000,41829000,70432000,65660000,9023000,None,64862000,None,10631000,55946000,14486000,7689000,5570000,-798000,843000,-4727000,None,None,None,-798000,85696000,None,65660000,65660000,None,USD,799718000,402329000,None,27970000,452337000,310820000,68990000,20448000,48000,-666809000,161248000,0,30299000,62085000,86385000,603000,3814000,-1169000,142527000,201113000,None,-54948000,63754000,22083000,218269000,25221000,65334000,None,None,48000,None,-666809000,-638000,None,53749000,None,598605000,30742000,218269000,78693000,365952000,None,None,None,979388000,799718000,125839000,None,48000000,USD,70010000,-4598000,55998000,89921000,-59869000,-59869000,-4670000,550000,65660000,-15300000,-11429000,-32583000,13076000,None,0,2174000,-4530000,-50628000,14012000,-4530000,None,-15300000,2.04,0.9326
3,2019-09-30,USD,47722000,299086000,7986000,39736000,-259018000,-263535000,16073000,None,-263518000,None,-2240000,332000,-259350000,7692000,4500000,17000,333000,-4167000,None,277561000,None,17000,-226620000,None,-263535000,-263535000,None,USD,879913000,410023000,None,15844000,557741000,281342000,2804000,21394000,48000,-732469000,131286000,0,293000,119908000,91993000,587000,587000,-636000,130585000,314337000,None,-87851000,133636000,17553000,350899000,27396000,70012000,None,None,48000,None,-732469000,-638000,None,24968000,None,565576000,32089000,350899000,112045000,465748000,None,None,None,1015037000,879913000,253544000,None,48000000,USD,15868000,-1730000,-3276000,19911000,-55199000,0,-4670000,-3830000,-263535000,-27627000,-24351000,-57171000,13200000,None,0,690000,3457000,280738000,19144000,3457000,None,-27627000,2.87,2.04
4,2019-06-30,USD,50053000,64045000,9397000,40656000,-21894000,-27486000,18959000,None,-27272000,None,37395000,1495000,-23389000,7691000,5378000,214000,1498000,-3880000,None,None,None,214000,12797000,None,-27486000,-27486000,None,USD,1197462000,418000000,None,12192000,608368000,544837000,3069000,22021000,48000,-468934000,183891000,281467000,294000,147840000,93951000,612000,612000,2617000,113455000,358370000,None,-110373000,149242000,21010000,349017000,28086000,71318000,None,None,48000,None,-468934000,-638000,None,26170000,None,839092000,33410000,349017000,162331000,514417000,None,None,None,1011744000,1197462000,297082000,None,47000000,USD,-2491000,-294000,-35106000,4043000,-55199000,-39000,-4670000,10028000,-27486000,-50036000,-14891000,-5537000,13328000,None,-39000,3380000,-357000,2075000,32615000,-357000,None,-50036000,7.67,2.87
5,2019-03-31,USD,44137000,78717000,8799000,35338000,-41896000,-47605000,16028000,None,-48320000,None,60125000,1483000,-43379000,2564000,6424000,-715000,-4941000,-4928000,None,None,None,-715000,-7413000,None,-47605000,-47605000,None,USD,1233938000,425777000,None,21970000,620723000,566586000,5401000,24810000,48000,-441448000,197757000,280128000,295000,197660000,97287000,604000,604000,1375000,83032000,417904000,None,-92690000,146157000,20652000,345853000,31465000,71873000,None,None,48000,None,-441448000,-2185000,None,27097000,None,816034000,33913000,345853000,172182000,523436000,None,None,None,1008796000,1233938000,343817000,None,47000000,USD,6534000,-54373000,-18121000,6534000,-614000,-642000,-4670000,7271000,-47605000,-96259000,-77496000,12535000,9046000,None,-28000,-2451000,2777000,2575000,24655000,2777000,None,-96259000,13.29,7.67
6,2018-12-31,USD,69152000,96977000,21475000,47677000,-48194000,9595000,27058000,0,-53465000,0,69919000,1106000,-49300000,0,5271000,None,None,None,14800000,0,0,-63060000,-38565000,0,9595000,9595000,None,USD,1299666000,428570000,None,29578000,665952000,611983000,7483000,13899000,48000,-393843000,204287000,282059000,411000,294096000,140256000,616000,616000,2806000,60519000,528107000,None,-76915000,151989000,23430000,343140000,29014000,125741000,None,None,48000,None,-393843000,-2133000,None,411000,None,771559000,None,343140000,175073000,525696000,None,None,None,1005105000,1299666000,446085000,None,47000000,USD,-11721000,1982000,-14829000,7672000,-1000,62000,None,-10112000,9595000,-27105000,-12338000,20561000,5656000,None,63000,-18261000,28030000,-59901000,10780000,28030000,None,-27105000,15.58,13.29
7,2018-09-30,USD,142814000,89126000,25391000,117423000,29472000,-13911000,22855000,0,24057000,0,66271000,1175000,28297000,0,5415000,None,None,None,0,0,0,37968000,-26940000,0,-13911000,-13911000,None,USD,1311085000,428575000,None,23023000,688209000,598625000,70656000,7714000,47000,-403439000,235919000,283435000,419000,321376000,135708000,624000,624000,4113000,52061000,546595000,None,-89134000,139935000,51461000,340833000,10800000,127370000,598625000,0,47000,0,-403439000,-1976000,None,419000,None,764490000,None,340833000,141012000,552501000,None,None,None,999880000,1311085000,461311000,None,47000000,USD,9258000,11557000,-2710000,-213000,-1000,2251000,None,-3642000,-13911000,77713000,78172000,16529000,5685000,0,2251000,10346000,12900000,35066000,11755000,12900000,None,77713000,19.65,15.58
8,2018-06-30,USD,153302000,63173000,31094000,122208000,59967000,46197000,25910000,0,54553000,0,37263000,932000,59035000,0,5414000,None,None,None,0,0,0,8356000,2518000,0,46197000,46197000,None,USD,1250616000,428762000,None,17108000,617879000,606635000,37586000,7081000,47000,-389527000,184733000,284100000,678000,243566000,120871000,629000,629000,4799000,42524000,494552000,None,-80125000,148371000,64360000,338377000,21147000,113161000,606635000,0,47000,0,-389527000,-1976000,None,678000,None,756064000,None,338377000,121045000,497008000,None,None,None,993292000,1250616000,391937000,None,47000000,USD,-41604000,1266000,-47747000,-157000,-1000,8975000,None,-65000,46197000,17486000,56258000,-9640000,7322000,0,8975000,6516000,-13574000,18171000,5986000,-13574000,None,17486000,28.7,19.65
9,2018-03-31,USD,106165000,84361000,21350000,84815000,775000,-8199000,30560000,0,-4722000,0,53801000,321000,454000,0,5497000,None,None,None,0,0,0,3477000,-11376000,0,-8199000,-8199000,None,USD,1187073000,429791000,None,16236000,609289000,549925000,24936000,6536000,47000,-435725000,182662000,289577000,494000,226736000,117358000,663000,663000,9313000,39023000,428188000,None,-141584000,106767000,50787000,337128000,27662000,110159000,549925000,0,47000,0,-435725000,-1591000,None,494000,None,758885000,None,337128000,129867000,491931000,None,None,None,977881000,1187073000,333503000,None,47000000,USD,-106767000,-18241000,-111579000,-5000,-656000,1509000,None,-1497000,-8199000,-81369000,28701000,1891000,7221000,0,2165000,9839000,30616000,5574000,4807000,30616000,None,-81369000,23.65,28.7
10,2017-12-31,USD,188398000,356079000,50397000,138001000,-218130000,-171064000,35142000,0,-223011000,0,63620000,-52000,-218078000,0,4881000,None,None,None,0,257317000,0,-51947000,-360766000,0,-171064000,-171064000,None,USD,1197969000,430603000,None,15316000,648957000,519987000,45857000,15820000,46000,-455108000,177088000,286611000,719602000,307478000,143960000,645000,645000,6858000,36669000,441698000,None,-168202000,410000,81403000,334475000,37501000,127495000,0,968580000,46000,0,-455108000,-389000,None,750000,1638000,756271000,None,334475000,124665000,504997000,None,None,None,968580000,1197969000,307478000,None,46000000,USD,None,29253000,-49000,3269000,-2409000,54265000,48065000,9072000,-171064000,114407000,60191000,45048000,8985000,0,6200000,2239000,-29112000,173337000,3318000,-27607000,165000,114572000,21.45,23.65
11,2017-09-30,USD,141065000,113073000,30151000,110914000,-2147000,-25195000,33286000,0,-6327000,0,40341000,12000,-2159000,0,4180000,None,None,None,0,39446000,0,18868000,1253000,0,-25195000,-25195000,None,USD,1345058000,705141000,None,17156000,665068000,679990000,124200000,9057000,47000,-284148000,125208000,285317000,1005159000,192564000,109738000,636000,636000,6937000,36484000,303415000,None,-310468000,68000,53825000,331585000,39870000,100045000,679990000,0,47000,0,-284148000,-389000,None,8505000,1796000,4400000,None,331585000,99545000,555330000,None,None,None,957543000,1345058000,192564000,None,46000000,USD,-106767000,3111000,-1710000,-87000,-656000,1527000,2722000,-2058000,-25196000,51207000,51390000,-4355000,8314000,0,1527000,4044000,1505000,63652000,1623000,1820000,154000,51361000,23.65,21.45
12,2017-06-30,USD,139438000,106918000,29824000,109614000,2735000,-8196000,51184000,0,-2725000,0,55734000,39000,2696000,0,5460000,None,None,None,0,-78892000,0,5471000,-872000,0,-8196000,-8196000,None,USD,1332442000,742704000,None,14934000,642722000,689720000,107483000,9057000,47000,-258953000,127927000,281896000,1039465000,141135000,107142000,615000,328712000,-329000,37368000,255609000,None,-334880000,0,55626000,328097000,43914000,97470000,689720000,0,47000,0,-258953000,-389000,None,8510000,1955000,4400000,None,328097000,100000000,535580000,None,None,None,949344000,1332442000,141135000,None,46000000,USD,-106767000,-11386000,-3105000,-131000,-184000,-244000,2722000,3052000,-8195000,6971000,10320000,753000,9861000,0,-60000,2140000,3325000,22483000,2974000,-5336000,545000,7516000,19.7,23.65
13,2017-03-31,USD,119386000,109317000,25342000,94044000,-15679000,-18904000,46493000,0,-19822000,0,62824000,-406000,-15273000,0,4143000,None,None,None,0,39446000,0,-918000,-4549000,0,-18904000,-18904000,None,USD,1319842000,740838000,None,18180000,643715000,676127000,106321000,9057000,47000,-250757000,121884000,278069000,1034558000,133680000,119335000,754000,754000,-10499000,37132000,248152000,None,-342780000,61000,50238000,326366000,46054000,109524000,676127000,0,47000,0,-250757000,-329000,None,9138000,2113000,4400000,None,326366000,91693000,524380000,None,None,None,937665000,1319842000,133680000,None,46000000,USD,None,-23058000,-5849000,-76000,-2225000,5971000,2722000,-2741000,-18904000,-25279000,-25401000,-5005000,8227000,0,5474000,-2918000,2011000,14246000,5773000,2011000,361000,-24918000,21.0,19.7
14,2016-12-31,USD,140626000,31803000,108109000,32517000,2294000,-3094000,53797000,0,-2073000,9904000,55748000,1580000,714000,0,4367000,None,None,None,0,296763000,0,1021000,-27949000,0,-3094000,-3094000,None,USD,1342335000,742242000,None,18667000,678124000,664211000,125263000,9057000,46000,-243970000,113386000,280599000,1035368000,158616000,147901000,7021000,7021000,-12901000,34310000,272657000,None,-358630000,79000,52239000,324030000,43135000,131823000,0,921365000,46000,0,-243970000,-329000,None,5855000,2272000,4400000,None,324030000,80930000,530223000,None,None,None,921365000,1342335000,158616000,None,45680042,USD,-1000,28029000,-316000,1242000,-28000,804000,-15000,13286000,-3094000,32963000,32475000,-13232000,8366000,0,-27099000,-2201000,-19965000,17554000,1559000,-2947000,-2366000,30597000,18.8,21.0
15,2016-09-30,USD,135613000,141085000,21944000,135613000,-5605000,-12725000,54777000,0,-10009000,-307000,58505000,-133000,-5472000,27803000,4404000,None,None,None,0,0,0,3023000,1360000,0,-13032000,-12725000,None,USD,1318368000,749415000,None,20502000,651602000,666766000,126149000,9057000,46000,-240876000,144940000,284029000,1044639000,127940000,118122000,1134000,1134000,-3615000,35777000,237952000,None,-366678000,0,48575000,297111000,40935000,107931000,0,0,46000,0,-240876000,-329000,None,5814000,2430000,2951000,None,297111000,110220000,533480000,None,None,None,911540000,1318368000,127940000,None,45000000,USD,-6993000,-17605000,-2223000,6899000,-80000,-12915000,None,3991000,-13031000,-9413000,5725000,862000,13017000,-13457000,-12835000,14618000,17018000,10554000,2129000,-2690000,-47000,-9460000,20.88,18.8
16,2016-06-30,USD,127458000,141491000,20626000,127458000,-15896000,-18279000,50293000,0,-19929000,-678000,64604000,-1863000,-14033000,26594000,4033000,None,None,None,0,0,0,-972000,-12831000,0,-18957000,-18279000,None,USD,1346539000,751524000,None,24325000,664997000,671638000,126944000,9057000,46000,-228152000,144058000,284504000,1046621000,137400000,136125000,1126000,1126000,-4711000,36754000,263164000,None,-364390000,0,45886000,294854000,55553000,125942000,0,0,46000,0,-228152000,-329000,None,5876000,4717000,1083375000,None,294854000,107074000,528872000,None,None,None,904784000,1346539000,137400000,None,45000000,USD,6993000,15244000,-269556000,-275082000,-1495000,-15162000,None,-1947000,-19478000,-294268000,-9550000,669000,5939000,-14489000,-13667000,-15886000,14328000,8134000,1467000,-4172000,254000,-294014000,25.505,20.88
17,2016-03-31,USD,115904000,133095000,19396000,115904000,-6534000,-520000,44570000,0,-10257000,9904000,65180000,10657000,-17191000,23345000,3723000,None,None,None,0,0,0,-9737000,6934000,0,-520000,-520000,None,USD,1211694000,430491000,None,31387000,527682000,684012000,51395000,9057000,46000,-209872000,117908000,183636000,629386000,431604000,105004000,1117000,1117000,-4711000,38027000,544281000,None,69885000,190000,41623000,292624000,39667000,94830000,0,0,46000,0,-209872000,-329000,None,239000,15020000,667413000,None,292624000,78659000,422678000,None,None,None,894167000,1211694000,431604000,None,45000000,USD,199752000,11973000,198309000,-406000,-25000,73204000,None,10309000,-520000,278210000,6697000,15929000,4444000,0,73229000,-3191000,10156000,-12302000,1037000,-10156000,None,278210000,26.45,25.505
