,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,5574000,22574000,None,5574000,-16615000,-16615000,11108000,None,-16615000,None,9284000,385000,-17000000,136000,None,0,413000,413000,None,2046000,None,None,-2074000,None,-16615000,-16615000,None,USD,265383000,18723000,None,3015000,218767000,46616000,3531000,9291000,8000,-511094000,167609000,8177000,468000,71103000,20303000,None,None,439000,21706000,180980000,14995000,19716000,100028000,6834000,None,None,11012000,None,None,8000,None,-511094000,None,None,20802000,None,84403000,32596000,None,194933000,198464000,None,None,None,557263000,265383000,171131000,None,81059005,USD,-3247000,-199000,-2664000,544000,None,43000,None,-3738000,-16615000,-23580000,-20959000,-7377000,855000,None,43000,None,-109000,2486000,39000,-109000,None,-23580000,2.31,
1,2020-03-31,USD,13950000,28091000,None,13950000,-13240000,-7575000,15828000,None,-13240000,None,7819000,901000,-14141000,136000,None,-5665000,920000,920000,None,4308000,None,-5665000,-4327000,None,-7575000,-7575000,None,USD,285495000,18478000,None,2676000,225914000,59581000,3459000,12396000,8000,-494479000,171392000,8010000,468000,94381000,23264000,None,None,-140000,22492000,212314000,3011000,33093000,108539000,6718000,None,None,10868000,None,None,8000,None,-494479000,None,None,21190000,None,73181000,33023000,None,199191000,202650000,None,None,None,554192000,285495000,202920000,None,80837093,USD,42646000,2500000,42598000,42646000,None,80000,None,2887000,-7575000,34813000,-7865000,-7093000,836000,None,80000,None,-711000,4178000,48000,-711000,None,34813000,2.74,2.31
2,2019-12-31,USD,3633000,24216000,15129000,3633000,-19505000,-19415000,15129000,None,-19505000,None,8950000,1078000,-20583000,137000,None,-90000,1117000,1117000,None,None,None,-90000,-39000,None,-19415000,-19415000,None,USD,291313000,18978000,None,3958000,225718000,65595000,3527000,13006000,8000,-486904000,172481000,8167000,468000,59624000,21601000,None,None,414000,24688000,217902000,None,38450000,153978000,342000,None,None,8595000,None,None,8000,None,-486904000,None,None,21578000,None,73411000,33439000,None,200590000,204117000,None,None,None,552077000,291313000,213602000,None,80735688,USD,28014000,-2337000,27937000,-503000,None,47000,213000,-1455000,-19415000,5915000,-22069000,-3333000,887000,None,47000,None,-120000,2249000,77000,-120000,None,5915000,1.18,2.74
3,2019-09-30,USD,4799000,29337000,15510000,4799000,-23204000,-20952000,15510000,None,-23204000,None,8683000,1334000,-24538000,138000,None,-2252000,1366000,1366000,None,5006000,None,-2252000,-5038000,None,-20952000,-20952000,None,USD,313312000,18608000,None,3805000,231266000,82046000,3522000,21712000,8000,-467489000,166666000,7949000,468000,53605000,32480000,None,None,-178000,25534000,235814000,3593000,55489000,178182000,222000,None,None,10768000,None,None,8000,None,-467489000,None,None,21814000,None,77498000,33820000,None,195264000,198786000,None,None,None,549705000,313312000,231787000,None,80514459,USD,-9198000,2088000,-9999000,-28517000,None,93000,164000,1139000,-20952000,-25759000,-15853000,-4668000,708000,None,93000,None,1141000,5830000,801000,1141000,None,-25759000,1.06,1.18
4,2019-06-30,USD,4888000,24995000,15699000,4888000,-18613000,-18578000,16876000,None,-18613000,None,7980000,1494000,-20107000,139000,None,-35000,1497000,1497000,None,None,None,-35000,-3000,None,-18578000,-18578000,None,USD,337990000,24684000,None,3779000,236940000,101050000,5992000,21524000,8000,-446537000,173936000,8277000,468000,79561000,30405000,None,None,1042000,26177000,256775000,0,68089000,172072000,1363000,None,None,8881000,None,None,8000,None,-446537000,None,None,22077000,None,81215000,34229000,None,200543000,206535000,None,None,None,546537000,337990000,251633000,None,80130274,USD,-17632000,-779000,-17590000,-19319000,None,352000,164000,1557000,-18578000,-33615000,-16377000,-1587000,723000,None,352000,None,-656000,4500000,42000,-656000,None,-33615000,1.54,1.06
5,2019-03-31,USD,3938000,28852000,19530000,3938000,-23462000,-23427000,19530000,None,-23462000,None,9182000,1452000,-24914000,140000,None,-35000,1471000,1471000,None,None,None,-35000,-19000,None,-23427000,-23427000,None,USD,355586000,24499000,None,4839000,240197000,115389000,5948000,20281000,8000,-427959000,177264000,8168000,468000,113114000,29903000,1539000,1539000,491000,28169000,272454000,0,82722000,153794000,707000,33030000,None,9622000,None,None,8000,None,-427959000,None,None,22296000,None,83132000,34569000,None,204346000,210294000,None,None,None,542849000,355586000,266908000,None,79852045,USD,-1687000,-1354000,-2111000,-1687000,None,251000,None,-902000,-23427000,-13069000,-11209000,-2301000,875000,None,251000,None,11330000,3668000,424000,11330000,None,-13069000,3.98,1.54
6,2018-12-31,USD,2758000,30760000,18187000,2758000,-26659000,-26320000,17613000,0,-26659000,0,9014000,1343000,-28002000,141000,0,None,None,None,0,3992000,0,-339000,-2075000,0,-26320000,-26320000,None,USD,357504000,25135000,None,4500000,222193000,135311000,17167000,18542000,8000,-404532000,191676000,8334000,468000,126310000,30517000,None,None,940000,29157000,282976000,11434000,101842000,140129000,12037000,None,None,11975000,None,None,8000,None,-404532000,None,None,468000,None,74528000,None,None,174509000,191676000,None,None,None,538895000,357504000,266439000,None,79571714,USD,6694000,2727000,6367000,31000,None,292000,-3481000,319000,-26320000,5566000,-1093000,25526000,975000,None,292000,None,-12037000,8036000,358000,-12037000,None,5566000,2.64,3.98
7,2018-09-30,USD,3063000,27968000,18675000,3063000,-23531000,-23146000,18675000,0,-23531000,0,9149000,1374000,-24905000,144000,0,None,None,None,0,0,0,-385000,1374000,0,-23146000,-23146000,None,USD,369024000,29698000,None,4128000,211329000,157695000,17080000,21504000,8000,-378212000,180444000,8449000,468000,120751000,30885000,None,None,1267000,29806000,287763000,12840000,119548000,145043000,17841000,0,0,9381000,0,0,8000,0,-378212000,0,None,468000,None,81261000,None,None,163364000,180444000,None,None,None,534632000,369024000,265794000,None,79369891,USD,34005000,1017000,32829000,6000,None,-3413000,-3481000,-3193000,-23147000,6696000,-22720000,-6975000,953000,0,68000,0,1041000,4391000,1182000,1041000,None,6696000,7.35,2.64
8,2018-06-30,USD,2639000,28394000,19420000,2639000,-24435000,-24397000,19420000,0,-24435000,0,8827000,1320000,-25755000,147000,0,None,None,None,0,0,0,-38000,1320000,0,-24397000,-24397000,None,USD,398387000,30044000,None,4606000,221953000,176434000,17274000,28522000,8000,-355065000,183638000,8506000,468000,114401000,38315000,None,None,1179000,30331000,312255000,16783000,137884000,174711000,18537000,0,0,9793000,0,0,8000,0,-355065000,0,None,468000,None,86132000,None,None,166364000,183638000,None,None,None,530312000,398387000,289112000,None,79059764,USD,36435000,-259000,37733000,4000,None,1009000,-3481000,-945000,-24396000,14397000,-24345000,-4574000,941000,0,1009000,0,-340000,4283000,1294000,-340000,None,14226000,7.0,7.35
9,2018-03-31,USD,6627000,29325000,19763000,6627000,-21515000,-21494000,20128000,0,-21515000,0,9045000,1183000,-22698000,152000,0,None,None,None,0,0,0,-21000,818000,0,-21494000,-21494000,None,USD,422806000,31843000,None,5309000,225847000,196959000,187670000,25930000,8000,-330667000,189501000,8972000,468000,100279000,36346000,None,None,2621000,30168000,330814000,20541000,156144000,207029000,18197000,0,0,10416000,0,0,8000,0,-330667000,0,None,468000,None,91992000,None,None,1831000,189501000,None,None,None,524997000,422806000,307308000,None,78478666,USD,-35403000,-3874000,-37522000,0,None,617000,-3481000,-2719000,-21494000,-57506000,-20601000,-1810000,1017000,0,617000,0,288000,5272000,2119000,288000,171000,-57335000,9.3,7.0
10,2017-12-31,USD,3756000,31832000,29606000,3756000,-25651000,-26131000,22916000,0,-27081000,0,8770000,2425000,-28076000,146000,0,None,None,None,0,0,0,-950000,3226000,0,-26131000,-26131000,None,USD,445128000,31107000,None,5544000,207655000,237473000,164677000,27650000,8000,-283863000,159716000,8723000,63912000,157614000,41401000,None,None,1893000,31085000,350131000,23614000,197643000,168489000,18484000,0,0,13751000,0,0,8000,0,-283863000,0,None,468000,None,94997000,None,None,1577000,166254000,None,None,None,519435000,445128000,326103000,None,77736201,USD,22094000,-3564000,20322000,0,None,2540000,-3481000,6508000,-26132000,-1434000,-24296000,-5776000,1102000,0,2540000,0,149000,9715000,1772000,359000,8000,-1426000,7.5,9.3
11,2017-09-30,USD,3794000,33057000,32038000,3794000,-28394000,-24520000,24454000,0,-28394000,0,8458000,869000,-29263000,145000,0,None,None,None,0,0,0,-3874000,0,0,-24520000,-24520000,None,USD,465131000,30822000,None,4597000,208717000,256414000,166804000,21561000,8000,-257731000,167947000,8602000,72890000,159040000,34289000,None,None,1701000,28280000,363961000,27999000,216990000,186467000,13857000,0,0,12728000,0,0,8000,0,-257731000,0,None,1184000,4283000,101170000,None,None,7624000,174428000,None,None,None,512436000,465131000,345507000,None,76953192,USD,-21051000,-960000,-22980000,0,None,18118000,None,13871000,-24520000,-25310000,-20448000,-2852000,1080000,0,18118000,0,210000,4776000,1929000,2028000,535000,-24775000,10.65,7.5
12,2017-06-30,USD,5917000,29821000,27215000,5917000,-23968000,-19400000,21440000,0,-23188000,0,8245000,-64000,-23904000,136000,-780000,None,None,None,0,0,0,-3788000,0,0,-19400000,-19400000,None,USD,463559000,29946000,None,4278000,205819000,257740000,169641000,18993000,7000,-233211000,170633000,8318000,52244000,183815000,28879000,None,None,608000,26360000,384955000,None,219476000,193428000,3434000,0,0,9886000,0,0,7000,0,-233211000,0,None,8933000,5047000,78604000,None,None,7299000,176940000,None,None,None,490336000,463559000,377243000,None,73676295,USD,55329000,-2311000,54617000,0,None,43400000,None,-2800000,-19399000,76747000,-21270000,-3981000,1123000,0,43400000,0,2238000,6910000,712000,-3612000,None,76747000,11.4,10.65
