,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,245017000,2878000,233412000,53575000,9906000,3856000,None,None,5216000,140000,None,1179000,8727000,663000,4690000,1220000,None,-4475000,None,2215000,None,1220000,-1914000,None,3996000,3856000,None,USD,966221000,97143000,None,540026000,536603000,422058000,11404000,38960000,308000,361222000,24143000,254754000,8961000,96318000,213212000,26780000,26780000,-39962000,100082000,435580000,None,422058000,None,180206000,233097000,49589000,147472000,None,None,308000,None,361222000,None,None,8495000,None,100082000,55455000,233097000,23435000,267936000,None,None,None,100490000,966221000,96318000,None,30768399,USD,-3834000,4272000,-3834000,608000,-42745000,-42957000,-2148000,4272000,3996000,21666000,68457000,42610000,8896000,None,-212000,2274000,None,6409000,4442000,None,None,21666000,15.87,
1,2020-03-31,USD,287375000,2140000,283839000,49884000,2049000,-1632000,None,None,-1147000,329000,None,653000,1396000,2140000,3196000,156000,228000,-2968000,None,None,None,156000,-1715000,None,-1303000,-1632000,None,USD,989208000,101383000,None,133174000,568979000,412829000,10132000,368123000,307000,357366000,19075000,255209000,8857000,74280000,212451000,29735000,29735000,-42947000,100641000,454400000,None,56237000,None,195610000,272010000,51336000,171121000,None,None,307000,None,357366000,None,None,77121000,None,454000,69517000,272010000,8943000,356528000,None,None,None,98103000,989208000,74280000,None,30679476,USD,-2737000,-11922000,-2737000,3397000,25250000,20205000,-2148000,-1522000,-1303000,9349000,-8119000,-8653000,9105000,None,-5045000,4431000,None,223000,6134000,None,None,9349000,17.93,15.87
2,2019-12-31,USD,309502000,-66569000,396355000,63711000,-7105000,-14561000,6400000,None,-10505000,-1986000,39892000,-3744000,-3361000,5237000,3400000,3154000,224000,-3176000,None,10395000,None,3154000,-19600000,None,-13659000,-14561000,None,USD,995513000,104828000,None,101093000,560420000,427759000,11254000,44047000,307000,358998000,21598000,256835000,10817000,66222000,234041000,32803000,32803000,-32694000,101091000,450215000,261000,66096000,None,225707000,243629000,57193000,157191000,None,None,307000,None,358998000,None,None,81328000,None,1216000,72081000,243629000,15243000,270126000,None,None,None,101148000,995513000,66222000,None,30715959,USD,-7312000,1765000,-7312000,68000,-23750000,-26200000,-200000,4067000,-13659000,13651000,47163000,34860000,9633000,None,-2450000,-243000,17904000,14807000,7380000,None,None,13651000,22.37,17.93
3,2019-09-30,USD,308789000,3277000,290863000,66792000,9681000,6036000,6400000,None,6235000,313000,47006000,-4968000,14649000,3277000,3446000,-114000,268000,-3178000,None,None,None,-114000,-8513000,None,6349000,6036000,None,USD,1012327000,107897000,None,120489000,573883000,431868000,None,365964000,308000,373559000,19590000,255601000,12077000,54596000,233497000,35736000,35736000,-43626000,106423000,464769000,349000,68370000,None,232191000,264247000,57493000,172183000,None,None,308000,None,373559000,None,None,76589000,None,1048000,66911000,264247000,15745000,340386000,None,None,None,101627000,1012327000,54596000,None,30807548,USD,-6857000,-2589000,-6857000,207000,-5657000,-8629000,-200000,-5347000,6349000,1986000,17472000,2085000,8915000,None,-2972000,796000,-1199000,1916000,7064000,None,None,1986000,21.38,22.37
4,2019-06-30,USD,318740000,51254000,251303000,67437000,-295000,-8366000,6400000,None,-3861000,219000,49049000,-754000,459000,3778000,3566000,4286000,261000,-3305000,None,11946000,None,4286000,-16739000,None,-8147000,-8366000,None,USD,1015468000,111695000,None,550918000,581445000,427733000,9281000,42779000,309000,367523000,19323000,256773000,19813000,52097000,231680000,32810000,32810000,-42940000,105018000,453112000,785000,427733000,None,250011000,271832000,57424000,156091000,None,None,309000,None,367523000,None,None,18726000,None,105018000,69100000,271832000,68652000,349765000,None,None,None,102841000,1015468000,52097000,None,30941394,USD,-5717000,12130000,-5717000,547000,-12603000,-24867000,-1409000,6233000,-8147000,-9808000,20776000,-3784000,8960000,-1313000,-12264000,-2679000,-10677000,14296000,6264000,None,None,-10137000,18.4,21.38
5,2019-03-31,USD,276904000,47870000,228609000,48295000,-1163000,-4001000,6400000,None,-4753000,10000,47870000,-389000,-774000,113000,3590000,-762000,-3305000,-3305000,None,1086000,None,-762000,-1873000,None,-3991000,-4001000,None,USD,1036110000,116260000,None,108332000,581540000,447293000,8669000,37822000,315000,375889000,19390000,260760000,23716000,63717000,218341000,30625000,30625000,-40508000,110052000,456280000,2546000,70273000,None,228010000,286417000,56221000,149894000,None,None,315000,None,375889000,None,None,92758000,None,469778000,69578000,286417000,68113000,363199000,None,None,None,111597000,1036110000,63717000,None,31491872,USD,-7840000,-18017000,-7840000,224000,6299000,-7061000,-96000,-440000,-3991000,-21498000,-6597000,5641000,8655000,-96000,-13360000,-1287000,10388000,2402000,8064000,None,329000,-21169000,17.57,18.4
6,2018-12-31,USD,333998000,58073000,272302000,61696000,-557000,-2477000,5600000,0,-4648000,-299000,47300000,445000,-1002000,980000,4091000,None,None,None,-500000,3645000,0,-1872000,-14620000,0,-2776000,-2477000,None,USD,992417000,119696000,None,102431000,522230000,462737000,8361000,37599000,319000,379890000,18692000,260633000,19514000,84886000,219650000,29469000,29469000,-40290000,107059000,481867000,3648000,82408000,None,238113000,282003000,56437000,152582000,None,None,319000,None,379890000,None,None,23162000,None,403491000,None,282003000,12216000,302580000,None,None,None,122818000,992417000,84886000,None,31922409,USD,None,14454000,-6305000,1979000,4041000,-2019000,-564000,789000,-2776000,17320000,25644000,-30176000,10163000,None,-7153000,5494000,12426000,9269000,8284000,None,-1679000,15641000,16.32,17.57
7,2018-09-30,USD,339679000,51386000,267006000,72673000,3858000,-447000,5600000,0,-12000,588000,48368000,-9151000,13009000,4800000,3870000,None,None,None,0,3478000,0,-153000,-25022000,0,141000,-447000,None,USD,1015038000,124449000,None,131956000,528954000,478352000,9749000,41720000,323000,382367000,22081000,261757000,22419000,69245000,227604000,26548000,26548000,-32668000,107792000,493037000,5584000,92146000,1835000,228692000,279269000,63144000,159336000,486084000,128330000,323000,0,382367000,0,None,28003000,None,414209000,None,279269000,12332000,301350000,None,None,None,128330000,1015038000,69245000,None,32313990,USD,37942000,783000,23700000,-5628000,-34567000,-34580000,-564000,-8350000,141000,-7052000,3828000,-8350000,8915000,0,-13000,694000,-13240000,14854000,8614000,-13240000,-1536000,-8588000,25.38,16.32
8,2018-06-30,USD,335030000,54222000,263977000,71053000,14015000,7921000,5600000,0,10092000,-723000,52849000,-444000,14459000,832000,3923000,None,None,None,0,1540000,0,2894000,-8112000,0,7198000,7921000,None,USD,1070230000,127618000,None,185567000,575792000,484005000,9500000,63335000,323000,392128000,21400000,261885000,12817000,76192000,240312000,26555000,26555000,-35688000,106262000,556324000,5324000,94502000,1911000,229905000,313691000,64660000,150422000,494438000,127242000,323000,0,392128000,0,None,18141000,None,407644000,None,313691000,12289000,335480000,None,None,None,127242000,1070230000,76192000,None,32303638,USD,None,11013000,-11277000,-2850000,-2016000,-6955000,-564000,1505000,7198000,-9311000,8921000,1505000,9223000,0,-4939000,-1659000,-22591000,4232000,8427000,-22591000,-2700000,-12011000,25.75,25.38
9,2018-03-31,USD,324861000,56142000,263357000,61504000,2966000,-2069000,5600000,0,-2477000,593000,52687000,-215000,3181000,392000,5443000,None,None,None,0,1789000,0,-1001000,-11294000,0,-1476000,-2069000,None,USD,1064545000,128821000,None,183772000,569494000,483595000,9214000,59870000,325000,384207000,21746000,261018000,14019000,89031000,231248000,26557000,26557000,-30174000,108045000,547757000,4885000,93756000,1858000,208691000,315629000,66263000,144821000,495051000,129237000,325000,0,384207000,0,None,18904000,None,408743000,None,315629000,13403000,338246000,None,None,None,129237000,1064545000,89031000,None,32467823,USD,None,-33589000,-4953000,236000,-2131000,-16894000,-1093000,7127000,-1476000,-20571000,1276000,7127000,9554000,0,-13670000,-2223000,16584000,5299000,5189000,16584000,1870000,-18701000,22.91,25.75
10,2017-12-31,USD,337499000,60361000,273309000,64190000,-4536000,-12789000,4200000,0,-8523000,405000,50636000,-580000,-3956000,943000,3987000,None,None,None,0,6832000,0,3861000,-126418000,0,-12384000,-12789000,None,USD,1107099000,132345000,None,105614000,602043000,494246000,9211000,20900000,325000,386008000,12918000,260715000,410995000,107556000,261674000,26555000,26555000,-32836000,109040000,587064000,3193000,101186000,1839000,309943000,318240000,63969000,214219000,505056000,140749000,325000,0,386008000,0,None,16269000,1666000,410995000,None,318240000,12918000,340369000,None,None,None,140749000,1107099000,107556000,None,32462542,USD,None,-978000,-8070000,245000,-18073000,-23369000,-413000,8192000,-12384000,-212000,31227000,592000,10009000,0,-5367000,2719000,-29847000,7098000,8315000,24193000,3222000,3010000,25.43,22.91
11,2017-09-30,USD,341872000,54610000,268430000,73442000,-75774000,-73236000,0,0,-79736000,-546000,53614000,-765000,-75009000,1980000,3962000,None,None,None,0,91871000,0,-5954000,-349000,0,-73782000,-73236000,None,USD,1140543000,141084000,None,115239000,624219000,506054000,14444000,19990000,327000,398797000,12776000,259791000,415020000,96725000,260936000,26556000,26556000,-37158000,110790000,614733000,None,105179000,1938000,334048000,336063000,68721000,214390000,516324000,144088000,327000,0,398797000,0,None,14145000,None,415020000,None,336063000,12776000,363283000,None,None,None,144088000,1140543000,96725000,None,32673818,USD,None,47570000,-9787000,-101000,-9185000,-19759000,122000,-13118000,-73782000,4665000,34211000,-13118000,10446000,-36000,-10574000,210000,0,80003000,9686000,-17178000,-6300000,-1635000,23.28,25.43
12,2017-06-30,USD,354473000,58109000,274705000,79768000,21286000,11100000,0,0,17281000,1078000,57909000,-373000,21659000,0,4005000,None,None,None,0,90643000,0,5103000,7000,0,12178000,11100000,None,USD,1191937000,188864000,None,25426000,593557000,587752000,23951000,113634000,331000,472033000,12737000,304357000,505460000,106956000,204798000,27210000,379281000,-36922000,158966000,527511000,None,94531000,1625000,323797000,352071000,71332000,177588000,598380000,152310000,331000,0,472033000,0,None,12239000,None,505460000,None,352071000,12737000,388759000,None,None,None,152310000,1191937000,106956000,None,33120494,USD,None,-5647000,-8614000,308000,2625000,-7936000,-35000,13713000,12178000,10646000,27196000,13713000,12112000,-35000,-10561000,-1364000,0,2825000,8922000,-6605000,7083000,17729000,21.88,23.28
13,2017-03-31,USD,325175000,52746000,257763000,67412000,13795000,5871000,0,0,9748000,1882000,52997000,-338000,14133000,0,4047000,None,None,None,0,533000,0,1995000,-4385000,0,7753000,5871000,None,USD,1175402000,193102000,None,38903000,594530000,571320000,23731000,116537000,336000,460933000,13102000,302749000,506806000,89175000,203270000,22020000,376447000,-49140000,156690000,511906000,None,75469000,1573000,314715000,354427000,69113000,181250000,580872000,159191000,336000,0,460933000,0,None,9371000,1584000,506806000,None,354427000,13102000,391260000,None,None,None,159191000,1175402000,89175000,None,33604854,USD,None,-28066000,-11076000,-7169000,5625000,-5383000,-500000,7005000,7753000,-42792000,-26333000,7005000,11852000,0,-10508000,-3491000,0,8893000,3907000,-30257000,894000,-41898000,22.91,21.88
14,2016-12-31,USD,321802000,50291000,250560000,71242000,26773000,17791000,4700000,0,22825000,338000,49456000,458000,26315000,913000000,3948000,None,None,None,0,-5364000,0,4696000,-27352000,0,18129000,17791000,None,USD,1193582000,194911000,None,51832000,617399000,568500000,23339000,145838000,340000,455062000,12674000,298619000,504598000,134392000,230601000,19835000,19835000,-53500000,156747000,532237000,1061000,74970000,4892000,282060000,350785000,63953000,210766000,576183000,166598000,340000,0,455062000,0,None,9220000,1848000,504598000,None,350785000,12674000,386798000,None,None,None,166598000,1193582000,134392000,None,33956304,USD,None,-35534000,-7057000,218000,-4375000,-10451000,-1776000,17868000,18129000,19010000,36518000,44380000,12313000,0,-7352000,-2059000,52774000,2077000,7275000,26372000,-2774000,16236000,23.7,22.91
15,2016-09-30,USD,308524000,45277000,242206000,66318000,20830000,12067000,0,0,17005000,-280000,47029000,325000,20505000,0,3825000,None,None,None,0,536000,0,5218000,511000,0,11787000,12067000,None,USD,1230134000,199352000,None,68787000,662337000,560413000,20665000,185292000,341000,437271000,12411000,300679000,509718000,118621000,272119000,17644000,17644000,-48252000,158276000,562140000,None,60382000,5357000,311927000,357142000,62805000,254475000,567797000,171053000,341000,0,437271000,0,None,6276000,3411000,509718000,None,357142000,12411000,390218000,None,None,None,171053000,1230134000,118621000,None,34139540,USD,2000000,-8987000,-14611000,-4571000,-4375000,-15461000,-500000,1499000,12067000,-3566000,26793000,1499000,11251000,0,-11373000,-199000,26402000,1067000,12040000,10375000,6038000,2472000,19.07,23.7
16,2016-06-30,USD,297686000,50806000,236496000,61190000,7775000,3422000,0,0,4134000,-229000,48777000,-370000,8145000,0,3641000,None,None,None,0,2239000,0,941000,545000,0,3193000,3422000,None,USD,1234928000,202073000,None,72607000,674442000,552737000,20608000,199857000,347000,425204000,11234000,297223000,509464000,116091000,281379000,17646000,17646000,-53208000,153741000,571723000,None,53441000,5299000,321093000,361221000,61932000,263733000,560486000,180394000,347000,0,425204000,0,None,6736000,3432000,509464000,None,361221000,11234000,393063000,None,None,None,180394000,1234928000,116091000,None,34720534,USD,None,10259000,-13820000,-4435000,-2375000,-13051000,-500000,-6277000,3422000,-14984000,11887000,-6277000,11779000,-1276000,-10176000,1495000,16027000,5029000,9385000,-13591000,-2083000,-17067000,19.51,19.07
17,2016-03-31,USD,293908000,50725000,226874000,54414000,-5080000,-3792000,0,0,-8695000,-157000,47995000,-941000,-4139000,0,3615000,None,None,None,0,7828000,0,-4746000,-4556000,0,-3949000,-3792000,None,USD,1228382000,205498000,None,62811000,663229000,555815000,17872000,186581000,352000,421782000,11091000,294479000,508213000,127859000,270885000,17649000,None,-52355000,151086000,569083000,None,55838000,6615000,308366000,363381000,63432000,253236000,0,0,352000,0,421782000,0,None,5120000,3116000,508213000,None,363381000,11091000,392344000,None,None,None,186036000,1228382000,134474000,None,35000000,USD,4599000,-42758000,-91799000,-86338000,29625000,13338000,None,None,-3792000,-80443000,-1982000,4426000,11376000,0,-16287000,-1806000,29618000,1111000,10060000,29618000,-3394000,-83837000,21.09,19.51
18,2015-12-31,USD,330713000,51513000,263290000,67423000,-29196000,-32860000,2800000,0,-35875000,-573000,44662000,-556000,-28640000,2900000,6679000,None,None,None,0,44550000,0,-2442000,-71517000,0,-33433000,-32860000,None,USD,1258307000,174118000,None,88059000,663751000,578025000,19386000,6961000,361000,425574000,8824000,249120000,435278000,215049000,297767000,17648000,17648000,-47861000,144833000,678196000,None,154787000,5796000,327309000,337774000,47779000,273158000,0,0,361000,0,425574000,0,None,9910000,2130000,435278000,None,337774000,8824000,365984000,None,None,None,199951000,1258307000,215049000,None,36053499,USD,None,6116000,-9832000,-1715000,-3488000,-7945000,472000,-28148000,-33433000,45720000,63497000,-42802000,11745000,-472000,-4929000,3470000,12283000,47947000,8117000,37021000,-1608000,44112000,19.31,21.09
19,2015-09-30,USD,356595000,51554000,279474000,77121000,24604000,14750000,0,0,21460000,473000,52396000,-334000,24938000,0,3144000,None,None,None,0,629000,0,6237000,-1345000,0,15223000,14750000,None,USD,1296785000,177307000,None,58799000,662048000,617550000,26113000,185440000,362000,458434000,11282000,293149000,482605000,171714000,296722000,28586000,None,-44544000,160203000,653977000,None,147094000,4130000,369885000,327931000,53579000,268136000,0,0,362000,0,458434000,0,None,9250000,2899000,482605000,None,327931000,11282000,365326000,None,None,None,203298000,1296785000,171714000,None,36227841,USD,None,14279000,-9890000,-640000,-6529000,-7700000,-1156000,None,15223000,-7493000,10097000,-2256000,10949000,0,-15000,2137000,0,3316000,9250000,-18328000,2005000,-5488000,16.48,19.31
