,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-09-30,USD,41546000,43762000,None,41546000,-2411000,-2242000,None,None,-2216000,None,28841000,-195000,-2216000,14445000,476000,26000,686000,-476000,None,476000,None,26000,128000,None,-2242000,-2242000,None,USD,410668000,3462000,None,None,406318000,4350000,None,None,36000,-196697000,14336000,None,11192000,54008000,None,None,None,1028000,30730000,174615000,106842000,888000,8562000,120607000,24423000,None,9183000,None,None,36000,None,-196697000,-3000000,None,90204000,None,4815000,None,24423000,381895000,406318000,None,None,None,202983000,410668000,54008000,None,11942812,USD,23645000,-31842000,23645000,64573000,None,0,None,-5323000,-2242000,-82000,-23727000,None,1300000,0,0,None,23231000,-76000,330000,None,None,None,0.3797,
1,2019-06-30,USD,44537000,47650000,None,44537000,-2688000,-3113000,None,None,-3113000,None,31706000,425000,-3113000,15944000,470000,0,836000,-470000,None,None,None,None,133000,None,-3113000,-3113000,None,USD,460419000,3560000,None,None,454361000,6058000,None,None,36000,-194455000,16649000,None,11182000,54090000,None,None,None,682000,31603000,204803000,130261000,2498000,15383000,150713000,24367000,None,14214000,None,None,36000,None,-194455000,-3000000,None,83318000,None,6874000,None,24367000,429994000,454361000,None,None,None,202795000,460419000,54090000,None,11942812,USD,24701000,-11062000,23544000,40598000,None,0,None,-31819000,-3113000,5736000,-17808000,-12238000,1453000,None,0,None,7394000,-452000,1157000,7604000,None,5736000,0.7253,0.3797
2,2019-03-31,USD,49604000,50443000,49565000,49604000,1174000,-839000,None,None,-839000,None,36390000,2013000,-839000,13583000,470000,0,-470000,-470000,None,470000,None,None,460000,None,-839000,-839000,None,USD,484687000,3657000,None,84115000,477185000,7502000,None,148275000,36000,-191342000,16055000,None,9635000,48354000,435012000,None,None,-800000,31663000,212271000,153474000,3845000,3924000,163917000,24311000,None,21114000,None,None,36000,None,-191342000,-3000000,None,75961000,None,7661000,None,24311000,452874000,477185000,None,None,None,202608000,484687000,48354000,None,11942812,USD,15897000,21496000,14601000,15897000,None,0,None,-701000,-839000,13452000,-1149000,931000,1261000,None,0,None,-23683000,-346000,1296000,-23652000,None,13452000,2.46,0.7253
3,2018-12-31,USD,52083000,137298000,92056000,52083000,-84285000,-96722000,0,0,-85215000,0,118265000,930000,-85215000,15819000,-488000,11507000,-488000,None,0,3214000,0,11507000,-2018000,0,-96722000,-96722000,None,USD,470338000,3755000,None,70138000,464639000,5699000,None,134040000,36000,-190503000,18499000,1196000,19899000,34902000,368185000,None,None,-3132000,31363000,172784000,166457000,1944000,4745000,137882000,24255000,None,234145000,None,None,36000,None,-190503000,-3000000,None,88670000,None,7309000,None,24255000,440384000,464639000,None,None,None,202298000,470338000,34902000,None,11936970,USD,2378000,-21244000,496000,28902000,None,-3341000,-8000,-701000,-96722000,-14349000,-14845000,94230000,744000,-333000,-3000000,None,-14691000,13539000,1882000,-5392000,None,-14349000,8.09,2.46
4,2018-09-30,USD,55769000,48646000,47799000,55769000,6816000,5605000,0,0,7123000,0,33542000,-307000,7123000,14639000,-465000,1518000,-465000,None,0,465000,0,1518000,-465000,0,5605000,5605000,None,USD,501167000,3853000,None,65851000,399312000,101855000,0,149363000,36000,-93781000,19616000,2726000,13042000,49251000,355497000,None,None,-3353000,30328000,195071000,169357000,95276000,4620000,145820000,24199000,0,206134000,0,0,36000,0,-93781000,-3000000,None,76396000,None,23436000,None,24199000,375113000,399312000,None,None,None,201953000,501167000,49251000,None,11936970,USD,5612000,12535000,2944000,26524000,None,-3341000,-8000,-8300000,5605000,-3456000,-6400000,1256000,1000000,-333000,-3000000,0,-10305000,1313000,2668000,-28109000,None,-3456000,10.05,8.09
5,2018-06-30,USD,56729000,49650000,48805000,56729000,6146000,5576000,0,0,7079000,0,33809000,-933000,7079000,15380000,-461000,None,None,None,0,461000,0,1503000,-461000,0,5576000,5576000,None,USD,483131000,3950000,None,58632000,386909000,96222000,0,145078000,36000,-99386000,14932000,2726000,36483000,52707000,347834000,24143000,24143000,-3096000,28356000,178639000,175063000,89546000,7154000,125932000,24143000,0,202756000,0,0,36000,0,-99386000,-3000000,None,65805000,None,28592000,None,24143000,362766000,386909000,None,None,None,201668000,483131000,52707000,None,11936970,USD,12253000,-11639000,10210000,916000,None,-333000,None,-16987000,5576000,19000,-9858000,-12283000,1016000,-333000,0,0,10356000,1589000,2043000,5883000,None,19000,8.75,10.05
6,2018-03-31,USD,57185000,50373000,50056000,57185000,4044000,5529000,0,0,6812000,0,35046000,-2768000,6812000,14872000,-455000,None,None,None,0,455000,0,1283000,65000,0,5529000,5529000,None,USD,507454000,4048000,None,63378000,416064000,91390000,0,156453000,36000,-104629000,20647000,2726000,38675000,52688000,371330000,24087000,24087000,-2399000,27000000,178793000,187999000,84616000,9061000,126105000,24087000,0,214877000,0,0,36000,0,-104629000,-3000000,None,71034000,None,35854000,None,24087000,391977000,416064000,None,None,None,201382000,507454000,52688000,None,11936970,USD,8659000,31057000,5420000,456000,None,-3008000,-8000,-10041000,5529000,7073000,4661000,-9699000,1023000,-333000,-3000000,0,-21748000,1360000,3239000,-24609000,None,7073000,10.35,8.75
7,2017-12-31,USD,59518000,354913000,125893000,-40747000,-69694000,-43935000,0,0,-52038000,0,0,None,-50145000,16272000,461000,None,None,None,0,-1560000,0,-8103000,-1840000,0,-56517000,-43935000,None,USD,482503000,4145000,None,62632000,391858000,90645000,0,128043000,36000,-110535000,147768000,2726000,252852000,45615000,348102000,24031000,24031000,39000,24439000,146139000,199116000,83774000,11141000,100524000,24031000,0,220059000,0,0,36000,0,-110535000,0,None,74156000,None,31782000,None,24031000,367827000,391858000,None,None,None,201105000,482503000,45615000,None,12164041,USD,-1856000,72686000,-15909000,2000,4479000,5164000,30000,48747000,-38810000,15727000,26472000,None,1762000,0,0,0,-2278000,1814000,14055000,None,None,None,20.55,10.35
8,2017-09-30,USD,57464000,49579000,48718000,57464000,8029000,5125000,0,0,7885000,0,33258000,144000,7885000,15854000,467000,None,None,None,0,467000,0,2760000,0,0,5125000,5125000,None,USD,450444000,4243000,None,32898000,306047000,144397000,0,141802000,36000,-56231000,159595000,2726000,253742000,40173000,0,23975000,23975000,458000,17536000,152119000,208785000,137428000,14131000,111946000,23975000,0,122477000,0,0,36000,0,-56231000,0,None,31494000,None,33541000,None,23975000,282072000,306047000,None,None,None,200134000,450444000,40173000,None,12030703,USD,-14598000,-1114000,-19749000,60000,-18000,-18000,-8000,2162000,5125000,-9055000,10712000,-2028000,673000,0,0,0,0,500000,5211000,7556000,None,-9055000,18.9,20.55
9,2017-06-30,USD,55702000,47223000,46201000,55702000,9212000,5510000,0,0,8479000,0,32469000,733000,8479000,14110000,644000,None,None,None,0,644000,0,2969000,0,0,5510000,5510000,None,USD,450466000,4340000,None,36240000,311609000,138857000,0,143271000,36000,-61356000,159938000,2726000,239721000,49228000,0,23935000,23935000,328000,12680000,165561000,194237000,131791000,9342000,116333000,23935000,0,127736000,0,0,36000,0,-61356000,0,None,36367000,None,34555000,None,23935000,287674000,311609000,None,None,None,199849000,450466000,49228000,None,12030703,USD,-450000,-9802000,-1800000,915000,4497000,4497000,-8000,646000,5510000,13850000,11153000,-4413000,848000,0,0,0,0,362000,1350000,18648000,None,13850000,14.9,18.9
