,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,EUR,2934000.0,14218000.0,None,None,-11902000.0,-12238000.0,11697000.0,None,-12238000.0,None,2606000.0,None,-11284000.0,None,65000.0,0,None,6000,None,None,None,None,-960000.0,None,-12238000.0,-12238000.0,None,EUR,101148000.0,103000.0,None,None,60646000.0,40502000.0,None,None,845000.0,-255035000,27829000,None,None,84584000.0,32491000.0,None,1039000,294692000,2773000.0,95069000,3203000,40399000,8037000,2027000,231000.0,421000.0,6606000.0,None,None,None,None,None,None,None,None,None,6079000,546000,None,None,28155000,None,None,None,None,None,None,None,None,EUR,-2903000,-4758000,-2903000,None,-484000,20547000,-754000,None,-12238000,2653000,-14991000,None,271000,None,None,-84000,None,1717000,154000.0,None,None,None,4.615,
1,2020-03-31,EUR,5135000.0,15031000.0,None,None,-7945000.0,-8289000.0,11449000.0,None,-8289000.0,None,3525000.0,None,-9896000.0,57000,64000.0,None,1512000,31000,None,None,None,None,1576000.0,None,-8289000.0,-8289000.0,None,EUR,97016000.0,121000.0,None,None,65830000.0,31186000.0,None,None,762000.0,-242797000,30430000,None,None,82765000.0,34991000.0,None,1401000,273221000,2872000.0,90749000,3274000,31065000,5476000,2171000,254000.0,337000.0,8434000.0,None,None,None,None,None,None,None,None,None,6267000,677000,409000,None,30839000,None,None,None,None,None,88241000,None,None,EUR,3714000,-6999000,3714000,3736000,-901000,-901000,-754000,None,-8289000,-13734000,-16547000,None,280000,None,None,-41000,None,-748000,22000.0,None,None,None,1.58,4.615
2,2019-12-31,EUR,3927000.0,15530000.0,None,None,-12641000.0,-12993000.0,12538000.0,None,-12993000.0,None,2699000.0,None,-11603000.0,57000,94000.0,0,-1120000,-12000,None,None,None,None,-1377000.0,None,-12993000.0,-12993000.0,None,EUR,112359000.0,137000.0,None,None,73692000.0,38667000.0,None,None,762000.0,-234508000,37961000,None,None,95234000.0,35181000.0,None,2105000,272413000,3115000.0,105914000,3193000,38530000,8902000,1482000,278000.0,296000.0,10674000.0,None,None,None,None,None,None,None,6445000,None,6445000,804000,550000,None,38511000,None,None,None,None,None,104136000,None,64000000,EUR,6872000,10936000,6872000,5814000,-1044000,28088000,-2215000,1444000,-12993000,36517000,1557000,None,258000,None,31373000,34000,None,2303000,405000.0,None,None,None,2.74,1.58
3,2019-09-30,EUR,2103000.0,14462000.0,0,4564409.66,-10553000.0,-10884000.0,11721000.0,0,-10884000.0,0,2790000.0,0,-12359000.0,57000,106000.0,0,1319000,50000,0,0,0,0,1425000.0,0,-10884000.0,-10884000.0,0,EUR,85550000.0,149000.0,None,1491000,63317000.0,22233000.0,0,39551705.80,624000.0,-221516000,33672000,0,0,59995000.0,29153000.0,0,2960000,243125000,2577000.0,79530000,3294000,22084000,16530000,1184000,300000.0,330000.0,7633000.0,0,0,0,0,0,0,0,6020000,0,6020000,529000,492000,0,34164000,0,0,0,0,0,76525000,0,62000000,EUR,7879000,-2243000,7879000,-1463000,-783000,-770000,-2215000,1482000,-10884000,-4563000,-11672000,0,225000,0,26000,0,230000,-482000,172000.0,0,0,0,2.94,2.74
4,2019-06-30,EUR,4008000.0,13690000.0,0,11900989.81,-9995000.0,-10340000.0,11545000.0,0,-10336000.0,0,2342000.0,0,-9682000.0,57000,128000.0,4000,-856000,74000,0,0,0,4000,-728000.0,0,-10340000.0,-10340000.0,0,EUR,99117000.0,168000.0,None,2973000,66272000.0,32845000.0,0,44821716.92,624000.0,-210632000,39138000,0,0,63987000.0,26565000.0,0,3552000,242853000,2613000.0,92487000,3849000,32677000,23726000,1471000,323000.0,330000.0,7541000.0,0,0,0,0,0,0,0,6630000,0,6630000,623000,569000,0,39707000,0,0,0,0,0,87713000,0,62000000,EUR,7267000,-1232000,7267000,-9514000,-378000,-365000,-2215000,-2403000,-10340000,1344000,-5558000,0,213000,0,13000,-5000,6916000,1293000,767000.0,0,0,0,2.87,2.94
5,2019-03-31,EUR,11353000.0,10335000.0,0,31820238.15,2217000.0,1852000.0,7987000.0,0,1852000.0,0,2434000.0,0,1018000.0,0,155000.0,0,595000,78000,0,0,0,0,756000.0,0,1852000.0,1852000.0,0,EUR,110339000.0,107000.0,None,570000,67684000.0,42655000.0,0,65111948.60,624000.0,39364000,33488000,0,0,63089000.0,32937000.0,0,3083000,2667000,2009000.0,104325000,3898000,42548000,32043000,8298000,957000.0,325000.0,6289000.0,0,0,0,0,0,0,0,6014000,0,6014000,636000,1259000,0,34747000,0,0,0,0,0,95132000,0,62000000,EUR,-17678000,-8252000,-17678000,-17548000,-915000,-915000,-2215000,-183000,1852000,-31740000,-13383000,0,210000,0,0,-65000,-6688000,-257000,130000.0,0,0,0,4.2,2.87
6,2018-12-31,EUR,78228180.17,51092210.82,0,78228180.17,27135969.36,30112882.11,39239560.43,0,30112882.11,0,11852650.4,0,27135969.36,0,-611882.78,None,None,None,0,0,0,0,2976912.76,0,30112882.11,10048176.19,0,EUR,399353192.64,192502.44,None,49366563.96,261408004.63,137945187.92,0,86894227.66,715760.5,-231869694.88,43028217.48,0,0,325978824.03,126649419.64,0,10597946.98,277183987.15,1621931.64,381151399.13,13148604.35,45965817.85,0,4912249.85,5809448.72,893761.34,29157245.0,0,0,0,0,0,0,0,0,0,0,0,5064677.39,0,0,0,0,0,0,0,326066328.05,0,61000000,EUR,-51185024.51,72703601.74,-17361780.22,-38899809.73,-765083.73,-2279091.43,1147.05,768524.89,30112882.11,198528456.72,85297086.49,0,343754.36,0,75259907.32,206252.58,75625.96,1568020.19,835323.08,0,0,0,3.11,4.2
7,2018-09-30,USD,549627.73,21870153.97,55713837211605000,549627.73,-21320526.24,-21589951.61,17579106.18,0,-21589951.61,0,4291047.78,0,-21320526.24,0,-364622.3,None,None,None,0,0,0,0,-269425.35,0,-21589951.61,-21589951.61,0,USD,88136217.59,113158.66,None,192190.09,23747150.59,64389066.98,0,1151344.33,1120809.47,-378819230.70,0,0,35526911494296000,66594762.54,19716547.31,0,5537589.08,442087488.21,2282930.83,72109001.42,13631126.68,64275908.32,0,4747274.72,4030603.28,574774.08,13027613.89,0,0,0,0,0,0,0,0,0,0,0,3481635.11,0,0,0,0,0,0,0,57524555.88,0,64000000,USD,-26744956.67,2699642.04,-271221.51,1551.54,-1347126.77,-1253725.98,-28738.71,1095663.10,-21589951.61,-18565202.98,-17544978.98,0,186801.57,0,38958938.34,-95196.97,-775945.02,934007.90,269425.35,0,0,0,4.35,3.11
8,2018-06-30,USD,174581.01,36495657.11,168569824298.10,174581.01,-10664571.69,-9327281.19,8320530.73,0,-9327281.19,0,2518621.97,0,-10664571.69,0,-259543.76,None,None,None,0,0,0,-16518309.82,1337290.5,0,-9327281.19,-9327281.19,0,USD,69267923.65,83798.88,None,2297486.03,14355214.15,54912709.5,0,530726.26,726256.98,-231475791.43,0,0,146633447340.32,55181564.25,11016061.45,0,3588221.60,285662243.95,1431564.25,58981610.80,8770949.72,54828910.61,0,1191806.33,3339152.7,310754.19,6897113.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000000,USD,-17330074.49,727420.86,-196694.60,0,-872905.03,-919459.96,-46554.93,-1329143.39,-9327281.19,-9226024.21,-9582169.46,0,116387.34,0,0,-5819.37,929934.82,-693668.53,176908.75,0,0,0,1.65,4.35
9,2018-03-31,USD,640915.24,10375199.9,12632550.13,640915.24,-9734284.66,-10091032.11,7868126.46,0,-10089801.94,0,2507073.44,None,-9734284.66,0,-298929.76,None,None,None,0,0,0,1230.16,-355517.28,0,-10091032.11,-10091032.11,None,USD,81915364.74,79960.63,None,1000123.02,15164226.84,66751137.9,0,559724.44,767622.09,-234801328.58,0,0,10905400.42,68076024.11,10880797.15,3792594.42,3792594.42,300784844.38,1436831.1,71627506.46,8771066.55,66671177.27,0,2229056.46,4283429.7,322302.87,6528478.29,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55000000,USD,-18317136.18,1654570.06,-189445.20,0,-922622.71,27858285.15,-2024849.30,-20912.78,-10091032.11,19069996.31,-8516422.68,None,121786.20,0,30805757.17,-25833.44,-874646.33,719645.71,179603.89,None,None,None,1.85,1.65
