,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,10038000,9852000,1485000,8553000,-1190000,-2546000,1810000,None,-2541000,None,7357000,109000,-1299000,685000,1351000,5000,None,-1351000,None,None,None,5000,109000,None,-2546000,-2546000,None,USD,49094000,13816000,None,2973000,56313000,-7530000,None,226000,50000,-391314000,3127000,None,735000,13496000,10139000,889000,889000,-1086000,1205000,32471000,None,-51379000,None,14034000,42510000,1968000,9024000,None,None,50000,30344000,-391314000,None,None,867000,None,735000,537000,42510000,3664000,46174000,None,3707000,None,350769000,49094000,13496000,None,5031745,USD,None,-137000,-192000,None,1613000,1623000,-16000,-372000,-2546000,1101000,-330000,-292000,927000,None,10000,-759000,None,208000,192000,2269000,None,1101000,6.3,
1,2020-03-31,USD,14535000,12390000,1927000,12608000,137000,-1198000,2883000,None,-1155000,None,8853000,-81000,218000,654000,1292000,43000,-1373000,-1292000,None,None,None,43000,-81000,None,-1198000,-1198000,None,USD,48998000,14299000,None,2528000,54305000,-5404000,None,243000,50000,-388768000,3124000,None,720000,12242000,9121000,None,None,-1179000,867000,32145000,None,-49950000,None,16179000,41395000,1196000,8878000,None,None,50000,30344000,-388768000,None,None,967000,None,720000,340000,41395000,3789000,45184000,None,3707000,None,350442000,48998000,12242000,None,5028882,USD,-25000,-2935000,-25000,None,2415000,2415000,-3000,-1727000,-1198000,2938000,548000,54000,893000,None,None,177000,3036000,521000,25000,3036000,None,2938000,4.0,6.3
2,2019-12-31,USD,17348000,13648000,2273000,15075000,1478000,498000,2670000,None,305000,None,10311000,51000,1427000,7293000,1173000,-193000,-1122000,-1173000,None,None,None,-193000,51000,None,498000,498000,None,USD,50309000,14783000,None,2565000,54660000,-4445000,None,255000,50000,-387570000,3125000,None,734000,9459000,12048000,None,None,-1093000,2047000,32745000,None,-49478000,None,19331000,38658000,1390000,11793000,None,None,50000,30344000,-387570000,None,None,2047000,None,734000,818000,38658000,3954000,42612000,None,3707000,None,350117000,50309000,9459000,None,4965949,USD,-24000,1020000,-24000,None,507000,1069000,-306000,361000,498000,1467000,422000,-377000,878000,None,868000,270000,-2823000,956000,24000,-2823000,None,1467000,7.58,4.0
3,2019-09-30,USD,12850000,14566000,1579000,11271000,-1163000,-3140000,2761000,None,-3063000,None,9558000,-115000,-1716000,668000,1232000,77000,-1347000,-1232000,None,None,None,77000,-115000,None,-3140000,-3140000,None,USD,46729000,15272000,None,31000,53205000,-6476000,None,258000,710000,-388068000,2783000,None,1127000,7903000,14235000,3333000,3333000,2503000,2222000,28108000,None,-52092000,None,16377000,35166000,1642000,6728000,None,None,710000,30344000,-388068000,None,None,1162000,None,18621000,839000,35298000,3672000,38970000,None,3707000,None,348035000,46729000,7903000,None,71015806,USD,-111000,-1035000,-111000,None,-66000,-58000,-2227000,978000,-3140000,-4255000,-3898000,512000,668000,None,34000,470000,-2669000,619000,111000,-2669000,None,-4067000,0.5663,7.58
4,2019-06-30,USD,10855000,13271000,1174000,9681000,-3541000,-5038000,2834000,None,-4777000,None,9783000,49000,-3590000,654000,1236000,261000,-1187000,-1236000,None,None,None,261000,49000,None,-5038000,-5038000,None,USD,50242000,15761000,None,2723000,53752000,-3682000,None,247000,710000,-384928000,2824000,None,1174000,12157000,11590000,None,None,-1039000,1095000,30913000,None,-49615000,None,13892000,38288000,2141000,11343000,None,None,710000,30344000,-384928000,None,None,1299000,None,1174000,865000,38288000,3874000,42162000,None,3707000,None,347524000,50242000,12157000,None,71000495,USD,-24000,1916000,-24000,None,-58000,-32000,-2227000,103000,-5038000,-1016000,-960000,-582000,863000,None,26000,-276000,1577000,580000,24000,1577000,None,-1016000,0.89,0.5663
5,2019-03-31,USD,12890000,12685000,1600000,11290000,-1464000,-2763000,2727000,None,-2692000,None,9306000,-69000,-1395000,652000,1228000,71000,-1297000,-1228000,None,None,None,71000,-69000,None,-2763000,-2763000,None,USD,52310000,16245000,None,2502000,51423000,646000,None,253000,710000,-379890000,2810000,None,1158000,13094000,9973000,433000,433000,-1094000,1259000,32873000,None,-45702000,None,15417000,38080000,1860000,9720000,None,None,710000,30344000,-379890000,None,None,775000,None,1158000,927000,38080000,3370000,41450000,None,3707000,None,346869000,52310000,13094000,None,70968630,USD,-15000,-556000,-15000,None,-110000,-110000,-2227000,-1238000,-2763000,159000,284000,-381000,858000,None,None,532000,1755000,839000,15000,1755000,None,159000,1.06,0.89
6,2018-12-31,USD,15114000,13717000,1325000,13789000,-11000,-1248000,2876000,0,-1246000,0,10137000,-83000,72000,704000,1235000,None,None,None,0,0,0,2000,-1918000,0,-1248000,-1248000,None,USD,54108000,16723000,None,18832000,51386000,2722000,None,None,701000,-377127000,2974000,None,1182000,13075000,10234000,236000,None,-1011000,1355000,34848000,None,-27622000,None,18441000,37873000,2405000,9998000,None,None,701000,30344000,-377127000,None,None,None,None,1355000,305000,38178000,2974000,41152000,None,3707000,None,346108000,54108000,13075000,None,70078878,USD,None,3629000,-1000,None,-59000,-25000,-3808000,2961000,-1248000,634000,660000,667000,915000,None,34000,-683000,-3062000,442000,1000,-3062000,None,699000,0.7181,1.06
7,2018-09-30,USD,11137000,12367000,965000,10172000,-2211000,-3450000,2799000,0,-3422000,0,8926000,-16000,-2195000,642000,1211000,None,None,None,0,0,0,28000,37103000,0,-3450000,34880000,-38330000,USD,51202000,17212000,None,2820000,47867000,2971000,0,1895000,700000,-375879000,2497000,0,1008000,12591000,7707000,237000,None,-954000,1570000,31412000,None,-44221000,33000,14280000,37663000,1721000,7470000,0,0,700000,30344000,-375879000,0,None,None,None,1008000,None,37663000,2497000,40160000,None,3707000,None,345053000,51202000,12591000,None,70038411,USD,None,-1293000,-51000,0,-81000,-203000,-122000,-837000,-3450000,-4065000,-3811000,-490000,852000,0,49000,401000,-879000,1048000,51000,-879000,-31000,-4096000,0.98,0.7181
8,2018-06-30,USD,10917000,12582000,1113000,9804000,-2746000,-4000000,2777000,0,-3924000,0,9155000,32000,-2778000,650000,1178000,None,None,None,0,0,0,76000,-1146000,0,-4000000,-4000000,None,USD,54835000,17701000,None,2332000,48959000,5538000,0,2227000,700000,-410758000,2518000,0,1015000,16687000,8980000,211000,38010000,-928000,1542000,34577000,None,-80620000,33000,13419000,37461000,2139000,8769000,0,0,700000,68795000,-410758000,0,None,None,None,1015000,None,37461000,2518000,39979000,None,3707000,None,344022000,54835000,16687000,None,70038411,USD,None,1155000,-32000,0,-104000,-55000,-122000,-361000,-4000000,-3441000,-3354000,-357000,857000,0,49000,-950000,-1187000,1128000,32000,-1187000,-127000,-3568000,0.9783,0.98
9,2018-03-31,USD,9802000,13295000,1276000,8526000,-6533000,-7684000,2822000,0,-7684000,0,9824000,-1764000,-4769000,649000,1151000,None,None,None,0,0,0,0,-2915000,0,-7684000,-7684000,None,USD,56117000,18185000,None,1992000,47566000,8551000,0,2280000,700000,-406758000,2564000,0,543000,20288000,7465000,216000,37753000,-715000,1531000,35858000,None,-78429000,35000,12354000,37254000,1224000,7249000,0,0,700000,68795000,-406758000,0,None,None,None,543000,283000,37537000,2564000,40101000,None,3707000,None,342822000,56117000,20288000,None,69987229,USD,None,-939000,-91000,0,1231000,1233000,-3686000,362000,-7684000,-3906000,-5048000,309000,863000,0,2000,299000,-867000,2971000,91000,-867000,93000,-3813000,1.03,0.9783
