,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-6976000,None,USD,None,None,None,None,None,None,None,None,32000,-179505000,None,None,123000,None,None,None,None,None,609000,None,None,18373000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-1174000,None,None,-1000000,None,-8000,249000,None,None,-6725000,None,None,None,None,None,None,1262000,0,None,None,None,1.58,
1,2020-03-31,USD,0,7524000,None,None,-7355000,-7585000,4646000,None,-7585000,None,2878000,None,-7524000,None,None,None,-54000,-54000,None,None,None,None,-7000,None,-7585000,-7585000,None,USD,23671000,None,None,None,13013000,10658000,None,None,25000,-172529000,None,None,123000,20451000,8023000,None,3992000,None,781000,22767000,None,10658000,None,None,4990000,None,1739000,None,None,None,None,None,None,None,123000,None,904000,428000,4990000,None,4990000,None,None,None,183162000,None,20451000,None,25000000,USD,0,-1309000,None,None,-1000000,-998000,-8000,-876000,-7585000,-9556000,-8558000,None,169000,None,10000,None,None,1043000,0,None,None,None,0.9625,1.58
2,2019-12-31,USD,0,10688000,None,None,-10646000,-11359000,8721000,None,-11359000,None,1967000,None,-10688000,None,-12000,None,-12000,-12000,None,None,None,None,-659000,None,-11359000,-11359000,None,USD,34108000,None,None,None,16910000,17198000,None,None,25000,-164944000,None,None,123000,30007000,10908000,3992000,3992000,None,950000,33035000,None,17198000,None,None,5988000,None,3048000,None,None,None,None,None,None,None,123000,None,1073000,512000,5988000,None,6002000,None,None,None,182117000,None,30007000,None,22000000,USD,0,-562000,-122000,None,-1000000,2513000,-7000,-1312000,-11359000,-9412000,-11925000,None,42000,None,12147000,None,None,1266000,122000,None,None,None,2.73,0.9625
3,2019-09-30,USD,0,13338000,None,None,-13296000,-13288000,10806000,None,-13288000,None,2532000,None,-13338000,None,-12000,None,53000,53000,None,None,None,None,-3000,None,-13288000,-13288000,None,USD,42767000,None,None,None,17576000,25191000,None,950000,23000,-153585000,None,None,123000,39419000,10488000,2992000,2992000,None,1065000,41579000,None,25191000,None,None,6986000,None,3600000,None,None,None,None,None,None,None,123000,None,1188000,631000,6986000,None,7088000,None,None,None,178753000,None,39419000,None,23000000,USD,-21000,1318000,-21000,None,-1000000,-12000,-8000,2045000,-13288000,-9104000,-9071000,None,42000,None,9627000,None,None,812000,21000,None,None,None,3.94,2.73
4,2019-06-30,USD,0,11335000,None,None,-11296000,-11273000,8589000,None,-11273000,None,2746000,None,-11335000,None,-12000,None,78000,78000,None,None,None,None,-16000,None,-11273000,-11273000,None,USD,53582000,None,None,None,15909000,37673000,None,1260000,23000,-140297000,8000,None,123000,48523000,7684000,1992000,1992000,None,1210000,52249000,None,37673000,None,None,7984000,None,2283000,None,None,None,None,None,None,None,123000,None,1333000,755000,7984000,8000,8225000,None,None,None,177947000,None,48523000,None,21000000,USD,-17000,-318000,-17000,None,-1000000,9611000,-7000,-2048000,-11273000,-3232000,-12826000,None,39000,None,9631000,None,None,774000,17000,None,None,None,4.07,3.94
5,2019-03-31,USD,0,11559000,None,None,-11519000,-11419000,9128000,None,-11419000,None,2431000,None,-11559000,None,-12000,None,151000,151000,None,None,None,None,-11000,None,-11419000,-11419000,None,USD,54813000,None,None,None,16134000,38679000,None,513000,21000,-129024000,16000,None,390000,51755000,6775000,992000,992000,None,1352000,53071000,None,38679000,None,None,8982000,None,2600000,None,None,None,None,None,None,None,390000,None,1742000,874000,8982000,16000,9359000,None,None,None,167682000,None,51755000,None,21000000,USD,-84000,534000,-84000,None,None,6000,-7000,279000,-11419000,-9888000,-9810000,None,40000,None,13000,None,None,756000,84000,None,None,None,7.02,4.07
6,2018-12-31,USD,0,9780000,0,0,-9780000,-9611000,7269000,0,-9611000,0,2511000,None,-9780000,0,0,None,None,None,0,0,0,0,169000,0,-9611000,-9611000,None,USD,65229000,None,None,None,15773000,49456000,None,1514000,21000,-117605000,30000,None,246000,61643000,5763000,None,None,None,514000,64469000,None,49456000,None,None,9980000,None,2138000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000,USD,None,442000,-162000,None,26000,-44000,-156000,-114000,-9611000,-8916000,-8710000,None,34000,None,-136000,None,None,539000,162000,None,None,None,5.45,7.02
7,2018-09-30,USD,0,9705000,0,0,-9705000,-9510000,7316000,0,-9510000,0,2389000,None,-9705000,0,0,None,None,None,0,0,0,0,195000,0,-9510000,-9510000,None,USD,73397000,0,None,2178000,14952000,58445000,0,1500000,21000,-107994000,37000,0,191000,70559000,4938000,None,None,None,469000,72737000,None,58445000,0,None,9977000,0,1779000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000,USD,None,725000,-41000,0,-26000,-43000,-23000,-39000,-9510000,-8294000,-8210000,None,17000,0,0,0,0,597000,41000,None,None,None,10.74,5.45
8,2018-06-30,USD,0,8135000,0,0,-8135000,-8647000,5860000,0,-8647000,0,2275000,None,-8135000,0,0,None,None,None,0,0,0,0,-512000,0,-8647000,-8647000,None,USD,80064000,0,None,911000,12710000,67354000,0,550000,21000,-98484000,6000,0,96000,78853000,2725000,9979000,9979000,None,204000,79764000,None,67354000,0,None,9979000,0,899000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000,USD,None,-1255000,-84000,0,508000,578000,-10000,659000,-8647000,-7529000,-8023000,None,8000,0,0,0,0,1212000,84000,None,None,None,13.03,10.74
9,2018-03-31,USD,0,7973000,0,0,-7973000,-7880000,5931000,0,-7880000,0,2042000,None,-7973000,0,0,None,None,None,0,0,0,0,93000,0,-7880000,-7880000,None,USD,87568000,0,None,962000,12160000,75408000,0,257000,20000,-89837000,377000,0,96000,86382000,7246000,3870000,3870000,None,128000,87344000,None,75408000,0,None,4537000,0,2154000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,21000000,USD,None,529000,-31000,0,-1000000,-1185000,-186000,-43000,-7880000,-8112000,-6896000,None,19000,0,0,0,0,479000,31000,None,None,None,11.02,13.03
10,2017-12-31,USD,0,16588000,0,0,-16588000,-6677000,4761000,0,-21650000,0,6551000,None,-6571000,0,42000,None,None,None,0,0,0,0,-106000,0,-16980000,-17021000,None,USD,96249000,0,None,1539000,13379000,82870000,0,1949000,20000,-81957000,320000,0,89000,94494000,7543000,3870000,3870000,None,127000,96033000,None,82870000,0,None,5516000,0,1724000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000,USD,23474000,427000,23417000,0,-333000,66892000,-375000,-845000,-21650000,69244000,-21065000,None,73000,0,67197000,0,0,1158000,57000,None,None,None,10.06,11.02
11,2017-09-30,USD,0,4362000,0,0,-4362000,-14973000,2949000,0,0,0,4343000,None,-14379000,0,146000,None,None,None,0,0,0,0,-594000,0,-4670000,-4687000,None,USD,36263000,0,None,577000,14484000,21779000,0,2159000,1000,-75280000,726000,0,1678000,33874000,7138000,3066000,3066000,None,134000,34451000,None,-74000000,0,None,6620000,0,1913000,0,0,0,95779000,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000000,USD,3249000,18000,23418000,0,-333000,-566000,-571000,430000,-14973000,-839000,-14228000,None,0,0,0,0,0,361000,56000,None,None,None,nan,10.06
12,2017-06-30,USD,0,-5542000,0,0,5542000,5671000,3458000,0,5671000,0,4458000,None,5542000,0,123000,None,None,None,0,0,0,0,129000,0,5671000,5688000,None,USD,38579000,None,None,350000,12232000,26347000,None,846000,1000,None,509000,None,114000,34713000,4170000,None,None,None,153000,None,None,None,3249000,None,7553000,None,1236000,None,None,None,95761000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000000,USD,None,None,20169000,None,None,2000,None,None,None,None,None,None,None,None,None,None,None,None,56000,None,None,None,nan,nan
13,2017-03-31,USD,0,5542000,0,0,-5542000,-5671000,4351000,0,-5671000,0,5525000,None,-5542000,0,132000,None,None,None,0,0,0,0,-129000,0,-5671000,-5688000,None,USD,None,None,None,None,None,-59277000,None,None,None,None,None,None,None,None,None,9585000,9585000,None,None,None,None,-59277000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000000,USD,9350000,-96000,9299000,None,-333000,2000,-571000,-755000,-5671000,3004000,-6297000,None,17000,None,2000,None,None,208000,51000,None,None,None,nan,nan
