,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,59456000,26272000,27134000,32322000,6151000,2440000,None,None,3412000,-24000,16225000,101000,6050000,10033000,2739000,996000,68000,-2671000,None,14000,None,1020000,19000,None,2392000,2440000,None,USD,575851000,None,None,13591000,404163000,170884000,5497000,10065000,548000,15342000,94765000,None,10191000,46007000,66692000,9059000,9059000,-5434000,381651000,95777000,None,170884000,134000,27989000,163589000,8056000,136836000,None,None,548000,None,15342000,-1812000,None,98423000,None,480074000,89182000,163589000,79117000,248203000,None,None,None,162240000,575851000,46141000,-1055336000,53823000,USD,-315000,0,-8207000,3057000,-1138000,-5834000,None,11303000,2416000,10569000,24610000,10328000,10327000,-4820000,124000,None,None,1539000,10949000,None,None,10569000,2.79,
1,2020-03-31,USD,58266000,25320000,27114000,31152000,6288000,2387000,None,None,3329000,828000,15394000,456000,5832000,9840000,2959000,960000,75000,-2884000,None,86000,None,978000,295000,None,2351000,2387000,None,USD,554635000,None,None,92929000,385774000,168033000,None,2902000,546000,12902000,85156000,None,10307000,35438000,56850000,7931000,7931000,-5312000,380344000,83590000,None,168033000,134000,38045000,165561000,7745000,50567000,None,None,546000,None,12902000,-1812000,None,10307000,None,380344000,81109000,165561000,158813000,324374000,None,None,None,161709000,554635000,35572000,None,53561000,USD,-316000,0,-11538000,-3759000,-3240000,-3679000,-439000,9873000,2369000,7145000,22362000,9034000,10190000,None,None,None,None,769000,7463000,None,None,7145000,1.74,2.79
2,2019-12-31,USD,58262000,24418000,26847000,31415000,7074000,2644000,None,None,4164000,-17000,14512000,77000,6997000,9851000,2910000,1537000,94000,-2816000,None,55000,None,1554000,-72000,None,2610000,2644000,None,USD,557245000,None,None,90608000,383736000,172663000,4403000,2795000,541000,15367000,82923000,None,12598000,28293000,54570000,8906000,8906000,-3277000,382358000,81298000,None,172663000,134000,46952000,167476000,8900000,42869000,None,None,541000,None,15367000,-1812000,None,12598000,None,382358000,81562000,167476000,157287000,329166000,None,None,None,161844000,557245000,28427000,None,53085000,USD,-396000,0,-13542000,62000,-1137000,-1037000,-5000,3759000,2627000,1616000,16195000,788000,10155000,None,105000,None,None,2560000,13208000,None,None,1616000,1.77,1.74
3,2019-09-30,USD,59128000,53163000,26785000,32343000,16194000,2022000,None,None,3083000,863000,16832000,313000,5965000,9546000,2997000,1084000,121000,-2876000,None,198000,None,1084000,-6000,None,1999000,2022000,None,USD,546245000,None,None,2629000,376384000,168998000,None,5319000,540000,12723000,74073000,None,12354000,25046000,52408000,5674000,5674000,-3384000,459266000,74625000,None,168998000,134000,25955000,171541000,9185000,15392000,None,None,540000,None,12723000,-1812000,None,12354000,None,471620000,80988000,171541000,10004000,323976000,None,None,None,160931000,546245000,25180000,None,54000000,USD,-10363000,0,-10363000,1134000,-1135000,-2798000,-6195000,1401000,2022000,1126000,14287000,828000,10114000,None,-1663000,None,None,510000,9990000,None,None,1126000,1.72,1.77
4,2019-06-30,USD,57395000,27823000,26356000,31039000,3158000,35000,None,None,62000,-19000,18718000,-58000,3216000,9200000,3096000,46000,95000,-3001000,None,-95000,None,65000,-58000,None,-3000,35000,None,USD,539459000,None,None,91132000,369655000,168918000,2348000,2517000,540000,10701000,69163000,None,15675000,25551000,49056000,4546000,4546000,-2772000,376472000,66814000,40000,168918000,134000,37754000,173499000,7984000,41993000,None,None,540000,None,10701000,-205000,None,15283000,432000,376904000,80454000,173499000,144752000,320599000,None,None,None,160654000,539459000,25685000,-1029094000,53774000,USD,-254000,0,-11534000,589000,-34000,-250000,-173000,3128000,16000,1074000,12858000,2578000,9503000,None,-43000,None,None,761000,11869000,None,None,1074000,1.71,1.72
5,2019-03-31,USD,56909000,25333000,25627000,31282000,3347000,227000,None,None,291000,-34000,16656000,-2602000,5949000,8679000,3056000,98000,-2981000,-2981000,None,-2000,None,132000,-2675000,None,159000,227000,None,USD,541965000,None,None,93908000,371900000,169160000,2336000,2503000,536000,10666000,69805000,None,15939000,24477000,49076000,3418000,3418000,-2746000,373486000,71085000,218000,169160000,134000,41598000,171640000,8362000,43155000,None,None,536000,None,10666000,None,None,15483000,None,373486000,81165000,174357000,146131000,322824000,None,None,None,160704000,541965000,24611000,-1021664000,53610,USD,-355000,0,-10039000,-1121000,5583000,4056000,-1527000,4044000,193000,9492000,15475000,3483000,8982000,None,None,None,None,2817000,8563000,None,None,9492000,1.92,1.71
6,2018-12-31,USD,58689000,25890000,27914000,30775000,4911000,1720000,0,0,1673000,-40000,17249000,26000,4885000,8572000,3238000,664000,None,None,703000,69000,0,-31000,-3225000,0,1704000,1720000,None,USD,455185000,None,None,12169000,285435000,168811000,None,16881000,533000,10439000,70142000,None,16050000,14985000,47270000,2289000,2289000,-2675000,373180000,65497000,458000,168811000,134000,31472000,168023000,6737000,115123000,None,None,533000,None,10439000,None,None,16010000,498000,389688000,None,168023000,None,168023000,None,None,None,160514000,455185000,15119000,-1017442000,53268000,USD,-545000,-692000,-11486000,1584000,-1866000,-1771000,-5000,-515000,1712000,-3941000,9316000,-4613000,11900000,None,100000,None,None,1009000,12525000,None,None,-3941000,1.44,1.92
7,2018-09-30,USD,58229000,25246000,27220000,31009000,5865000,1817000,0,0,2579000,-12000,16879000,102000,5763000,8352000,3286000,None,None,None,0,15000,0,786000,-3212000,0,1793000,1817000,None,USD,449969000,0,None,6940000,281931000,167091000,0,16863000,532000,8719000,67342000,0,19464000,18926000,49586000,6844000,6844000,-2032000,368570000,61249000,686000,167091000,134000,48718000,165003000,6681000,44975000,168038000,159872000,532000,0,8719000,0,None,None,None,368570000,None,165003000,65109000,230112000,None,None,None,159872000,449969000,19060000,None,53184000,USD,-565000,-1000,-9094000,-178000,-8658000,-8658000,-3881000,12402000,1805000,6769000,24521000,12402000,7618000,0,111000,0,0,2697000,8351000,None,None,6769000,1.64,1.44
8,2018-06-30,USD,59578000,24748000,26542000,33036000,8221000,3442000,0,0,4820000,-40000,16507000,-67000,8288000,8197000,3401000,None,None,None,0,44000,0,1458000,-3512000,0,3362000,3442000,None,USD,452464000,0,None,5443000,286818000,164687000,1972000,16686000,532000,6902000,66228000,0,19334000,12157000,47259000,6841000,6841000,-1977000,367905000,64420000,805000,164687000,1769000,39815000,173331000,7005000,40418000,165646000,159230000,532000,0,6902000,0,None,18828000,1311000,388044000,None,173331000,64256000,239559000,None,None,None,159230000,452464000,12157000,-1005431000,53184000,USD,-471000,-36000,-9232000,-360000,-4699000,-4588000,-3881000,-4409000,3402000,-4883000,8937000,-4409000,7547000,0,111000,0,0,2433000,8401000,None,None,-4883000,1.77,1.64
9,2018-03-31,USD,55972000,24796000,25833000,30139000,5461000,2101000,0,0,1957000,-32000,16012000,118000,5343000,8787000,3504000,None,None,None,0,-3000,0,-80000,-3383000,0,2037000,2101000,None,USD,446552000,0,None,13286000,284857000,160696000,1479000,14312000,531000,3460000,62044000,0,13188000,17040000,55157000,16882000,16882000,-2090000,366478000,66091000,795000,160696000,11814000,32392000,167656000,5681000,38275000,161695000,158795000,531000,0,3460000,0,None,11675000,None,378153000,None,167656000,60565000,229700000,None,None,None,158795000,446552000,17040000,None,52526,USD,-420000,0,-10372000,-1272000,-1807000,-2177000,-410000,2402000,2069000,872000,13421000,2402000,8196000,0,40000,0,0,754000,8680000,None,None,872000,1.8,1.77
