,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1444600000,2669900000,144900000,1299700000,-1328500000,-1068100000,221100000,None,-1352100000,None,317200000,41700000,-1370200000,73700000,23600000,-284000000,None,-23600000,None,2057900000,None,-284000000,-2032000000,None,-1068100000,-1068100000,None,USD,16703200000,2059700000,None,566200000,6212400000,10490800000,1946800000,131700000,10490800000,4129300000,2446000000,5075200000,2794100000,2825000000,1120100000,126800000,126800000,-110900000,1196400000,5367900000,None,3355900000,26800000,1372200000,2311600000,577700000,861600000,None,None,None,None,4129300000,-2470000000,None,671600000,None,2332400000,169400000,2311600000,833900000,5092300000,None,None,None,8942400000,16703200000,2851800000,None,None,USD,20700000,-20300000,14500000,-600000,-32700000,-292500000,-16200000,18100000,-1068100000,512000000,790000000,18100000,89800000,None,-243600000,-52400000,-16700000,1839600000,6200000,-16700000,None,512000000,112.24,
1,2020-03-31,USD,1444800000,637600000,111700000,1333100000,689400000,557600000,200900000,None,663600000,None,325700000,-6100000,695500000,73700000,25800000,106000000,-31000000,-25800000,None,37300000,None,106000000,-49200000,None,557600000,557600000,None,USD,18148500000,4187600000,None,575400000,6400700000,11747800000,2113300000,130400000,None,5197400000,2602300000,5072100000,2655500000,2315000000,1119900000,126700000,126700000,-101500000,1159900000,4870200000,None,2488100000,47800000,1345200000,2343300000,586800000,862800000,None,None,None,None,5197400000,-2213000000,None,635200000,None,2223500000,162800000,2343300000,824200000,5280800000,None,None,None,8864900000,18148500000,2362800000,None,223000000,USD,83900000,-68200000,-766000000,-837700000,-32600000,-138200000,-1300000,-72900000,557600000,-354600000,549600000,-72900000,89300000,None,-104300000,37300000,-120900000,127400000,12200000,-120900000,None,-354600000,89.79,112.24
2,2019-12-31,USD,1384300000,729000000,114300000,1270000000,623700000,889000000,269600000,None,602000000,None,385400000,82700000,541000000,73900000,21700000,-287000000,28000000,-21700000,None,100000,None,-287000000,78200000,None,889000000,889000000,None,USD,17544600000,3344300000,None,456100000,6272800000,11271800000,2081400000,100900000,None,4639800000,2424600000,5037400000,2719200000,2685500000,1194300000,126700000,126700000,-66800000,1163300000,5076400000,None,2890100000,64000000,1243200000,2375000000,627600000,966700000,None,None,None,None,4639800000,-2105900000,None,633000000,None,2290200000,164100000,2375000000,622100000,5078500000,None,None,None,8804700000,17544600000,2749500000,None,225000000,USD,86400000,23600000,56300000,-100000,-32600000,-59700000,-1300000,11200000,889000000,513700000,517100000,-20800000,90600000,None,-25800000,-51000000,-120100000,-294200000,30000000,-120100000,6900000,520600000,108.15,89.79
3,2019-09-30,USD,1263100000,637900000,95200000,1167900000,553400000,467600000,232900000,None,535500000,None,329100000,23400000,530000000,75600000,17900000,67900000,5100000,-17900000,None,300000,None,67900000,-6700000,None,467600000,467600000,None,USD,14815000000,3410100000,None,432500000,4447800000,10367200000,314700000,96400000,None,3750800000,653200000,5037400000,671400000,2171300000,1091200000,126600000,126600000,-48200000,1148000000,4341200000,None,1919700000,44400000,1116300000,2406700000,576700000,868200000,None,None,None,None,3750800000,-2073400000,None,878300000,None,10473800000,166800000,2406700000,635200000,3356600000,None,None,None,8738000000,14815000000,2215700000,None,225000000,USD,41600000,183500000,-8500000,-8200000,-32700000,-365900000,-1300000,84600000,467600000,225100000,599500000,-15400000,92500000,None,-331900000,-81900000,-2700000,-44100000,41900000,-2700000,-6800000,218300000,97.94,108.15
4,2019-06-30,USD,1203300000,571500000,99200000,1104100000,517800000,459800000,187600000,None,499500000,None,305400000,-14800000,532600000,80100000,18300000,39700000,-33200000,-18300000,None,-1600000,None,39700000,-19300000,None,459800000,459800000,None,USD,14567700000,3487600000,None,460700000,4404200000,10163500000,341200000,176200000,None,3283200000,641200000,5037400000,541200000,1984200000,1031500000,126600000,126600000,-57900000,1123500000,4168500000,None,1638500000,105400000,1123600000,2438300000,494600000,728700000,None,None,None,None,3283200000,-1738800000,None,750700000,None,10399200000,165500000,2438300000,593200000,3372700000,None,None,None,8677000000,14567700000,2089600000,None,226000000,USD,5800000,31800000,-41000000,52700000,-32700000,-61100000,-1100000,-68200000,459800000,436300000,538400000,-68200000,96500000,None,-27300000,-12800000,-101100000,132400000,46800000,-101100000,2100000,438400000,130.98,97.94
5,2019-03-31,USD,1140400000,537800000,85800000,1054600000,561700000,587900000,195900000,None,541800000,None,252800000,44900000,516800000,80000000,19900000,-46100000,22600000,-19900000,None,9100000,None,-46100000,64500000,None,587900000,587900000,None,USD,13999600000,3560800000,None,497000000,4293000000,9706600000,306100000,147500000,None,2823400000,620500000,5037400000,462300000,1544800000,943800000,126500000,126500000,-20500000,1095700000,3650600000,None,1108400000,110300000,1016300000,2470000000,482200000,669800000,None,None,None,None,2823400000,-1701200000,None,655100000,None,10349000000,150800000,2470000000,573100000,3349200000,None,None,None,8604900000,13999600000,1655100000,None,226000000,USD,46700000,-8200000,2900000,-7800000,-250000000,-252400000,-1300000,-58600000,587900000,180400000,429900000,-58600000,97200000,None,-1100000,-11200000,-95300000,-81900000,36000000,-95300000,-1400000,179000000,135.18,130.98
6,2018-12-31,USD,1128800000,988300000,96800000,1032000000,-8400000,-45000000,205600000,0,-32900000,0,324300000,-52100000,43700000,80000000,24500000,None,None,None,109600000,378400000,0,12100000,-462000000,0,-45000000,-45000000,None,USD,13931900000,3641300000,None,426400000,4766600000,9165300000,391100000,132000000,9165300000,2325800000,712600000,5037400000,396700000,1365500000,1174000000,343800000,94600000,-9700000,1471500000,3385000000,None,486600000,198300000,922300000,2862700000,472500000,698200000,None,None,None,None,2325800000,-1689900000,None,396700000,None,10546900000,None,2862700000,338800000,3592600000,None,None,None,8539100000,13931900000,1563800000,None,225000000,USD,95400000,112200000,52200000,-800000,7600000,3100000,-10400000,-70500000,-45000000,138700000,83400000,-70500000,98400000,None,5900000,-41400000,-11400000,41100000,42400000,-11400000,-600000,138100000,97.36,135.18
7,2018-09-30,USD,1026500000,577300000,90600000,935900000,366700000,330900000,174800000,0,342100000,0,312200000,8100000,358600000,80000000,24600000,None,None,None,0,10300000,0,11200000,-88200000,0,330900000,330900000,None,USD,13843600000,3713600000,None,370400000,4673900000,9169700000,442800000,124200000,0,2370900000,752000000,5037400000,386700000,1228900000,1027400000,311200000,61200000,6900000,1443400000,3248400000,14100000,418700000,306200000,910200000,2894500000,432700000,592000000,0,0,0,0,2370900000,-1689900000,None,400800000,None,10595200000,None,2894500000,309200000,3646500000,None,None,None,8481800000,13843600000,1535100000,None,225000000,USD,144900000,-36700000,104700000,1000000,-250000000,11000000,-5800000,-29400000,330900000,502800000,387100000,-29400000,104900000,0,16800000,30800000,-60400000,47000000,41200000,-60400000,-4500000,498300000,139.01,97.36
8,2018-06-30,USD,1045000000,1349800000,95300000,949700000,-393600000,-457400000,173400000,0,-418600000,0,282000000,6500000,-400100000,80100000,25000000,None,None,None,0,814300000,0,38800000,-844500000,0,-457400000,-457400000,None,USD,13490400000,3793800000,None,342200000,4723000000,8767400000,464000000,101900000,0,2040000000,752300000,5037400000,378200000,727500000,1044400000,278500000,28500000,-2900000,1422600000,2836100000,22300000,-63800000,449500000,853700000,2926300000,463200000,664000000,0,0,0,0,2040000000,-1689900000,None,400500000,None,10654300000,None,2926300000,288300000,3678600000,None,None,None,8420200000,13490400000,1177000000,None,223000000,USD,630600000,-56900000,568300000,500000,-7600000,7000000,-600000,-23000000,-457400000,231500000,-343800000,-21600000,100500000,0,15200000,-8000000,-94300000,193900000,62800000,-94300000,-6100000,225400000,124.15,139.01
9,2018-03-31,USD,930900000,571900000,91600000,839300000,375700000,249100000,176600000,0,351600000,0,309800000,108300000,267400000,80000000,24100000,None,None,None,0,5500000,0,102500000,17000000,0,249100000,249100000,None,USD,13830200000,3874100000,None,327900000,4717500000,9112700000,442700000,134600000,0,2497400000,303800000,5037400000,9298900000,511800000,942000000,167500000,167500000,-45700000,1379300000,3152000000,15100000,201200000,1079100000,776700000,3029000000,456500000,639900000,0,0,0,0,2497400000,-1689900000,None,387400000,None,10678200000,None,3029000000,303800000,3775500000,None,None,None,8350900000,13830200000,1590900000,None,224000000,USD,-190200000,-73700000,-254700000,2100000,-43800000,-123500000,-4100000,-32700000,249100000,-78900000,299300000,-34100000,101500000,0,-75600000,3900000,-42700000,95300000,66600000,-42700000,None,-78900000,111.46,124.15
