,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,165169000,16184000,136079000,29090000,115532000,7044000,None,None,112859000,73957000,11556000,102626000,12906000,4628000,2673000,31858000,863000,-1810000,None,None,None,31858000,101763000,None,81001000,7044000,None,USD,833217000,94790000,None,11188000,414389000,207023000,13654000,5305000,36000,43001000,13654000,239053000,23233000,152441000,152507000,9500000,9500000,None,31704000,380545000,26817000,84160000,117656000,99260000,230455000,None,137702000,None,None,36000,None,43001000,None,None,92012000,None,452672000,21225000,230455000,17773000,261882000,None,210980000,None,163986000,833217000,270097000,None,36309513,USD,68275000,44729000,68093000,16500000,-35000,-18487000,-35000,-1176000,81001000,71474000,21868000,373000,4978000,-20253000,1801000,None,759000,-102000000,182000,-7213000,None,71474000,16.5,
1,2020-03-31,USD,165105000,16536000,144204000,20901000,7450000,4052000,None,None,4582000,-1065000,11834000,3085000,4365000,4702000,2868000,1595000,929000,-1939000,None,None,None,1595000,2156000,None,2987000,4052000,None,USD,724415000,98840000,None,11886000,369015000,197080000,16332000,4930000,36000,35957000,16332000,238539000,7221000,80892000,106605000,9500000,9500000,197961000,30075000,318063000,30781000,17140000,117100000,108210000,230105000,None,92175000,None,None,36000,None,35957000,None,None,38192000,None,406352000,19194000,230105000,15973000,262410000,None,157439000,None,161087000,724415000,197992000,None,36042761,USD,-674000,987000,-943000,16500000,-2375000,-12061000,-26000,-3506000,2987000,-22297000,-9293000,-5908000,5010000,-9934000,274000,None,-7043000,-3073000,269000,-9296000,None,-22297000,12.92,16.5
2,2019-12-31,USD,178751136,167818226,151879511,178751136,3786978,6727491,None,None,403655,-8006838,11451046,-7145932,10932910,158681557,3383323,1683002,718345,-2664978,None,-2314377,None,1683002,-7864277,None,-1279347,6727491,None,USD,728713347,103011849,None,10390093,367653613,191548949,18269448,63844190,35908,31904748,18269448,238505204,2426793,103189328,105423915,9500000,9500000,None,26377628,329068418,28427455,18756482,116538673,98950324,232172134,None,32079725,None,None,35908,None,31904748,None,None,29700421,None,399644929,14880543,232172134,11788116,262229698,None,168724586,None,159608293,728713347,219728001,None,35908057,USD,-119540357,-2487399,-120266437,-491000,50089923,-10376199,-52640258,-4271811,-1279347,-127054074,3588562,259758,4960689,-1047058,-6778806,None,8808727,1985609,235080,149252,None,-127054074,18.41,12.92
3,2019-09-30,USD,156060224,145994056,131129813,156060224,15249239,3704174,None,None,14421334,7034688,7949814,5183071,10066168,136050242,827905,3682472,508856,-319049,None,1994000,None,3682472,2680215,None,10738862,3704174,None,USD,750244382,114166305,None,10516088,381840344,190733968,30199423,58491540,34823,25177257,31384448,237134772,14879257,230298252,105195228,9500000,9500000,192173964,12427107,321360707,48340105,15662965,1200000,79391887,234149063,None,37203688,None,None,34823,None,25177257,None,None,16815386,None,428883675,14049356,234149063,12296630,276645116,None,176230074,None,165521888,750244382,231498252,None,34822933,USD,-1803918,448240,-10118519,-7884430,199752639,152076144,5319757,13812932,10738862,174060519,32102894,-2671888,4920429,-49728721,2052226,None,1317439,642418,430171,18024833,None,174060519,17.62,18.41
4,2019-06-30,USD,130049566,115320798,101363101,130049566,15184379,3545216,None,None,14873330,7118715,11817555,455611,14728768,103503243,311049,4209399,473664,162615,None,None,None,4209399,-18053,None,10663931,3545216,None,USD,568329965,109069858,None,13659405,162657953,185399565,26651678,42942898,34639,21473083,27836703,209313824,19591788,52726305,78337729,None,None,186089500,12101373,167625710,53403041,86598395,1100000,100090172,44600000,None,30658273,None,None,34639,None,21473083,None,None,16816159,None,400704255,14821272,45066770,44600000,84320224,None,219582512,None,163891843,568329965,53826305,None,34638812,USD,-8343000,-25799506,-50133887,-41518084,31574661,31441201,-941588,-1325130,10663931,-36744005,-18051319,-1789523,4454571,-941588,808128,None,100656,125359,272803,-5706151,None,-36744005,16.71,17.62
5,2019-03-31,USD,95757171,99065029,83432470,95757171,-3647391,139664,None,None,-3858370,-2589793,10263960,-339533,-3307858,87850055,210979,-1408240,-737630,112029,None,951014,None,-1408241,-662541,None,-2450129,139664,None,USD,520858996,83056658,None,7984419,126047836,180968222,16992790,27914456,34504,17927867,18177815,185805880,2291570,93007780,88400766,2461924,2461924,None,12332342,176912063,51527323,124540074,1143006,74776858,13000000,None,60486310,None,None,34504,None,17927867,None,None,11224730,None,343946933,9032920,13492110,20654280,37647070,None,212434390,None,163005851,520858996,94150786,None,34503704,USD,-8177,13959452,-111793,-8180,-65408,-9810434,-10000000,-29725080,-2450129,-13888981,-3966754,-1139808,4417581,-10000000,254974,None,486981,-485067,103616,-18268783,None,-13888981,18.32,16.71
6,2018-12-31,USD,105456069,103452467,79410425,105456069,-2733633,-3095952,0,0,-2920146,1154755,-73556572,-4737235,2003602,169322526,186513,-978950,None,None,0,7686513,0,-978949,-9522614,0,-1941197,-3095952,None,USD,512999049,86875883,None,8388231,106337868,180545832,19615935,35180299,34578,17788203,20800960,185805880,19451432,106891503,72019647,141998,None,None,12721082,172862792,52376980,132981098,1127102,56455956,13000000,None,36697350,None,None,34578,None,17788203,None,None,2356432,None,340136257,517261,517261,14185025,34318221,None,225117029,None,162723051,512999049,108018605,None,34578040,USD,-4632311,-9433285,-4934643,-4599999,-144609,-5802630,200000,-955589,-1941197,-17106114,-6368841,-7193585,4483552,-1033009,-4625012,None,38103676,-2024894,302332,9740568,None,-17106114,19.85,18.32
7,2018-09-30,USD,167280410,110703306,96828245,167280410,53389700,9106397,0,0,53211382,29519043,9032024,-3187404,56577104,101671282,178318,None,None,None,0,0,0,14585942,-3365722,0,38625440,9106397,None,USD,551898869,90762980,None,11827893,141624943,179943785,34651670,41939832,33025,17100065,35836695,189604746,14586749,119779499,92245266,260888,None,None,12909206,202833453,36622895,124723316,1141890,70084171,13000000,0,50044546,0,0,33025,0,17100065,0,None,19165589,None,349065416,542982,13542982,1185025,49379677,None,225147257,None,162810695,551898869,120921389,None,33025189,USD,202329,-2568948,17309,207410,-142887,-3642169,-200,-31095788,38625440,14824628,18449488,2252124,4843037,-4725799,1226517,0,-35542356,10840191,185020,-35542356,None,14824628,22.07,19.85
8,2018-06-30,USD,123004546,115854799,99464892,123004546,9500083,2664102,0,0,9389400,5201491,11471829,2350336,7149747,104382970,110683,None,None,None,0,0,0,1523807,2239653,0,7865593,2664102,None,USD,510977108,94927036,None,15957922,140247633,169621944,27758780,73251912,32841,7561556,37561015,189604746,19761016,101132237,89118106,378245,13946757,None,13297168,152762941,41045361,81004481,1130967,34541815,13000000,0,15487949,0,0,32841,0,7561556,0,None,19339856,None,358214167,568512,13568512,9802235,51129527,None,195914319,None,162027547,510977108,102263204,None,32841170,USD,-19173840,-6494741,-19776431,-405000,7858642,-1490313,2027500,-14569133,7865593,-12586711,8680033,-12311642,4918078,-10000000,651045,0,18263308,-3560563,197591,18263308,None,-12586711,25.86,22.07
9,2018-03-31,USD,124166727,101465018,84670608,124166727,23031496,2160455,0,0,22946495,13557200,96406506,329787,22701709,5058512,85001,None,None,None,0,0,0,7228840,244786,0,15717655,2160455,None,USD,521593913,99138657,None,22940027,160451458,165666297,0,85397300,32653,4897454,49240844,188933191,17331143,103731761,110616762,5494263,6088115,None,13700034,180615388,36875500,68248761,1138477,52805123,594000,0,19725199,0,0,32653,0,4897454,0,None,2331143,None,340978525,None,None,49834696,49834696,None,190654312,None,160736190,521593913,104870238,None,32652295,USD,-3932,8385319,-489053,-2500000,-165015,-241231,27500,-1919507,15717655,4005075,4735359,-7058015,5058512,-2000000,1923784,0,-21087819,3719707,485121,-21087819,None,4005075,15.95,25.86
