,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,21213000,8257000,16173000,5040000,-3387000,-3417000,2499000,None,-3229000,None,5637000,-170000,-3217000,-21092000,-158000,188000,158000,158000,None,None,None,188000,-170000,None,-3417000,-3417000,None,USD,109670000,3429000,None,8598000,40251000,69419000,None,15168000,234000,-982052000,7927000,1719000,7501000,21217000,29433000,None,None,-219000,8331000,80356000,5070000,65990000,30260000,8203000,None,17061000,14531000,None,None,234000,None,-982052000,-3043000,None,5921000,None,1580000,3335000,None,10552000,10552000,None,None,None,1054499000,109670000,51477000,None,None,USD,-509000,-7974000,-509000,128000,None,-376000,-376000,-496000,-3417000,-4000000,-3115000,-4390000,866000,None,-376000,1132000,8783000,1885000,637000,8783000,None,-4000000,8.13,
1,2020-03-31,USD,18141000,8673000,-93163000,2518000,-5946000,-5887000,2645000,None,-5721000,None,5943000,209000,-6155000,45782000,-225000,166000,226000,226000,None,None,None,166000,208000,None,-5887000,-5887000,None,USD,124109000,3550000,None,8037000,51890000,72219000,180000,18869000,229000,-978635000,7930000,1719000,7593000,30864000,40960000,None,None,-216000,8565000,94277000,5046000,68669000,30149000,18538000,None,18975000,22091000,None,None,229000,None,-978635000,-2666000,None,385000,None,17546000,3439000,None,10750000,10930000,None,None,None,1053507000,124109000,61013000,None,22604410,USD,-1733000,3246000,-1733000,-1029000,None,102000,-565000,705000,-5887000,-349000,1282000,3841000,688000,None,102000,-1175000,-498000,1067000,704000,-498000,None,-349000,5.48,8.13
2,2019-12-31,USD,17915000,8205000,16329000,1586000,-6995000,-6845000,2049000,None,-6733000,None,6071000,-376000,-6619000,-17830000,-262000,112000,818000,262000,None,None,None,112000,-376000,None,-6845000,-6845000,None,USD,123491000,2635000,None,16386000,46303000,77188000,None,26707000,228000,-972748000,8140000,1719000,7488000,25481000,35035000,None,None,-247000,8840000,89267000,10047000,75469000,25000000,16491000,None,18591000,19596000,None,None,228000,None,-972748000,-2666000,None,9610000,None,1373000,3564000,None,42000,11268000,None,None,None,1052621000,123491000,50481000,None,21000000,USD,-25000000,-151000,-26219000,-29000,None,6079000,-60000,1478000,-6845000,-27434000,-7294000,8419000,1162000,None,6139000,-3379000,-6417000,-83000,1190000,-6417000,None,-27434000,7.85,5.48
3,2019-09-30,USD,14012000,7883000,10248000,3764000,-1454000,-825000,2398000,None,-1119000,None,5400000,2665000,-4119000,-13927000,-335000,-294000,1480000,335000,None,None,None,-294000,2665000,None,-825000,-825000,None,USD,117443000,2720000,None,10362000,40757000,76686000,1757000,8769000,218000,-965903000,9468000,1719000,7352000,58565000,28049000,556000,None,-856000,8610000,83435000,10000000,73966000,None,11364000,None,15497000,18768000,None,None,218000,None,-965903000,-2606000,None,325000,None,21655000,3664000,None,10907000,12664000,None,None,None,1045833000,117443000,58565000,None,21000000,USD,-10000000,2980000,-10928000,-28000,None,-122000,-222000,-808000,-825000,-15669000,-4619000,-3190000,1113000,None,100000,-3697000,630000,-1630000,900000,630000,None,-15669000,7.84,7.85
4,2019-06-30,USD,13770000,7813000,12193000,1577000,-3833000,-3539000,2473000,None,-3328000,None,5255000,2403000,-6236000,-13685000,-505000,211000,3451000,505000,None,None,None,211000,2403000,None,-3539000,-3539000,None,USD,120150000,2805000,None,4102000,41737000,78413000,1703000,22462000,218000,-965078000,9637000,1719000,2432000,73952000,28743000,1702000,None,413000,8747000,100714000,None,73889000,None,11042000,None,11924000,15819000,None,None,218000,None,-965078000,-2384000,None,4448000,None,1411000,3773000,None,51000,1754000,None,None,None,1045244000,120150000,73952000,None,21000000,USD,2259000,-181000,2259000,3095000,None,-283000,-283000,-1002000,-3539000,-3890000,-5866000,2091000,1037000,None,None,108000,-2874000,-2508000,836000,-2874000,None,-3890000,9.28,7.84
5,2019-03-31,USD,14589000,19932000,11826000,2763000,-4189000,-8353000,2301000,None,-6521000,None,5720000,-527000,-6343000,-56122000,-348000,132000,-719000,348000,-1700000,1000000,None,1832000,-1526000,None,-8353000,-8353000,None,USD,119330000,2890000,None,3053000,38137000,81193000,None,7557000,216000,-961539000,9753000,1719000,2351000,77483000,28384000,4942000,None,-5000,8972000,103398000,None,76584000,None,11022000,None,12119000,17676000,None,None,216000,None,-961539000,-2101000,None,715000,None,1357000,None,None,7962000,7962000,None,None,None,1044622000,119330000,77483000,None,21000000,USD,2819000,-1764000,2169000,3121000,None,-299000,-456000,1015000,26761000,43949000,42714000,2328000,4609000,None,157000,1687000,195000,-263000,952000,195000,None,-1375000,12.86,9.28
6,2018-12-31,USD,14134000,-17029000,10398000,3736000,18541000,17293000,2470000,None,18877000,None,5347000,-2224000,20765000,85000,-336000,1584000,None,None,None,-24931000,None,1584000,23043000,None,17293000,17293000,None,USD,128504000,2975000,None,4091000,39825000,88679000,110000,9929000,217000,-953187000,8340000,1719000,4808000,80042000,31485000,3875000,None,-65000,9808000,109194000,2832000,83985000,None,11055000,None,14006000,17681000,None,None,217000,None,-953187000,-2101000,None,573000,None,1438000,None,None,8230000,8340000,None,None,None,1043815000,128504000,80042000,None,21000000,USD,127000,2669000,-239000,-75000,None,-60000,-60000,-808000,17293000,23874000,24191000,-576000,1148000,None,71000,2042000,-445000,2292000,291000,-445000,-18000,23874000,11.15,12.86
7,2018-09-30,USD,14876000,-21103000,11252000,3624000,25334000,22558000,2264000,None,25566000,None,5175000,607000,24727000,85000,-232000,None,None,None,None,-28627000,None,3008000,29466000,None,22558000,22558000,None,USD,105505000,3060000,None,3339000,34859000,70646000,110000,10057000,216000,-970479000,8099000,1719000,3779000,56169000,26760000,1399000,None,-11000,10582000,86365000,2776000,65867000,0,10622000,0,16235000,15304000,0,0,216000,0,-970479000,-2042000,None,497000,None,506000,None,None,7989000,8099000,None,None,None,1042962000,105505000,56169000,None,21000000,USD,None,2091000,-245000,58000,None,-87000,-158000,-240000,22558000,30149000,30481000,-1499000,1101000,0,71000,1737000,3913000,566000,303000,3913000,-730000,29419000,6.95,11.15
8,2018-06-30,USD,12607000,9021000,8714000,3893000,-4983000,-4737000,2840000,None,-4782000,None,5786000,145000,-5128000,85000,-201000,None,None,None,None,310000,None,-45000,36000,None,-4737000,-4737000,None,USD,84446000,3145000,None,4709000,36506000,47940000,110000,11433000,214000,-993037000,8248000,1719000,3684000,26750000,28258000,1681000,None,667000,11554000,64344000,2720000,43076000,0,14532000,0,18353000,15144000,0,0,214000,0,-993037000,-1884000,None,448000,None,516000,None,None,8138000,8248000,None,None,None,1041980000,84446000,26750000,None,20000000,USD,None,75000,-166000,-51000,None,-238000,-238000,-332000,-4737000,-7290000,-6886000,334000,1094000,0,17000000,-459000,-4192000,999000,115000,-4192000,-44000,-7334000,7.0,6.95
9,2018-03-31,USD,13498000,8773000,10505000,2993000,-6705000,-5995000,2903000,0,-6651000,0,5586000,-897000,-5808000,1612000,-54000,None,None,None,0,-2722000,0,-656000,-1843000,0,-5995000,-5995000,None,USD,88175000,3230000,None,2947000,35946000,52229000,8564000,13483000,211000,-988333000,8621000,1719000,3537000,34084000,27325000,1217000,1217000,883000,12513000,67176000,2559000,47280000,0,10365000,0,19780000,12625000,0,0,211000,0,-988333000,-1645000,None,436000,None,542000,None,None,57000,8621000,None,None,None,1041113000,88175000,34084000,None,19000000,USD,216000,-4620000,16658000,16851000,-1575000,90000,-274000,-89000,-5994000,12155000,-4593000,591000,2220000,0,90000,-2603000,4721000,1107000,409000,4721000,-184000,11971000,5.82,7.0
10,2017-12-31,USD,14933000,8895000,9917000,5016000,-3731000,-4248000,3023000,0,-3682000,0,5786000,120000,-3851000,85000,-49000,None,None,None,0,1000,0,566000,-104000,0,-4248000,-4248000,None,USD,96771000,3315000,None,2822000,39426000,57345000,8550000,14194000,211000,-982339000,8479000,1719000,5971000,22113000,30822000,1142000,1142000,770000,36684000,54116000,None,52311000,0,12052000,0,17129000,15486000,0,0,211000,0,-982339000,-1645000,None,392000,None,545000,None,None,54000,8604000,None,None,None,1040348000,96771000,22113000,None,20000000,USD,216000,-689000,-1540000,102000,None,15188000,None,562000,-4249000,-8235000,-6695000,435000,1557000,0,17000000,-1174000,-3700000,1076000,1642000,-3700000,28000,-8207000,3.63,5.82
11,2017-09-30,USD,11049000,8077000,10777000,272000,-7506000,-7281000,2951000,0,-7452000,0,5138000,299000,-7805000,33000,-54000,None,None,None,0,-12000,0,-171000,0,0,-7281000,-7281000,None,USD,100548000,3496000,None,3323000,39896000,60652000,8450000,16069000,211000,-978090000,8462000,1711000,6291000,30320000,31309000,1224000,1224000,718000,36438000,57819000,None,55445000,0,8193000,0,15983000,14016000,0,0,211000,0,-978090000,-1645000,None,546000,None,538000,None,None,137000,8587000,None,None,None,1039458000,100548000,30320000,None,19000000,USD,951000,-2431000,673000,129000,None,83000,-2000,358000,-7281000,-7353000,-8109000,-912000,3337000,0,85000,-365000,124000,-262000,407000,-195000,196000,-7157000,4.54,3.63
12,2017-06-30,USD,8923000,10207000,13409000,-4486000,-15142000,-15252000,2717000,0,-15152000,0,6138000,-449000,-14693000,13000,10000,None,None,None,0,1339000,0,100000,0,0,-15252000,-15252000,None,USD,104603000,192000,None,3303000,41286000,63317000,8374000,17685000,193000,-970809000,8458000,0,1050000,37577000,32703000,998000,998000,317000,39282000,64271000,None,63125000,100000,7752000,0,15639000,14020000,0,0,193000,0,-970809000,-1645000,None,432000,None,426000,None,None,209000,8583000,None,None,None,1035261000,104603000,37577000,None,17000000,USD,951000,2896000,606000,682000,-1575000,15105000,16680000,-273000,-15252000,10281000,-5430000,-273000,4364000,0,17000000,1719000,319000,797000,76000,319000,412000,10693000,4.62,4.54
13,2017-03-31,USD,16195000,9824000,13359000,2836000,-6767000,-6925000,3736000,0,-6819000,0,6048000,221000,-6988000,40000,52000,None,None,None,0,188000,0,106000,1311000,0,-6925000,-6925000,None,USD,100244000,301000,None,2703000,40018000,60226000,7756000,14323000,147000,-955557000,7676000,0,1106000,27579000,32217000,3404000,1481000,-503000,43438000,55700000,None,59925000,795000,7956000,0,17462000,14490000,0,0,147000,0,-955557000,-1371000,None,398000,None,407000,None,None,45000,7801000,None,None,None,1017510000,100244000,27579000,None,14000000,USD,325000,-6079000,-165000,-66000,-3167000,2527000,2527000,2729000,-6925000,1682000,-680000,446000,1942000,0,0,1479000,11143000,501000,99000,7930000,39000,1721000,6.86,4.62
14,2016-12-31,USD,27148000,9101000,22107000,5041000,-2761000,-2768000,2985000,0,-2850000,0,6077000,1299000,-4060000,39000,89000,None,None,None,0,1339000,0,-82000,0,0,-2768000,-2768000,None,USD,110241000,436000,None,3097000,46448000,63793000,8037000,15997000,143000,-948632000,8021000,0,867000,25858000,38364000,4013000,4013000,-712000,45114000,64260000,None,63357000,795000,15863000,0,19442000,18354000,0,0,143000,0,-948632000,-1371000,None,316000,115000,45981000,None,None,47000,8084000,None,None,None,1014365000,110241000,25858000,None,14000000,USD,325000,-449000,725000,598000,-1167000,-1167000,-274000,-560000,-2768000,-65000,377000,-560000,1900000,0,22300000,6402000,3213000,-246000,198000,-3905000,-134000,-199000,7.37,6.86
15,2016-09-30,USD,18507000,9253000,16404000,2103000,-6424000,-7325000,2867000,0,-6531000,0,6347000,726000,-7150000,39000,107000,None,None,None,0,0,0,794000,0,0,-7325000,-7325000,None,USD,115753000,571000,None,2847000,49050000,66703000,8325000,17341000,143000,-945864000,8316000,0,1937000,25714000,40671000,4749000,None,119000,46677000,67139000,None,66132000,452000,12130000,0,26448000,18581000,0,0,143000,0,-945864000,-1371000,None,1270000,96000,48614000,None,None,54000,8379000,None,None,None,1013676000,115753000,25714000,None,14000000,USD,None,-1713000,-97000,-19000,-1000000,-1029000,-29000,None,-7325000,-9938000,-8812000,1288000,1906000,0,22300000,2054000,7118000,41000,78000,-5074000,29000,-9949000,7.01,7.37
16,2016-06-30,USD,13345000,10207000,12482000,863000,-9896000,-10355000,2952000,0,-10031000,0,7216000,-552000,-9344000,39000,135000,None,None,None,0,0,0,324000,0,0,-10355000,-10355000,None,USD,126051000,712000,None,4086000,52862000,73189000,8407000,12752000,143000,-938539000,8401000,0,2069000,35611000,44398000,6952000,None,8000,48318000,75664000,None,72477000,441000,7039000,0,28887000,24694000,0,0,143000,0,-938539000,-1341000,None,1263000,94000,50387000,None,None,57000,8464000,None,None,None,1012918000,126051000,35611000,None,14000000,USD,None,1729000,-271000,10000,-1000000,-1461000,-461000,None,-10355000,-3832000,-2100000,1555000,1927000,0,22300000,-10750000,12192000,1642000,281000,12192000,-327000,-4119000,8.44,7.01
17,2016-03-31,USD,27524000,10949000,18283000,9241000,-3032000,-3363000,3379000,0,-3227000,0,7530000,-1324000,-1708000,40000,195000,None,None,None,0,779000,0,136000,-1409000,0,-3363000,-3363000,None,USD,135318000,854000,None,5778000,51769000,83549000,9332000,12000000,141000,-928184000,9332000,0,2199000,39787000,41007000,5851000,2624000,660000,49778000,83341000,None,82695000,457000,19264000,1367000,18512000,23156000,0,0,141000,0,-928184000,-881000,None,1249000,96000,51977000,None,1367000,63000,10762000,None,None,None,1011813000,135318000,39787000,None,13000000,USD,581000,8627000,17000,-151000,-1000000,-1000000,-110000,5608000,-3362000,2257000,3240000,-192000,1991000,0,0,-4070000,-9318000,2408000,413000,-2162000,636000,2893000,7.6,8.44
18,2015-12-31,USD,25772000,9821000,19263000,6509000,-1913000,-2957000,2759000,0,-2151000,0,7023000,1399000,-3312000,39000,238000,None,None,None,0,0,0,806000,0,0,-2957000,-2957000,None,USD,135835000,996000,None,5611000,50806000,85029000,3261000,10676000,141000,-924822000,4051000,0,9860000,36870000,45416000,6174000,None,-425000,51204000,74771000,None,84033000,433000,17052000,1339000,15238000,28566000,0,0,141000,0,-924822000,-881000,None,1098000,7766000,61064000,None,1339000,790000,5390000,None,None,None,1011016000,135835000,36870000,None,14000000,USD,2511000,4263000,5084000,3051000,-1000000,-1000000,None,None,-2958000,4052000,-32000,2621000,2124000,0,0,-190000,7156000,68000,478000,-5960000,-187000,3865000,6.37,7.6
