,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,166699000,-59691000,None,166699000,226390000,23948000,None,None,29391000,None,7533000,None,226390000,-59691000,None,5443000,None,None,None,None,None,5443000,None,None,23948000,23948000,None,USD,1549973000,None,None,None,1087177000,462796000,None,None,206000,250888000,879508000,None,26720000,110281000,12098000,None,None,19178000,6385000,389046000,1108057000,462796000,489089000,278765000,41501000,None,12098000,None,None,206000,None,250888000,-22370000,None,10016000,None,36469000,None,41501000,1033578000,1075079000,None,None,None,214894000,1549973000,110281000,None,19331059,USD,9438000,12431000,9080000,None,-13000,-5280000,-13000,631000,23948000,30758000,26958000,-7685000,2373000,-5267000,None,None,-6114000,-520000,358000,-3589000,None,30758000,61.16,
1,2020-03-31,USD,163457000,-65928000,None,163457000,229385000,10800000,None,None,13241000,None,7012000,None,229385000,-65928000,None,2441000,None,None,None,None,None,2441000,None,None,10800000,10800000,None,USD,1524161000,None,None,None,1087205000,436956000,None,None,205000,232159000,886929000,None,34759000,79523000,6431000,None,None,13695000,6305000,353778000,1109600000,436956000,463157000,274255000,39439000,None,6431000,None,None,205000,None,232159000,-22370000,None,17009000,None,37469000,None,39439000,1041335000,1080774000,None,None,None,213267000,1524161000,79523000,None,19302784,USD,34746000,9428000,25755000,-8770000,-12000,-5257000,-12000,-3351000,10800000,35710000,15212000,13704000,2321000,-5245000,None,None,-11174000,279000,221000,-21320000,None,35710000,64.47,61.16
2,2019-12-31,USD,-164011000,-49013000,40695000,-164011000,-114998000,34014000,None,None,42926000,None,7918000,None,-114998000,-49013000,None,8912000,None,None,None,None,None,8912000,None,None,34014000,34014000,None,USD,1492906000,19048000,None,105643000,1062691000,430215000,None,144093000,205000,227165000,642531000,None,34670000,43813000,3220000,None,None,12211000,6331000,297679000,1134748000,430215000,497694000,253866000,37937000,None,3220000,None,None,205000,None,227165000,-22370000,None,17587000,None,36561000,None,37937000,1021534000,1059471000,None,None,None,213004000,1492906000,43813000,None,19302583,USD,-25540000,-26420000,-26075000,-375000,-12000,-72328000,-12000,-15290000,34014000,-82057000,16346000,-16513000,2397000,-72316000,20000,None,12696000,2545000,160000,20323000,None,-82057000,66.03,64.47
3,2019-09-30,USD,171947000,-64875000,58479000,171947000,236822000,21386000,None,None,26613000,None,6396000,None,236822000,-64875000,None,5227000,None,None,None,None,None,5227000,None,None,21386000,21386000,None,USD,1574539000,20341000,None,113270000,1105810000,468729000,None,156184000,205000,265536000,910446000,None,46232000,125870000,1549000,None,None,12615000,6430000,399385000,1101682000,468729000,461181000,273515000,45216000,None,1549000,None,None,205000,None,265536000,-22370000,None,28221000,None,38821000,536000,45216000,1059045000,1104261000,None,None,None,212743000,1574539000,125870000,None,19300309,USD,58854000,-1934000,56644000,-1500000,-12000,-4929000,-12000,-3083000,21386000,74624000,22909000,-4389000,2272000,-4917000,20000,None,4371000,698000,710000,4876000,None,74624000,66.11,66.03
4,2019-06-30,USD,176567000,-69584000,63525000,176567000,246151000,17890000,None,None,22169000,None,6059000,None,246151000,-69584000,None,4279000,None,None,None,None,None,4279000,None,None,17890000,17890000,None,USD,1571093000,20550000,None,113781000,1121650000,449443000,None,158214000,205000,248975000,915458000,None,40979000,51246000,1325000,None,None,10140000,5957000,329961000,1173145000,449443000,528039000,278715000,44064000,None,1325000,None,None,205000,None,248975000,-22370000,None,22019000,None,40011000,579000,44064000,1076261000,1120325000,None,None,None,212493000,1571093000,51246000,None,19298261,USD,3873000,-1809000,1934000,-1813000,-11000,-4876000,-11000,3830000,17890000,16351000,19293000,-6159000,2344000,-4865000,20000,None,-710000,-587000,126000,7614000,None,16351000,63.77,66.11
5,2019-03-31,USD,185867000,-71381000,64634000,185867000,257248000,19400000,None,None,23809000,None,7847000,None,257248000,-71381000,None,4409000,None,None,None,None,None,4409000,None,None,19400000,19400000,None,USD,1558982000,20433000,None,122099000,1128577000,430405000,None,162686000,205000,235908000,918436000,None,20057000,34895000,7660000,None,None,4962000,6041000,320387000,1172550000,430405000,64708000,285492000,42468000,None,7660000,None,None,205000,None,235908000,-22370000,None,19514000,None,40490000,629000,42468000,1078449000,1120917000,None,None,None,211700000,1558982000,34895000,None,19274980,USD,-19986000,11189000,-20815000,-807000,-12000,-4910000,-12000,1449000,19400000,-5449000,20276000,-1743000,2588000,-4918000,20000,None,-11832000,570000,22000,-11728000,None,-5449000,59.4,63.77
6,2018-12-31,USD,-174717000,-71892000,64186000,-174717000,-102825000,18806000,0,0,22777000,0,7706000,None,-102825000,-71892000,0,None,None,None,0,0,0,3971000,0,0,18806000,18806000,None,USD,1515931000,19734000,None,122203000,1106169000,409762000,None,152708000,205000,221328000,667315000,None,39424000,40344000,3412000,None,None,-832000,6258000,314828000,1135687000,409762000,14231000,274484000,41388000,None,3412000,None,None,205000,None,221328000,-22370000,None,17572000,None,41586000,None,41388000,1061369000,1102757000,None,None,None,211431000,1515931000,40344000,None,19269980,USD,62564000,-16497000,51065000,-11456000,-12000,-71570000,None,6185000,18806000,7020000,27525000,10206000,2621000,-71570000,67000,None,16147000,-1600000,43000,13989000,None,7020000,56.69,59.4
7,2018-09-30,USD,176570000,-69069000,62890000,176570000,245639000,19701000,0,0,24460000,0,6179000,None,245639000,-69069000,0,None,None,None,0,0,0,4759000,0,0,19701000,19701000,None,USD,1586969000,21326000,None,120045000,1127973000,458996000,0,166725000,205000,274206000,908836000,0,36651000,33324000,1558000,None,None,-4201000,6462000,321218000,1201312000,458996000,104896000,287894000,40269000,0,1558000,0,0,205000,0,274206000,-22370000,None,16753000,None,41224000,None,40269000,1086146000,1126415000,None,None,None,211156000,1586969000,33324000,None,19269980,USD,-17244000,564000,-17323000,0,-12000,-4288000,None,-239000,19701000,12148000,33759000,9882000,2695000,-4288000,0,0,11267000,276000,79000,641000,None,12148000,61.95,56.69
8,2018-06-30,USD,186713000,-74450000,67769000,186713000,261163000,16956000,0,0,20930000,0,6681000,None,261163000,-74450000,0,None,None,None,0,0,0,3974000,0,0,16956000,16956000,None,USD,1554281000,21601000,None,109419000,1108890000,445391000,0,167310000,205000,258744000,900730000,0,37304000,21176000,208160000,None,None,-2083000,6644000,311234000,1177498000,445391000,106811000,290058000,39103000,0,40850000,0,0,205000,0,258744000,-22370000,None,17413000,None,41492000,None,39103000,1069787000,1108890000,None,None,None,210895000,1554281000,21176000,None,19269980,USD,-34935000,4417000,-34941000,130000,-12000,-4273000,None,1964000,16956000,-14896000,24318000,5604000,3094000,-4272000,-1000,0,-3094000,1255000,136000,-7008000,None,-14896000,57.75,61.95
9,2018-03-31,USD,189187000,-74761000,68835000,189187000,263948000,16169000,0,0,19414000,0,5926000,None,263948000,-74761000,0,None,None,None,0,0,0,3245000,0,0,16169000,16169000,None,USD,1530665000,21287000,None,105505000,1098597000,432068000,0,166359000,205000,246028000,891361000,0,39436000,36072000,1387000,None,None,-2236000,6774000,317043000,1146125000,432068000,44704000,280971000,37343000,0,1387000,0,0,205000,0,246028000,-22370000,None,18937000,None,41786000,None,37343000,1059867000,1097210000,None,None,None,210441000,1530665000,36072000,None,19260915,USD,-26992000,10722000,-27860000,0,None,-4293000,None,-5335000,16169000,-19487000,12666000,-969000,3373000,-4361000,68000,0,-12564000,672000,868000,-17301000,None,-19487000,55.25,57.75
