,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,4034000,13048000,None,4034000,-9048000,-1849000,None,None,-11229000,None,3046000,-34000,-9014000,202000,2181000,None,None,None,None,9800000,None,-9380000,None,None,-1849000,-1849000,None,USD,79644000,54547000,None,9946000,75964000,3680000,8781000,7805000,111000,-75154000,9573000,6752000,2005000,1259000,64591000,56786000,None,None,1816000,14524000,None,-57619000,None,3319000,491000,None,None,None,None,111000,None,-75154000,None,None,3505000,None,65120000,None,491000,2101000,11373000,None,None,None,78723000,79644000,1259000,None,None,USD,None,-2030000,-37000,-37000,386000,-25000,-411000,351000,-1849000,50000,112000,-9150000,781000,None,None,None,None,9928000,0,1643000,None,50000,0.51,
1,2020-05-02,USD,4034000,3248000,None,None,-8846000,-1849000,None,None,-11229000,None,3046000,None,786000,None,2181000,-9380000,None,-2181000,None,None,None,-9380000,-9834000,None,-1849000,-1849000,None,USD,79644000,54547000,None,None,75964000,3680000,None,1896000,111000,-75154000,9573000,6752000,2005000,1259000,64591000,None,56786000,None,1816000,14524000,None,-57619000,None,3319000,491000,None,2881000,None,None,None,None,None,None,None,3505000,None,65120000,1309000,491000,792000,11373000,None,None,None,78723000,None,1259000,None,None,USD,-37000,-2030000,-37000,-37000,386000,-25000,-411000,351000,-1849000,50000,112000,None,202000,None,None,None,1643000,9928000,37000,None,None,None,nan,0.51
2,2020-02-29,USD,4034000,3248000,None,None,-8846000,-1849000,None,None,-11229000,None,3046000,None,786000,None,2181000,-9380000,None,-2181000,None,None,None,-4358000,-9834000,None,-1849000,-1147000,None,USD,79644000,54547000,None,1431000,75964000,3680000,9515000,1896000,111000,-73305000,10309000,6752000,1982000,1259000,64591000,56044000,56786000,None,1919000,14524000,None,-65915000,None,3319000,491000,None,2881000,None,None,111000,None,-73305000,None,None,3505000,None,65120000,1309000,None,792000,11373000,None,None,None,78541000,82922000,1209000,None,None,USD,-37000,-2624000,-29000,None,386000,-25000,-9000,1578000,-1849000,50000,112000,None,202000,None,None,None,1643000,636000,37000,None,None,None,0.57,nan
3,2020-02-01,USD,5492000,3718000,None,None,-2950000,-1147000,None,None,-5505000,None,3294000,None,1774000,None,2131000,-4358000,None,-2131000,None,None,None,-4358000,-5148000,None,-1147000,-1147000,None,USD,82922000,59110000,None,None,77575000,5347000,None,2764000,111000,-73305000,10309000,12152000,1982000,1209000,65877000,None,56044000,None,1919000,7759000,None,-65915000,None,4962000,None,None,2814000,None,None,None,None,None,None,None,3582000,None,75163000,1389000,None,794000,11698000,None,None,None,78541000,None,1209000,None,None,USD,-29000,-2624000,-29000,-224000,386000,-28000,-9000,1578000,-1147000,-239000,-182000,None,424000,None,582000,None,390000,636000,29000,None,None,None,nan,0.57
4,2019-11-30,USD,5492000,3718000,None,4894000,-2950000,-1147000,None,None,-5505000,None,3294000,-59000,1774000,232000,2131000,-4358000,None,-2131000,None,5211000,None,692000,-5148000,None,-1147000,-6828000,None,USD,82922000,59110000,None,650000,77575000,5347000,13218000,2764000,334000,-73305000,15380000,12152000,2191000,1209000,65877000,55219000,56044000,None,4711000,7759000,None,-70021000,None,4962000,None,None,2814000,None,None,334000,None,-72945000,None,None,3582000,None,75163000,1389000,None,794000,11698000,None,None,None,78154000,90206000,1448000,None,None,USD,-29000,1253000,-76000,-76000,-350000,-28000,-3000,-55000,-1147000,-239000,-182000,1035000,424000,None,-22000,None,390000,5704000,29000,-122000,None,317000,1.0799,nan
5,2019-11-02,USD,4894000,3578000,None,4894000,-3722000,-6828000,None,None,-6136000,None,3346000,None,1316000,None,2182000,692000,None,-2182000,None,None,None,692000,-5270000,None,-6828000,-6828000,None,USD,90206000,59312000,None,None,84663000,5543000,None,2372000,334000,-72945000,15380000,16252000,2191000,1448000,65667000,55219000,55219000,None,4711000,7740000,None,-70021000,None,5352000,None,None,2794000,None,None,None,None,None,None,None,6391000,None,82466000,4180000,3616000,2162000,18996000,None,None,None,78154000,None,1448000,None,None,USD,-76000,1253000,-76000,-195000,-350000,-375000,-3000,-55000,-6828000,317000,768000,None,232000,None,601000,None,-128000,5704000,76000,None,None,None,nan,1.0799
6,2019-08-31,USD,4894000,3578000,None,5603000,-3722000,-6828000,None,None,-6136000,None,3346000,60000,1316000,254000,2182000,692000,None,-2182000,None,145000,None,696000,-5270000,None,-6828000,-1267000,None,USD,90206000,59312000,None,617000,84663000,5543000,12831000,2372000,331000,-72945000,14958000,16252000,2183000,1448000,65667000,1400000,55219000,None,4822000,7740000,None,-68496000,None,5352000,53582000,None,2794000,None,None,331000,None,-66117000,None,None,6391000,None,82466000,4180000,53582000,2162000,18996000,None,None,None,77998000,94981000,1131000,None,None,USD,-76000,2058000,-81000,-81000,-350000,-375000,-8000,-1550000,-6828000,317000,768000,2073000,232000,None,None,None,-128000,932000,76000,-1106000,None,-525000,0.63,nan
7,2019-08-03,USD,5603000,3838000,None,5603000,1934000,-1267000,None,None,-571000,None,3584000,None,1765000,None,2251000,696000,None,-2251000,None,None,None,696000,-85000,None,-1267000,-1267000,None,USD,94981000,64456000,None,None,82769000,12212000,None,3319000,331000,-66117000,14958000,16252000,2183000,1131000,10495000,1400000,1400000,None,4822000,7268000,None,-68496000,None,5224000,53582000,None,2402000,None,None,None,None,None,None,None,6483000,None,87713000,3734000,53582000,2127000,72274000,None,None,None,77998000,None,1131000,None,None,USD,-81000,2058000,-81000,-119000,-350000,-358000,-8000,-1550000,-1267000,-525000,-86000,None,254000,None,623000,None,-1103000,932000,81000,None,None,None,nan,0.63
8,2019-05-31,USD,5603000,3838000,None,5052000,1934000,-1267000,None,None,-571000,None,3584000,1000,1765000,465000,2251000,696000,None,-2251000,None,108000,None,638000,-85000,None,-1267000,-2258000,None,USD,94981000,64456000,None,568000,82769000,12212000,12442000,3319000,319000,-66117000,None,16252000,None,1131000,10495000,1400000,1400000,None,539000,7268000,None,-67930000,None,5224000,53582000,None,2402000,None,None,319000,None,-64850000,None,None,6483000,None,87713000,3734000,53350000,2127000,72274000,None,None,None,77467000,94324000,1656000,None,None,USD,-81000,-1957000,-38000,-38000,-278000,-358000,None,None,-1267000,-525000,-86000,-269000,254000,None,623000,None,-1103000,429000,81000,288000,None,-2628000,0.81,nan
9,2019-05-04,USD,5052000,4320000,None,5052000,882000,-2258000,None,None,-1620000,None,4063000,None,732000,None,2245000,638000,None,-2245000,None,None,None,638000,-107000,None,-2258000,-2258000,None,USD,94324000,64614000,None,None,81388000,12936000,None,3540000,319000,-64850000,14587000,16252000,6281000,1656000,9596000,1400000,1400000,None,539000,6638000,None,-67930000,None,4121000,53350000,None,2197000,None,None,None,None,None,None,None,6281000,None,87686000,None,53350000,6000000,71792000,None,None,None,77467000,None,1656000,None,None,USD,-38000,-1391000,-38000,-38000,-250000,345000,-28000,-1025000,-2258000,-2628000,-2935000,None,257000,None,623000,None,242000,665000,38000,None,None,None,nan,0.81
