,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,5723000,None,None,-5041000,-5041000,2522000,None,-5041000,None,3201000,682000,-5723000,None,None,None,26000,26000,None,None,None,None,656000,None,-5041000,-5041000,None,USD,71013000,158000,None,1206000,11566000,59447000,None,2256000,2000,-485948000,295000,None,3044000,60062000,4532000,None,None,None,1149000,61268000,None,59289000,None,None,None,None,2276000,None,None,2000,None,-485948000,None,None,8438000,None,9745000,8995000,None,7034000,7034000,None,None,None,545393000,71013000,60062000,None,15996177,USD,None,-1558000,None,None,None,4997000,None,-1822000,-5041000,-637000,-5634000,-551000,1028000,None,4997000,None,None,488000,0,None,None,-637000,11.64,
1,2020-03-31,USD,0,10312000,None,None,-10796000,-10796000,3491000,None,-10796000,None,3951000,-484000,-10312000,None,None,None,217000,217000,None,2870000,None,None,-3571000,None,-10796000,-10796000,None,USD,71542000,188000,None,580000,12539000,59003000,None,2324000,2000,-480907000,295000,None,3117000,60700000,4959000,None,None,None,1216000,61280000,None,58815000,None,None,None,None,2635000,None,None,2000,None,-480907000,None,None,8858000,None,10262000,9609000,None,7580000,7580000,None,None,None,539908000,71542000,60700000,None,15015932,USD,None,51000,None,None,None,33000,None,1129000,-10796000,-4429000,-4462000,2571000,125000,None,33000,None,None,3587000,0,None,None,-4429000,5.76,11.64
2,2019-12-31,USD,0,5163000,None,None,-4328000,-4328000,2511000,None,-4328000,None,2652000,835000,-5163000,None,0,None,211000,211000,None,None,None,None,624000,None,-4328000,-4328000,None,USD,82121000,219000,None,3079000,13072000,69049000,None,2393000,2000,-470111000,264000,None,3184000,65134000,4968000,None,None,None,1808000,68213000,None,68830000,None,None,None,None,2575000,None,None,2000,None,-470111000,None,None,11881000,None,13908000,10233000,None,8104000,8104000,None,None,None,539158000,82121000,65134000,None,15001795,USD,None,-1589000,2151000,None,None,25236000,None,-193000,-4328000,22315000,-5072000,110000,125000,None,25236000,None,None,610000,2151000,None,None,22315000,13.67,5.76
3,2019-09-30,USD,0,6998000,3840000,-3840000,-6142000,-6142000,3840000,None,-6142000,None,3158000,856000,-6998000,None,None,None,232000,232000,None,None,None,None,624000,None,-6142000,-6142000,None,USD,62586000,249000,None,3493000,15056000,47530000,None,2464000,1000,-465783000,264000,None,2875000,44975000,6385000,None,None,None,1902000,48468000,None,47281000,None,2911000,None,None,3921000,None,None,1000,None,-465783000,None,None,11967000,None,14118000,10871000,None,8671000,8671000,None,None,None,513312000,62586000,44975000,None,11284964,USD,None,1590000,None,None,None,1000,None,162000,-6142000,-3400000,-3401000,226000,125000,None,1000,None,None,800000,0,None,None,-3400000,7.5,13.67
4,2019-06-30,USD,3054000,6928000,3637000,3054000,-3044000,-3044000,3637000,None,-3044000,None,3291000,830000,-3874000,None,None,None,233000,233000,None,None,None,None,597000,None,-3044000,-3044000,None,USD,66746000,280000,None,3667000,13875000,52871000,None,2505000,1000,-459641000,264000,None,2918000,48384000,4616000,None,None,None,1996000,52051000,None,52591000,None,2906000,None,None,2111000,None,None,1000,None,-459641000,None,None,12419000,None,14695000,11500000,None,9259000,9259000,None,None,None,512511000,66746000,48384000,None,11284580,USD,None,-1912000,None,None,None,13000,None,-3519000,-3044000,-7199000,-7212000,-3319000,122000,None,13000,None,None,941000,0,None,None,-7199000,6.0,7.5
5,2019-03-31,USD,1699000,7438000,2848000,1699000,-4704000,-4704000,2848000,None,-4704000,None,4590000,1035000,-5739000,None,None,None,346000,346000,None,None,None,None,689000,None,-4704000,-4704000,None,USD,72063000,310000,None,1891000,17102000,54961000,None,3588000,1000,-456597000,264000,None,2420000,55592000,7388000,2534000,2534000,None,2051000,57483000,None,54651000,None,969000,9450000,None,3800000,None,None,1000,None,-456597000,None,None,12219000,None,14580000,11984000,None,9714000,9714000,None,None,None,511557000,72063000,55592000,None,11276500,USD,None,2079000,None,None,None,0,None,284000,-4704000,-1396000,-1396000,55000,126000,None,None,None,None,1048000,0,None,None,-1396000,7.04,6.0
6,2018-12-31,USD,1371000,52607000,8575000,1371000,-48525000,-50954000,3010000,0,-50954000,0,11284000,2711000,-51236000,0,2429000,None,None,None,0,38313000,0,0,-38531000,0,-50954000,-50954000,None,USD,69470000,341000,None,1038000,9525000,59945000,None,146000,1000,-450565000,7588000,None,2416000,56992000,1937000,None,None,None,32000,58030000,None,59604000,None,606000,None,None,1791000,None,None,1000,None,-450565000,None,None,11067000,None,11440000,None,7324000,7588000,7588000,None,None,None,510509000,69470000,56992000,None,11266151,USD,None,-4378000,1272000,1305000,1896000,1896000,1896000,-4119000,-50954000,-5609000,-8777000,36620000,85000,None,52000,None,None,9850000,33000,None,None,-5609000,3.52,7.04
7,2018-09-30,USD,0,6218000,0,0,-6550000,-6550000,1027000,0,-6550000,0,5191000,-332000,-6218000,0,-2429000,None,None,None,0,0,0,0,-332000,0,-6550000,-6550000,None,USD,74171000,None,None,464000,10453000,63718000,None,2794000,4000,-399611000,7324000,None,11102000,62605000,3129000,None,None,None,8710000,63069000,None,63718000,None,None,7324000,None,3129000,None,None,4000,None,-399611000,None,None,11102000,None,11102000,None,None,7324000,7324000,None,None,None,463325000,74171000,62605000,None,6040112,USD,None,-908000,1272000,-1896000,1896000,17000,None,-218000,-6550000,-5167000,-5184000,222000,739000,None,17000,None,None,1313000,33000,None,None,-5167000,1.4,3.52
8,2018-06-30,USD,0,9441000,0,0,-9848000,-9848000,3438000,0,-9848000,0,6003000,-407000,-9441000,0,-2429000,None,None,None,0,0,0,0,-5107000,0,-9848000,-9848000,None,USD,80300000,None,None,686000,11362000,68938000,None,3234000,4000,-393061000,7324000,None,11158000,67776000,4038000,None,None,None,680000,68462000,None,68938000,None,None,7324000,None,4038000,None,None,4000,None,-393061000,None,None,11158000,None,11838000,None,None,7324000,7324000,None,None,None,461995000,80300000,67776000,None,36240673,USD,None,503000,380000,380000,1896000,17000,None,292000,-9848000,-6908000,-7288000,-216000,117000,None,None,None,None,2156000,33000,None,None,-6908000,2.025,1.4
9,2018-03-31,USD,0,8517000,0,0,-8981000,-8981000,3600000,0,-8981000,0,4917000,-464000,-8517000,0,-2429000,None,None,None,0,0,0,0,-464000,0,-8981000,-8981000,None,USD,87109000,None,None,469000,10479000,76630000,None,2726000,4000,-383213000,6944000,None,11215000,74686000,3535000,None,None,None,739000,75155000,None,76630000,None,None,6944000,None,3535000,None,None,4000,None,-383213000,None,None,11215000,None,11954000,None,None,6944000,6944000,None,None,None,459839000,87109000,74686000,None,36069791,USD,None,-2058000,1516000,1516000,1896000,35000,None,-1276000,-8981000,-6457000,-8008000,92000,119000,None,35000,None,None,2820000,33000,None,None,-6457000,1.65,2.025
