,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,2322000,12364000,None,None,-9856000,-10263000,7944000,None,-10263000,None,4420000,None,-10042000,None,195000,None,74000,-121000,None,None,None,None,-100000,None,-10263000,-10263000,None,USD,149935000,None,None,None,56512000,93423000,None,672000,21000,-91708000,14013000,None,107000,136111000,23046000,None,None,None,7828000,142000000,0,93423000,None,2829000,15059000,None,4395000,None,None,None,None,None,None,None,107000,None,7935000,5731000,None,None,33466000,None,None,None,None,None,None,None,None,USD,-469000,-296000,-469000,None,None,85603000,None,750000,-10263000,76640000,-8494000,None,212000,None,None,None,-478000,1581000,469000,None,None,None,46.74,
1,2020-03-31,USD,2646000,12108000,None,None,-9341000,-9777000,7917000,None,-9777000,None,4191000,None,-9462000,None,254000,None,102000,-152000,None,None,None,None,-163000,None,-9777000,-9777000,None,USD,72104000,None,None,593000,55122000,16982000,None,None,15000,-81445000,13815000,None,107000,59471000,21650000,None,None,None,8138000,63759000,100000,16982000,None,2351000,15028000,None,3779000,None,None,None,None,None,None,None,107000,None,8345000,6103000,15028000,None,33472000,None,None,None,98412000,None,59471000,None,None,USD,-142000,-3944000,-142000,None,None,118000,None,567000,-9777000,-11882000,-11858000,None,182000,None,118000,None,-172000,1286000,142000,None,None,None,13.59,46.74
2,2019-12-31,USD,2968000,13785000,11994000,-9026000,-10749000,-10989000,11994000,None,-10989000,None,1791000,None,-10817000,None,240000,None,115000,-125000,None,None,None,None,-47000,None,-10989000,-10989000,None,USD,82143000,None,None,None,56351000,25792000,None,8397000,15000,-71668000,15182000,None,107000,71353000,21324000,None,None,None,7483000,74290000,263000,25792000,None,2179000,14995000,None,5793000,None,None,None,None,None,None,None,107000,None,7853000,5677000,14995000,None,35027000,None,None,None,97445000,None,71353000,None,None,USD,-315000,-305000,-315000,None,4945000,5034000,None,2096000,-10989000,-2819000,-7538000,None,-391000,None,36962000,None,446000,1605000,315000,None,None,None,10.87,13.59
3,2019-09-30,USD,3318000,10934000,7053000,-3735000,-6861000,-7433000,7053000,None,-7433000,None,3881000,None,-7616000,None,205000,None,85000,-120000,None,None,None,None,303000,None,-7433000,-7433000,None,USD,87215000,None,None,33000,51320000,35895000,None,10999000,15000,-60679000,14551000,None,107000,74172000,21688000,None,None,None,7397000,79408000,303000,35895000,None,2625000,10016000,None,4013000,None,None,None,None,None,None,None,107000,None,7807000,5866000,10016000,None,29632000,None,None,None,96559000,None,74172000,None,None,USD,-159000,-1116000,-159000,None,4945000,21327000,None,2038000,-7433000,18332000,-2836000,None,367000,None,36873000,None,3192000,116000,159000,None,None,None,10.27,10.87
4,2019-06-30,USD,10153000,10725000,7269000,2884000,57000,-685000,7269000,None,-685000,None,3456000,None,-572000,None,206000,None,93000,-113000,None,None,None,None,-113000,None,-685000,-685000,None,USD,70940000,None,None,22000,49322000,21618000,None,9730000,13000,-53246000,17652000,None,107000,55840000,16414000,None,None,None,7495000,63338000,0,21618000,None,5817000,9980000,None,3187000,None,None,None,None,None,None,None,107000,None,7602000,6051000,9980000,None,32908000,None,None,None,74851000,None,55840000,None,None,USD,-266000,10816000,-266000,None,4945000,15546000,None,-405000,-685000,24620000,9340000,None,536000,None,15546000,None,-1360000,438000,266000,None,None,None,9.44,10.27
5,2019-03-31,USD,4350000,10858000,7324000,-2974000,-6509000,-6884000,7324000,None,-6884000,None,3534000,None,-6508000,None,203000,None,-376000,-88000,None,None,None,None,-288000,None,-6884000,-6884000,None,USD,44419000,None,None,122000,38065000,6354000,None,750000,214000,-52561000,8025000,None,107000,31220000,14612000,750000,750000,None,7706000,36606000,0,6354000,None,4457000,9945000,None,4118000,None,None,None,None,None,None,None,107000,None,7813000,6233000,9945000,5483000,23453000,None,None,None,58701000,None,31220000,None,10000000,USD,-78000,2730000,-78000,None,4945000,0,None,-2174000,-6884000,-5489000,-5411000,None,172000,None,None,None,24000,721000,78000,None,None,None,6.83,9.44
6,2018-12-31,USD,7577000,8288000,4847000,2730000,-711000,-1011000,7324000,0,-1011000,0,3441000,None,-711000,0,-184000,None,None,None,0,0,0,0,-300000,0,-1011000,-1011000,None,USD,44198000,None,None,None,30556000,13642000,None,8531000,214000,-44874000,8068000,None,107000,36709000,12577000,None,None,None,1975000,41828000,288000,13642000,None,4481000,9911000,None,2398000,None,None,None,None,None,None,None,None,None,None,None,9911000,None,None,None,None,None,58302000,None,36709000,None,10000000,USD,2494000,-3848000,2269000,23612000,9872000,9872000,None,1488000,-1011000,6378000,-5763000,None,167000,None,332000,None,-3358000,799000,225000,None,None,None,4.53,6.83
7,2018-09-30,USD,3423000,7779000,3969000,-546000,-4356000,-4253000,7324000,0,-4253000,0,3810000,None,-4356000,0,-184000,None,None,None,0,0,0,0,103000,0,-4253000,-4253000,None,USD,37115000,None,None,193000,22964000,14151000,None,8451000,214000,-43863000,9364000,None,107000,30331000,13600000,None,None,4000,2064000,34401000,543000,14151000,2499000,1123000,None,None,2905000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10000000,USD,8076000,-1795000,7823000,None,9872000,-19000,None,-1788000,-4253000,1009000,-6795000,None,159000,None,None,None,248000,634000,253000,None,None,None,8.84,4.53
8,2018-06-30,USD,2386000,12458000,4225000,-1839000,-10072000,-9950000,7324000,0,-9950000,0,8233000,None,-10072000,0,-9000,None,None,None,0,0,0,0,122000,0,-9950000,-9950000,None,USD,44322000,None,None,212000,26527000,17795000,None,11168000,214000,-39610000,8274000,None,107000,29322000,18253000,None,None,2000,1943000,41682000,590000,17795000,10455000,1371000,None,None,2781000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10000000,USD,6521000,3190000,6021000,None,9872000,175500,None,1204000,-9950000,2095500,-4101000,None,128000,None,None,None,-445500,83000,500000,None,None,None,8.48,8.84
9,2018-03-31,USD,2376500,10748500,4083000,-1706500,-8372000,-8260500,3941000,0,-8260500,0,6665500,None,-8372000,0,-3500,None,None,None,0,0,0,0,111500,0,-8260500,-8260500,None,USD,None,None,None,None,None,33794000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33794000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10000000,USD,6521000,3190000,6021000,None,9872000,175500,None,1204000,-8260500,2095500,-4101000,None,128000,None,None,None,-445500,83000,500000,None,None,None,5.5,8.48
