,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1836000,25902000,141000,1695000,-23730000,-24956000,18864000,None,-24956000,None,7038000,477000,-24207000,None,1226000,0,None,-1226000,None,None,None,None,477000,None,-24956000,-24956000,None,USD,217343000,None,None,6785000,70993000,146350000,None,5067000,9000,-507781000,None,None,271000,100494000,33650000,13716000,13716000,317000,2501000,211626000,None,146350000,104347000,None,36735000,None,14867000,None,None,9000,None,-507781000,None,None,3216000,None,5717000,3434000,36735000,608000,37343000,None,None,None,653805000,217343000,204841000,None,89140563,USD,13417000,3772000,13417000,None,None,204000,None,-155000,-24956000,-5401000,-19022000,-1330000,618000,None,204000,None,None,2874000,0,None,None,-5401000,6.92,
1,2020-03-31,USD,1213000,22982000,None,1213000,-21016000,-22373000,15844000,None,-22373000,None,7138000,753000,-21769000,None,1357000,0,-1357000,-1357000,None,None,None,None,753000,None,-22373000,-22373000,None,USD,235322000,None,None,5375000,67565000,167757000,None,6081000,9000,-482825000,None,None,304000,105895000,23417000,7437000,7437000,-44000,2968000,228582000,None,167757000,117312000,750000,42793000,None,9899000,None,None,9000,None,-482825000,None,None,3772000,None,6740000,4070000,42793000,1355000,44148000,None,None,None,650617000,235322000,223207000,None,89035096,USD,-50858000,-5245000,-50883000,-50858000,None,591000,375000,-4438000,-22373000,-75238000,-24946000,-1040000,555000,None,216000,None,None,3157000,25000,None,None,-75238000,5.685,6.92
2,2019-12-31,USD,2250000,21098000,0,2250000,-18392000,-19790000,14241000,None,-19790000,None,6857000,456000,-18848000,None,1398000,0,-1398000,-1398000,None,None,None,None,456000,None,-19790000,-19790000,None,USD,259782000,None,None,4550000,73127000,186655000,None,7149000,9000,-460452000,None,None,314000,181133000,22220000,1183000,1183000,20000,3436000,252062000,None,186655000,66379000,0,48831000,None,13888000,None,None,9000,None,-460452000,None,None,4284000,None,7720000,4684000,48831000,2076000,50907000,None,None,None,647078000,259782000,247512000,None,88817741,USD,-55461000,3064000,-55461000,23698000,None,155058000,-1000,-1019000,-19790000,88460000,-11137000,4998000,365000,None,155084000,None,1949000,2527000,325000,-2301000,None,88460000,7.505,5.685
3,2019-09-30,USD,3013000,24502000,600000,2413000,-21795000,-23539000,17580000,None,-23238000,None,6922000,294000,-22089000,None,1443000,301000,-1443000,-1443000,None,None,None,301000,294000,None,-23539000,-23539000,None,USD,119410000,None,None,4592000,70252000,49158000,None,2504000,6000,-440662000,None,None,180000,92673000,17679000,None,None,4000,3943000,110834000,None,49158000,10870000,2699000,49803000,None,15175000,None,None,6000,None,-440662000,None,None,4633000,None,8576000,5274000,49803000,2770000,52573000,None,None,None,489810000,119410000,103543000,None,62883080,USD,23562000,1799000,23448000,79159000,None,213000,199000,-1328000,-23539000,3047000,-20614000,-1234000,856000,None,14000,None,-2682000,4186000,114000,-2682000,None,3047000,4.7,7.505
4,2019-06-30,USD,18000,24846000,0,18000,-24016000,-25467000,19475000,None,-25467000,None,5371000,812000,-24828000,None,1451000,0,-1451000,-1451000,None,None,None,None,812000,None,-25467000,-25467000,None,USD,137980000,None,None,3283000,69363000,68617000,None,2318000,6000,-417123000,None,None,1351000,89626000,16333000,None,None,16000,4469000,127241000,None,68617000,34315000,17000,49597000,None,14015000,None,None,6000,None,-417123000,None,None,6270000,None,10739000,5751000,49597000,3433000,53030000,None,None,None,485718000,137980000,123941000,None,62800869,USD,25451000,-5153000,25405000,55597000,None,5000,198000,-3878000,-25467000,-2410000,-27820000,63000,682000,None,-193000,None,-10000,2065000,46000,-10000,None,-2410000,2.69,4.7
5,2019-03-31,USD,0,25498000,0,0,-24708000,-26144000,20381000,None,-26142000,None,5117000,790000,-25498000,None,1434000,2000,-1434000,-1434000,None,None,None,2000,790000,None,-26144000,-26144000,None,USD,166135000,None,None,2745000,74294000,91841000,None,2102000,6000,-391656000,None,None,1350000,92036000,20826000,2102000,2102000,12000,5102000,154312000,None,91841000,59524000,7000,49399000,None,18724000,None,None,6000,None,-391656000,None,None,6721000,None,11823000,6171000,49399000,4069000,53468000,None,None,None,483479000,166135000,151560000,None,62600443,USD,30146000,739000,29981000,30146000,None,200000,None,295000,-26144000,13268000,-16913000,772000,570000,None,200000,None,5078000,2072000,165000,5078000,None,13268000,2.8,2.69
6,2018-12-31,USD,85000,110911000,464000,85000,-24330000,-27862000,80828000,0,-27864000,0,30083000,3046000,-27376000,0,3534000,None,None,None,0,0,0,-2000,-488000,0,-27862000,-27862000,None,USD,183332000,None,None,8197000,67519000,115813000,None,1000000,6000,-365512000,582000,None,1350000,78768000,17728000,None,None,-38000,5611000,176371000,None,115813000,89321000,85000,49209000,None,16728000,None,None,6000,None,-365512000,None,None,1350000,None,6961000,None,49209000,None,582000,None,None,None,481357000,183332000,168089000,None,62516627,USD,22477000,2054000,22190000,-29583000,49292000,-1000,None,7608000,-27862000,3753000,-18436000,4686000,160000,None,-1000,None,82000,2444000,287000,82000,None,3753000,1.79,2.8
7,2018-09-30,USD,172000,23902000,2000,170000,-24126000,-24126000,17941000,0,-24126000,0,5961000,-394000,-23732000,0,-3534000,None,None,None,0,0,0,-2000,-394000,0,-24126000,-24126000,None,USD,206668000,0,None,12749000,65220000,141448000,0,1000000,6000,-337650000,651000,0,1350000,75015000,15549000,None,None,-17000,5996000,199322000,None,141448000,111391000,167000,49020000,0,14549000,0,0,6000,0,-337650000,0,None,1350000,None,7346000,None,49020000,651000,49671000,None,None,None,479109000,206668000,186406000,None,62106121,USD,10061000,-141000,10092000,0,None,191000,None,-4338000,-24126000,-16736000,-27019000,-5100000,371000,0,191000,0,-137000,2114000,31000,-137000,None,-16736000,4.35,1.79
8,2018-06-30,USD,30000,-22184000,21515000,30000,-22289000,-22291000,-16046000,0,-22289000,0,-6138000,-135000,-22154000,0,-3534000,None,None,None,0,0,0,2000,-135000,0,-22291000,-22291000,None,USD,228536000,0,None,8927000,65122000,163414000,0,1000000,6000,-313524000,677000,0,159000,91751000,15609000,48836000,48836000,-36000,6689000,221688000,None,163414000,120980000,30000,48836000,0,14609000,0,0,6000,0,-313524000,0,None,159000,None,6848000,None,48836000,677000,49513000,None,None,None,476968000,228536000,212731000,None,62053751,USD,-61041000,1878000,-61041000,0,49292000,103062000,None,-346000,-22291000,24006000,-18015000,-813000,584000,0,53770000,0,-30000,2657000,31000,-30000,None,24006000,3.7,4.35
9,2018-03-31,USD,2320000,-19541000,464000,1856000,-17015000,-17019000,-13350000,0,-17015000,0,-6191000,670000,-17685000,0,-3534000,None,None,None,0,0,0,4000,670000,0,-17019000,-17019000,None,USD,142837000,0,None,7871000,13861000,128976000,0,1000000,5000,-291232000,699000,0,159000,67745000,13162000,None,None,-91000,7358000,135320000,None,128976000,59704000,5000000,0,0,12162000,0,0,5000,0,-291232000,0,None,159000,None,7517000,None,None,699000,699000,None,None,None,420294000,142837000,127449000,None,47603568,USD,-1080000,-5674000,-1135000,0,49292000,301000,None,-1552000,-17019000,-7638000,-6804000,2005000,663000,0,301000,0,10796000,2425000,55000,10796000,None,-7638000,5.05,3.7
10,2017-12-31,USD,42000000,174792000,8400000,33600000,11293000,10114000,133808000,0,11293000,0,40984000,331000,10962000,0,-3534000,None,None,None,0,0,0,1179000,2151000,0,10114000,10114000,None,USD,157903000,0,None,4940000,18591000,139312000,0,13938000,5000,-278214000,720000,0,159000,75383000,17871000,None,None,-47000,8032000,149712000,None,139312000,58593000,10796000,0,0,17871000,0,0,5000,0,-278214000,0,None,159000,None,8191000,None,None,None,720000,None,None,None,417568000,157903000,133976000,None,47534979,USD,11249000,2068000,11221000,0,49292000,10000,None,-1835000,10114000,15929000,4698000,424000,501000,0,10000,0,-10796000,2387000,28000,-10796000,None,15929000,6.6,5.05
11,2017-09-30,USD,0,-21225000,20502000,0,-20724000,-20724000,-15365000,0,-20724000,0,-5860000,501000,-21225000,0,0,None,None,None,0,0,0,0,-467000,0,-20724000,-20724000,None,USD,143105000,0,None,4342000,16468000,126637000,0,14004000,5000,-288328000,741000,0,853000,59454000,15727000,None,None,-10000,8622000,133630000,None,126637000,69834000,None,0,0,15727000,0,0,5000,0,-288328000,0,None,853000,None,9475000,None,None,741000,741000,None,None,None,414970000,143105000,129288000,None,47503970,USD,15228000,-2267000,14808000,0,49292000,49000,None,1247000,-20724000,-4182000,-19039000,783000,865000,0,49000,0,0,2304000,420000,None,None,-4182000,5.6,6.6
12,2017-06-30,USD,0,-26418000,25770000,0,-25721000,-25721000,-20572000,0,-25721000,0,-5846000,697000,-26418000,0,0,None,None,None,0,0,0,0,-155000,0,-25721000,-25721000,None,USD,164122000,0,None,5221000,19144000,144978000,0,13675000,5000,-267604000,756000,0,842000,63636000,18388000,None,None,-40000,9335000,153945000,None,144978000,85088000,None,0,0,18388000,0,0,5000,0,-267604000,0,None,842000,None,10177000,None,None,756000,756000,None,None,None,412617000,164122000,148724000,None,47442639,USD,17082000,-1217000,16293000,0,None,218000,None,-843000,-25721000,-7577000,-24088000,-935000,995000,0,218000,0,0,2790000,789000,None,None,-7577000,5.1,5.6
13,2017-03-31,USD,0,-28434000,27840000,0,-28008000,-28008000,-22387000,0,-28008000,0,-6047000,426000,-28434000,0,0,None,None,None,0,0,0,0,426000,0,-28008000,-28008000,None,USD,187765000,0,None,4585000,20081000,167684000,0,13421000,5000,-241883000,767000,0,842000,71213000,19314000,None,None,-48000,8915000,178008000,None,167684000,102210000,None,0,0,19314000,0,0,5000,0,-241883000,0,None,842000,None,9757000,None,None,767000,767000,None,None,None,409610000,187765000,173423000,None,47386756,USD,24086000,702000,22968000,0,None,408000,None,-2228000,-28008000,-3385000,-26761000,-2228000,664000,0,408000,0,0,2109000,1118000,None,None,-3385000,12.65,5.1
14,2016-12-31,USD,0,31476000,0,0,-31276000,-31276000,26210000,0,-31276000,0,5266000,200000,-31476000,0,-3534000,None,None,None,0,0,0,0,339000,0,-31276000,-31276000,None,USD,213131000,0,None,3169000,19980000,193151000,0,13566000,5000,-213875000,779000,0,148000,74598000,19201000,None,None,-71000,8991000,203992000,None,193151000,126225000,None,0,0,19201000,0,0,5000,0,-213875000,0,None,148000,None,9139000,None,None,779000,779000,None,None,None,407092000,213131000,200823000,None,47309422,USD,-56470000,1901000,-59228000,0,49292000,27000,-263000,10639000,-31274000,-85762000,-26561000,843000,419000,0,27000,0,-10796000,1550000,2758000,None,None,-85762000,14.2,12.65
15,2016-09-30,USD,0,29200000,0,0,-29031000,-29031000,24863000,0,-29031000,0,4337000,169000,-29200000,0,0,None,None,None,0,0,0,0,169000,0,-29031000,-29031000,None,USD,241317000,0,None,4114000,18424000,222893000,0,11337000,5000,-182601000,789000,0,148000,160360000,17635000,None,None,-25000,6969000,234200000,None,222893000,69726000,None,0,0,17635000,0,0,5000,0,-182601000,0,None,148000,None,7117000,None,None,789000,789000,None,None,None,405514000,241317000,230086000,None,47295834,USD,-69740000,2846000,-71353000,0,None,109868000,None,-354000,-29031000,13691000,-24824000,-354000,424000,0,109868000,0,0,1291000,2603000,None,None,13691000,12.94,14.2
16,2016-06-30,USD,0,28690000,0,0,-28613000,-28613000,23838000,0,-28613000,0,4852000,77000,-28690000,0,0,None,None,None,0,0,0,0,0,0,-28613000,-28613000,None,USD,155379000,0,None,3735000,14774000,140605000,0,9315000,4000,-153570000,713000,0,148000,146669000,14061000,None,None,-25000,4827000,150404000,None,140605000,0,None,0,0,14061000,0,0,4000,0,-153570000,0,None,148000,None,4975000,None,None,713000,713000,None,None,None,294171000,155379000,146669000,None,34650266,USD,-69740000,1767000,-295000,0,None,188000,None,192000,-28615000,-25009000,-24902000,192000,469000,0,188000,0,0,1285000,295000,None,None,-25009000,8.73,12.94
17,2016-03-31,USD,0,23529000,0,0,-23467000,-23467000,19250000,0,-23467000,0,4279000,62000,-23529000,0,0,None,None,None,0,0,0,0,0,0,-23467000,-23467000,None,USD,180498000,0,None,4019000,12750000,167748000,0,7583000,4000,-124955000,292000,0,204000,171678000,12458000,None,None,None,4597000,175697000,None,167748000,0,None,0,0,12458000,0,0,4000,0,-124955000,0,None,204000,None,4801000,None,None,292000,292000,None,None,None,292699000,180498000,171678000,None,34630148,USD,None,4711000,-200000,0,None,81121000,None,None,-23467000,64674000,-16247000,881000,437000,0,81121000,0,0,1191000,200000,None,None,64674000,7.77,8.73
18,2015-12-31,USD,24026000,16876000,16587000,22699000,-16999000,-17000000,12784000,0,-16999000,0,4092000,-123000,-16876000,0,-3534000,None,None,None,0,0,0,1000,-261000,0,-17000000,-17000000,None,USD,116946000,0,None,5027000,8045000,108901000,0,4946000,3000,-101488000,322000,0,204000,107004000,7723000,None,None,-71000,4711000,112031000,None,108901000,0,None,0,0,7723000,0,0,3000,0,-101488000,0,None,204000,None,4915000,None,None,322000,322000,None,None,None,210386000,116946000,107004000,None,25964886,USD,-126210000,-5044000,-454000,0,49292000,14000,30000,-1365000,-17000000,-22043000,-21603000,-976000,659000,0,14000,0,2584000,758000,454000,None,None,-22043000,18.12,7.77
