,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-12-31,EUR,17519000,93813000,186960352.19,-133503151.93,-92550000,-92908000,74865000,0,-92589000,0,22835000,0,-76294000,0,39000,319000,-3000000,-3039000,0,0,0,319000.0,-13256000,0,-92908000,-92908000.0,0,EUR,1433339000,40161000,None,0,382593000,1050746000,0,181508746.65,4276000,-332568000,218096000,0,9196000,331282000,159957000,0,0,70499000,8167000,1373219000,2596000,1010585000.0,1004539000,22580000,0,0,9360000,0,0,0,0,0,0,0,630000,0,60120000,6514000,0,0,222636000,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,0,0,-92908000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,160.52,
1,2019-09-30,EUR,8732000,57621000,88607888.60,-68935169,-11072000,-24936000,44496000,0,-20853000,0,14272000,0,-48889000,0,-169266.25,4083000,3664000,3579000,0,0,0,4083000.0,24457000,0,-24936000,-24936000.0,0,EUR,0,0,None,0,0,1325043991.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629920000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,0,0,-24936000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,113.96,160.52
2,2019-06-30,EUR,7079000,55505000,114589865.87,-84905744.19,-48426000,-51870000,43552000,0,-51700000,0,16156000,0,-48426000,0,-9098359.60,170000,3752000,3752000,0,0,0,170000.0,-7026000,0,-51870000,-51870000.0,0,EUR,1009142000,35474000,None,4451828.94,343748000,665394000,0,121667537.13,3810000,-214724000,237674000,0,6403000,167793000,102388000,0,0,48146000,5887000,959879000,1499000,629920000.0,776490000,120000,0,0,55068000,0,0,0,0,0,0,0,356000,0,49263000,3686000,0,0,241360000,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,0,0,-51870000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,141.58,113.96
3,2019-03-31,EUR,36453000,42494000,86864047.04,13160083.10,-6041000,6749000,34752000,0,6929000,0,11306000,0,-6041000,0,-8643412.59,180000,3458000,3458000,0,0,0,180000.0,9512000,0,6749000,6749000.0,0,EUR,0,0,None,0,0,1345740348.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538339000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,0,0,0,0,0,0,0,0,6749000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,124.84,141.58
4,2018-12-31,USD,5406056.43,45061940.81,34479238.36,-29073181.92,-39655884.38,-34646707.96,95903877.04,0,-33699242.95,0,10582702.45,0,-39655884.38,0,-701995.87,None,None,None,0,0,0,947465.01,5956641.43,0,-34646707.96,-34646707.96,0,USD,663521449.87,64234.92,None,1940812.11,45954347.33,617567102.55,0,3422803.40,4125946.32,-194543473.27,8029.36,0,5888965.36,322367515.49,45946317.96,0,0,35497820.60,945170.91,656621931.64,1147.05,617502867.63,325222528.10,3655654.97,0,0,6890341.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0,0,0,0,0,0,0,0,-34646707.96,0,0,0,0,0,0,0,0,0,0.0,0,0,0,96.07,124.84
5,2018-09-30,USD,4653855.06,29995369.30,22203056.26,-17549201.20,-25341514.24,-18939569.34,96792081.50,0,-18940727.02,0,7792313.04,0,-25341514.24,0,-708497.34,None,None,None,0,0,0,-1157.68,6400787.22,0,-18939569.34,-18939569.34,0,USD,0,0,None,0,0,385459597.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385450335.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0,0,0,0,0,0,0,0,-18939569.34,0,0,0,0,0,0,0,0,0,0.0,0,0,0,75.84,96.07
6,2018-06-30,USD,15833333.33,45589195.43,22375465.55,-6542132.22,-13083100.56,-2816573.56,97310288.64,0,-2852653.63,0,6540968.34,0,-13083100.56,0,-712290.50,None,None,None,0,0,0,-36080.07,10230446.93,0,-2816573.56,-2816573.56,0,USD,419016527,9310.99,None,1969273.74,31493249.53,387523277.47,0,6372206.70,3776769.09,-143201815.64,29096.83,0,4071229.05,163953677.84,31464152.70,0,0,23961824.95,875232.77,414059590.32,1163.87,387513966.48,230425977.65,12219506.52,0,0,25091946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,0,0,0,8364968839.09,0,11168518187.21,0,0,-2816573.56,0,0,0,0,0,0,0,0,0,1947067853.38,0,0,0,82.86,75.84
7,2018-03-31,USD,8480747.94,25882642.39,18632058.06,-10151310.12,-17401894.45,-21719768.73,102852749.42,0,-21719768.73,0,7250584.33,None,-17401894.45,0,-752860.13,None,None,None,0,0,0,0.0,-4317874.28,0,-21719768.73,-21719768.73,None,USD,0,0,None,0,0,424321564.77,0,0,0,0,0,0,0,525258949.44,0,0,0,0,0,0,0,424305572.64,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,0,0,0,0,0,0,0,0,-21719768.73,0,0,None,0,0,0,0,0,0,0.0,None,None,None,80.44,82.86
8,2017-12-31,USD,13554000,65284000,41929000,5490000,-4521000,-10964000,18901000,0,-9173000,0,10011000,None,-4521000,0,0,None,None,None,0,0,0,13000.0,-4652000,0,-10964000,-10964000.0,None,USD,445906000,16000,None,2811000,31230000,414676000,None,25198000,3867000,-100568000,31000,None,4121000,229460000,31199000,None,None,11764000,813000,366804000,1000,344918000.0,205094000,3000000,None,None,5283000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-162076000,-17042000,-162052000,444000,None,367110000,-23015000,-1187000,-28076000.0,100970000,-36546000,None,425000,None,328380000,None,-122000,9446000,415000.0,None,None,None,63.14,80.44
9,2017-09-30,USD,8790000,15088000,-38248000,-29221000,-36846000,-34147000,14098000,0,-18633000,0,7625000,None,-36846000,0,0,None,None,None,0,0,0,24000.0,908000,0,-34147000,-34147000.0,None,USD,None,None,None,None,None,150254000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,150242000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,None,None,None,None,-8272000.0,None,None,None,None,None,None,None,None,None,0.0,None,None,None,22.61,63.14
