,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,87823000,None,None,-83784000,-84928000,64946000,None,-84928000,None,22877000,4039000,-87823000,None,1144000,0,3065000,1921000,None,None,None,None,974000,None,-84928000,-84928000,None,USD,1339750000,None,None,33296000,97113000,1242637000,None,None,6000,-1288132000,11744000,None,17213000,550176000,41871000,4100000,None,2651000,23769000,1203930000,94838000,1242637000,620458000,None,43498000,None,37771000,None,None,6000,None,-1288132000,None,None,17213000,None,135820000,47598000,43498000,11744000,55242000,None,None,None,2528112000,1339750000,1170634000,None,None,USD,114124000,-3114000,114094000,None,-942000,323376000,None,-3165000,-84928000,359717000,-77753000,-3165000,957000,None,324318000,None,261000,12236000,30000,261000,None,359717000,62.95,
1,2020-03-31,USD,262000,104975000,None,262000,-99044000,-100207000,78533000,None,-100207000,None,26442000,5669000,-104713000,None,1163000,0,4946000,3783000,None,None,None,None,723000,None,-100207000,-100207000,None,USD,1089671000,None,None,29859000,101186000,988485000,None,None,5000,-1203204000,12149000,None,17501000,190428000,44452000,3955000,None,125000,24727000,830137000,217306000,988485000,609582000,268000,44585000,None,40497000,None,None,5000,None,-1203204000,None,None,17501000,None,259534000,48540000,44585000,12149000,56734000,None,None,None,2191559000,1089671000,800010000,None,50000000,USD,39441000,-1116000,38909000,39441000,-887000,2304000,None,-10142000,-100207000,-52832000,-94045000,-10142000,708000,None,3191000,None,1498000,15214000,532000,1498000,None,-52832000,42.0,62.95
2,2019-12-31,USD,3002000,96875000,74632000,3002000,-87186000,-88311000,74632000,None,-88311000,None,22243000,6687000,-93873000,None,1125000,0,5901000,4776000,None,None,None,None,786000,None,-88311000,-88311000,None,USD,1174123000,None,None,18715000,102658000,1071465000,None,None,5000,-1102997000,678000,None,6323000,243274000,44967000,3814000,None,1303000,25128000,759934000,370938000,1071465000,496291000,1654000,45613000,None,41153000,None,None,5000,None,-1102997000,None,None,18123000,None,414189000,49427000,45613000,12078000,57691000,None,None,None,2173154000,1174123000,739565000,None,50170953,USD,136076000,7142000,134190000,-492130000,-866000,-407000,-2037000,3752000,-88311000,72355000,-61428000,6058000,279000,None,459000,None,42000,13362000,1886000,42000,None,72355000,45.42,42.0
3,2019-09-30,USD,1350000,80685000,60257000,1350000,-71662000,-72865000,60257000,None,-72865000,None,20428000,7673000,-79335000,None,1203000,0,6889000,5686000,None,None,None,None,784000,None,-72865000,-72865000,None,USD,1242048000,None,None,20930000,95842000,1146206000,None,None,5000,-1014686000,609000,None,9989000,170884000,36816000,3676000,None,1442000,23698000,806381000,389980000,1146206000,612871000,1696000,46617000,None,33140000,None,None,5000,None,-1014686000,None,None,21989000,None,435667000,50293000,46617000,12409000,59026000,None,None,None,2159445000,1242048000,783755000,None,50000000,USD,20744000,6387000,19745000,-628206000,-846000,3756000,-2037000,1345000,-72865000,-28915000,-52416000,1345000,-756000,None,4602000,None,128000,13345000,999000,128000,None,-28915000,45.77,45.42
4,2019-06-30,USD,1022000,69578000,51211000,1022000,-60181000,-61403000,51211000,None,-61403000,None,18367000,8375000,-68556000,None,1222000,0,7595000,6373000,None,None,None,None,780000,None,-61403000,-61403000,None,USD,1284535000,None,None,20778000,83546000,1200989000,None,None,5000,-941821000,670000,None,9426000,200059000,28178000,3541000,None,1307000,23493000,1028754000,215762000,1200989000,806093000,1824000,47598000,None,24637000,None,None,5000,None,-941821000,None,None,16526000,None,255781000,51139000,47598000,7770000,55368000,None,None,None,2141498000,1284535000,1006152000,None,50000000,USD,-476510000,-2262000,-476352000,997000,-810000,3912000,-2037000,-4667000,-61403000,-527552000,-55112000,-4667000,-1467000,None,4722000,None,1259000,13428000,839000,1259000,None,-527552000,58.63,45.77
5,2019-03-31,USD,801057000,76547000,45396000,801057000,731708000,620134000,45396000,None,730467000,None,16578000,7198000,724510000,14573000,1241000,110333000,5246000,5246000,None,None,None,110333000,711000,None,620134000,620134000,None,USD,1330053000,None,None,18520000,86616000,1243437000,None,None,5000,-880418000,668000,None,15336000,727404000,31709000,3410000,500000,502000,23445000,1125918000,165354000,1243437000,376911000,3083000,48539000,None,28299000,None,None,5000,None,-880418000,None,None,15336000,None,204135000,51949000,48539000,6368000,54907000,None,None,None,2123348000,1330053000,1104315000,None,51000000,USD,-173437000,1080000,-174532000,-173437000,-760000,2604000,-2037000,-8563000,620134000,565722000,737650000,-8563000,-361000,None,3364000,None,2003000,123357000,1095000,2003000,None,565722000,44.83,58.63
6,2018-12-31,USD,8648000,53292000,37890000,8648000,-40202000,68711000,37890000,0,-41554000,0,15402000,4442000,-44644000,0,1352000,None,None,None,0,0,0,-110265000,3090000,-830000,68711000,68711000,None,USD,686903000,None,None,10008000,80645000,606258000,None,None,5000,-1500552000,1301000,None,120652000,161037000,29918000,3283000,None,-155000,23114000,460725000,82412000,606258000,284594000,5086000,49426000,None,26635000,None,None,5000,None,-1500552000,None,None,10319000,110333000,226178000,None,49426000,1301000,50727000,None,None,None,2106960000,686903000,445631000,None,49422991,USD,-313429000,9316000,-313565000,-12000,-968000,-416000,None,-313000,68711000,-347667000,-33686000,-2810000,130000,None,552000,None,-3760000,-105273000,124000,-3760000,41000,-347626000,38.95,44.83
7,2018-09-30,USD,3573000,39577000,28811000,3573000,-32891000,-34314000,28811000,0,-34314000,0,10766000,3113000,-36004000,0,1423000,None,None,None,0,0,0,0,1690000,0,-34314000,-34314000,None,USD,610034000,0,None,9524000,78718000,531316000,415000,800000,5000,-1569263000,1434000,0,9721000,508663000,21952000,3384000,None,-20000,27836000,572477000,None,531316000,52961000,1329000,55332000,0,17768000,0,0,5000,0,-1569263000,0,None,9721000,None,37557000,None,55332000,1019000,56766000,None,None,None,2100594000,610034000,561624000,None,49000000,USD,38031000,1138000,37990000,-1000,-1056000,414000,None,-2695000,-34314000,7381000,-31023000,-4860000,1280000,0,1470000,0,835000,4898000,40000,835000,65000,7446000,46.02,38.95
8,2018-06-30,USD,3994000,37160000,26755000,3994000,-30385000,-31833000,26755000,0,-31833000,0,10405000,2781000,-33166000,0,1448000,None,None,None,0,0,0,0,1333000,830000,-31833000,-31833000,None,USD,637560000,0,None,6539000,78722000,558838000,615000,800000,5000,-1534948000,1626000,0,7524000,501217000,20917000,3594000,59773000,-177000,28756000,601280000,None,558838000,91190000,2334000,56179000,0,16523000,0,0,5000,0,-1534948000,0,None,7524000,None,36280000,None,56179000,1011000,57805000,None,None,None,2093958000,637560000,592407000,None,49000000,USD,21895000,3310000,22111000,419000,-1016000,737000,None,-13500000,-31833000,-14875000,-37723000,-14723000,990000,0,1753000,0,-496000,5029000,203000,-496000,-49000,-14924000,43.6,46.02
9,2018-03-31,USD,1755000,32724000,21573000,1755000,-29661000,-31963000,21573000,0,-31133000,0,11151000,1308000,-30969000,0,1472000,None,None,None,0,0,0,0,-164000,-830000,-31133000,-31963000,None,USD,685468000,0,None,5409000,101333000,584135000,815000,24800000,5000,-1503116000,1817000,0,6100000,516141000,42527000,3799000,60788000,-241000,29507000,649861000,None,584135000,112980000,15331000,56989000,0,13928000,0,0,5000,0,-1503116000,0,None,6100000,None,35607000,None,56989000,1002000,58806000,None,None,None,2087487000,685468000,629121000,None,40000000,USD,-472000,-4158000,2191000,2988000,-960000,384296000,None,339000,-31963000,356707000,-29780000,613000,805000,0,385256000,0,661000,4262000,325000,661000,597000,357304000,39.5,43.6
