,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,39376000,32797000,None,None,7270000,7270000,23327000,None,7270000,None,9470000,691000,6579000,-39376000,None,0,691000,691000,None,None,None,None,None,None,7270000,7270000,None,USD,294801000,29000000,None,5059000,27686000,267115000,2531000,3250000,33000,-458806000,2531000,12638000,5232000,96709000,17271000,None,None,104000,2063000,235088000,None,225477000,130005000,3315000,None,None,14021000,None,None,33000,None,-458806000,None,None,16012000,None,59713000,11134000,None,7884000,10415000,None,None,None,725784000,294801000,226714000,None,32807519,USD,76954000,1264000,76549000,None,None,950000,None,-2675000,7270000,54383000,-23116000,-39803000,122000,None,950000,None,-260000,8291000,405000,-260000,None,54383000,23.32,
1,2020-03-31,USD,4081000,31775000,None,None,-26655000,-26655000,23046000,None,-26655000,None,8729000,1039000,-27694000,-4081000,None,0,1039000,1039000,None,None,None,None,None,None,-26655000,-26655000,None,USD,313310000,29000000,None,4568000,61542000,251768000,2531000,9979000,32000,-466076000,31857000,12638000,1661000,42326000,21146000,None,None,-86000,1780000,256752000,None,210130000,206803000,3055000,None,None,11167000,None,None,32000,None,-466076000,None,None,13140000,None,56558000,11803000,None,37865000,40396000,None,None,None,717898000,313310000,249129000,None,32624725,USD,20758000,-3628000,20693000,20758000,None,119000,None,-4303000,-26655000,-4406000,-25218000,-1444000,115000,None,119000,None,319000,6075000,65000,319000,None,-4406000,14.83,23.32
2,2019-12-31,USD,4766000,125992000,22616000,-17850000,-27825000,-27084000,85757000,None,-27825000,None,32919000,859000,-28684000,-8652000,None,-741000,859000,859000,None,None,None,-741000,0,None,-27084000,-27084000,None,USD,339907000,29000000,None,5363000,66690000,273217000,2531000,9597000,32000,-439421000,33168000,12638000,1684000,46732000,24440000,None,None,-201000,1830000,282780000,None,231579000,227311000,3374000,None,None,14843000,None,None,32000,None,-439421000,None,None,13659000,None,57127000,12268000,None,39719000,42250000,None,None,None,712807000,339907000,274043000,None,32558307,USD,-95007000,2633000,-95022000,-48764000,None,137415000,747000,2595000,-27084000,21865000,-20528000,-2619000,117000,None,137415000,None,-430000,6855000,15000,-430000,None,21865000,20.46,14.83
3,2019-09-30,USD,4231000,-4231000,30224000,-30224000,-25010000,-24995000,21736000,None,-25010000,None,8488000,983000,-25993000,-4231000,None,-15000,983000,983000,None,None,None,-15000,983000,None,-24995000,-24995000,None,USD,223345000,29000000,None,5441000,66856000,156489000,3251000,9359000,26000,-412337000,35519000,12638000,1671000,24867000,21498000,None,None,-205000,1931000,165322000,None,114851000,132070000,2944000,None,None,12139000,None,None,26000,None,-412337000,None,None,14454000,None,58023000,13047000,None,42107000,45358000,None,None,None,569005000,223345000,156937000,None,25872723,USD,7819000,4240000,7819000,46243000,None,1385000,None,2088000,-24995000,-9391000,-18595000,-4464000,117000,None,1385000,None,-41000,6548000,1539000,-41000,None,-9391000,9.83,20.46
4,2019-06-30,USD,3080000,-3084000,22780000,-22780000,-18518000,-18503000,18700000,None,-18514000,None,4080000,1182000,-19700000,-3084000,None,-11000,1182000,1182000,None,None,None,-11000,4000,None,-18503000,-18503000,None,USD,241511000,29000000,None,6746000,66804000,174707000,36834000,8936000,26000,-387342000,36834000,12638000,1693000,34258000,19935000,None,None,-187000,2048000,183460000,None,133069000,139553000,2903000,None,None,10999000,None,None,26000,None,-387342000,None,None,14365000,None,58051000,12889000,None,10035000,46869000,None,None,None,562210000,241511000,173811000,None,25646783,USD,25501000,-2790000,25450000,38424000,None,706000,None,-6182000,-18503000,5151000,-21005000,-3091000,125000,None,706000,None,84000,3170000,51000,84000,None,5151000,13.49,9.83
5,2019-03-31,USD,3885000,-1000,32221000,-28336000,-27060000,-27052000,22704000,None,-27059000,None,9517000,1276000,-28336000,-1000,None,-7000,1276000,1276000,None,None,None,-7000,1000,None,-27052000,-27052000,None,USD,259247000,29000000,None,4283000,68846000,190401000,None,53026000,26000,-368839000,33120000,12638000,1661000,29107000,25205000,2704000,2704000,-239000,2079000,200806000,None,148763000,164429000,2987000,10521000,None,15820000,None,None,26000,None,-368839000,None,None,14724000,None,58441000,13225000,None,10521000,43641000,None,None,None,559453000,259247000,193536000,None,25549757,USD,12923000,-2764000,11435000,12923000,None,140000,None,-1510000,-27052000,-12364000,-23939000,-1463000,135000,None,140000,None,-557000,7762000,1488000,-557000,None,-12364000,19.69,13.49
6,2018-12-31,USD,3735227,-92286406,107539000,-118607773,-25021522,-26160971,22704000,0,-25021522,0,4505814,1299845,-26321367,-14804000,0,None,None,None,0,0,0,1139449,-3000155,0,-26160971,-26160971,None,USD,268045000,29000000,None,1992000,57392000,210653000,38920000,5100000,25000,-341787000,38920000,12638000,3348000,41471000,18472000,None,None,-347000,557000,222502000,None,169015000,176609000,2430000,None,None,13372000,None,None,25000,None,-341787000,None,None,3348000,None,45543000,None,None,None,38920000,None,None,None,552762000,268045000,218080000,None,25495425,USD,-61948024,2564099,-62158822,-135057000,None,604521,408000,2177360,-26160971,-78281130,-16726829,-945587,-291750,None,604521,None,160441,7946939,210798,160441,None,-78281130,22.62,19.69
7,2018-09-30,USD,4285848,26861411,19108918,4285848,-21541580,-21535038,19108918,0,-21541580,0,7752493,1033983,-22575563,0,0,None,None,None,0,0,0,-6542,1033983,0,-21535038,-21535038,None,USD,282977202,29000000,None,3342759,53543978,229433224,38934256,5105104,25460,-315626044,38934256,12638136,950515,119752339,14609722,None,None,-354896,515798,239872753,None,187795088,114187793,2589862,0,0,9504618,0,0,25460,0,-315626044,0,None,950515,None,43104449,None,None,None,38934256,None,None,None,545388704,282977202,233940132,None,25460122,USD,-73562998,219618,-73600383,0,None,155844743,None,290022,-21535038,65560208,-16684152,-1147251,393804,0,155844743,0,-464265,5848980,37385,-464265,None,65560208,37.14,22.62
8,2018-06-30,USD,3217865,30383786,17840128,3217865,-26840139,-26806232,17840128,0,-26840139,0,12543658,325782,-27165921,0,0,None,None,None,0,0,0,-33907,-3974218,0,-26806232,-26806232,None,USD,142418089,29000000,None,2731385,53317524,89100565,40186659,5512109,20614,-294091006,40186659,12638136,406735,54192131,13130865,None,None,-372078,639897,97529218,2204103,47462429,38480105,2125597,0,0,7618756,0,0,20614,0,-294091006,0,None,406735,None,44888871,None,None,None,40186659,None,None,None,383543035,142418089,92672236,None,20614498,USD,1514650,-294620,1462393,0,None,1849305,None,-477154,-26806232,-12734499,-16046197,-909462,143860,0,1849305,0,137959,11682298,52257,137959,None,-12734499,39.21,37.14
9,2018-03-31,USD,3565060,20237209,14541174,3565060,-16248759,-16248759,14541174,0,-16248759,0,5696035,423390,-16672149,0,0,None,None,None,0,0,0,0,423390,0,-16248759,-16248759,None,USD,156020828,29000000,None,43866794,53639579,102381249,41459646,5159587,20387,-267284774,41459646,12638136,425592,66926630,12179933,None,None,-459350,731500,113225600,None,102381249,42232348,2263556,0,0,7020346,0,0,20387,0,-267284774,0,None,None,None,42795228,None,None,None,41459646,None,None,None,370104986,156020828,109158978,None,20386736,USD,-1060628,-2544097,-1100188,0,None,1494431,None,-2483228,-16248759,-15106579,-15500822,-991700,168086,0,1494431,0,9865,4105783,39560,9865,None,-15106579,49.14,39.21
