,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,95342000,107329000,91935000,3407000,-20109000,-35061000,None,None,-33747000,1280000,12010000,None,-11987000,None,4446000,1117000,6000,-4440000,None,None,None,1117000,-17320000,None,-34864000,-35061000,None,USD,328349000,53997000,None,6146000,393199000,-66130000,None,2691000,25413000,213023000,10994000,73849000,11281000,68177000,78600000,None,None,None,41504000,147718000,None,-193976000,30047000,30850000,288581000,None,20926000,None,None,None,None,None,None,None,7378000,None,180631000,24324000,None,442000,314599000,None,None,None,None,None,None,None,None,USD,-955000,-3618000,-955000,None,None,-392000,-180000,-2214000,-35061000,-10915000,-9568000,None,9192000,None,None,None,7515000,14270000,955000,None,None,None,14.74,
1,2020-03-31,USD,121444000,122674000,106593000,14851000,6624000,-11650000,None,None,-9124000,1263000,11203000,None,-1230000,None,4716000,2421000,74000,-4642000,None,None,None,2421000,-3252000,None,-11545000,-11650000,None,USD,368595000,56837000,None,8083000,400119000,-32787000,None,3176000,25413000,252466000,11123000,73849000,9256000,79098000,84722000,None,None,None,47048000,181605000,None,-163473000,41271000,36388000,288233000,None,23026000,None,None,None,None,None,-447229000,None,4993000,None,186990000,27447000,288233000,305000,315397000,None,None,None,136563000,None,120369000,None,15000000,USD,-511000,-3116000,-511000,None,None,-1516000,-311000,-2815000,-11650000,-3675000,-1648000,None,11032000,None,None,None,-303000,4853000,511000,None,None,None,7.67,14.74
2,2019-12-31,USD,140688000,142406000,118494000,22194000,6747000,-306106000,None,None,-8459000,1469000,19628000,None,-1718000,7688000,4737000,297626000,6000,-4731000,-1700000,None,None,297626000,-2010000,None,-306085000,-306106000,None,USD,385119000,61046000,None,6192000,406476000,-22826000,None,3326000,25413000,272026000,11309000,73849000,12436000,82741000,87578000,None,None,None,53600000,184188000,None,-157721000,42618000,35921000,287882000,None,22431000,None,None,None,None,None,-453934000,None,7337000,None,200931000,31105000,287882000,286000,318898000,None,None,None,133669000,None,125359000,None,16000000,USD,-842000,801000,-842000,-665000,-176000,-7694000,-749000,254000,-306106000,15958000,24494000,None,10469000,None,-6598000,None,19373000,299352000,957000,None,None,None,19.33,7.67
3,2019-09-30,USD,141493000,138090000,121301000,20192000,25636000,7165000,None,None,12955000,1325000,17835000,None,3403000,7688000,3357000,5379000,69000,-3288000,None,None,None,5379000,12840000,None,7576000,7165000,None,USD,689129000,65318000,None,5654000,400473000,287331000,None,4757000,25413000,579557000,7471000,79009000,303012000,66901000,88994000,None,None,None,54459000,187331000,None,143004000,40093000,58467000,287707000,None,18209000,None,None,None,None,None,-448590000,None,6171000,None,501798000,28265000,287707000,406000,311479000,None,None,None,130951000,None,106994000,None,16000000,USD,39100000,-471000,39100000,-665000,-39010000,-46633000,-865000,1345000,7165000,-18495000,-10962000,None,9324000,None,-6697000,None,-15791000,-12895000,270000,None,None,None,20.22,19.33
4,2019-06-30,USD,196535000,188492000,167879000,28656000,29949000,-5844000,None,None,11909000,1779000,13002000,12315000,8043000,7688000,6550000,16513000,116000,-6434000,-12300000,1899000,None,16513000,10300000,None,-4604000,-5844000,None,USD,743871000,68616000,None,10637000,457999000,284093000,None,23005000,25413000,574040000,7652000,79009000,303207000,85379000,111143000,6502000,6502000,None,59980000,233059000,None,136468000,44144000,39130000,319854000,None,24819000,None,None,25413000,None,574040000,-443480000,None,6141000,None,510812000,31605000,319854000,423000,346856000,None,None,None,128120000,743871000,129523000,None,16000000,USD,7419000,-269000,7419000,1087000,-5810000,-13534000,-518000,42845000,-5844000,33696000,39811000,45461000,11490000,-518000,-6700000,None,-16880000,8102000,144000,-16880000,None,33696000,19.66,20.22
5,2019-03-31,USD,169935000,165344000,124215000,45720000,20799000,-3184000,None,None,-3966000,1057000,31846000,2612000,-626000,7688000,6749000,-1222000,-3563000,-6598000,None,4420000,None,-1222000,-1959000,None,-2744000,-3184000,None,USD,759548000,72160000,None,37066000,465237000,294311000,None,14381000,25413000,584759000,7565000,79009000,315128000,51509000,110836000,9222000,9222000,None,74991000,214685000,None,143142000,78693000,28634000,322577000,None,20908000,None,None,25413000,None,584759000,-441149000,None,6619000,None,544863000,38300000,322577000,404000,353344000,None,None,None,125288000,759548000,130202000,None,16000000,USD,-790000,-16318000,-790000,1087000,-5810000,-1177000,-1205000,-8474000,-2744000,-8622000,-6655000,-1274000,9369000,-620000,28000,None,1091000,1891000,790000,1091000,None,-8622000,23.67,19.66
6,2018-12-31,USD,217633000,204838000,164185000,53448000,12795000,-11485000,0,0,-12829000,1237000,32038000,-8221000,12795000,0,-6639000,None,None,None,200000,8124000,0,-1961000,-25624000,0,-10868000,-11485000,None,USD,741700000,91653000,None,49569000,445032000,295431000,None,12371000,25413000,590655000,9178000,81387000,321495000,58294000,104378000,None,None,None,45631000,201534000,None,122391000,36181000,44406000,331476000,None,27853000,None,None,25413000,None,590655000,-443304000,None,12406000,309089000,540166000,None,331476000,9178000,340654000,None,None,None,122667000,741700000,94475000,None,17000000,USD,6476000,-9123000,291000,1087000,-49938000,-69585000,-907000,10336000,-11485000,-44542000,24752000,12753000,13157000,-907000,-18523000,None,10041000,11396000,291000,10041000,None,-44542000,22.49,23.67
7,2018-09-30,USD,204575000,193909000,147580000,56995000,10666000,8667000,0,0,16129000,1527000,38655000,1936000,10666000,0,-6725000,None,None,None,0,3436000,0,6608000,5463000,0,9521000,8667000,None,USD,829265000,98754000,None,62338000,506124000,321614000,0,19205000,25413000,603343000,7866000,84027000,318080000,102860000,151714000,34440000,34440000,None,52026000,276378000,None,138833000,44967000,55283000,346544000,0,30065000,323141000,118625000,25413000,0,603343000,-425767000,None,13697000,304383000,552887000,None,346544000,7866000,354410000,None,None,None,118625000,829265000,147827000,None,18000000,USD,6476000,27926000,13549000,1087000,-15000000,-15710000,-731000,-17720000,8667000,18236000,20397000,-12026000,14314000,-731000,219000,0,-2408000,-10834000,1451000,-2408000,None,18236000,32.23,22.49
8,2018-06-30,USD,218556000,42924000,163206000,55350000,10098000,1568000,0,0,3071000,687000,42924000,-2328000,12426000,0,7027000,None,None,None,0,0,0,687000,-9355000,0,2255000,1568000,None,USD,809896000,105374000,None,70009000,497605000,310887000,0,25020000,25413000,596268000,9407000,86283000,316230000,84569000,133866000,41200000,41200000,None,58820000,243189000,None,119230000,43185000,45426000,354332000,0,67646000,312291000,116586000,25413000,0,596268000,-427380000,None,11174000,305056000,566707000,None,354332000,9407000,363739000,None,None,None,116586000,809896000,127754000,None,18000000,USD,None,-2091000,-1498000,0,-17001000,-28957000,-410000,1304000,2255000,1367000,31822000,8866000,15872000,-509000,-11037000,0,4634000,1848000,1498000,4634000,None,1367000,29.17,32.23
9,2018-03-31,USD,197438000,43124000,140741000,50244000,891000,-6022000,0,0,-4972000,525000,43124000,-6229000,7120000,0,5863000,None,None,None,0,0,0,525000,-12092000,0,-5497000,-4132000,None,USD,831773000,112918000,None,73955000,511691000,318856000,0,22140000,25413000,600253000,15415000,86283000,514892000,84850000,94560000,5945000,5945000,None,65585000,251296000,None,119655000,41652000,50839000,401716000,0,66475000,320082000,114676000,25413000,0,600253000,-421486000,None,10012000,305679000,580477000,None,401716000,15415000,417131000,None,None,None,114676000,831773000,126502000,None,17000000,USD,None,-23692000,-1258000,0,-1982000,-10031000,-1168000,-14235000,-3607000,-19858000,-8569000,-8732000,15868000,-672000,-7377000,0,2289000,9468000,1258000,2289000,None,-19858000,26.56,29.17
