,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,118000,2007000,111000,7000,-2068000,-2068000,814000,None,-2068000,None,1193000,-68000,-2000000,None,None,0,-68000,-68000,None,None,None,None,None,None,-2068000,-2068000,None,USD,7508000,None,None,361000,4857000,2651000,None,326000,190599000,-197687000,None,None,72000,4660000,4146000,2500000,2500000,None,371000,6128000,None,2651000,None,514000,None,593000,3820000,None,None,190599000,None,-197687000,-4129000,None,1009000,None,1380000,1037000,43000,711000,711000,None,None,None,13868000,7508000,4660000,None,7575742,USD,0,35000,None,None,1000000,5378000,None,706000,-2068000,3778000,-1600000,491000,38000,None,4378000,-319000,128000,95000,0,128000,None,3778000,2.6,
1,2019-12-31,USD,205000,2049000,196000,9000,-2083000,-2083000,939000,None,-2083000,None,1110000,-43000,-2040000,None,-43000,0,-43000,-43000,None,None,None,None,-43000,None,-2083000,-2083000,None,USD,3677000,None,None,924000,3430000,247000,None,301000,190598000,-195619000,None,None,286000,393000,2678000,1500000,1500000,None,351000,2018000,214000,247000,None,427000,None,274000,2377000,None,None,190598000,None,-195619000,-4129000,None,1094000,None,1659000,1053000,None,752000,752000,None,None,None,9397000,3677000,393000,None,6348137,USD,0,54000,None,None,1000000,951000,None,211000,-2083000,-575000,-1526000,426000,148000,None,951000,56000,-210000,83000,0,-210000,None,-575000,1.8,2.6
2,2019-09-30,USD,1000,2057000,0,1000,-2068000,-2068000,855000,None,-2068000,None,1202000,-12000,-2056000,None,-12000,0,-12000,-12000,None,None,None,None,-12000,None,-2068000,-2068000,None,USD,5115000,None,None,338000,3820000,1295000,None,237000,190597000,-193536000,None,None,286000,1579000,2516000,1500000,1500000,None,409000,2893000,214000,1295000,None,646000,None,330000,2279000,None,None,190597000,None,-193536000,-4129000,None,1599000,None,2222000,1541000,None,1304000,1304000,None,None,None,8363000,5115000,1579000,None,5926137,USD,0,-61000,None,None,1500000,1821000,None,53000,-2068000,-9000,-1830000,53000,141000,None,321000,1000,0,104000,0,None,None,-9000,1.77,1.8
3,2019-06-30,USD,87000,1760000,79000,8000,-1742000,-1742000,552000,None,-1742000,None,1208000,10000,-1752000,None,-12000,0,10000,10000,None,None,None,None,10000,None,-1742000,-1742000,None,USD,3692000,None,None,371000,984000,2708000,None,2000,190571000,-191698000,146000,None,501000,1588000,838000,None,None,None,469000,2722000,429000,2708000,0,432000,None,331000,838000,None,None,190571000,None,-191698000,-4129000,None,72000,None,970000,None,None,146000,146000,None,None,None,7964000,3692000,1588000,None,5775171,USD,0,21000,3597000,3597000,1500000,1989000,None,-80000,-1742000,64000,-1925000,-80000,62000,None,1989000,-324000,38000,100000,0,38000,None,64000,2.5,1.77
4,2019-03-31,USD,0,2264000,0,0,-2252000,-1394000,1026000,None,-2252000,None,1238000,12000,-2264000,None,-12000,-858000,12000,12000,None,None,None,-858000,12000,None,-1394000,-1394000,None,USD,3363000,None,None,328000,1002000,2361000,None,393000,190648000,-189956000,156000,None,510000,1524000,846000,None,None,None,531000,2322000,0,2361000,0,470000,None,None,453000,None,None,190648000,None,-189956000,-4129000,None,81000,429000,1041000,None,None,156000,156000,None,None,None,5798000,3363000,1524000,None,5776509,USD,0,-80000,3597000,3597000,1500000,998000,None,-126000,-1394000,-1322000,-2320000,-555000,64000,None,998000,-324000,-33000,-322000,0,-33000,None,-1322000,3.64,2.5
5,2018-12-31,USD,7000,2183000,11000,7000,-2160000,-2160000,897000,None,-2160000,None,1286000,16000,-2176000,None,-12000,None,None,None,None,None,None,0,16000,None,-2160000,-2160000,None,USD,3766000,None,None,236000,1116000,2650000,None,336000,190584000,-188562000,167000,None,81000,2846000,949000,None,None,None,595000,3090000,None,2650000,None,8000,None,None,613000,None,None,190584000,None,-188562000,-4129000,None,81000,None,676000,None,None,167000,167000,None,None,None,4757000,3766000,2846000,None,5570969,USD,None,114000,2000,2000,1500000,2921000,None,-87000,-2160000,940000,-1983000,-87000,67000,None,2921000,-324000,21000,62000,0,21000,None,940000,4.77,3.64
6,2018-09-30,USD,33000,2247000,11000,22000,-2238000,-2238000,1103000,None,-2238000,None,1144000,-13000,-2225000,None,-13000,None,None,None,None,None,None,0,-13000,None,-2238000,-2238000,None,USD,2950000,0,None,270000,1123000,1827000,0,526000,190565000,-186402000,177000,0,81000,1906000,946000,None,None,None,664000,2205000,None,1827000,0,29000,0,0,420000,0,0,190565000,0,-186402000,-4129000,None,81000,None,745000,None,None,177000,177000,None,None,None,1793000,2950000,1906000,None,4095374,USD,3595000,-7000,3595000,0,None,6000,None,-127000,-2238000,1354000,-2247000,-127000,75000,0,6000,-324000,-17000,67000,0,-17000,None,1354000,2.77,4.77
7,2018-06-30,USD,45000,4269000,12000,33000,-4253000,-4253000,1319000,0,-4253000,0,1257000,-17000,-4236000,0,-17000,None,None,None,0,1693000,0,0,-1710000,0,-4253000,-4253000,None,USD,5140000,0,None,154000,1148000,3992000,0,434000,190570000,-184164000,188000,0,81000,552000,960000,None,None,-31000,733000,4276000,50000,3992000,3551000,12000,0,7000,526000,0,1745000,190570000,0,-184164000,-4128000,None,81000,None,864000,None,None,188000,188000,None,None,None,1745000,5140000,4103000,None,4097346,USD,2071000,-12000,2066000,0,None,-4000,None,156000,-4253000,-81000,-2143000,156000,170000,0,-4000,0,-8000,1804000,5000,-8000,None,-81000,3.1,2.77
8,2018-03-31,USD,41000,2858000,2656000,-17000,-2855000,-2855000,1495000,0,-2855000,0,1363000,3000,-2858000,0,-17000,None,None,None,0,0,0,0,3000,0,-2855000,-2855000,None,USD,9311000,0,None,269000,1146000,8165000,0,2000,190544000,-179911000,216000,0,81000,633000,930000,None,None,-52000,2618000,6562000,50000,8165000,5647000,4000,0,9000,930000,0,0,190544000,0,-179911000,-4124000,None,81000,None,2749000,None,None,216000,216000,None,None,None,1708000,9311000,6280000,None,4107538,USD,2792000,-161000,2792000,0,None,-4000,None,-171000,-2855000,-81000,-2792000,-171000,202000,0,0,0,6000,187000,5000,6000,None,None,2.65,3.1
9,2017-12-31,USD,41000,3184000,24000,17000,-3137000,-3137000,1582000,0,-3137000,0,1602000,30000,-3167000,0,-17000,None,None,None,0,0,0,0,-40000,0,-3137000,-3137000,None,USD,12347000,0,None,272000,1482000,10865000,0,967000,190491000,-177056000,228000,0,1336000,633000,1254000,None,None,-62000,2808000,8203000,1255000,10865000,7278000,10000,0,10000,1254000,0,0,190491000,0,-177056000,-4124000,None,81000,None,4144000,None,None,228000,228000,None,None,None,1616000,12347000,7911000,None,4107538,USD,2926000,85000,2919000,0,None,-4000,None,253000,-3137000,538000,-2381000,253000,195000,0,0,0,136000,153000,7000,70000,None,538000,3.35,2.65
