,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,109098000,102074000,None,109098000,7680000,4746000,None,None,6106000,3618000,34125000,656000,7024000,67828000,1574000,-2258000,66000,-1508000,None,121000,None,-2258000,469000,None,8364000,4746000,None,USD,1111605000,100305000,None,66799000,313962000,668730000,5476000,32259000,172000,540183000,62236000,60691000,35029000,125870000,118432000,3750000,3750000,-61410000,587857000,244190000,None,507734000,285000,46683000,80874000,4553000,82423000,None,None,172000,None,540183000,None,None,118562000,None,867415000,63733000,80874000,109180000,195530000,None,None,None,189785000,1111605000,126155000,-674449000,15968423,USD,-37904000,3706000,-37904000,-40672000,-987000,-8124000,-108000,42000,8366000,-21112000,24916000,695000,22125000,-4043000,-2986000,-7744000,-3588000,1356000,678000,-3588000,None,-21112000,60.57,
1,2020-03-31,USD,110905000,103606000,28113000,110905000,4641000,-1014000,None,None,3485000,3390000,34427000,-2658000,7299000,69120000,1156000,1109000,243000,-913000,None,59000,None,1109000,-2960000,None,2376000,-1014000,None,USD,1108592000,100701000,None,37608000,315513000,665758000,7545000,31040000,172000,538161000,66573000,60691000,35516000,146985000,113444000,3750000,3750000,-62242000,592927000,235342000,None,504366000,104000,45246000,81775000,5399000,78654000,None,None,172000,None,538161000,-54358000,None,118931000,None,873250000,64900000,81775000,112749000,202069000,None,None,None,189667000,1108592000,147089000,-653525000,15979034,USD,-2768000,-3616000,-16829000,-14061000,-1948000,-13888000,-1625000,382000,2376000,-15258000,15459000,697000,22644000,-6941000,-3374000,431000,-10887000,3814000,8393000,-10887000,None,-15258000,58.71,60.57
2,2019-12-31,USD,112085000,107871000,29503000,82582000,21115000,-9754000,19415000,None,-4307000,129961000,54113000,None,4214000,None,1167000,1331000,403000,-764000,None,None,None,1331000,-7757000,None,-5638000,-9754000,None,USD,1130726000,101127000,None,65949000,324643000,676122000,1100000,95996000,172000,541890000,66134000,60691000,41741000,161287000,119669000,3750000,3750000,-3282000,674344000,228723000,19600000,509804000,416000,35904000,82676000,5253000,74093000,None,None,None,None,None,-51129000,None,65841000,None,902003000,67570000,82676000,57454000,204974000,None,None,None,188471000,None,161703000,None,16000000,USD,-25604000,-8860000,-25604000,3140000,-1875000,-9189000,-4552000,-4885000,-9754000,-3993000,31056000,None,24255000,-2720000,0,3894000,6682000,20185000,23239000,None,None,None,55.39,58.71
3,2019-09-30,USD,115616000,105368000,27622000,115616000,7976000,1385000,20095000,None,6678000,3459000,34895000,-2272000,10248000,70320000,1298000,1834000,414000,-884000,None,153000,None,1834000,-2839000,None,4844000,1385000,None,USD,1162800000,101551000,None,38249000,344501000,688083000,3989000,28320000,172000,554363000,60231000,63970000,39756000,166351000,141030000,4688000,4688000,-52898000,605501000,257811000,23100000,522562000,3250000,44640000,83577000,5321000,108022000,None,None,172000,None,554363000,-50384000,None,133967000,None,904989000,69575000,83577000,115905000,203471000,None,None,None,186446000,1162800000,169601000,-608530000,15998504,USD,1715000,1160000,-12375000,-14090000,-938000,-6224000,-29000,150000,4843000,19726000,38325000,-2292000,22733000,-4603000,-654000,3623000,4693000,3565000,1063000,4693000,None,19726000,58.37,55.39
4,2019-06-30,USD,107721000,104967000,27930000,107721000,3016000,-856000,19107000,None,1753000,2883000,36464000,262000,2754000,68586000,1263000,-274000,517000,-746000,None,-83000,None,-274000,-172000,None,2027000,-856000,None,USD,1146976000,101963000,None,41028000,328435000,689683000,5702000,31482000,172000,555806000,54908000,63970000,47814000,146682000,130301000,4688000,4688000,-51407000,613703000,250229000,23100000,523750000,5281000,50524000,84478000,6714000,94131000,None,None,172000,None,555806000,-50125000,None,117111000,None,896747000,68769000,84478000,107954000,198134000,None,None,None,185112000,1146976000,151963000,-602123000,16005046,USD,-28000,-9522000,-17660000,-17632000,-2278000,-7980000,-1578000,278000,2027000,-25888000,-248000,-73000,21679000,-5057000,933000,-9220000,-5784000,645000,1773000,-5784000,None,-25888000,57.73,58.37
5,2019-03-31,USD,103300000,101186000,27888000,103300000,3229000,-1581000,19032000,None,1948000,2316000,33206000,1115000,2114000,67638000,1281000,1213000,-353000,-353000,None,342000,None,1213000,-28043000,None,735000,-1581000,None,USD,1162830000,102469000,None,30910000,342846000,691021000,8362000,29417000,172000,559319000,57314000,63970000,46485000,172554000,141317000,4688000,4688000,-51549000,619798000,261144000,33100000,524582000,5280000,46161000,85380000,6239000,107212000,None,None,172000,None,559319000,-50116000,None,115449000,None,901686000,67186000,85380000,107787000,201529000,None,None,None,183079000,1162830000,177834000,-581606000,15993920,USD,-14859000,-206000,-32623000,-17764000,-949000,-6515000,-1277000,1686000,735000,-20368000,18770000,5482000,20878000,-4260000,-1306000,90000,-9102000,893000,8129000,-9102000,None,-20368000,56.39,57.73
6,2018-12-31,USD,107806000,97569000,30441000,107806000,12550000,1132000,18293000,0,11337000,4354000,36000000,2313000,10237000,69935000,1213000,None,None,None,148000,-8366000,0,5851000,7917000,0,5486000,1132000,None,USD,1107304000,103009000,None,37855000,283980000,695387000,10276000,20574000,172000,563593000,57036000,63970000,10108000,192907000,140650000,4688000,4688000,-50156000,626852000,275765000,23100000,528408000,393000,38305000,86294000,6305000,115388000,None,None,172000,None,563593000,-48547000,None,37708000,None,831539000,None,86294000,46760000,143330000,None,None,None,181778000,1107304000,193300000,-562064000,16002699,USD,-138000,8599000,18333000,18471000,-4072000,-17282000,-7976000,513000,5485000,18902000,17851000,-377000,21289000,-6222000,-6988000,6639000,5575000,-29359000,325000,5575000,None,18902000,71.53,56.39
7,2018-09-30,USD,121138000,90314000,29866000,121138000,30148000,17022000,18177000,0,27919000,3887000,34205000,-676000,30824000,69427000,2229000,None,None,None,0,-13318000,0,7010000,10413000,0,20909000,17022000,None,USD,1184050000,105815000,None,134716000,355003000,697655000,7614000,98749000,170000,565180000,52494000,63970000,27441000,162183000,215326000,4688000,4688000,-42609000,614427000,349297000,23100000,527870000,314000,44094000,87183000,7990000,111889000,0,0,170000,0,565180000,-40285000,None,50541000,None,834753000,None,87183000,44880000,139677000,None,None,None,174914000,1184050000,162497000,-543139000,15958952,USD,1216000,14558000,-46814000,-48030000,-937000,-11164000,-7570000,681000,20910000,-6001000,51977000,4494000,21583000,-5147000,-5080000,-1969000,3348000,-10947000,64000,3348000,None,-6001000,73.88,71.53
8,2018-06-30,USD,117788000,102035000,28257000,117788000,15195000,7216000,18409000,0,12868000,3564000,35167000,-558000,15753000,68763000,2327000,None,None,None,0,-1895000,0,2088000,-1174000,0,10780000,7216000,None,USD,1188999000,106355000,None,35386000,369490000,683085000,30755000,17727000,170000,550872000,72367000,63970000,29293000,168178000,157390000,11268000,11268000,-40127000,702968000,264313000,22100000,512760000,1595000,51365000,139733000,7789000,128395000,0,0,170000,0,550872000,-40268000,None,51393000,None,924686000,None,139733000,41612000,212100000,None,None,None,172170000,1188999000,169773000,-553007000,15957537,USD,539000,-2314000,-51761000,-52300000,-3848000,-8654000,-470000,-1067000,10780000,-36922000,23493000,-627000,22108000,-3129000,-1677000,-2737000,-5544000,1827000,6802000,-5544000,None,-36922000,52.77,73.88
9,2018-03-31,USD,104475000,100266000,78168000,104475000,3822000,-5555000,18152000,0,1618000,3252000,34102000,-387000,4209000,65853000,2204000,None,None,None,0,311000,0,3921000,-3384000,0,-2303000,-5555000,None,USD,1196818000,107001000,None,33450000,382803000,680607000,30945000,26750000,170000,546368000,42264000,63970000,219975000,205252000,168891000,14192000,14192000,-36000000,673488000,303355000,20100000,509636000,2228000,47679000,140703000,14746000,127949000,0,0,170000,0,546368000,-38649000,None,49004000,None,893463000,None,140703000,42264000,213912000,None,None,None,170069000,1196818000,207480000,-546593000,15984021,USD,4809000,2980000,-7077000,-11886000,-938000,-18130000,-12427000,1413000,-2303000,-2663000,22544000,-581000,21502000,-15148000,-2044000,3991000,-5061000,2016000,20068000,-5061000,None,-2663000,59.62,52.77
