,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,3781000,0,0,-3734000,-3779000,2086000,None,-3779000,None,1695000,None,-3781000,None,None,None,2000,2000,None,None,None,None,None,None,-3779000,-3779000,None,USD,18825000,None,None,None,1247000,17578000,None,None,20000,-142686000,None,None,463000,17965000,1247000,None,None,None,142000,18220000,None,17578000,None,None,None,None,586000,None,None,None,None,None,None,None,None,None,605000,78000,None,None,0,None,None,None,None,None,None,None,None,USD,-8000,38000,-8000,None,None,9532000,None,-21000,-3779000,6575000,-2949000,None,47000,None,None,None,0,766000,8000,None,None,None,9.0,
1,2020-03-31,USD,62000,3745000,13000,49000,-3637000,-3645000,2062000,None,-3645000,None,1670000,None,-3683000,None,None,None,38000,38000,None,None,None,None,None,None,-3645000,-3645000,None,USD,12152000,None,None,None,1093000,11059000,None,None,18000,-138907000,None,None,463000,11390000,1093000,None,None,None,181000,11508000,None,11059000,None,None,None,None,548000,None,None,None,None,None,None,None,644000,None,644000,116000,None,None,0,None,None,None,149948000,None,11390000,None,17000000,USD,-3000,196000,-3000,None,None,164000,None,-1007000,-3645000,-3481000,-3642000,None,46000,None,164000,None,0,768000,3000,None,None,None,3.5,9.0
2,2019-12-31,USD,138000,3244000,29000,109000,-2961000,-3046000,1818000,None,-3046000,None,1397000,None,-3106000,None,None,None,60000,60000,None,None,None,None,60000,None,-3046000,-3046000,None,USD,15240000,None,None,None,1468000,13772000,None,37000,17000,-135262000,None,None,13000,14871000,1468000,None,None,None,224000,15003000,None,13772000,None,0,None,None,315000,None,None,None,None,None,None,None,237000,None,237000,152000,None,None,0,None,None,None,149017000,None,14871000,None,16000000,USD,0,147000,-3000,None,None,0,None,-11000,-3046000,-1929000,-1929000,None,145000,None,6397000,None,187000,649000,51000,None,None,None,3.08,3.5
3,2019-09-30,USD,254000,3429000,204000,50000,-3163000,-3086000,1746000,None,-3086000,None,1479000,None,-3175000,None,None,None,89000,89000,None,None,None,None,89000,None,-3086000,-3086000,None,USD,17449000,None,None,None,1280000,16169000,None,None,17000,-132216000,None,None,13000,16800000,1240000,None,None,None,270000,17166000,None,16169000,None,187000,None,None,205000,None,None,None,None,None,None,None,283000,None,283000,187000,None,None,40000,None,None,None,148368000,None,16800000,None,17000000,USD,0,-23000,-3000,None,None,0,None,150000,-3086000,-2318000,-2318000,None,12000,None,6397000,None,-169000,798000,51000,None,None,None,3.77,3.08
4,2019-06-30,USD,70000,3790000,20000,50000,-3709000,-3634000,2057000,None,-3634000,None,1713000,None,-3720000,None,None,None,86000,86000,None,None,None,None,86000,None,-3634000,-3634000,None,USD,19801000,None,None,None,1344000,18457000,None,16000,17000,-129130000,None,None,13000,19118000,1266000,None,None,None,315000,19473000,None,18457000,None,18000,None,None,211000,None,None,None,None,None,None,None,328000,None,328000,221000,None,None,78000,None,None,None,147570000,None,19118000,None,15000000,USD,-9000,-48000,-9000,None,None,6397000,None,494000,-3634000,3981000,-2407000,None,11000,None,6397000,None,-18000,788000,9000,None,None,None,5.03,3.77
5,2019-03-31,USD,71000,3695000,0,71000,-3614000,-3534000,2127000,None,-3534000,None,1568000,None,-3624000,None,None,None,90000,90000,None,None,None,None,90000,None,-3534000,-3534000,None,USD,15920000,None,None,None,1014000,14906000,None,34000,15000,-125496000,None,None,13000,15137000,898000,138000,138000,None,351000,15556000,None,14906000,None,50000,116000,None,242000,None,None,None,None,None,None,None,364000,None,364000,254000,None,None,116000,None,None,None,140387000,None,15137000,None,15000000,USD,-42000,-127000,-42000,None,None,6397000,None,-982000,-3534000,-3796000,-3754000,None,10000,None,None,None,185000,694000,42000,None,None,None,2.65,5.03
6,2018-12-31,USD,150000,3440000,35000,115000,-3290000,-3199000,1968000,0,-3199000,0,1437000,None,-3290000,0,0,None,None,None,0,0,0,0,91000,0,-3199000,-3199000,None,USD,19357000,None,None,None,1611000,17746000,None,55000,15000,-121962000,None,None,13000,18933000,1611000,None,None,None,56000,19288000,None,17746000,None,185000,None,None,348000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,139693000,None,18933000,None,13000000,USD,None,-11000,-2000,None,None,11395000,35000,265000,-3199000,8976000,-2417000,None,9000,None,11360000,None,-110000,629000,2000,None,None,None,2.87,2.65
7,2018-09-30,USD,96000,3483000,3475000,17000,-3483000,-3435000,1922000,0,-3435000,0,1561000,None,-3483000,0,0,None,None,None,0,0,0,0,48000,0,-3435000,-3435000,None,USD,10408000,0,None,227000,1451000,8957000,73000,75000,12000,-118763000,None,0,86000,9957000,1451000,None,None,None,63000,10259000,None,8957000,0,75000,0,0,354000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12000000,USD,None,75000,-7000,0,None,-35000,-35000,446000,-3435000,-2297000,-2255000,None,8000,0,0,0,21000,630000,7000,None,None,None,5.98,2.87
8,2018-06-30,USD,96000,3317000,113000,-17000,-3221000,-3171000,1738000,0,-3171000,0,1466000,None,-3221000,0,0,None,None,None,0,0,0,0,50000,0,-3171000,-3171000,None,USD,12724000,0,None,296000,962000,11762000,0,623000,12000,-115328000,None,0,13000,12254000,962000,None,None,None,65000,12646000,None,11762000,0,96000,0,0,339000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12000000,USD,None,56000,-4000,0,None,-35000,-35000,294000,-3171000,-2293000,-2289000,None,8000,0,0,0,-96000,620000,4000,None,None,None,6.12,5.98
9,2018-03-31,USD,0,3139000,3131000,0,-3139000,-3092000,1690000,0,-3092000,0,1449000,None,-3139000,0,0,None,None,None,0,0,0,0,47000,0,-3092000,-3092000,None,USD,15029000,0,None,401000,717000,14312000,0,434000,12000,-112157000,None,0,13000,14547000,717000,None,None,None,68000,14948000,None,14312000,0,None,0,0,283000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12000000,USD,None,85000,-10000,0,None,-35000,-35000,-470000,-3092000,-2822000,-2812000,None,8000,0,0,0,110000,547000,10000,None,None,None,6.24,6.12
