,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,4159701000,4135728000,3684630000,475071000,67905000,52161000,None,None,-16143000,None,451098000,None,23973000,-4474000,25488000,-68304000,None,-25488000,None,None,None,-68304000,-14628000,None,52161000,52161000,None,USD,8105197000,65437000,None,None,4378799000,3726398000,None,None,98793000,2421845000,419923000,773734000,256696000,477038000,2280366000,None,51000,-388380000,680524000,6328806000,None,2887227000,None,2928386000,1424791000,2731988000,1754078000,None,None,None,None,None,None,None,256696000,None,1776391000,307032000,None,419923000,2098433000,None,None,None,None,None,None,None,None,USD,-9805000,5933000,-9805000,2555000,-178170000,-200120000,802000,38087000,52161000,74383000,287572000,None,58560000,-20740000,-2012000,38795000,None,25445000,12360000,None,None,None,27.89,
1,2020-03-31,USD,4309818000,634693000,3790885000,518933000,-128368000,-128661000,None,None,-158086000,None,469646000,-12608000,-115760000,1811000,29718000,-29425000,None,-29718000,None,165047000,None,-29425000,-177655000,None,-128661000,-128661000,None,USD,8089728000,77306000,None,180956000,4412450000,3677278000,None,55496000,98761000,2390425000,362883000,760939000,250248000,402655000,2607788000,399965000,399965000,-399202000,413371000,6316621000,None,2839033000,None,2987791000,1194240000,2745219000,2152327000,None,None,98761000,None,2390425000,None,None,521491000,None,1773107000,303035000,1194240000,610422000,1804662000,None,None,None,1587294000,8089728000,402655000,None,99000000,USD,-16353000,-72617000,-16353000,551000,-92156000,-160410000,-10245000,-12405000,-128662000,-78359000,98404000,-113456000,46696000,-20809000,-37200000,133814000,None,139470000,16904000,-35503000,None,-78359000,25.1,27.89
2,2019-12-31,USD,4534806000,479138000,4009193000,525613000,45990000,3668000,None,None,12086000,None,464873000,-485000,46475000,465000,33904000,6870000,None,-33904000,-1548000,14265000,None,6870000,-14750000,-1548000,5216000,3668000,None,USD,8525112000,119186000,None,161343000,4567779000,3957333000,None,52057000,99349000,2575536000,383792000,916058000,247581000,488810000,2745250000,492223000,492223000,-306018000,431410000,6536501000,None,2922089000,None,2977773000,1194115000,2908575000,2200970000,None,None,99349000,None,2575536000,None,None,521957000,None,1988611000,296679000,1194115000,628414000,1822529000,None,None,None,1588466000,8525112000,488810000,None,101000000,USD,-66480000,-277655000,-66480000,-52092000,-147032000,-261267000,-5435000,-35198000,3668000,-179183000,148564000,20731000,46499000,-20975000,-87825000,158376000,192301000,8312000,14388000,192301000,None,-179183000,42.44,25.1
3,2019-09-30,USD,4630009000,481101000,4086170000,543839000,67669000,41752000,None,None,34038000,None,456503000,4931000,62738000,2098000,33631000,-7714000,None,-33631000,None,24598000,None,-7714000,-19667000,-1548000,41752000,41752000,None,USD,8913337000,120139000,None,169471000,4955266000,3958071000,None,55149000,101471000,2678266000,380586000,858656000,229559000,664108000,3137299000,638402000,638402000,-402372000,437467000,6988946000,None,2979276000,None,3129387000,1191975000,3025980000,2443748000,None,None,101471000,None,2678266000,None,None,508129000,None,1924391000,300555000,1191975000,625992000,1817967000,None,None,None,1580706000,8913337000,664108000,None,104000000,USD,-42379000,153086000,-42379000,-12515000,108955000,-22753000,548000,-36660000,41752000,130510000,195642000,57591000,44580000,-21451000,-110805000,-64194000,-6703000,11282000,29864000,-6703000,None,130510000,44.485,42.44
4,2019-06-30,USD,4680909000,625164000,4085785000,595124000,-28232000,-31836000,None,None,-63042000,None,459611000,1808000,-30040000,1676000,34810000,-27915000,None,-34810000,3292000,165553000,None,-27914000,-163747000,3292000,-35128000,-31836000,None,USD,8564556000,143520000,None,153438000,4424083000,4140473000,None,52188000,104038000,2767469000,425585000,876728000,215801000,546105000,2578576000,300538000,300538000,-304039000,452171000,6876336000,None,3120225000,None,3168369000,1419922000,3008424000,2278038000,None,None,104038000,None,2767469000,None,None,215801000,None,1688220000,None,1419922000,425585000,1845507000,None,None,None,1573005000,8564556000,546105000,None,111000000,USD,-22913000,-33653000,-22913000,-1606000,-354552000,-494248000,2085000,-55324000,-31836000,-182536000,334625000,-35128000,45027000,-20970000,-120811000,207339000,28599000,122441000,21307000,28599000,None,-182536000,45.27,44.485
5,2019-03-31,USD,4698824000,471110000,4074629000,624195000,161816000,88048000,None,None,125563000,None,468171000,8731000,153085000,39000,36253000,30628000,None,-36253000,-6887000,2939000,None,30628000,5792000,-6887000,94935000,88048000,None,USD,9099680000,168375000,None,129316000,4737208000,4362472000,None,17962000,106654000,2935077000,380316000,1027432000,192979000,725252000,2333264000,50401000,50401000,-244342000,455484000,7255410000,None,3166665000,None,3188863000,2023628000,3211979000,2282863000,None,None,106654000,None,2935077000,None,None,192979000,None,1844270000,None,2023628000,380316000,2403944000,None,None,None,1565083000,9099680000,725252000,None,109000000,USD,5965000,-172124000,5965000,37162000,109634000,-29508000,-5158000,22148000,88048000,245678000,269221000,94935000,46471000,-21487000,-112497000,84172000,242862000,-27095000,31197000,242862000,None,245678000,43.37,45.27
6,2018-12-31,USD,5048980000,533983000,4418947000,630033000,98634000,36401000,0,None,64916000,None,471723000,2584000,96050000,760000,33718000,None,None,None,-19574000,62260000,None,28141000,-97179000,-374000,36775000,36401000,None,USD,9234699000,184979000,None,156451000,4825962000,4408737000,None,20441000,108951000,2982937000,391729000,1010568000,185515000,482166000,2472766000,1845000,None,-246784000,462914000,7390723000,None,3213190000,None,3445807000,1961467000,3306299000,2470921000,None,None,108951000,None,2982937000,None,None,185515000,None,1843976000,None,1961467000,391729000,2353196000,None,None,None,1563633000,9234699000,482166000,None,111000000,USD,None,-359115000,-87322000,-58143000,397532000,187325000,-2128000,-58742000,36401000,115906000,15903000,36775000,43145000,-21769000,-186310000,60067000,212812000,22219000,29179000,212812000,None,115906000,36.1,43.37
7,2018-09-30,USD,5089879000,489934000,4453129000,636750000,144924000,83724000,0,None,114831000,None,475146000,-1892000,146816000,1488000,30093000,None,None,None,None,14788000,None,31302000,-49830000,195000,83529000,83724000,None,USD,9453774000,199379000,None,114432000,4832701000,4621073000,0,21819000,113031000,3139272000,413147000,982306000,188226000,365852000,2864832000,10626000,None,-185794000,525873000,7557990000,None,3439388000,0,3682512000,1554722000,3395194000,2854206000,0,0,113031000,0,3139272000,0,None,188226000,None,1895784000,None,1554722000,413147000,1967869000,None,None,None,1554564000,9453774000,365852000,None,116000000,USD,None,13366000,79058000,120065000,-91547000,-246245000,17328000,-81753000,83724000,-252166000,-84979000,83529000,46199000,-22932000,-149094000,-269649000,-19292000,60868000,41007000,-19292000,None,-252166000,44.77,36.1
8,2018-06-30,USD,5059220000,530687000,4400589000,658631000,120305000,58615000,0,0,93526000,0,493838000,-7639000,127944000,8136000,26779000,None,None,None,0,36849000,0,35787000,-63130000,876000,57739000,58615000,None,USD,9596845000,219913000,None,206513000,4911764000,4685081000,0,161011000,115825000,3235894000,453084000,980872000,262552000,621125000,2969461000,165380000,105000000,-195351000,522909000,7610599000,None,3484296000,0,3641139000,1489219000,3141822000,2804081000,0,0,115825000,0,3235894000,0,None,262552000,None,1986246000,None,1489219000,453084000,1942303000,None,None,None,1528713000,9596845000,621125000,None,120000000,USD,None,284099000,41616000,85272000,65160000,-72227000,-1280000,55223000,58615000,205002000,235613000,57739000,50901000,-22057000,-114050000,29276000,-198028000,11626000,43656000,-198028000,None,189642000,42.89,44.77
9,2018-03-31,USD,4795093000,707938000,4141556000,653537000,-46017000,-320066000,0,0,-72063000,0,501378000,8384000,-54401000,3220000,26046000,None,None,None,0,206560000,0,243541000,-221002000,-4462000,-315604000,-320066000,None,USD,9711930000,258267000,None,380118000,4757109000,4954821000,0,576385000,118631000,3313914000,498957000,1026542000,1566397000,430065000,2769446000,101979000,95000000,2301000,520922000,7624611000,None,3670012000,75051000,3552531000,1488706000,3261897000,2667467000,0,0,118631000,0,3313914000,0,None,281588000,None,2087319000,None,1488706000,498957000,1987663000,None,None,None,1519975000,9711930000,430065000,None,120000000,USD,None,295182000,-2893000,41927000,-141912000,-240070000,-1524000,189792000,-320066000,-165873000,77090000,-315604000,59205000,-22626000,-74008000,72422000,-206606000,172491000,44820000,-206606000,6420000,-159453000,41.76,42.89
