,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,746000,4572000,593000,153000,-3768000,-3831000,380000,None,-3831000,None,3599000,None,-3826000,None,None,None,None,1000,None,None,None,None,-6000,None,-3831000,-3831000,None,USD,13091000,None,None,None,5824000,7267000,None,31000,101000,-429698000,10000,None,41000,10935000,4199000,None,587000,None,360000,12690000,None,7267000,None,819000,1615000,66000,1122000,None,None,None,None,None,None,None,41000,None,401000,None,None,10000,1625000,None,None,None,None,None,None,None,None,USD,-100000,-178000,-100000,None,958000,6312000,None,-113000,-3831000,2803000,-3409000,None,58000,None,None,-3000,216000,442000,100000,None,None,None,3.84,
1,2020-03-31,USD,1220000,5020000,800000,420000,-3744000,-3706000,395000,None,-3706000,None,3825000,None,-3800000,None,None,None,8000,8000,None,None,None,None,86000,None,-3706000,-3706000,None,USD,10353000,None,None,None,5051000,5302000,None,32000,97000,-425867000,1000,None,49000,8132000,3985000,194000,194000,None,318000,9986000,None,5302000,None,946000,1050000,63000,1595000,None,None,None,None,None,None,None,49000,None,367000,None,1050000,16000,1066000,None,None,None,431072000,None,8132000,None,None,USD,-23000,13000,-23000,None,-48000,-47000,None,14000,-3706000,-3571000,-3501000,None,56000,None,1000,-38000,-111000,271000,23000,None,None,None,0.8324,3.84
2,2019-12-31,USD,1308000,4712000,792000,516000,-3347000,-3387000,244000,None,-3387000,None,3676000,None,-3404000,None,None,None,20000,20000,None,None,None,None,-3000,None,-3387000,-3387000,None,USD,13828000,None,None,None,5090000,8738000,None,39000,97000,-422161000,None,None,65000,11703000,3978000,193000,193000,None,353000,13410000,None,8738000,None,924000,1099000,25000,1158000,None,None,None,None,None,None,None,65000,None,418000,None,1099000,13000,1112000,None,None,None,430802000,None,11703000,None,None,USD,-11000,464000,-11000,1000,-48000,-50000,None,-382000,-3387000,-2933000,-2872000,None,57000,None,15630000,4000,72000,300000,12000,None,None,None,0.81,0.8324
3,2019-09-30,USD,1285000,5135000,949000,336000,-3789000,-3820000,340000,None,-3820000,None,3846000,None,-3850000,None,34000,None,34000,34000,None,None,None,None,-4000,None,-3820000,-3820000,None,USD,16533000,None,None,None,4706000,11827000,None,63000,97000,-418774000,21000,None,84000,14636000,3537000,192000,192000,None,399000,16050000,None,11827000,None,996000,1148000,29000,879000,None,None,None,None,None,None,None,84000,None,483000,None,1169000,21000,1169000,None,None,None,430504000,None,14636000,None,None,USD,-39000,-2000,-39000,None,-47000,1938000,None,107000,-3820000,-1543000,-3442000,None,61000,None,15632000,61000,-196000,347000,39000,None,None,None,0.5225,0.81
4,2019-06-30,USD,1142000,5447000,908000,234000,-4214000,-4314000,225000,None,-4314000,None,4314000,None,-4305000,None,2000,None,-2000,-2000,None,None,None,None,-7000,None,-4314000,-4314000,None,USD,18152000,None,None,None,4786000,13366000,None,86000,94000,-414954000,29000,None,115000,16179000,3561000,191000,191000,None,472000,17565000,None,13366000,None,800000,1196000,90000,811000,None,None,None,None,None,None,None,115000,None,587000,None,1225000,29000,1225000,None,None,None,428226000,None,16179000,None,None,USD,-34000,248000,-34000,None,-47000,13583000,None,109000,-4314000,10005000,-3544000,None,91000,None,13647000,8000,-101000,415000,33000,None,None,None,0.89,0.5225
5,2019-03-31,USD,803000,4522000,694000,109000,-3595000,-3716000,209000,None,-3716000,None,3619000,None,-3719000,None,7000,None,7000,7000,None,None,None,None,-4000,None,-3716000,-3716000,None,USD,8254000,None,None,None,4617000,3637000,None,110000,75000,-410640000,None,None,147000,6174000,3336000,190000,190000,None,531000,7576000,None,None,None,699000,1244000,98000,1157000,None,None,None,None,None,None,None,147000,None,678000,None,1281000,37000,1281000,None,None,None,414202000,None,6174000,None,None,USD,-48000,None,-48000,1000,None,-30000,None,None,-3716000,-3186000,-3108000,None,124000,None,17000,-6000,87000,None,49000,None,None,None,1.15,0.89
6,2017-03-31,USD,639200000,0,436100000,203100000,88200000,80300000,None,None,77800000,None,104100000,None,77800000,9400000,10400000,None,None,None,None,None,None,-2500000,-1400000,None,80300000,80300000,None,USD,13427500000,104200000,None,2242000000,9789200000,3638300000,None,1817000000,378800000,3489000000,8634100000,388600000,468100000,1284900000,8972000000,817000000,817000000,-5900000,None,11620000000,7787700000,3145500000,None,3210300000,1019900000,None,338100000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,351200000,66800000,366100000,15900000,-100000,1300000,367000000,174900000,80300000,564000000,195400000,None,2000000,None,1400000,None,-93800000,-32800000,1000000,None,None,None,2.09,1.15
7,2016-12-31,USD,538000000,0,469800000,68200000,-43800000,-40800000,None,None,-54200000,None,106200000,None,-54200000,5000000,10400000,None,None,None,None,None,None,-13400000,-800000,None,-40800000,-40800000,None,USD,13179000000,104700000,None,2327000000,9627200000,3551800000,None,1693000000,378800000,3418400000,8407000000,389700000,634600000,720900000,3622000000,816000000,816000000,-11600000,None,11420000000,8054800000,3057400000,None,3114500000,1039500000,None,404000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,169600000,-146500000,191500000,22300000,-100000,-20800000,192000000,-281800000,-40800000,-52900000,-220200000,None,2000000,-22700000,2000000,None,134100000,114800000,400000,None,None,None,0.95,2.09
8,2016-09-30,USD,647200000,0,458300000,188900000,79000000,68600000,None,None,65500000,None,104200000,None,65500000,4700000,13500000,None,None,None,None,None,None,-3100000,-1000000,None,68600000,68600000,None,USD,13542400000,111100000,None,2080000000,9926500000,3615900000,None,1787000000,378800000,3479500000,8693400000,392800000,417400000,773800000,9109000000,817000000,817000000,-5400000,None,11759000000,8621200000,3112000000,None,3042100000,1075700000,None,415800000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,635400000,-5000000,613600000,-20600000,-500000000,-544200000,615000000,40000000,68600000,189300000,119500000,None,3000000,-22600000,-21600000,None,12400000,3500000,1200000,None,None,None,1.3,0.95
9,2016-06-30,USD,738300000,0,452800000,285500000,179500000,153400000,None,None,159700000,None,104700000,None,159700000,4200000,19800000,None,None,None,None,None,None,6300000,2900000,None,153400000,153400000,None,USD,13867300000,113500000,None,1988000000,10282800000,3584500000,None,1823000000,366700000,3440500000,8600300000,392600000,437200000,584500000,9466000000,1317000000,1317000000,-6000000,None,12075000000,9053200000,3078400000,None,3096200000,1544500000,None,365700000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-236700000,-16300000,-230000000,8000000,-100000,-109700000,-228000000,154200000,153400000,-187500000,152500000,None,3000000,-22800000,-86800000,None,-68100000,-70700000,1300000,None,None,None,1.11,1.3
