,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,22134000,6290000,15366000,6768000,1879000,361000,1543000,None,1879000,598000,4747000,1401000,478000,None,None,920000,-207000,-39000,None,None,None,920000,1440000,None,959000,361000,None,USD,226220000,None,None,9621000,32166000,188362000,None,None,41000,-47600000,1573000,None,5418000,26515000,28138000,6087000,6087000,-6365000,101031000,110729000,720000,184830000,5247000,19760000,None,49586000,22051000,None,None,41000,3532000,-47600000,None,None,13740000,None,115491000,2837000,None,4028000,4028000,None,None,None,238754000,226220000,31762000,None,40889000,USD,2741000,1683000,-1585000,None,4000,-13000,-89000,688000,959000,6489000,8087000,1027000,985000,None,72000,-1256000,3837000,852000,4326000,3837000,None,6489000,4.76,
1,2020-03-31,USD,20723000,6156000,15201000,5522000,583000,-178000,1407000,None,583000,395000,4749000,1217000,-634000,None,None,366000,-192000,-29000,None,None,None,366000,1246000,None,217000,-178000,None,USD,222640000,None,None,10638000,30450000,187016000,None,None,41000,-47961000,1948000,None,5278000,20061000,25960000,6071000,6071000,-6637000,97490000,111262000,None,183484000,8697000,23613000,None,48253000,19889000,None,None,41000,3532000,-47961000,None,None,13888000,None,111378000,2905000,None,4490000,4490000,None,None,None,238041000,222640000,28758000,None,40827000,USD,720000,-325000,-1419000,720000,391000,832000,-89000,-3266000,217000,-6691000,-6104000,-3425000,1003000,None,441000,354000,-4691000,763000,2139000,-4691000,None,-6691000,3.21,4.76
2,2019-12-31,USD,18410000,6665000,14545000,3865000,-2022000,-2049000,1607000,None,-2022000,241000,5058000,778000,-2800000,None,None,-214000,2000,2000,None,None,None,-214000,-32000,None,-1808000,-2049000,None,USD,223349000,1124000,None,8703000,30587000,187885000,None,6182000,41000,-47783000,366000,None,2718000,26892000,27526000,5747000,5747000,-4862000,97403000,113205000,5961000,184353000,9427000,19031000,None,49152000,21779000,None,None,41000,3532000,-47783000,None,None,12741000,None,110144000,3014000,None,3061000,3061000,None,None,None,236957000,223349000,36319000,None,40632000,USD,1201000,4134000,-6622000,13464000,54000,55000,366000,3857000,-1808000,-1246000,5321000,1579000,1369000,None,-365000,590000,-1435000,892000,7823000,-1435000,None,-1246000,4.35,3.21
3,2019-09-30,USD,19841000,6237000,14082000,5759000,-472000,-898000,1482000,None,-472000,403000,4755000,6000,-478000,None,None,23000,41000,41000,None,None,None,23000,-35000,None,-495000,-898000,None,USD,217710000,None,None,8249000,26256000,186918000,None,5189000,40000,-45734000,324000,None,5707000,27837000,23188000,5609000,5609000,-7240000,89680000,108723000,4519000,183386000,6116000,17450000,None,49071000,17579000,None,None,40000,3532000,-45734000,None,None,14788000,None,108987000,3036000,None,3068000,3068000,None,None,None,236320000,217710000,33953000,None,40220000,USD,-7606000,2337000,-7606000,12263000,5760000,5795000,-89000,-3233000,-898000,-895000,1390000,-1166000,1343000,None,371000,63000,572000,1206000,5743000,572000,None,-421000,3.56,4.35
4,2019-06-30,USD,24797000,6168000,16291000,8506000,2335000,1451000,1399000,None,2335000,287000,4769000,-3000,2338000,None,None,597000,79000,79000,None,None,None,597000,-82000,None,1738000,1451000,None,USD,213890000,None,None,6853000,18235000,191308000,None,5205000,40000,-44836000,391000,None,5928000,28732000,16949000,None,None,-3130000,87613000,111703000,1260000,187776000,7517000,18275000,895000,50326000,16949000,None,None,40000,3532000,-44836000,None,None,13314000,None,102187000,1016000,None,1286000,1286000,None,None,None,235702000,213890000,36249000,None,40205000,USD,-991000,-1775000,5900000,14126000,5760000,-30000,-262000,3470000,1451000,7672000,8810000,1946000,1370000,-262000,336000,1930000,1151000,1213000,5317000,1151000,None,7789000,3.96,3.56
5,2019-03-31,USD,20208000,19582000,13513000,6695000,2086000,-1104000,1346000,None,-867000,81000,4723000,-1493000,626000,None,None,156000,95000,95000,None,None,None,156000,-1588000,None,-1023000,-1148000,None,USD,214558000,None,None,11367000,18577000,191528000,None,5573000,40000,-46287000,213000,None,3505000,21060000,17438000,118000,118000,-733000,86011000,118142000,0,187996000,13085000,19605000,926000,53025000,7882000,None,None,40000,3532000,-46287000,None,None,10405000,None,96416000,1044000,None,213000,1139000,None,None,None,234976000,214558000,34145000,None,39000000,USD,6891000,-11544000,6891000,9800000,5760000,366000,366000,-6238000,-1104000,4534000,-2863000,-249000,1460000,None,366000,6279000,153000,2142000,2909000,153000,None,4394000,4.45,3.96
6,2018-12-31,USD,22232000,6488000,16382000,5850000,-1052000,-1061000,1309000,0,-1052000,182000,5179000,-414000,-638000,0,0,None,None,None,0,0,0,-173000,-414000,0,-879000,-1061000,None,USD,223524000,1048000,None,11728000,28992000,190835000,None,9322000,39000,-45183000,283000,None,2517000,16526000,28709000,None,None,-1972000,82280000,128540000,717000,187303000,22129000,19586000,None,58571000,28709000,None,None,39000,3532000,-45183000,None,None,11987000,None,94984000,None,None,283000,283000,None,None,None,234419000,223524000,38655000,None,39985000,USD,959000,692000,-5203000,88000,-291000,73000,366000,-3383000,-879000,-1685000,3445000,-3044000,1464000,None,364000,8000,3736000,1468000,6250000,3736000,None,-1685000,4.35,4.45
7,2018-09-30,USD,28626000,6283000,18012000,10614000,4557000,3939000,1668000,0,4557000,208000,4615000,226000,4331000,0,0,None,None,None,0,0,0,410000,226000,0,4147000,3939000,None,USD,220449000,0,None,10625000,25731000,191125000,0,5771000,39000,-44122000,320000,0,1694000,18035000,25411000,291000,None,-1846000,74754000,132595000,1906000,187593000,21910000,23308000,0,58717000,25120000,0,233522000,39000,3532000,-44122000,0,None,11194000,None,87854000,None,None,320000,320000,None,None,None,233522000,220449000,39945000,None,39538000,USD,720000,-563000,-11649000,0,291000,125000,-252000,-441000,4147000,-11290000,234000,-1428000,1277000,-252000,-166000,-2714000,-978000,493000,12369000,-978000,None,-11290000,7.15,4.35
8,2018-06-30,USD,27120000,6487000,16110000,11010000,4918000,3901000,1500000,0,4918000,650000,4987000,395000,4523000,0,0,None,None,None,0,0,0,367000,395000,0,4551000,3901000,None,USD,219681000,0,None,9416000,26148000,189666000,0,6145000,39000,-48061000,296000,0,1623000,29698000,25852000,None,None,1172000,65174000,137470000,5714000,186134000,18802000,22516000,0,57038000,25852000,0,232984000,39000,3532000,-48061000,0,None,11323000,None,82211000,None,None,296000,296000,None,None,None,232984000,219681000,48500000,None,39511000,USD,3192000,4014000,-6868000,11000,291000,-51000,-163000,-1430000,4551000,-8975000,-2056000,-2945000,1175000,-163000,-51000,-7370000,-1625000,144000,10071000,-1625000,None,-9258000,7.05,7.15
9,2018-03-31,USD,24419000,5642000,14846000,9573000,3524000,2875000,1420000,0,3524000,315000,4222000,-407000,3931000,0,0,None,None,None,0,0,0,334000,-407000,0,3190000,2875000,None,USD,216307000,0,None,6704000,21568000,189667000,0,8815000,39000,-51962000,329000,0,23987000,39189000,21239000,None,None,5846000,58763000,133557000,12511000,186135000,15195000,21347000,0,51122000,21239000,0,232212000,39000,3532000,-51962000,0,None,11476000,None,82750000,None,None,329000,329000,None,None,None,232212000,216307000,54384000,None,39438000,USD,4742000,-1571000,-7107000,0,291000,66000,-163000,-976000,3190000,-5446000,1595000,929000,1113000,0,66000,-4553000,1686000,801000,11849000,1686000,283000,-5163000,7.25,7.05
