,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,89957000,64651000,None,89957000,25306000,20730000,None,None,25306000,None,64651000,None,25306000,10607000,4243000,4576000,81451000,77208000,None,None,None,4576000,None,None,20730000,20730000,None,USD,9612453000,20882000,None,None,8578254000,1034199000,None,8486671000,32663000,837154000,None,149922000,6585454000,1788343000,8494771000,8100000,8100000,9690000,237185000,1989077000,7215387000,863395000,604976000,200734000,26804000,None,53679000,None,None,32663000,None,837154000,None,None,None,None,7623376000,None,26804000,56679000,83483000,None,None,None,154692000,9612453000,1788343000,None,32662691,USD,-702334000,-400000,-720928000,349000,9700000,913027000,913471000,-400000,20730000,239483000,47384000,595000,4633000,-10447000,303000,None,-3634000,25460000,18943000,-3634000,None,239483000,40.57,
1,2020-03-31,USD,89635000,61385000,None,89635000,28250000,22608000,None,None,28250000,None,61385000,None,28250000,11580000,9898000,5642000,83971000,74073000,None,None,None,5642000,None,None,22608000,22608000,None,USD,8669096000,21850000,1964974000,None,7645716000,1023380000,None,7573200000,32647000,826855000,None,149923000,5919824000,1548860000,7574600000,1400000,1400000,9879000,221647000,1747704000,6527972000,851607000,589798000,198844000,26804000,None,44312000,None,None,32647000,None,826855000,None,None,None,None,6921392000,None,26804000,44312000,71116000,None,None,None,153999000,8669096000,1548860000,None,32646691,USD,-398401000,-543000,-386215000,23535000,300000,31531000,44559000,-543000,22608000,-319421000,35263000,-50000,3994000,-10462000,-2866000,None,196000,9058000,11349000,196000,None,-319421000,33.37,40.57
2,2019-12-31,USD,108051000,66296000,None,108051000,41755000,35507000,None,None,41755000,None,66296000,None,41755000,14137000,12250000,6248000,86189000,73939000,None,None,None,6248000,-730000,None,35507000,35507000,None,USD,8565758000,22608000,2149865000,1000000,7560769000,1004989000,None,7483635000,32694000,815488000,None,148604000,5686770000,1868281000,7484735000,1100000,None,3454000,211882000,2072132000,6110532000,833777000,489723000,202851000,26804000,6072000,49230000,None,None,32694000,None,815488000,None,None,None,None,6493626000,None,26804000,49230000,76034000,None,None,None,153353000,8565758000,1868281000,None,32694268,USD,3573000,-252000,-23060000,-19444000,500000,142982000,152958000,-252000,35507000,166415000,46493000,9000,3844000,-10446000,-30000,None,-356000,7741000,7189000,-356000,None,166415000,62.44,33.37
3,2019-09-30,USD,105156000,62191000,None,105156000,42965000,33368000,None,None,42965000,None,62191000,None,42965000,10882000,14142000,9597000,86429000,72287000,None,None,None,9597000,-787000,None,33368000,33368000,None,USD,8388816000,24025000,2048304000,300000,7409064000,979752000,None,7330677000,32644000,792009000,None,147013000,5550880000,1701866000,7331282000,605000,605000,3629000,210601000,1884633000,6122544000,808714000,553664000,182467000,26804000,7055000,50978000,None,None,32644000,None,792009000,None,None,None,None,6504183000,None,26804000,50978000,77782000,None,None,None,151470000,8388816000,1701866000,None,32644018,USD,-217874000,-226000,-146012000,78820000,-400000,103082000,113142000,-226000,33368000,-2572000,40358000,None,3996000,-9792000,132000,None,3307000,-87000,6958000,3307000,None,-2572000,55.42,62.44
4,2019-06-30,USD,100436000,56608000,None,100436000,43828000,34167000,None,None,43828000,None,56608000,None,43828000,9936000,14306000,9661000,83098000,68792000,None,None,None,9661000,-1399000,None,34167000,34167000,None,USD,7642021000,14936000,1955051000,185639000,6685641000,956380000,None,6613613000,32640000,769090000,None,79749000,5039295000,1704438000,6614613000,1000000,1000000,3655000,187293000,1884695000,5475348000,861695000,423157000,180257000,26804000,7004000,44224000,None,None,32640000,None,769090000,None,None,None,None,5757326000,None,26804000,44224000,71028000,None,None,None,150995000,7642021000,1704438000,None,32639588,USD,301609000,79000,297581000,2087000,-4200000,-105995000,-92464000,79000,34167000,227033000,35447000,-821000,2071000,-9786000,455000,None,-564000,515000,6115000,-564000,None,227033000,55.66,55.42
5,2019-03-31,USD,97220000,56206000,0,97220000,41014000,31837000,None,None,41014000,None,56206000,None,41014000,9874000,14038000,9177000,80941000,66903000,None,None,None,9177000,-808000,None,31837000,31837000,None,USD,7709000000,15701000,2024038000,183003000,6781073000,927927000,None,6706386000,32618000,744713000,None,79749000,4989587000,1477405000,6711586000,5200000,5200000,401000,184122000,1707250000,5722178000,832477000,723655000,229845000,26804000,6433000,42683000,None,None,32618000,None,744713000,None,None,None,None,6001750000,None,26804000,42683000,69487000,None,None,None,150195000,7709000000,1477405000,None,32617788,USD,-64633000,382000,-78162000,-6737000,3525000,94652000,100582000,382000,31837000,53150000,36660000,None,1796000,-9781000,326000,None,-1500000,4145000,6792000,-1500000,None,53150000,52.15,55.66
6,2018-12-31,USD,97223000,56166000,0,97223000,41057000,32725000,0,0,41057000,0,56166000,None,41057000,9716000,12867000,None,None,None,0,0,0,8332000,-1478000,0,32725000,32725000,None,USD,7574258000,16470000,None,121613000,6671469000,902789000,None,6605495000,32604000,722615000,None,79749000,5005499000,1424255000,6607170000,1675000,None,-2139000,181052000,1592094000,5704893000,806570000,None,167839000,26804000,6873000,6605495000,None,None,32604000,None,722615000,None,None,None,None,5982164000,None,26804000,37495000,64299000,None,None,None,149709000,7574258000,1424255000,None,32603926,USD,-322420000,415000,-338676000,-8791000,-525000,-60954000,-42791000,415000,32725000,-367911000,31719000,-47000,3462000,-9825000,-7813000,None,None,-3826000,7465000,-1010000,None,-367911000,49.9,52.15
7,2018-09-30,USD,97727000,55809000,12507000,97727000,41918000,32883000,0,0,41918000,0,55809000,None,41918000,9823000,11760000,None,None,None,0,0,0,9035000,-1401000,0,32883000,32883000,None,USD,7602438000,17257000,None,600000,6717637000,884801000,0,6643131000,32750000,707481000,40347000,79733000,4895653000,1792166000,6645331000,2200000,None,-4672000,176994000,2426622000,4901832000,787811000,475640000,158216000,31959000,7072000,6643131000,0,0,32750000,0,707481000,0,None,None,None,5175816000,None,31959000,40347000,72306000,None,None,None,149242000,7602438000,2267806000,None,32749690,USD,63387000,189000,36213000,593000,-300000,-55803000,-49043000,189000,32883000,24106000,43696000,None,3409000,-6874000,414000,3633000,0,6977000,27767000,238000,None,24106000,59.95,49.9
8,2018-06-30,USD,94092000,54256000,11487000,94092000,39836000,30586000,0,0,39836000,0,54256000,None,39836000,9393000,10262000,None,None,None,0,0,0,9250000,-1418000,0,30586000,30586000,None,USD,7622963000,18012000,None,22798000,6760951000,862012000,0,6692174000,32731000,684425000,34318000,79733000,4955318000,1768060000,6694674000,2500000,34459000,-3638000,150326000,2410021000,4964871000,764267000,462871000,156292000,31959000,3847000,6692174000,0,0,32731000,0,684425000,0,None,None,None,5212942000,None,31959000,34318000,66277000,None,None,None,148494000,7622963000,2230931000,None,32731215,USD,-2502000,222000,-11165000,800000,2400000,-24913000,-20878000,222000,30586000,-4043000,32035000,None,3160000,-6868000,433000,0,0,-426000,9463000,-1507000,None,-4043000,59.2,59.95
9,2018-03-31,USD,92831000,55890000,8153000,92831000,36941000,29620000,0,0,36941000,0,55890000,None,36941000,10955000,7839000,None,None,None,0,0,0,7321000,-1378000,0,29620000,29620000,None,USD,7615642000,18782000,None,21097000,6777546000,838096000,0,6713052000,32708000,661341000,32435000,79796000,738670000,1772103000,6713152000,100000,32059000,-3715000,144641000,2433292000,4939131000,739518000,493101000,146991000,31959000,9675000,6713052000,0,0,32708000,0,661341000,0,None,None,None,5182350000,None,31959000,32435000,64394000,None,None,None,147762000,7615642000,2265204000,None,32707166,USD,27811000,353000,28693000,8050000,-800000,-38161000,-31953000,353000,29620000,14228000,23696000,None,3094000,-6698000,1290000,609000,0,-8260000,7168000,-1111000,None,14228000,53.1,59.2
