,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,11258111,None,None,None,None,10836849,None,None,10836849,None,286187,None,None,22693,183810,None,2873378,2689568,None,None,None,None,None,None,10836849,10836849,None,USD,173984251,None,None,None,40925017,133059234,None,None,6564,-11908551,None,None,None,271693,None,None,None,None,None,None,170792580,133059234,None,None,None,None,5965680,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,10836849,None,None,None,None,None,None,None,None,None,0,None,None,None,15.9,
1,2020-03-31,USD,-15674774,401260,None,None,None,-16076034,None,None,-16076034,None,266185,None,None,22694,166826,None,2809760,2642934,None,None,None,None,None,None,-16076034,-16076034,None,USD,134924421,None,None,None,10245943,124678478,None,None,6562,-19240150,None,None,None,62841,None,None,None,None,None,None,132978058,124678478,None,None,None,None,590898,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,None,0,None,None,None,None,None,None,-16076034,None,None,None,None,None,None,None,None,None,0,None,None,None,16.23,15.9
2,2019-12-31,USD,9789410,None,2497490,7291920,None,5208600,None,None,5208600,None,370190,None,6876320,22943,None,None,-1667720,None,None,None,None,None,None,None,None,3011034,None,USD,164703377,None,None,None,21504143,143199234,None,None,6559,-1683148,None,None,None,35328,None,17700000,None,None,None,None,162264915,143199234,None,1784780,None,None,3257900,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,144875820,None,35330,None,7000000,USD,None,0,None,None,None,-43999220,None,None,12605210,-2796010,41203220,None,None,-10699220,None,None,None,None,0,None,None,None,22.3,16.23
3,2019-09-30,USD,2653958,456391,1269850,3614140,None,2197567,None,None,2197567,None,319832,None,3422330,22943,258348,None,3053901,2795553,None,None,None,None,None,None,2197567,2197567,None,USD,169203133,None,None,None,26522509,142680624,None,None,6559,-1189955,None,None,None,118193,None,25200000,None,None,None,None,166898025,142680624,None,1533450,None,None,785465,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,143864020,None,118190,None,7000000,USD,None,0,None,None,None,None,None,None,2197567,None,None,None,None,None,None,None,None,None,0,None,None,None,22.1593,22.3
4,2019-06-30,USD,4073850,482326,2976440,5101200,None,3591524,None,None,3591524,None,347251,None,4746730,22694,361786,None,2826558,2464772,None,None,None,None,None,None,3591524,3591524,None,USD,168153822,None,None,None,25216485,142937337,None,None,6557,-895763,None,None,None,159250,None,24000000,None,None,None,None,165115844,142937337,None,2226760,None,None,736754,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,143826540,None,159250,None,6000000,USD,None,0,None,None,None,-35244950,None,None,3591524,-2672080,32572860,None,None,-8244950,None,None,None,None,0,None,None,None,21.805,22.1593
5,2019-03-31,USD,4144050,442746,1596140,2547910,None,3805080,None,None,3805080,None,157580,None,2390330,None,527794,None,1414750,2529045,None,None,None,None,None,None,3805080,3805080,None,USD,181317601,None,None,None,39529292,141788309,None,None,None,74913,None,None,None,5566326,None,None,None,None,None,None,173064511,None,None,None,None,None,1022096,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,None,None,None,None,None,None,None,None,3805080,None,None,None,None,None,None,None,None,None,0,None,None,None,21.4252,21.805
6,2018-12-31,USD,9090120,None,3441200,5648920,None,2132510,None,None,2132510,None,292860,None,5347280,None,None,None,None,None,None,None,None,None,None,None,None,2132510,None,USD,196213790,None,None,None,55834170,140379620,None,None,6550,-3311460,None,None,None,None,None,None,None,None,None,None,None,None,None,3484290,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,143684530,None,2831330,None,7000000,USD,None,None,None,None,None,15466900,None,None,10033210,2801190,-12665710,None,None,-9783100,None,None,None,None,0,None,None,None,19.3,21.4252
7,2018-09-30,USD,4402000,None,1264000,None,None,2742000,None,None,2742000,None,None,None,3138000,None,536000,None,None,None,None,None,None,None,None,None,None,2742000,None,USD,190822000,None,None,822000,46427000,144395000,None,591000,7000,None,None,None,186893000,248000,None,None,None,None,None,None,None,None,None,None,45000000,None,836000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,None,None,None,None,None,None,None,None,2742000,None,None,None,None,None,None,None,None,None,0,None,None,None,22.4204,19.3
8,2018-06-30,USD,4380000,None,1276000,None,None,5262000,None,None,5262000,None,None,None,3104000,None,493000,None,None,None,None,None,None,None,None,None,None,5262000,None,USD,190918000,None,None,891000,46817000,144101000,None,484000,7000,None,None,None,186376000,246000,None,None,None,None,None,None,None,None,585000,None,45500000,None,833000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,None,172000,None,None,None,12415000,None,None,5262000,None,None,None,None,-7336000,None,None,None,None,0,None,None,None,22.89,22.4204
9,2018-03-31,USD,4234000,None,1222000,None,None,2639000,None,None,2639000,None,None,None,3012000,None,304000,None,None,None,None,None,None,None,None,None,None,2639000,None,USD,182596000,None,None,955000,41305000,141291000,None,538000,7000,None,None,None,178801000,1052000,None,None,None,None,None,None,None,None,None,None,20000000,None,20767000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,None,None,None,None,None,None,None,None,2639000,None,None,None,None,None,None,None,None,None,0,None,None,None,21.75,22.89
