,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,ILS,2155000000.0,1642000000.0,None,None,965000000.0,40000000.0,None,None,319000000.0,428000000.0,1201000000.0,None,513000000.0,-19000000.0,186000000.0,82000000,None,-186000000,None,None,None,82000000.0,-8000000,None,237000000.0,40000000.0,None,ILS,15931000000.0,3256000000.0,None,None,15591000000.0,-88000000.0,554000000,None,-88000000,None,810000000.0,None,1045000000.0,749000000.0,3370000000.0,None,955000000,None,7285000000.0,4345000000,None,-3344000000,1434000000.0,1701000000,10394000000.0,110000000.0,1356000000.0,None,None,None,None,None,None,None,None,None,11586000000,1416000000,None,175000000,12221000000,None,None,None,None,None,None,None,None,ILS,None,None,None,None,None,None,None,None,40000000.0,None,None,None,None,None,None,None,None,None,0.0,None,None,None,1.99,
1,2020-03-31,ILS,2187000000.0,1718000000.0,None,None,916000000.0,60000000.0,None,None,409000000.0,237000000.0,1274000000.0,None,469000000.0,-3000000.0,60000000.0,102000000,-60000000,-60000000,None,None,None,102000000.0,None,None,307000000.0,60000000.0,None,ILS,16157000000.0,3244000000.0,None,45000000,16045000000.0,-125000000.0,603000000,None,-125000000,None,769000000.0,None,1119000000.0,1033000000.0,3823000000.0,None,1002000000,-125000000,7339000000.0,4455000000,None,-3369000000,1265000000.0,1680000000,10404000000.0,112000000.0,1636000000.0,None,None,None,None,None,None,None,11702000000,None,11702000000,1464000000,11453000000,164000000,12222000000,None,None,None,None,None,2298000000,None,113000000,ILS,None,0,None,None,None,None,None,None,60000000.0,None,None,None,None,None,None,None,None,None,0.0,None,None,None,0.91,1.99
2,2019-12-31,ILS,2202000000.0,2507000000.0,574.02,2064.80,751000000.0,118000000.0,0,0,285000000.0,-15000000.0,714000000.0,0,-305000000.0,371000000.0,-58000000.0,142000000,44000000,1000000,0,0,0,142000000.0,589000000,0,143000000.0,118000000.0,0,ILS,15587000000.0,1691000000.0,None,82000000,15789000000.0,-187000000.0,156000000,55000000,12000000,-1656000000,781000000.0,1548000000,896000000.0,814000000.0,3627000000.0,0,1007000000,-38000000,7214000000.0,4232000000,0,-3426000000,1241000000.0,1543000000,10412000000.0,93000000.0,757000000.0,0,0,0,0,0,0,0,11355000000,0,11355000000,1385000000,11381000000,139000000,12162000000,0,0,0,0,0,2055000000,0,43000000,ILS,0,0,0,0,0,0,0,0,118000000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.79,0.91
3,2019-09-30,ILS,2247000000.0,1829000000.0,527.70,1973.87,936000000.0,6000000.0,0,0,179000000.0,-43000000.0,1271000000.0,0,418000000.0,-6000000.0,238000000.0,53000000,-239000000,-238000000,0,0,0,53000000.0,-1000000,0,126000000.0,6000000.0,0,ILS,16709000000.0,3282000000.0,None,0,17387000000.0,-635000000.0,503000000,183.69,-635000000,0,867000000.0,0,963000000.0,1250000000.0,6139000000.0,0,3588000000,-635000000,7212000000.0,5252000000,0,-3917000000,1843000000.0,1746000000,9393000000.0,94000000.0,1594000000.0,0,0,0,0,0,0,0,11457000000,0,11457000000,1415000000,10381000000,178000000,11248000000,0,0,0,0,0,3093000000,0,40000000,ILS,0,0,0,0,0,0,0,0,6000000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.2301,1.79
4,2019-06-30,ILS,2223000000.0,1414000000.0,393.06,1393.80,-21000000.0,-1021000000.0,0,0,-698000000.0,-135000000.0,1307000000.0,0,809000000.0,-409000000.0,161000000.0,1180000000,-162000000,-161000000,0,0,0,1180000000.0,-1346000000,0,-1878000000.0,-1021000000.0,0,ILS,17400000000.0,3315000000.0,None,0,18166000000.0,-631000000.0,503000000,140.67,-631000000,0,811000000.0,0,1050000000.0,1441000000.0,6624000000.0,0,4083000000,-631000000,7280000000.0,5755000000,0,-3946000000,2181000000.0,1744000000,9709000000.0,100000000.0,1489000000.0,0,0,0,0,0,0,0,11645000000,0,11645000000,1456000000,10731000000,163000000,11542000000,0,0,0,0,0,3622000000,0,37000000,ILS,0,0,0,0,0,0,0,0,-1021000000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1.7416,1.2301
5,2019-03-31,ILS,2257000000.0,1814000000.0,495000000,1762000000,948000000.0,44000000.0,0,0,326000000.0,730000000.0,1309000000.0,0,443000000.0,-409000000.0,117000000.0,97000000,-117000000,-117000000,0,0,0,97000000.0,-82.88,0,229000000.0,44000000.0,0,ILS,19734000000.0,4272000000.0,None,0,19342000000.0,392000000.0,505000000,114.75,392000000,0,975000000.0,0,1698000000.0,1666000000.0,6958000000.0,0,3993000000,392000000,7727000000.0,5462000000,0,-3880000000,1653000000.0,1760000000,9618000000.0,102000000.0,1881000000.0,0,0,0,0,0,0,0,1444000000,0,14272000000,1483000000,10679000000,168000000,11654000000,0,0,0,0,0,3319000000,0,35000000,ILS,0,0,0,0,0,0,0,0,44000000.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2.05,1.7416
6,2018-12-31,ILS,11920237.41,8071527.91,2541890.69,9378346.71,3848709.5,-3961454.65,0,0,-11827991.37,2746881.88,4550804.31,0,3848709.5,-2336899.51,-543226.64,-272000000,None,None,0,0,0,-1393940.06,-15676700.87,0,-10434051.32,-3961454.65,0,ILS,99292605.24,10295682.27,None,0,95377273.6,1168449.76,1383690.50,3090242.11,15374.34,-4069075.02,4919788.44,11674247.99,11479506.36,5657756.71,35401977.65,0,20483744.16,-194741.63,40060402.33,25741768.06,40998.24,-20801480.50,7092695.0,10290557.49,49387501.25,497103.62,4525180.41,0,0,0,0,0,0,0,0,0,0,0,205769959.33,0,0,0,0,0,0,0,55239743.34,0,30000000,USD,0,0,0,0,0,0,0,0,-206822742.47,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5.9312,2.05
7,2018-09-30,USD,632629495.22,527053777.63,135818761.68,496810733.53,105575717.58,8523039.7,0,0,69833938.19,491037061.48,224623336.63,0,105575717.58,4398988.23,-35466842.63,None,None,None,0,0,0,20620257.34,-35741779.39,0,49213680.85,8523039.7,0,USD,6029638183.22,1574562850.54,None,0,5264764104.26,273837017.49,156439019.03,97877488.18,273837017.49,0,265039041.02,0,597437589.35,428626415.92,1314747608.05,0,556197074.67,0,2297921478.06,1559716265.26,0,-1300725833.06,528703398.22,578741889.37,3403442208.29,23644561.75,448146926.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000000,USD,0,0,0,0,0,0,0,0,8523039.7,0,0,0,0,0,0,0,0,0,0.0,0,0,0,9.5,5.9312
8,2018-06-30,USD,636892249.73,0.0,137588381.43,499303868.31,-3821899.48,-85992738.39,0,0,-38764980.48,511588545.22,230678933.14,0,-3821899.48,113838006.06,-34670088.18,None,None,None,0,0,0,15014605.12,-34943081,0,-53779585.6,-85992738.39,0,USD,5946875597.17,1588818214.08,None,0,5171575987.55,263711064.4,159700799.87,32213152.79,263711064.40,0,261254129.02,0,599765226.17,299746116.68,1233927547.71,0,551991482.62,0,2285768884.28,1472523272.64,0,-1325107149.68,563730173.9,582839671.32,3394119734.65,26207310.75,435150555.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,USD,0,0,0,0,0,0,0,0,-85992738.39,0,0,0,0,0,0,0,0,0,0.0,0,0,0,9.3699,9.5
9,2018-03-31,USD,669445389.59,538448451.85,144607009.19,524838380.40,130996937.73,73721220.37,0,0,100090733.81,531359872.97,238459793.58,None,130996937.73,6521492.57,-36009980.72,None,None,None,0,0,0,26369513.44,-30906203.92,0,73721220.37,73721220.37,None,USD,5365203583.99,901383690.6,None,317.19,4677611432.46,687592151.53,155098105.93,41397300.67,1099580356.13,-613303844.85,185720766.7,0,578428036.75,517749801.52,1216116592.95,577577407.28,577577407.28,92435068.62,2324770330.04,1560621526.60,0,-213791539.07,394124985.82,611886129.07,3275774072.81,36860610.18,516048542.59,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30000000,USD,-310479755.02,11908812.52,-411421118.29,1134172.62,55007372.12,53022570.04,-1984802.09,4536690.48,73721220.37,-100657820.12,257740728.14,None,148860156.52,0,0,-1417715.78,20982193.49,-850629.47,77407281.39,None,None,None,12.9,9.3699
