,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,-922000000,1600000000.0,None,None,None,-1991000000,None,None,-2522000000,65000000,171000000,None,None,532000000,45000000,-531000000,None,-45000000,None,None,None,-531000000,93000000,None,-1991000000,-1998000000,None,USD,235367000000,None,None,None,214393000000,20909000000,None,None,1000000,3523000000,194423000000,None,117254000000,7325000000,None,None,None,4965000000,None,None,83816000000,20909000000,81333000000,15218000000,3979000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-641000000,0,-641000000,1173000000,-387000000,-1335000000,-1151000000,None,-1991000000,-1605000000,371000000,None,None,-7000000,-180000000,None,None,2362000000,0,None,None,None,25.15,
1,2020-03-31,USD,8985000000,2733000000.0,None,None,None,4957000000,None,None,6252000000,65000000,137000000,None,6299000000,470000000,47000000,1293000000,-47000000,-47000000,None,None,None,1293000000,102000000,None,4959000000,4950000000,None,USD,223953000000,None,None,None,203514000000,20374000000,None,None,1000000,5521000000,180939000000,None,106445000000,8930000000,None,None,None,2647000000,2505000000,None,78277000000,20374000000,75650000000,14994000000,4365000000,None,None,None,None,None,None,None,-706000000,None,None,None,None,None,4365000000,None,None,None,None,None,12911000000,None,None,None,None,USD,-1484000000,0,-1484000000,1622000000,-387000000,7441000000,7590000000,None,4957000000,6053000000,96000000,None,None,-7000000,-142000000,None,None,-4861000000,0,None,None,None,24.33,25.15
2,2019-12-31,USD,306000000,1678000000.0,1011000000,-709000000,-1329000000,-1070000000,None,None,-1372000000,65000000,197000000,None,-1325000000,599000000,47000000,-303000000,-47000000,-47000000,None,None,None,-303000000,107000000,None,-1069000000,-1077000000,None,USD,227259000000,502000000,None,2144000000,211022000000,16172000000,None,6455000000,1000000,585000000,195481000000,502000000,125032000000,2877000000,11178000000,332000000,332000000,3240000000,2380000000,23206000000,75521000000,16172000000,72994000000,14760000000,4365000000,None,None,None,None,None,None,None,-562000000,None,None,None,None,None,4365000000,None,None,None,None,None,12908000000,None,None,None,None,USD,-1642000000,0,-1642000000,-56000000,-1000000,-276000000,-140000000,3728000000,-1070000000,-1412000000,506000000,None,None,-7000000,-128000000,None,-629000000,-1207000000,0,None,None,None,27.75,24.33
3,2019-09-30,USD,3187000000,2383000000.0,1772000000,1414000000,852000000,683000000,None,None,804000000,65000000,149000000,None,853000000,562000000,49000000,119000000,-49000000,-49000000,None,None,None,119000000,94000000,None,685000000,676000000,None,USD,225876000000,5317000000,None,2436000000,208116000000,17695000000,None,6087000000,1000000,1662000000,191951000000,None,121311000000,4289000000,11800000000,422000000,422000000,3567000000,458000000,26012000000,75209000000,17695000000,72856000000,14385000000,4365000000,None,None,None,None,None,None,None,-432000000,None,None,None,None,None,4365000000,None,None,None,None,None,12897000000,None,None,None,None,USD,-2767000000,0,-2767000000,73000000,-1000000,2562000000,2695000000,3728000000,683000000,308000000,513000000,None,None,-7000000,-126000000,None,-629000000,-170000000,0,None,None,None,27.62,27.75
4,2019-06-30,USD,2370000000,1901000000.0,1280000000,1084000000,511000000,384000000,0,0,469000000,65000000,145000000,0,517000000,573000000,48000000,85000000,-48000000,-48000000,0,0,0,85000000,96000000,0,384000000,377000000,0,USD,221212000000,5492000000,None,2210000000,204871000000,16276000000,0,5408000000,1000000,986000000,190856000000,0,123358000000,3981000000,9650000000,0,148000000,2702000000,462000000,22701000000,70453000000,16276000000,68157000000,14231000000,4365000000,0,0,0,0,0,0,0,-306000000,0,0,0,0,0,4365000000,0,0,0,0,0,12893000000,0,0,0,0,USD,-1660000000,0,-1660000000,-639000000,-1000000,1344000000,1488000000,3728000000,384000000,117000000,433000000,0,0,-7000000,-136000000,0,-629000000,49000000,0,0,0,0,26.62,27.62
5,2019-03-31,USD,691000000,1644000000.0,1052000000,-383000000,-928000000,-737000000,0,0,-953000000,65000000,346000000,0,-906000000,545000000,47000000,-218000000,-47000000,-47000000,0,0,0,-218000000,92000000,0,-735000000,-737000000,0,USD,216430000000,5680000000,None,2167000000,201431000000,14999000000,0,4730000000,1000000,609000000,187752000000,0,121833000000,3864000000,9250000000,0,530000000,90000000,453000000,21652000000,68049000000,14999000000,799000000,14026000000,4364000000,0,0,0,0,0,0,0,-170000000,0,0,0,0,0,4364000000,0,0,0,0,0,12889000000,0,0,0,0,USD,-1272000000,0,-1272000000,-1272000000,400000000,615000000,922000000,3728000000,-737000000,-281000000,376000000,0,0,-7000000,360000000,0,-629000000,1113000000,0,0,0,0,25.7,26.62
6,2018-12-31,USD,3958000000,2194000000.0,1638000000,2320000000,1764000000,1442000000,0,0,1787000000,65000000,-10000000,0,1764000000,563000000,-25000000,None,None,None,0,0,0,345000000,23000000,0,1442000000,1442000000,0,USD,206294000000,5717000000,None,3013000000,191811000000,14418000000,0,3734000000,1000000,1346000000,178438000000,568000000,114259000000,4145000000,10012000000,0,1221000000,716000000,451000000,21254000000,65064000000,14418000000,0,13379000000,3361000000,0,0,0,0,0,0,0,-118000000,0,0,0,0,0,3963000000,0,0,0,0,0,12473000000,0,0,0,0,USD,-276000000,0,-1069000000,-47000000,400000000,1504000000,1567000000,4113000000,1442000000,2001000000,1566000000,0,18000000,-7000000,-105000000,0,-207000000,-4882000000,0,0,0,0,nan,25.7
7,2018-09-30,USD,1407000000,1750000000.0,1125000000,282000000,-343000000,-271000000,0,0,-368000000,65000000,4000000,0,-343000000,597000000,-25000000,None,None,None,0,0,0,-99000000,-25000000,0,-269000000,-271000000,0,USD,216946000000,6050000000,None,2068000000,203997000000,12884000000,0,3861000000,1000000,-96000000,191082000000,0,126925000000,2144000000,8949000000,0,1045000000,552000000,0,19319000000,64652000000,12884000000,116000000,14362000000,3966000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,-556000000,0,-1446000000,-254000000,372000000,976000000,646000000,4113000000,-271000000,9000000,479000000,0,18000000,-7000000,0,0,-207000000,750000000,0,0,0,0,nan,nan
8,2018-06-30,USD,1690000000,297257.79,1328000000,362000000,-296000000,-239000000,0,0,-317000000,65000000,4000000,0,-296000000,646000000,-21000000,None,None,None,0,0,0,-79000000,-21000000,0,-238000000,-239000000,0,USD,216212000000,5968000000,None,2083000000,202712000000,13435000000,0,3663000000,1000000,175000000,190192000000,0,126099000000,2135000000,8913000000,0,985000000,815000000,0,19481000000,64664000000,13435000000,177000000,14323000000,3607000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,48000000,0,-1120000000,-175000000,-3000000,641000000,644000000,4113000000,-239000000,247000000,726000000,0,18000000,0,0,0,-207000000,965000000,0,0,0,0,nan,nan
9,2018-03-31,USD,1809000000,1891000000.0,1310000000,499000000,-82000000,-67000000,None,None,-113000000,65000000,4000000,None,-82000000,581000000,-31000000,None,None,None,None,None,None,-48000000,-31000000,None,-65000000,-67000000,None,USD,218997000000,6083000000,None,2183000000,205324000000,13608000000,None,3672000000,1000000,374000000,192837000000,None,127939000000,1888000000,8878000000,962000000,962000000,801000000,None,19482000000,65493000000,13608000000,293000000,14258000000,3609000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,281000000,0,-903000000,-680000000,-3000000,643000000,646000000,4113000000,-67000000,31000000,291000000,None,18000000,None,None,None,-207000000,358000000,0,None,None,None,nan,nan
