,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,CNY,2315535000,2859740000,1785071000,530464000,-153081000,-538555000,297335000,None,-529163000,725969000.0,777334000,None,-544205000,None,15172000,9392000,26652000,11480000,None,None,None,9392000.0,3562000,None,-538555000,-535241000.0,None,CNY,15771607000,1815081000,None,38220000,8572590000,6598657000,495806000,None,209000,-4697477000,173533000,1012026000,783834000,4445249000,4802663000,100000000,100000000,510018000,481090000,10233412000,1446164000,3771550000.0,3501713000,585123000,3470785000,42491000,2166447000,None,None,None,None,None,None,None,276318000,None,5538195000,91312000,3470785000,173533000,3769927000,None,None,None,10772444000,None,7977420000,None,329000000,CNY,-1037040000,167418000,-1037040000,-753701000,100000000,188783000,88782000,74503000,-538555000.0,-517411000,288665000,None,360910000,None,1000,None,134130000,97698000,283339000,None,None,None,23.42,
1,2019-12-31,CNY,2007769000,2427712000,1609854000,397915000,-365427000,-382841000,245168000,0,-380285000,583976000.0,572690000,0,-419943000,0,14858000,6926000,36386000,21528000,0,0,0,6926000.0,18130000,0,-387211000,-382841000.0,0,CNY,15516567000,1657333000,None,28678000,7880107000,7052484000,443533000,0.87,208000,-4145606000,192882000,1012026000,520228000,4962660000,4272597000,0,0,466229000,751787000,10324064000,1251129000,4383125000.0,3105368000,744845000,3414628000,69914000,1929940000,0,0,0,0,0,0,0,301916000,0,5192503000,95901000,3414628000,192882000,3607510000,0,0,0,10718190000,0,8068028000,0,323000000,CNY,0,0,-1037040000,0,100000000,0,88782000,74503000,-382841000.0,0,288665000,0,0,0,0,0,0,97698000,0,0,0,0,18.62,23.42
2,2019-09-30,CNY,1858963000,2282068000,1507684000,351279000,-381576000,-407357000,247308000,0,-397623000,536334000.0,527076000,0,-423105000,0,16047000,8082000,52018000,35971000,0,0,0,8082000.0,-10489000,0,-405705000,-407357000.0,0,CNY,15851016000,1525031000,None,0.65,7769734000,7544948000,404336000,0.58,7544948000,0,0,1012026000,679966000,4179407000,4107431000,0,0,7544948000,472619000,10740016000,1421358000,5007891000.0,4214817000,716038000,3459124000,0,1900290000,0,0,0,0,0,0,0,275630000,0,5111000000,0,3459124000,203179000,3662303000,0,0,0,0,0,8394224000,0,327000000,CNY,0,0,-1037040000,0,100000000,0,88782000,74503000,-407357000.0,0,288665000,0,0,0,0,0,0,97698000,0,0,0,0,14.12,18.62
3,2019-06-30,CNY,1537683000,1883077000,1285944000,251739000,-286707000,-312815000,215860000,0,-302345000,232726000.0,381273000,0,-345394000,0,15638000,12671000,49971000,34333000,0,0,0,12671000.0,8716000,0,-315016000,-312815000.0,0,CNY,15799640000,1559932000,None,1.06,7340039000,8226875000,338339000,0.73,8226875000,0,0,941488000,565966000,4659202000,3811263000,100000000,100000000,8226875000,456584000,10674911000,1600759000,5725455000.0,3903781000,462613000,3358771000,0,1718444000,0,0,0,0,0,0,0,227627000,0,5124729000,0,3358771000,170005000,3528776000,0,0,0,0,0,8562983000,0,326000000,CNY,0,0,-1037040000,0,100000000,0,88782000,74503000,-312815000.0,0,288665000,0,0,0,0,0,0,97698000,0,0,0,0,16.27,14.12
4,2019-03-31,CNY,1373507000,1680240000,1184191000,189316000,-57138000,-185960000,186075000,0,-187450000,234927000.0,309974000,0,-306733000,0,-0.01,8188000,104353000,24407000,0,0,0,8188000.0,94876000,0,-195638000,-185960000.0,0,CNY,10674013000,1363524000,None,0.96,3970200000,6703813000,218585000,1.07,6703813000,0,0,941488000,471098000,2714625000,3735273000,100000000,100000000,6703813000,362931000,6306912000,1228060000,4398801000.0,1828738000,541558000,0,0,1424617000,0,0,0,0,0,0,0,252513000,0,4367101000,0,0,218083000,218083000,0,0,0,0,0,4543363000,0,312000000,CNY,-886783000,0,0,0,0,100000000,0,0,-185960000.0,-825406000,19419000,0,249595000,0,0,0,-224571000,0,291158000,0,0,0,18.95,16.27
5,2018-12-31,CNY,3550631.80,4437898.75,2945176.63,605455.17,-887266.95,-552998.20,471605.71,0,-558547.48,738693.16,1021116.41,0,-887266.95,0,-48050.73,9046000,None,None,0,0,0,27795.56,328719.47,0,-586343.03,-552998.2,0,CNY,32232630.80,4361484.01,None,2082973.61,10136294.90,21357642.74,627538.59,4795354.01,605.32,-8711150.46,0,2892900.95,627538.59,10877418.56,10136294.90,0,0,1001933.60,1213399.21,20126111.59,3011196.45,14103257.78,5270186.05,1337477.52,0,208737.06,4172495.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199932230.08,0,110639140.73,0,233000000,USD,0,0,0,0,0,0,0,0,-26164425.38,0,0,0,0,0,0,0,0,0,0,0,0,0,14.59,18.95
6,2018-09-30,USD,157060955.90,194770050.52,128726142.47,28334813.43,-37709094.61,-35659130.28,21284485.14,0,-34172138.19,20193189.59,44759422.91,0,-37709094.61,0,-2276638.18,None,None,None,0,0,0,1654267.79,3536956.43,0,-35826405.97,-35659130.28,0,USD,1111984160.49,158606909.40,None,116386029.79,376913770.76,714877200.13,10657747.24,125999505.02,714877200.13,0,0,68250666.05,10657747.24,350581024.62,376913770.76,0,0,0,46691318.84,681717014.37,146060504.59,488019624.69,156610374.30,58139585.67,0,0,152795498.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279000000,USD,0,0,0,0,0,0,0,0,-35659130.28,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,14.59
7,2018-06-30,USD,153950509.90,0,116355428.91,37595080.98,-16034493.10,-10702459.51,19780743.85,0,-10394271.15,-44991.0,33848830.23,0,-16034493.10,0,0,None,None,None,0,0,0,360677.86,5640221.96,0,-10754949.01,-10702459.51,0,USD,1066335332.93,130195560.89,None,107690611.88,322317786.44,744062537.49,7978704.26,143396970.61,744062537.49,0,0,7643521.30,7978704.26,543608878.22,322317786.44,0,0,0,37242951.41,760401469.71,122873125.37,606223455.31,52154919.02,56947060.59,0,0,141927264.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274000000,USD,0,0,0,0,0,0,0,0,-10702459.51,0,0,0,0,0,0,0,0,0,0,0,0,0,13.99,13.48
8,2018-03-31,USD,138206830.67,150033277.61,104279436.35,33927394.32,-11826446.94,-19114720.17,16862670.17,0,-18760608.23,-151261.84,28891171.09,None,-11826446.94,0,0,None,None,None,0,0,0,505373.78,-6934161.29,0,-19265982.01,-19114720.17,None,USD,664649470.58,109151023.01,None,115901600.19,342960592.31,-327508956.29,4859804.16,169881856.54,-327508956.29,0,0,8115118.22,4859804.16,167392723.51,342960592.31,0,0,0,31809728.52,392219886.95,118493909.72,-444775097.52,36359525.52,72566037.74,0,0,138112252.21,0,0,0,103521534.91,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,69000000,USD,0,0,0,0,0,0,0,0,-19114720.17,0,0,None,0,0,0,0,0,0,0,None,None,None,11.0,13.99
9,2017-12-31,USD,118661000,1834570000,90387000,460389000,112756000,-227885000,14025000,0,-222617000,240049000.0,38358000,None,112756000,0,0,None,None,None,0,0,0,393000.0,-335373000,0,-227885000,-177421000.0,None,USD,533870000,73353000,None,66836000,214867000,319003000,20796000,121669000,6187000,-2218699000,None,7833000,174293000,117253000,214867000,None,None,30047000,28652000,2153100000,635952000,-2416771000.0,75365000,455032000,None,1534000,91681000,None,None,None,617101000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-85436000,628306000,-716254000,None,None,103828000,-13536000,-84732000,-571548000.0,375684000,71398000,None,304398000,None,None,None,-283218000,457830000,22272000,None,None,None,nan,11.0
