,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,4830828,2870223,None,4830828,1960605,1501023,None,None,1960605,None,1981490,None,1960605,334199,76005,459582,4203211,4127206,None,None,None,459582,None,None,1501023,1501023,None,USD,542621550,None,None,None,488660695,53960855,None,473697177,None,7131796,1962252,None,307393587,96231430,475688921,None,None,2054528,17133155,206470620,108906662,53960855,108906662,1332528,None,None,1991744,None,None,None,None,7131796,-2515472,None,14568686,None,336150930,12971774,None,12971774,12971774,None,None,None,47290003,542621550,205138092,None,5530682,USD,-46754411,0,-46754411,None,None,40349296,41315644,170554,1501023,-10924694,-4519579,None,106136,-884858,-81490,None,-98944,-6198348,3183,-98944,None,-10924694,16.79,
1,2020-03-31,USD,4834985,2856521,None,4834985,1978464,1521131,None,None,1978464,None,1931165,None,1978464,400049,94072,457333,4301426,4207354,None,None,None,457333,None,None,1521131,1521131,None,USD,499720200,None,None,None,447293973,52426227,None,432381533,None,6515681,1785294,None,276205976,107156124,434202673,None,None,1083830,17355634,200805546,92415838,52426227,92415838,1233584,None,None,1821140,None,None,None,None,6515681,-2325225,None,14935829,None,298914654,13091300,None,13091300,13091300,None,None,None,47151941,499720200,199571962,None,5530363,USD,4382818,0,4382818,None,None,52309567,53189878,377465,1521131,58061705,1369320,None,104638,-884800,4489,None,76188,-710102,78537,76188,None,58061705,15.0,16.79
2,2019-12-31,USD,5067096,-13179227,None,349263,13528490,1773531,None,None,2296079,None,2939204,None,13528490,516545,112311,522548,4578390,4466079,None,None,None,522548,None,None,1773531,1773531,None,USD,445012520,None,144832880,6372170,393844488,51168032,None,379191655,None,5879409,1404868,None,271596323,49094419,380635271,None,None,482814,17499652,150854147,100449956,51168032,100449956,1309772,None,None,1443616,None,None,None,None,5879409,-2325225,None,14736738,None,294158373,13209217,None,13209217,13209217,None,None,None,47131034,445012520,149544375,None,5530001,USD,-1655152,0,-1655152,22083920,None,-9450491,-8012692,-213122,1773531,-9321040,1784603,-241520,59687,-1437799,138290,None,-241520,406027,691919,None,None,-9321040,18.78,15.0
3,2019-09-30,USD,5209878,2581823,None,5199878,2618055,2014791,None,None,2618055,None,1664631,None,2618055,497727,213876,603264,4827684,4613808,None,None,None,603264,None,None,2014791,2014791,None,USD,453060365,None,154483680,6286832,402739874,50320491,None,387204347,None,4990680,2162130,None,273076111,58415459,389414082,None,None,544147,16983995,158064828,98297968,50320491,98297968,1351401,None,None,2209735,None,None,None,None,4990680,-2325225,None,15016034,None,294995537,13325792,None,13325792,13325792,None,None,None,47110889,453060365,156713427,None,5530001,USD,10732516,0,10732516,23047150,None,2548285,3394442,-295300,2014791,13318968,38167,235374,61558,-884044,37887,None,235374,-1978256,1030447,None,None,13318968,18.7,18.78
4,2019-06-30,USD,5160858,2634782,0,5025858,2391076,1840847,0,0,2391076,0,1664436,0,2391076,543099,245226,550229,4813345,4568119,0,0,0,550229,0,0,1840847,1840847,0,USD,442374445,0,139558770,4440127,392979830,49394615,0,383809905,0,4413687,1887479,0,281498906,45096491,385761186,0,0,253296,2689314,148092599,101430963,49394615,101430963,1565145,0,0,1951281,0,0,0,0,4413687,-2314107,0,9000468,0,294281846,7218644,0,7218644,7218644,0,0,0,47041739,442374445,146527454,0,5525278,USD,8106393,112218,8106393,11284190,0,7598181,8431723,112218,1840847,17774553,2069979,312768,57159,-882676,49134,0,312768,-320983,396712,0,0,17774553,18.88,18.7
5,2019-03-31,USD,9540691,-2659361,0,9540691,12200052,1689264,0,0,2188497,0,-2659361,0,12200052,615705,-243758,499233,4692833,4449075,0,0,0,499233,0,0,1689264,1689264,0,USD,431823822,0,140139010,3936259,384492591,47331231,0,375378182,0,3456884,1775395,0,273537421,27321938,377215877,0,0,-785269,2349761,146222506,273546272,47331231,117401729,1498839,7276714,0,1837695,0,0,0,0,3456884,-2268264,0,9705283,0,285601316,7276714,0,7276714,7276714,0,0,0,46927880,431823822,144723667,0,5516725,USD,2714557,487408,2714557,2781084,0,-7775579,-7000206,487408,1689264,-4510303,550719,-528022,124733,-826638,51265,0,-528022,-1222664,66527,0,0,-4510303,18.23,18.88
6,2018-12-31,USD,23052826,-2970411,0,23052826,26023237,1806194,0,0,1945504,0,-2970411,0,26023237,474390,-694386,None,None,None,0,0,0,139310,0,0,1806194,1806194,0,USD,429135198,0,None,2761353,383672637,45462561,0,382378388,0,2650296,1130373,0,272537523,31832241,383672637,0,0,-1777205,2335207,153063030,271649374,45462561,119668874,1561915,0,0,1294249,0,0,0,0,2650296,-2268264,0,2087587,0,276072168,0,0,0,0,0,0,0,46857734,429135198,151501115,0,5510917,USD,333000,-191403,236971,309937,0,-2040599,-662870,-191403,1806194,2071220,3874848,223188,127446,-1377729,193570,0,0,1909423,72966,0,0,2071220,18.21,18.23
7,2018-09-30,USD,4828845,-2816474,0,4828845,7645319,1778153,0,0,2012371,0,-2816474,0,7645319,797319,0,None,None,None,0,0,0,234218,-33476,0,1778153,1778153,0,USD,428377382,0,None,4332595,385077848,43299534,0,383041258,0,1295509,1887411,0,273366561,29761021,385077848,0,0,-2566563,2314004,149835590,273383100,43299534,118603201,1471368,0,0,2036590,0,0,0,0,1295509,-2268264,0,2844688,0,278541792,0,0,0,0,0,0,0,46838852,428377382,148364222,0,5510312,USD,604927,277697,4373266,4458493,0,-32321,701649,277697,1778153,7496682,3155737,97446,125141,-825092,91122,0,0,877300,85227,0,0,7496682,20.3,18.21
8,2018-06-30,USD,4764266,-2651515,0,4764266,7415781,1726357,0,0,2112751,0,-2651515,None,7415781,628867,0,None,None,None,0,0,0,386394,-24137,0,1726357,1726357,None,USD,426770905,0,None,5219964,383546171,43224734,0,382339609,0,894779,1071816,0,276764419,22264339,383546171,0,0,-2133748,2279016,143664478,277748223,43224734,119831325,1568814,0,411842,1206562,0,0,0,0,894779,-2268264,None,3079188,None,283106427,None,None,None,None,None,None,None,46731967,426770905,142095664,None,5500616,USD,-12010376,-223163,-4552441,7537426,0,-9010905,-8345955,-223163,1726357,-12156033,1407313,152106,120395,-748629,83679,0,0,-130165,79491,None,None,-12156033,20.7,20.3
9,2018-03-31,USD,4603124,-2641834,165000,4603124,7244958,1612230,0,0,1961290,0,-2641834,None,7244958,685782,96782,None,None,None,0,0,0,349060,0,0,1612230,1612230,None,USD,434649189,0,None,5008643,392032340,42616849,0,390685564,46608000,8471780,1228332,0,266624990,34420372,392032340,None,None,-1744294,2244811,161703524,267808301,42616849,125914894,1368258,0,435479,1346776,0,0,0,0,0,-2247415,None,2892553,None,272945665,None,None,None,None,None,None,None,46608558,434649189,160335266,None,5489967,USD,2032326,431940,13953356,11970377,None,-12932363,-12202736,431940,1612230,1900153,879160,None,126469,-748395,18768,0,0,-1529696,49347,238217,None,1900153,20.1,20.7
