,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1945643000,388077000,1428311000,517332000,129255000,78924000,None,None,102443000,None,388077000,None,129255000,None,26812000,23519000,None,-26812000,None,None,None,23519000,None,None,78924000,78924000,None,USD,3764678000,126519000,None,36136000,2848744000,915934000,38169000,61887000,1167000,336528000,107120000,777283000,29393000,385461000,933106000,23974000,23974000,None,743542000,1801587000,None,12132000,None,764848000,1577884000,615142000,847245000,None,None,1167000,None,336528000,None,None,308054000,None,7693000,292521000,1577884000,299585000,1915638000,None,None,None,578239000,3764678000,385461000,None,116701000,USD,-25398000,69388000,-25398000,913000,26456000,26447000,-5468000,90684000,78924000,221589000,220540000,21153000,29378000,None,-9000,24906000,None,4784000,26311000,-7993000,None,221589000,20.7,
1,2020-03-31,USD,1787021000,404466000,1321608000,465413000,60947000,8767000,None,None,9016000,None,404466000,None,60947000,None,51931000,249000,-51931000,-51931000,None,None,None,249000,None,None,8767000,8767000,None,USD,3561358000,132165000,None,44122000,2727820000,833538000,37496000,61628000,1165000,257604000,93241000,777283000,30327000,163872000,859013000,22518000,22518000,None,730738000,1604881000,None,-75910000,None,756839000,1545211000,640048000,774867000,None,None,1165000,None,257604000,None,None,307898000,None,8393000,291983000,1545211000,286100000,1868807000,None,None,None,574769000,3561358000,163872000,None,116545000,USD,-43853000,20453000,-43853000,-15355000,247719000,244283000,-31018000,-66556000,8767000,149776000,-50654000,21286000,30084000,None,-3436000,-78591000,None,9345000,28498000,-61998000,None,149776000,12.23,20.7
2,2019-12-31,USD,1763573000,401418000,1287017000,476556000,75138000,41367000,None,None,47658000,None,401418000,None,75138000,None,27480000,6291000,-27480000,-27480000,None,None,None,6291000,-27480000,None,41367000,41367000,None,USD,3249490000,128388000,None,39123000,2424537000,824953000,36645000,61653000,1161000,248837000,88890000,769022000,30642000,14096000,821301000,13875000,13875000,None,721887000,1306867000,None,-72457000,None,692393000,1277398000,561255000,745773000,None,None,1161000,None,248837000,None,None,314909000,None,8417000,298601000,1277398000,289193000,1603236000,None,None,None,574955000,3249490000,14096000,None,116052000,USD,-92786000,-49438000,-92786000,-57853000,-81824000,-80171000,-52000,15966000,41367000,-29175000,143782000,-4439000,29087000,None,1653000,21939000,83872000,21394000,34933000,83872000,None,-29175000,25.41,12.23
3,2019-09-30,USD,1981035000,411510000,1439893000,541142000,129632000,78130000,None,None,101844000,None,411510000,None,129632000,None,27788000,23714000,-27788000,-27788000,None,None,None,23714000,-27788000,None,78130000,78130000,None,USD,3297759000,101303000,None,34603000,2518758000,779001000,18836000,60280000,1158000,207470000,72071000,754765000,28489000,43271000,863745000,14370000,14370000,None,696154000,1430077000,None,-77067000,None,770660000,1350467000,581543000,789095000,None,None,1158000,None,207470000,None,None,310405000,None,5055000,292755000,1350467000,285710000,1655013000,None,None,None,570373000,3297759000,43271000,None,115767000,USD,-65622000,5544000,-65622000,-33077000,-76533000,-83138000,-3589000,24077000,78130000,32719000,181479000,2396000,25309000,None,-6605000,42894000,6030000,21176000,32545000,6030000,None,32719000,20.575,25.41
4,2019-06-30,USD,1904523000,401511000,1387367000,517156000,115645000,66604000,None,None,86263000,None,401511000,None,115645000,None,29382000,19659000,-29382000,-29382000,None,None,None,19659000,-29382000,None,66604000,66604000,None,USD,3249971000,95417000,None,36217000,2545840000,704131000,5967000,60576000,1159000,137278000,59158000,740411000,30904000,10552000,848219000,12650000,12650000,None,675310000,1433958000,None,-131697000,None,769662000,1420462000,617527000,774993000,None,None,1159000,None,137278000,None,None,297532000,None,7343000,278577000,1420462000,271192000,1697621000,None,None,None,565694000,3249971000,10552000,None,115880000,USD,-19968000,111488000,-19968000,3900000,-155581000,-153914000,-7278000,73724000,66604000,-1172000,172710000,4915000,24797000,None,1667000,17972000,-69816000,16750000,23868000,-69816000,None,-1172000,16.86,20.575
5,2019-03-31,USD,1631300000,370084000,1189325000,441975000,71891000,35708000,None,None,46990000,None,370084000,None,71891000,None,24901000,11282000,-24901000,-24901000,None,None,None,11282000,-24901000,None,35708000,35708000,None,USD,3199465000,99286000,None,38756000,2566994000,632471000,None,60291000,1156000,70674000,53157000,740411000,35319000,11724000,737911000,17045000,17045000,None,669055000,1385754000,None,-207226000,None,699775000,1556063000,635499000,660575000,None,None,1156000,None,70674000,None,None,291831000,13128000,1813711000,274132000,1562085000,266998000,1829083000,None,None,None,560641000,3199465000,11724000,None,115603000,USD,-20804000,-53024000,-20804000,720000,18560000,16326000,-7278000,-96982000,35708000,1597000,6075000,3413000,24725000,None,-2234000,-38603000,22703000,11153000,21524000,22703000,None,1597000,13.34,16.86
6,2018-12-31,USD,1815980000,402302000,1323201000,492779000,90477000,52021000,0,0,67069000,0,402302000,None,90477000,0,23408000,None,None,None,0,0,0,15048000,-23408000,0,52021000,52021000,None,USD,2932309000,103154000,None,43921000,2335971000,596338000,None,53816000,1151000,34966000,58983000,740411000,44918000,10127000,731259000,15565000,5526000,None,670075000,1373751000,None,-247227000,None,722807000,1539323000,596896000,715694000,None,None,1151000,None,34966000,None,None,22152000,22766000,1558558000,None,1545729000,58983000,1604712000,None,None,None,560221000,2932309000,10127000,None,115078000,USD,None,-53005000,-19855000,2863000,-279273000,-277762000,-134000,32012000,52021000,-24319000,273298000,8417000,26378000,None,1511000,81214000,141871000,16402000,22718000,141871000,None,-24319000,10.91,13.34
7,2018-09-30,USD,2118467000,400993000,1595686000,522781000,121788000,73328000,0,0,92682000,0,400993000,None,121788000,0,29106000,None,None,None,0,0,0,19354000,-29106000,0,73328000,73328000,None,USD,3193585000,111266000,None,35351000,2655270000,538315000,0,13531000,1147000,-17055000,56546000,740411000,62202000,34446000,771762000,14620000,14620000,None,673606000,1613974000,None,-313362000,0,864706000,1826962000,679471000,743611000,0,0,1147000,0,-17055000,0,None,15568000,38760000,1579611000,None,1826962000,56546000,1883508000,None,None,None,554223000,3193585000,34446000,None,114725000,USD,None,5696000,-27930000,815000,-129503000,-129321000,-134000,8547000,73328000,21250000,178501000,-77070000,26275000,0,182000,103286000,26673000,20313000,28745000,26673000,None,21250000,14.68,10.91
8,2018-06-30,USD,2089888000,391769000,1593560000,496328000,104559000,56622000,0,0,75602000,0,391769000,None,104559000,0,28957000,None,None,None,0,0,0,18980000,-28957000,0,56622000,56622000,None,USD,3322852000,119424000,None,39258000,2861381000,461471000,0,33820000,1147000,-90383000,60388000,740411000,80493000,13196000,846750000,13971000,13971000,None,663725000,1726952000,None,-398364000,0,891741000,1954243000,782757000,812930000,0,0,1147000,0,-90383000,0,None,16614000,55726000,1595900000,None,None,2014631000,2014631000,None,None,None,550707000,3322852000,13196000,None,114671000,USD,None,63097000,-29328000,507000,22928000,23099000,-134000,67831000,56622000,3127000,9356000,67487000,25927000,0,171000,-103967000,-120190000,20380000,29835000,-120190000,None,3127000,18.29,14.68
9,2018-03-31,USD,1700436000,358908000,1289384000,411052000,52144000,23220000,0,0,25402000,0,358908000,None,52144000,0,26742000,None,None,None,0,0,0,2182000,-26742000,0,23220000,23220000,None,USD,3109689000,126360000,None,43046000,2708716000,400973000,0,43409000,1146000,-147005000,60915000,740411000,96082000,10069000,719391000,12413000,12413000,None,648994000,1503115000,None,-465798000,0,771210000,1928410000,678790000,675982000,0,0,1146000,0,-147005000,0,None,17717000,73092000,1606574000,None,None,1989325000,1989325000,None,None,None,546832000,3109689000,10069000,None,114619000,USD,None,-83012000,-19545000,568000,153220000,150406000,-134000,-90941000,23220000,-47464000,-178325000,-3553000,23968000,0,-2814000,-85958000,-57575000,4585000,20113000,-57575000,None,-47464000,19.84,18.29
