,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,13438000,8270000,None,13438000,5204000,3847000,None,None,5168000,None,8270000,36000,5168000,1179000,1214000,1321000,14997000,13783000,None,None,None,1321000,None,None,3847000,3847000,None,USD,1711896000,4426000,406332000,None,1542341000,169555000,None,1494307000,58749000,103658000,14518000,11671000,1230859000,155762000,1494307000,None,None,7148000,15466000,155762000,1468856000,153458000,280200000,None,10000000,None,None,None,None,58749000,None,103658000,None,None,53070000,None,2645000,None,10000000,10000000,20000000,None,None,None,None,1711896000,155762000,None,16738685,USD,-151298000,48000,-147740000,3776000,None,250659000,251920000,3523000,3847000,111822000,8903000,-656000,4547000,-838000,-423000,None,None,1117000,218000,None,None,111822000,7.58,
1,2020-03-31,USD,11028000,9783000,None,11028000,1375000,916000,None,None,1245000,None,9783000,130000,1245000,1970000,1359000,329000,14345000,12986000,None,None,None,329000,None,None,916000,916000,None,USD,1455880000,4618000,307890000,None,1290222000,165658000,None,1242387000,59067000,100644000,14121000,11671000,1081277000,43940000,1242387000,None,None,5947000,15452000,43940000,1324392000,149369000,285077000,None,10000000,None,None,None,None,59067000,None,100644000,None,None,52658000,None,3149000,None,10000000,10000000,20000000,None,None,None,None,1455880000,43940000,None,16796262,USD,-18189000,976000,-12394000,5880000,10000000,-28037000,-24904000,-502000,916000,-36664000,3767000,-1991000,859000,-903000,-12230000,None,None,3007000,85000,None,None,-36664000,7.87,7.58
2,2019-12-31,USD,14335000,8421000,None,14335000,6045000,4369000,None,None,5914000,None,8421000,131000,5914000,1343000,1494000,1545000,14808000,13314000,None,None,None,1545000,None,None,4369000,4369000,None,USD,1479616000,4809000,346216000,6928000,1305138000,174478000,None,1267171000,71311000,100566000,11814000,11671000,1052143000,80604000,1267171000,None,None,2601000,15906000,80604000,1309819000,157998000,286950000,4678000,10000000,35000,1267171000,None,None,71311000,None,100566000,None,None,52254000,None,4553000,3855000,10000000,17700000,27700000,None,None,None,None,1479616000,80604000,None,18137167,USD,-19806000,-941000,-14365000,5576000,10000000,3127000,5032000,-356000,4369000,-8000000,3238000,-1011000,758000,-907000,-998000,None,None,63000,135000,None,None,-8000000,11.57,7.87
3,2019-09-30,USD,14728000,8300000,None,14728000,6559000,4642000,None,None,6428000,None,8300000,131000,6428000,1411000,1479000,1786000,15201000,13722000,None,None,None,1786000,217000,None,4642000,4642000,None,USD,1472427000,16672000,328440000,None,1300790000,171637000,None,1262139000,72200000,97100000,14334000,11700000,1065012000,88604000,1262139000,None,None,2337000,16084000,88604000,1295176000,154965000,272341000,None,10000000,58000,1262139000,None,None,72200000,None,97100000,None,None,51073000,None,4818000,None,10000000,18396000,28396000,None,None,None,None,1472427000,88604000,None,18211568,USD,16718000,0,16718000,95277000,10000000,25715000,26621000,712000,4642000,47979000,5546000,253000,506000,-906000,40000,None,None,-326000,561000,None,None,47979000,10.89,11.57
4,2019-06-30,USD,14595000,9140000,None,14595000,5108000,3644000,None,None,4984000,None,6042000,124000,5455000,1713000,1632000,1340000,15127000,13495000,None,None,None,1340000,-471000,None,3644000,3644000,None,USD,1441986000,16900000,305138000,None,1274133000,167853000,None,1235518000,72087000,93363000,14378000,11700000,4791000,40625000,1235518000,None,None,2403000,19405000,40625000,285819000,150953000,285819000,None,20243000,None,1235518000,None,None,72087000,None,93363000,None,None,51731000,None,4791000,None,20243000,18372000,28372000,None,None,None,None,1441986000,40625000,None,18000000,USD,9591000,0,76736000,77998000,-22596000,-36097000,-86508000,29000,3644000,-21904000,4602000,289000,515000,-725000,40000,None,None,402000,802000,None,None,-21904000,10.69,10.89
5,2019-03-31,USD,14061000,10923000,None,14061000,3259000,2306000,None,None,3138000,None,6561000,121000,3138000,1137000,1423000,832000,14427000,13004000,None,None,None,832000,-2030000,None,2306000,2306000,None,USD,1471491000,17094000,324542000,None,1309393000,162098000,None,1248294000,71966000,90626000,14092000,11700000,1068354000,62529000,1268294000,None,None,-494000,15391000,62563000,294117000,145004000,294117000,None,42827000,34000,1248294000,None,None,71966000,None,90626000,None,None,51898000,None,6072000,None,42827000,18272000,61099000,None,None,None,None,1471491000,62529000,None,18000000,USD,67145000,0,67145000,9279000,19100000,-55243000,-73638000,484000,2306000,15164000,3262000,296000,563000,-651000,40000,None,None,-257000,460000,None,None,15164000,10.55,10.69
6,2018-12-31,USD,13626000,8868000,1256000,13626000,4959000,4839000,0,0,4758000,0,8868000,201000,4758000,1083000,1256000,-81000,13750000,12494000,0,0,0,-81000,-937000,0,4839000,4839000,None,USD,1307104000,1841000,280601000,6459000,1168783000,138321000,None,1131716000,52284000,89045000,10991000,665000,966513000,47365000,1131716000,None,None,-3008000,13119000,47365000,1192845000,136480000,23673000,None,23715000,31000,1131716000,None,None,52284000,None,89045000,None,None,44895000,None,7039000,None,23715000,13352000,37067000,None,None,None,None,1307104000,47365000,None,16333502,USD,-19731000,157000,-34827000,-15026000,-901000,-14578000,-13045000,-742000,4839000,-43871000,5534000,-668000,672000,-651000,19000,None,None,534000,70000,None,None,-43871000,10.96,10.55
7,2018-09-30,USD,13070000,7634000,1304000,13070000,5540000,4032000,0,0,5436000,0,7634000,104000,5436000,1085000,1304000,1404000,13431000,12127000,0,0,0,1404000,-94000,0,4032000,4032000,None,USD,1315469000,1864000,309553000,None,1182500000,132969000,0,1144761000,52191000,84857000,13136000,665000,960091000,91236000,1144761000,24603000,24603000,-4079000,13495000,91236000,1156614000,131105000,0,None,24603000,136000,1144761000,0,0,52191000,0,84857000,0,None,44176000,None,8084000,None,24603000,13136000,37739000,None,None,None,None,1315469000,91236000,None,16329902,USD,13964000,1704000,15822000,1912000,-60900000,28756000,90232000,1890000,4032000,51550000,6972000,272000,975000,-650000,74000,0,0,-11000,54000,None,None,51550000,12.2,10.96
8,2018-06-30,USD,12542000,7671000,1410000,12542000,4966000,3618000,0,0,4871000,0,7671000,95000,4871000,1086000,1410000,1253000,12990000,11580000,0,0,0,1253000,-93000,0,3618000,3618000,None,USD,1281504000,1920000,None,None,1151426000,130078000,0,1054529000,52043000,81475000,11406000,665000,969059000,39686000,1054529000,85491000,85491000,-3440000,13908000,39686000,1173970000,128158000,0,None,85491000,140000,1054529000,0,0,52043000,0,81475000,0,None,44205000,None,7815000,None,85491000,11406000,96897000,None,None,None,None,1281504000,39686000,None,16317902,USD,-32966000,-1449000,-31225000,1920000,29100000,34409000,5786000,-1892000,3618000,6063000,2879000,-173000,908000,-487000,10000,0,0,-25000,179000,None,None,6063000,12.75,12.2
9,2018-03-31,USD,12327000,8033000,1185000,12327000,4374000,3241000,0,0,4294000,0,8033000,80000,4294000,1018000,1185000,1053000,12530000,11345000,0,0,0,1053000,-96000,0,3241000,3241000,None,USD,1245575000,1975000,273293000,None,1117853000,127722000,0,1048751000,51959000,78507000,12723000,665000,307840000,33623000,1048751000,56379000,56379000,-2744000,14214000,33623000,1145815000,125747000,0,None,56379000,60000,1048751000,0,0,51959000,0,78507000,0,None,42425000,None,7523000,None,56379000,12723000,69102000,None,None,None,None,1245575000,33623000,None,16315402,USD,-16193000,682000,-13329000,2912000,29100000,-25365000,-54092000,1166000,3241000,-33347000,5347000,559000,1080000,-486000,113000,0,0,-215000,48000,None,None,-33347000,11.65,12.75
