,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,43203000,14594000,36599000,6604000,-8075000,-5648000,None,None,-8231000,None,12195000,-85000,-7990000,353000,-156000,-2583000,-156000,-156000,None,2046000,None,-2583000,-2131000,None,-5648000,-5648000,None,USD,252017000,4784000,None,8419000,81734000,170283000,2747000,7072000,765000,115576000,11818000,None,10614000,17248000,49891000,3125000,3125000,-26038000,106453000,119111000,None,165499000,None,33684000,9595000,59760000,39694000,None,None,765000,None,115576000,-8521000,None,17512000,None,4157000,None,9595000,19501000,31843000,None,None,None,88501000,252017000,17248000,-69379000,14769310,USD,-2341000,-12532000,-2341000,14000,-865000,-2519000,-84000,-6131000,-5648000,1348000,6208000,-103000,2776000,-1883000,229000,2474000,16968000,2273000,2355000,16968000,None,1348000,27.6,
1,2020-03-31,USD,73564000,18123000,49094000,24470000,6462000,4155000,None,None,6224000,None,16653000,115000,6347000,354000,-238000,2069000,-238000,-238000,None,1116000,None,2069000,-1001000,None,4155000,4155000,None,USD,268940000,5199000,None,9534000,95251000,173689000,3692000,5985000,763000,121224000,12298000,None,8577000,16451000,63093000,3125000,3125000,-26643000,106817000,138441000,None,168490000,None,51011000,10406000,61445000,53983000,None,None,763000,None,121224000,-8487000,None,14581000,None,3902000,None,10406000,18060000,32158000,None,None,None,86832000,268940000,16451000,-66721000,14751242,USD,-5121000,-7496000,-5121000,None,-781000,-3681000,-84000,-4361000,4155000,-3882000,4920000,1338000,2746000,-1866000,-1034000,-8187000,10277000,2087000,5121000,10277000,None,-3882000,23.01,27.6
2,2019-12-31,USD,86367000,29722000,56146000,30221000,-162000,-5288000,None,None,-547000,None,16164000,-661000,499000,355000,2723000,4741000,-385000,-385000,None,13203000,None,4741000,-13864000,None,-5288000,-5288000,None,USD,277421000,5880000,None,9417000,105280000,172141000,3786000,4452000,756000,119002000,12933000,None,8531000,20353000,71423000,3125000,3125000,-25803000,108234000,144353000,None,166261000,None,64691000,11147000,53728000,63846000,None,None,756000,None,119002000,-7453000,None,15118000,None,129232000,None,11147000,18924000,33857000,None,None,None,85639000,277421000,20353000,-66507000,14652675,USD,-4828000,2614000,-4828000,5000,-13911000,-15602000,-84000,-9857000,-5288000,9068000,29498000,-4654000,2541000,-1866000,175000,5686000,11284000,17315000,4833000,11284000,None,9068000,44.94,23.01
3,2019-09-30,USD,100094000,23403000,63870000,36224000,12991000,6915000,None,None,12604000,None,17111000,170000,12821000,394000,-387000,5689000,-387000,-387000,None,5898000,None,5689000,-5728000,None,6915000,6915000,None,USD,275815000,6251000,None,9206000,108739000,167076000,1469000,4379000,756000,126156000,10284000,None,3619000,12183000,63958000,3125000,3125000,-36591000,103670000,152001000,None,160825000,None,71689000,25010000,58923000,56454000,None,None,756000,None,126156000,-7443000,None,10462000,None,3431000,None,25010000,18302000,44781000,None,None,None,84198000,275815000,12183000,-64944000,14645335,USD,-6094000,-5831000,-6094000,1258000,-7782000,-8203000,-84000,-422000,6915000,-2503000,11794000,-4253000,2664000,-298000,-123000,279000,3618000,8402000,6094000,3618000,None,-2503000,43.98,44.94
4,2019-06-30,USD,110954000,17420000,68881000,42073000,24996000,17244000,None,None,24587000,None,16699000,343000,24653000,397000,-409000,7343000,-782000,-409000,None,324000,None,7343000,19000,None,17244000,17244000,None,USD,285184000,7375000,None,6650000,121683000,163501000,458000,4092000,756000,121107000,9101000,None,3830000,14881000,70332000,3125000,3125000,-33895000,105232000,158311000,None,156126000,None,76800000,32744000,59980000,63115000,None,None,756000,None,121107000,-7320000,None,10610000,None,3656000,None,32744000,18149000,51351000,None,None,None,82853000,285184000,14881000,-63946000,14647091,USD,-8628000,11156000,-8628000,1054000,-7530000,-7575000,-300000,-1487000,17244000,102000,16305000,-5755000,2590000,-300000,255000,-8746000,-2401000,2217000,9682000,-2401000,None,102000,63.35,43.98
5,2019-03-31,USD,100135000,15953000,63730000,36405000,20431000,15170000,None,None,20058000,None,15477000,-21000,20452000,398000,-373000,4888000,None,-373000,None,78000,None,4888000,-99000,None,15170000,15170000,None,USD,266106000,7882000,None,7015000,117195000,148911000,880000,12612000,755000,104162000,3876000,None,4156000,14874000,66923000,3125000,3125000,-35433000,99911000,145992000,None,141029000,None,73252000,40239000,50851000,51186000,None,None,755000,None,104162000,-1695000,None,8478000,None,3843000,None,40239000,9153000,50272000,None,None,None,81122000,266106000,14874000,-66576000,14985696,USD,-6397000,-937000,-6397000,204000,1969000,818000,-300000,-5101000,15170000,1418000,6997000,2541000,2243000,-298000,-853000,110000,-13722000,1592000,6601000,-13722000,None,1418000,49.64,63.35
6,2018-12-31,USD,90318000,18376000,58879000,31439000,12898000,15271000,7210000,0,12381000,0,17236000,-165000,13063000,579000,517000,None,None,None,-872000,561000,0,-2890000,-4943000,0,15271000,15271000,None,USD,240418000,8589000,None,8058000,106132000,134286000,379000,9140000,749000,89291000,3337000,None,4473000,13375000,64565000,3125000,3125000,-35014000,95140000,132216000,None,125697000,None,63710000,38230000,51074000,52300000,None,None,749000,None,89291000,-817000,None,472000,None,104201000,None,38230000,2958000,41567000,None,None,None,80077000,240418000,13375000,-65585000,14905776,USD,None,-2567000,-18521000,None,-144000,-232000,-4000,960000,15271000,2340000,21093000,-2095000,2402000,-298000,210000,5008000,5476000,-2402000,18521000,5476000,-63000,2277000,35.12,49.64
7,2018-09-30,USD,87883000,20908000,58155000,29728000,8485000,4910000,0,0,7990000,0,15050000,-335000,8820000,5666000,495000,None,None,None,0,192000,0,3080000,-5919000,0,4910000,4910000,None,USD,229519000,9515000,None,6664000,110129000,119390000,849000,12310000,749000,74318000,3549000,0,346000,11098000,65126000,None,None,-33806000,79782000,139876000,None,109875000,0,65618000,41454000,56496000,52816000,0,0,749000,0,74318000,-815000,None,346000,None,89643000,None,None,44154000,45003000,None,None,None,78944000,229519000,11098000,-64915000,14896043,USD,None,2070000,-10373000,0,6708000,6342000,-179000,7596000,4910000,4093000,8124000,2909000,2441000,-298000,-68000,-2828000,-2687000,1309000,10373000,-2687000,376000,4469000,40.8,35.12
8,2018-06-30,USD,80915000,16546000,54140000,26775000,9903000,6372000,0,0,9766000,0,15538000,-326000,10229000,791000,137000,None,None,None,0,217000,0,3394000,-680000,0,6372000,6372000,None,USD,210782000,10528000,None,6411000,96553000,114229000,606000,8921000,749000,69706000,3560000,0,157000,6629000,58382000,34611000,34611000,-33570000,70527000,129570000,None,103701000,0,62821000,34611000,53709000,49461000,0,0,749000,0,69706000,-745000,None,157000,None,81212000,None,None,37565000,38171000,None,None,None,78089000,210782000,6629000,-63449000,14899727,USD,None,8194000,-10899000,0,5318000,5210000,-131000,3920000,6372000,-4290000,1399000,-2037000,2426000,-298000,190000,-8386000,-6838000,1668000,10899000,-6838000,151000,-4139000,44.9,40.8
9,2018-03-31,USD,67313000,17441000,44560000,22753000,4936000,3920000,0,0,4470000,0,13389000,-376000,5312000,3908000,466000,None,None,None,0,144000,0,550000,-4089000,0,3920000,3920000,None,USD,198419000,12121000,None,10764000,87062000,111357000,265000,11927000,747000,63634000,3070000,0,12272000,10768000,54377000,29350000,29350000,-29214000,60956000,125191000,None,99236000,0,57201000,29350000,46458000,42450000,0,0,747000,0,63634000,-705000,None,151000,None,73228000,None,None,32420000,32685000,None,None,None,76895000,198419000,10768000,-63621000,14876190,USD,None,7052000,-5302000,0,11176000,10538000,-131000,4958000,3920000,2258000,-2978000,705000,2565000,-295000,-343000,-10404000,-7360000,544000,5302000,-7360000,-473000,1785000,26.75,44.9
