,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,500487000,348231000,None,500487000,152256000,127628000,None,None,152256000,None,348231000,None,152256000,45540000,57688000,24628000,508569000,450881000,None,None,None,24628000,None,None,127628000,127275000,None,USD,62845352000,24511000,30740186000,None,57065187000,5780165000,None,53844300000,1044000,2033782000,338589000,671122000,29692795000,435080000,55725848000,None,0,219349000,627620000,10421628000,28316273000,5062389000,9625278000,361270000,1186274000,None,1881548000,None,None,1044000,22143000,2033782000,-1016486000,None,22796933000,None,52436459000,187971000,1186274000,153065000,1339339000,None,None,None,4520333000,62845352000,10060358000,None,84184927,USD,-4497764000,0,-9135421000,-4628733000,2119000,9010679000,9044418000,-28977000,127628000,-10197000,114545000,None,16211000,-35858000,-60000,None,-59667000,-13083000,8924000,None,None,-10197000,37.17,
1,2020-03-31,USD,410007000,372608000,None,410007000,37399000,34302000,None,None,37399000,None,372608000,None,37399000,47760000,77263000,3097000,550358000,473095000,None,None,None,3097000,None,None,34302000,33632000,None,USD,52803639000,26307000,22139882000,None,47134034000,5669605000,None,44797176000,1044000,1940170000,335338000,671122000,28282790000,445551000,45897137000,100000000,100000000,210623000,675929000,6710656000,26925674000,4950033000,5941716000,323389000,1058131000,None,999961000,None,None,1044000,22143000,1940170000,-870675000,None,17807341000,None,46106373000,182490000,1058131000,178766000,1236897000,None,None,None,4366300000,52803639000,6387267000,None,88125974,USD,2193409000,0,-667796000,-2846072000,41588000,531816000,547971000,-16576000,34302000,56999000,192979000,None,16959000,-29726000,-28017000,None,4794000,158677000,15133000,None,None,56999000,35.0,37.17
2,2019-12-31,USD,572615000,390572000,None,572615000,182043000,166785000,None,None,182043000,None,390572000,None,182043000,45602000,92445000,15258000,559869000,467424000,None,None,None,15258000,-8029000,None,166785000,165854000,None,USD,52115324000,28780000,21285798000,273290000,46098545000,6016779000,None,43758606000,1044000,2147915000,341067000,671122000,28450351000,388311000,44803559000,0,0,-169938000,678722000,3982374000,27086030000,5266717000,3262286000,331777000,1101608000,122072000,1044953000,None,None,1044000,50160000,2147915000,-459814000,None,19668296000,None,48132950000,184949000,1101608000,193378000,1294986000,None,None,None,4447412000,52115324000,3650597000,None,95589629,USD,-1650105000,0,243660000,1922047000,-85104000,-523829000,-408778000,-28581000,166785000,-113650000,166519000,None,17427000,-29947000,-7000,None,-16093000,-266000,28282000,None,None,-113650000,58.75,35.0
3,2019-09-30,USD,583164000,376475000,None,583164000,206689000,165319000,None,None,206689000,None,376475000,None,206689000,54658000,94985000,41370000,571976000,476991000,None,None,None,41370000,-5137000,None,165319000,164389000,None,USD,52480415000,21479000,22013767000,252911000,46571967000,5908448000,None,44166195000,1044000,2071198000,340666000,671122000,28023943000,502060000,44166195000,0,0,-138880000,664991000,5986075000,26649687000,5165687000,5168585000,315430000,1166670000,117928000,135559000,None,None,1044000,50160000,2071198000,-392630000,None,18487061000,None,46494340000,172027000,1166670000,1239102000,2405772000,None,None,None,4317556000,52480415000,5670645000,None,96714664,USD,-61592000,0,-1941801000,-1973990000,-225227000,1850586000,2106045000,-9768000,165319000,108291000,199506000,None,16603000,-30232000,-164000,None,12588000,34187000,5664000,None,None,108291000,54.08,58.75
4,2019-06-30,USD,574451000,363015000,None,574451000,211436000,171106000,None,None,211436000,None,363015000,None,211436000,47686000,94663000,40330000,570979000,476316000,None,None,None,40330000,-8886000,None,171106000,170175000,None,USD,50617221000,23878000,20279034000,258618000,44897387000,5719834000,None,42059837000,1044000,1935826000,1059232000,671122000,948964000,391703000,42219837000,160000000,160000000,-191213000,673465000,3887726000,26615706000,4974674000,3172116000,323907000,1211579000,118851000,42059837000,None,None,1044000,50160000,1935826000,-392208000,None,18745324000,None,46729495000,None,1211579000,1465971000,2677550000,None,None,None,4316225000,50617221000,3563819000,None,96703351,USD,-3192436000,0,-1528881000,1673203000,226946000,1375573000,1178545000,-45623000,171106000,13939000,167247000,None,16800000,-29918000,-96000,None,-8088000,-3859000,9648000,None,None,13939000,54.24,54.08
5,2019-03-31,USD,565568000,347420000,0,565568000,218148000,167925000,None,None,218148000,None,347420000,None,218148000,43277000,87006000,50223000,557969000,470963000,None,None,None,50223000,-9795000,None,167925000,166994000,None,USD,48680607000,24521000,18712836000,237403000,43240547000,5440060000,None,40879838000,1043000,1794644000,803079000,671122000,27648475000,376558000,40879880000,42000,42000,-323979000,682995000,5521302000,26240520000,4694257000,4814134000,330610000,1176488000,125478000,40879838000,None,None,1043000,50160000,1794644000,-394848000,None,15540147000,None,43159305000,None,1176488000,1184179000,2360667000,None,None,None,4313040000,48680607000,5190692000,None,96629891,USD,-312369000,0,-942830000,-616998000,-140184000,753227000,919124000,-77856000,167925000,-17508000,172095000,None,16607000,-25713000,-250314000,None,3224000,4170000,13463000,None,None,-17508000,52.13,54.24
6,2018-12-31,USD,586824000,396455000,125898000,586824000,190369000,106403000,0,0,190369000,0,396455000,None,190369000,41482000,0,None,None,None,-27686000,0,0,83966000,-40508000,0,106403000,105472000,None,USD,47604577000,26833000,None,267357000,42169520000,5435057000,None,39710039000,1043000,1651731000,917284000,671122000,27624188000,394035000,39710081000,42000,76632000,-427974000,706513000,30995247000,152997000,4686942000,4171048000,26430164000,1256102000,136705000,39710039000,None,None,1043000,50160000,1651731000,-205509000,None,15051865000,None,16609330000,None,1256102000,1203337000,2459439000,None,None,None,4365606000,47604577000,4565083000,None,99942845,USD,-182340000,0,262615000,448198000,-522144000,-486196000,62274000,2967000,106403000,-8932000,214649000,None,16570000,-26326000,-117996000,None,None,108246000,29599000,None,None,-8932000,47.22,52.13
7,2018-09-30,USD,548103000,365437000,131283000,548103000,182666000,140648000,0,0,182666000,0,365437000,None,182666000,44899000,0,None,None,None,0,0,0,42018000,-20084000,0,140648000,139718000,None,USD,47919428000,29186000,None,245076000,42675079000,5244349000,0,39648827000,1043000,1629692000,975923000,687536000,27698203000,400949000,39650027000,1200000,21809000,-534189000,690884000,31364465000,152980000,4477467000,4609061000,26354455000,1744687000,133780000,39648827000,0,0,1043000,50160000,1629692000,-183872000,None,14994377000,None,16554963000,None,1744687000,1280365000,3025052000,None,None,None,4281515000,47919428000,5010010000,None,100336341,USD,-2615751000,0,-561365000,2229059000,176684000,299947000,149761000,19045000,140648000,294000,261712000,None,15832000,-26498000,0,0,51868000,121064000,23223000,None,None,294000,51.25,47.22
8,2018-06-30,USD,588891000,337668000,126768000,588891000,251223000,279783000,0,0,251223000,0,337668000,None,251223000,40798000,0,None,None,None,0,0,0,-28560000,90277000,0,279783000,278852000,None,USD,47535177000,31023000,None,268432000,42245516000,5289661000,0,39377561000,1043000,1515058000,994924000,627294000,25849638000,400568000,39378761000,1200000,48477000,-496792000,690495000,33468309000,178796000,4581184000,8628442000,24439299000,1561663000,142063000,39377561000,0,0,1043000,50160000,1515058000,-82754000,None,12539260000,None,14066868000,None,1561663000,1305092000,2866755000,None,None,None,4302946000,47535177000,9029010000,None,102296440,USD,-305358000,0,-2017449000,-1584954000,-261219000,1958396000,2246094000,77769000,279783000,122008000,181061000,None,15063000,-26479000,0,0,48252000,-98722000,20833000,None,None,122008000,45.21,51.25
9,2018-03-31,USD,435481000,322002000,131094000,435481000,113479000,91324000,0,0,113479000,0,322002000,None,113479000,39866000,0,None,None,None,0,0,0,22155000,-15376000,0,91324000,90393000,None,USD,45756761000,33347000,None,235663000,40691852000,5064909000,0,37134093000,1043000,1261775000,1427294000,627294000,13740501000,280077000,37320293000,186200000,90429000,-462838000,712503000,31686533000,182518000,4354108000,6984009000,24422447000,1564204000,246095000,37134093000,0,0,1043000,50160000,1261775000,-86167000,None,12514566000,None,14070228000,None,1564204000,1807355000,3371559000,None,None,None,4300936000,45756761000,7264086000,None,102189914,USD,-547302000,0,-2074468000,-1701591000,106452000,1761639000,1681325000,-68034000,91324000,-122748000,190081000,None,15161000,-26138000,0,0,56504000,98757000,16079000,None,None,-122748000,41.62,45.21
