,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,12875000,None,None,None,None,3124000,None,None,3821000,None,5451000,None,None,673000,3295000,697000,15300000,12005000,None,None,None,697000,None,None,3124000,3124000,None,USD,1593126000,3383000,87879000,None,1390925000,202201000,None,None,33872000,87078000,6634000,8853000,1384236000,73654000,None,None,None,1800000,31780000,None,87879000,189965000,87660000,3341000,None,None,2972000,None,None,None,None,None,None,None,None,None,None,19617000,None,None,None,None,None,None,79451000,None,None,None,None,USD,-142656000,0,-142656000,-120000,None,160673000,161347000,1739000,3124000,22217000,4200000,None,456000,-676000,None,None,-1323000,615000,830000,None,None,None,20.08,
1,2020-03-31,USD,11993000,None,None,None,None,3034000,None,None,3760000,None,5183000,None,None,484000,4535000,726000,15037000,10502000,None,None,None,726000,None,None,3034000,3034000,None,USD,1424576000,3570000,93305000,None,1225562000,199014000,None,None,33855000,84630000,3161000,8853000,1233849000,51437000,None,None,None,1180000,29739000,None,93305000,186591000,93085000,3823000,None,None,3935000,None,None,None,None,None,None,None,None,None,None,18111000,None,None,None,None,None,None,79349000,None,None,None,None,USD,12786000,0,12786000,-120000,None,-38097000,-37535000,357000,3034000,-21161000,4150000,None,437000,-677000,None,None,149000,-238000,1609000,None,None,None,23.25,20.08
2,2019-12-31,USD,11205000,6678000,None,11087000,None,3388000,None,None,4205000,None,4551000,None,4409000,522000,4781000,817000,15193000,10412000,None,None,None,817000,-204000,None,3388000,3388000,None,USD,1454894000,3763000,112534000,3626000,1258969000,195925000,None,None,33807000,82273000,2154000,8853000,1227064000,72598000,1243838000,None,None,630000,25310000,76224000,112534000,183309000,112312000,3626000,None,None,3885000,None,None,None,None,None,None,None,None,None,None,15040000,None,None,None,None,None,None,79215000,None,None,None,None,USD,-37529000,0,-37529000,603000,-13400000,72971000,86969000,-972000,3388000,34082000,-1360000,None,438000,-675000,None,None,-4264000,-378000,1973000,None,None,None,31.49,23.25
3,2019-09-30,USD,11842000,7089000,None,11717000,None,3716000,None,None,4517000,None,4910000,None,4628000,385000,4486000,801000,15251000,10765000,None,None,None,801000,-111000,None,3716000,3716000,None,USD,1379598000,3956000,109192000,3576000,1186481000,193117000,None,None,33754000,79560000,3449000,8853000,1190935000,38516000,1167583000,None,None,781000,24570000,42092000,109192000,180308000,108968000,3576000,13400000,None,3262000,None,None,None,None,None,None,None,None,None,None,15449000,None,None,None,None,None,None,79022000,None,None,None,None,USD,-40099000,0,-40099000,-603000,13400000,13769000,935000,-2949000,3716000,-24194000,1702000,None,407000,-203000,None,None,602000,-495000,1331000,None,None,None,29.06,31.49
4,2019-06-30,USD,11092000,6510000,None,10742000,None,2808000,None,None,3426000,None,4637000,None,4232000,558000,4635000,618000,14998000,10363000,None,None,None,618000,-806000,None,2808000,2808000,None,USD,1361248000,4149000,187420000,3971000,1171892000,189356000,None,None,33719000,76046000,4707000,8853000,3848000,29254000,1153320000,0,0,678000,21915000,66722000,91423000,176354000,91198000,3971000,None,44000,2897000,None,None,None,None,None,None,None,None,None,None,13865000,None,None,None,None,None,None,78913000,None,None,None,None,USD,146946000,0,109422000,114046000,-79800000,-120015000,-90610000,3777000,2808000,38919000,12422000,None,267000,-202000,1191000,None,5198000,96000,4098000,None,None,None,30.0,29.06
5,2019-03-31,USD,10696000,6256000,None,6496000,None,229000,None,None,155000,None,4481000,None,240000,491000,4364000,-74000,14275000,9911000,None,None,None,-74000,-85000,None,229000,229000,None,USD,1297228000,None,152682000,3925000,1111035000,186193000,None,None,33680000,73659000,3267000,None,1160771000,23791000,1095280000,79800000,79800000,144000,16756000,27760000,91941000,186193000,91714000,3925000,79800000,44000,2941000,None,None,None,None,None,None,None,None,None,None,12488000,None,None,None,None,None,None,78710000,None,None,None,None,USD,-37524000,0,-37524000,-1098000,24400000,30631000,5292000,354000,229000,-2593000,4300000,None,162000,-200000,1139000,None,-536000,3739000,526000,None,None,None,31.73,30.0
6,2018-12-31,USD,10907000,6240000,3881000,10907000,0,3788000,0,0,4589000,0,5753000,None,4667000,401000,0,None,None,None,0,0,0,801000,-78000,0,3788000,3788000,None,USD,1251564000,None,None,3734000,1067246000,184318000,None,None,33278000,73630000,2401000,None,1121818000,26384000,1064845000,None,None,-485000,4201000,30162000,95383000,184318000,None,None,55400000,44000,1007247000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,77895000,None,None,None,None,USD,4348000,0,-21398000,-3868000,30400000,11643000,-18623000,-346000,3788000,-5534000,4221000,None,164000,-200000,1373000,None,None,-3084000,749000,None,None,None,27.9,31.73
7,2018-09-30,USD,11189000,6030000,3588000,11189000,0,3704000,0,0,4534000,0,5565000,None,5159000,465000,0,None,None,None,0,0,0,830000,-625000,0,3704000,3704000,None,USD,1234912000,None,None,3884000,1055403000,179509000,None,None,33236000,70042000,2881000,None,1100413000,31918000,1052522000,None,None,-1433000,3616000,35846000,95037000,179509000,None,None,None,44000,1025770000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,4158000,0,11781000,943000,-21000000,-9774000,11188000,242000,3704000,6216000,4209000,None,156000,-200000,None,None,None,426000,140000,None,None,None,30.54,27.9
8,2018-06-30,USD,10484000,6182000,3600000,10484000,0,3635000,0,0,4214000,0,5712000,None,4302000,470000,0,None,None,None,0,0,0,579000,-88000,0,3635000,3635000,None,USD,1240754000,None,None,3574000,1064769000,175985000,None,None,33206000,66338000,2459000,None,1107458000,25702000,1062310000,46000000,46000000,-1009000,3632000,30078000,99586000,175985000,None,None,None,802000,1014682000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,3838000,0,-64377000,-808000,15700000,53246000,36955000,-460000,3635000,-7169000,3962000,None,156000,-200000,None,None,None,522000,61000,None,None,None,33.25,30.54
9,2018-03-31,USD,10426000,5967000,2952000,10426000,0,3581000,0,0,4371000,0,4545000,None,5719000,352000,0,None,None,None,0,0,0,790000,-88000,0,3581000,3581000,None,USD,1183880000,None,None,3242000,1012269000,171611000,None,None,33000000,61747000,4241000,None,159406000,32871000,1009783000,30300000,30300000,-955000,3727000,36915000,103681000,171611000,None,None,None,802000,977728000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-3342000,0,-34617000,-2563000,30300000,-19963000,-50941000,311000,3581000,-49951000,4629000,None,162000,-200000,678000,None,None,151000,10000,None,None,None,34.5,33.25
10,2017-12-31,USD,38216000,23087000,5362000,38216000,0,1707000,0,0,2735000,0,3947000,None,4063000,1770000,8840000,None,None,None,0,0,0,1028000,-523000,0,10824000,1707000,None,USD,1200591000,None,None,3508000,1032296000,168295000,None,None,32756000,59189000,3628000,None,154732000,82822000,1030259000,None,None,67000,3879000,87132000,102622000,168295000,69164000,None,None,802000,1028668000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,11003000,0,-112905000,-11503000,-56100000,163316000,166147000,-1181000,1707000,63217000,12806000,None,820000,-200000,53269000,None,None,8220000,150000,None,None,None,34.34,34.5
11,2017-09-30,USD,9441000,5474000,3131000,9441000,0,3178000,0,0,4403000,0,4052000,None,5995000,124000,0,None,None,None,0,0,0,1225000,-131000,0,3331000,3178000,None,USD,1118951000,26000,None,3315000,952187000,166764000,None,None,32740000,57723000,4111000,None,153208000,27182000,949242000,None,None,308000,4093000,30676000,100937000,166764000,None,None,None,179000,948076000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,1611000,0,-64352000,-10097000,-60000000,82744000,85555000,268000,3178000,391000,9268000,None,198000,None,51891000,None,None,700000,166000,None,None,None,31.99,34.34
12,2017-06-30,USD,19188000,-11545000,2154000,-19188000,0,3039000,0,0,3957000,0,4204000,None,5594000,-679000,0,None,None,None,0,0,0,918000,296000,0,-6231000,3039000,None,USD,1054549000,26000,None,2986000,942956000,111593000,None,None,24105000,54531000,3598000,None,144359000,26791000,940590000,60000000,60000000,294000,4236000,29956000,102628000,111593000,None,None,None,179000,879358000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,2349000,0,-5236000,1352000,-57500000,22135000,16837000,-1563000,3039000,4006000,5134000,None,198000,None,809000,None,None,-1000,113000,None,None,None,33.0,31.99
13,2017-03-31,USD,9728000,5802000,1958000,9728000,0,3090000,0,0,3768000,0,4300000,None,5222000,384000,0,None,None,None,0,0,0,678000,-158000,0,3090000,3090000,None,USD,1044408000,27000,None,3064000,937037000,107371000,None,None,23766000,51219000,4982000,None,147167000,22785000,933296000,117500000,117500000,21000,4353000,26028000,104631000,107371000,None,None,None,179000,814555000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,8341000,0,-14847000,-2761000,61400000,14023000,-47966000,895000,3090000,3180000,4004000,None,206000,None,589000,None,None,96000,38000,None,None,None,32.5,33.0
14,2016-12-31,USD,40107000,23038000,2024000,40107000,0,3018000,0,0,4282000,0,4031000,None,5742000,1544000,7763000,None,None,None,0,0,0,1264000,-765000,0,11843000,3018000,None,USD,1025996000,None,None,3186000,922534000,103462000,None,None,23502000,48104000,3913000,None,152368000,19605000,919957000,56100000,56100000,-4000,4519000,22791000,116922000,103462000,None,None,None,None,862521000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,27146000,0,-23105000,756000,-72700000,540000,73088000,-385000,3018000,-8984000,13581000,None,949000,-200000,152000,None,None,-67000,9000,None,None,None,30.0,32.5
15,2016-09-30,USD,0,0,1867000,0,0,3033000,0,0,4132000,0,4207000,None,5415000,0,0,None,None,None,0,0,0,1099000,0,0,0,3033000,None,USD,1008701000,None,None,None,907082000,101619000,None,None,23502000,46373000,4522000,None,150347000,None,None,None,None,None,4750000,None,None,None,None,None,None,None,865560000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,8300000,258000,None,None,76127000,None,3033000,None,11562000,None,None,None,None,None,None,None,9000,None,None,None,29.1,30.0
16,2016-06-30,USD,0,0,1623000,0,0,3022000,0,0,4071000,0,4400000,None,5881000,0,0,None,None,None,0,0,0,1049000,0,0,0,3022000,None,USD,1006074000,None,None,None,907456000,98618000,None,None,23489000,43532000,4979000,None,160130000,None,None,None,None,None,4983000,None,None,None,None,None,None,300000,812477000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,9947000,None,None,None,23044000,None,3022000,None,8499000,None,None,None,None,None,None,None,10000,None,None,None,nan,29.1
17,2016-03-31,USD,0,0,2208000,0,0,2770000,0,0,3819000,0,4195000,None,5245000,0,0,None,None,None,0,0,0,1049000,0,0,0,2770000,None,USD,1035489000,None,None,None,940486000,95003000,None,None,23437000,40246000,4183000,None,171269000,None,None,None,None,None,5216000,None,None,None,None,None,None,300000,820103000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,18070000,30670000,None,2770000,None,5123000,None,None,None,None,None,None,None,13000,None,None,None,nan,nan
18,2015-12-31,USD,36767000,21104000,2569000,36767000,0,2736000,0,0,3674000,0,3970000,None,5157000,1378000,6837000,None,None,None,0,0,0,938000,-955000,0,11006000,2736000,None,USD,1013322000,39000,None,3084000,921878000,91444000,None,None,23437000,36784000,3645000,None,181888000,28589000,921878000,128800000,128800000,519000,5450000,34484000,148653000,91444000,None,None,None,300000,789433000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,21737000,0,-61393000,-8551000,104500000,47304000,-58424000,-1537000,2736000,-3283000,10806000,None,1068000,-200000,1228000,None,None,1721000,637000,None,None,None,nan,nan
