,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1437000000,838000000,560000000,877000000,-878000000,-1253000000,None,None,-1560000000,28945000000,195000000,None,599000000,None,599000000,-48000000,None,-599000000,None,None,None,-48000000,-1560000000,None,-1512000000,-639000000,None,USD,108485000000,1082000000,None,269000000,66906000000,0,None,421000000,9167000000,1410000000,3596000000,980000000,1298000000,1530000000,16750000000,None,13651000000,1358000000,80853000000,3381000000,20891000000,9873000000,None,781000000,42693000000,None,5867000000,None,None,None,None,None,None,None,1077000000,None,105104000000,916000000,None,2994000000,50156000000,None,None,None,None,None,None,None,None,USD,-218000000,0,-218000000,-3000000,-9000000,-507000000,-317000000,311000000,-1253000000,-260000000,465000000,None,83000000,-326000000,-23000000,None,None,657000000,18000000,None,None,None,9.89,
1,2020-03-31,USD,1900000000,1057000000,774000000,1126000000,584000000,-486000000,None,None,-212000000,30391000000,196000000,None,843000000,None,709000000,161000000,-346000000,-709000000,None,None,None,161000000,-346000000,None,-373000000,-250000000,None,USD,110061000000,1097000000,None,761000000,66270000000,0,None,266000000,9209000000,2162000000,4015000000,978000000,1308000000,1776000000,12590000000,None,9185000000,1330000000,81259000000,3898000000,20082000000,10626000000,None,1481000000,45755000000,None,3139000000,None,None,None,None,None,None,None,2536000000,None,106163000000,None,46625000000,5398000000,53680000000,None,None,None,None,None,1776000000,None,511000000,USD,-359000000,0,-359000000,13000000,586000000,366000000,-245000000,72000000,-486000000,380000000,373000000,None,87000000,-318000000,-119000000,None,None,442000000,63000000,None,None,None,8.06,9.89
2,2019-12-31,USD,2087000000,1166000000,855000000,1232000000,2345000000,1551000000,None,None,1530000000,31241000000,226000000,None,921000000,None,730000000,-21000000,31000000,-730000000,None,None,None,-21000000,1339000000,None,1551000000,500000000,None,USD,111643000000,1162000000,None,300000000,66708000000,0,None,547000000,9257000000,2539000000,3770000000,1041000000,1227000000,1438000000,12466000000,8997000000,8997000000,1478000000,82789000000,3289000000,22135000000,11071000000,None,510000000,46583000000,None,5588000000,None,None,None,None,None,None,None,945000000,None,108354000000,932000000,47472000000,3000000000,54242000000,None,None,None,None,None,1438000000,None,508000000,USD,308000000,0,308000000,117000000,706000000,-1046000000,-1519000000,-349000000,1551000000,-745000000,-7000000,None,85000000,-330000000,-71000000,None,None,-209000000,76000000,None,None,None,18.28,8.06
3,2019-09-30,USD,2017000000,1076000000,776000000,1241000000,1885000000,870000000,None,None,1061000000,31743000000,214000000,None,941000000,None,738000000,191000000,31000000,-738000000,None,None,None,191000000,858000000,None,870000000,234000000,None,USD,109056000000,1095000000,None,235000000,64093000000,0,None,1663000000,9289000000,2248000000,3159000000,974000000,1234000000,2141000000,11472000000,7087000000,7087000000,1262000000,77555000000,5383000000,22815000000,10730000000,None,488000000,45708000000,None,4996000000,None,None,None,None,None,None,None,979000000,None,103673000000,836000000,46507000000,2955000000,52621000000,None,None,None,None,None,2141000000,None,507000000,USD,63000000,0,63000000,18000000,519000000,1169000000,588000000,-1196000000,870000000,402000000,-830000000,None,86000000,-316000000,-38000000,None,None,65000000,93000000,None,None,None,20.3,18.28
4,2019-06-30,USD,2026000000,1089000000,785000000,1241000000,756000000,23000000,None,None,-39000000,31098000000,219000000,None,937000000,None,710000000,-62000000,13000000,-710000000,None,None,None,-62000000,-266000000,None,23000000,56000000,None,USD,108028000000,1127000000,None,303000000,64112000000,0,None,1027000000,9100000000,2220000000,3251000000,1007000000,1610000000,1751000000,10293000000,6622000000,6622000000,1320000000,76682000000,4605000000,23102000000,10506000000,None,481000000,46791000000,None,2267000000,None,None,None,None,None,None,None,884000000,None,103423000000,875000000,47630000000,2938000000,53819000000,None,None,None,None,None,1751000000,None,491000000,USD,-570000000,0,-570000000,16000000,785000000,-211000000,-825000000,-406000000,23000000,-798000000,-17000000,None,85000000,-315000000,-56000000,None,None,247000000,1947000000,None,None,None,18.93,20.3
5,2019-03-31,USD,2073000000,1150000000,698000000,1375000000,1632000000,146000000,None,None,801000000,32434000000,377000000,None,167000000,None,746000000,88000000,634000000,-711000000,None,None,None,88000000,633000000,None,713000000,159000000,None,USD,107926000000,1148000000,None,746000000,95604000000,12322000000,None,699000000,12162000000,2295000000,3639000000,1031000000,1173000000,2542000000,10719000000,7873000000,7873000000,1106000000,77415000000,4114000000,22333000000,9983000000,None,567000000,44825000000,None,2023000000,None,None,None,None,None,None,None,1041000000,None,103408000000,872000000,45684000000,2904000000,52227000000,None,None,None,None,None,2542000000,None,517000000,USD,-1412000000,0,-1412000000,-473000000,643000000,-804000000,-1087000000,1140000000,713000000,-746000000,1478000000,None,85000000,-141000000,-219000000,None,None,107000000,939000000,None,None,None,20.57,18.93
6,2018-12-31,USD,2506000000,1111000000,819000000,1687000000,1395000000,232000000,0,0,890000000,34387000000,213000000,None,1395000000,0,-775000000,None,None,None,0,0,0,32000000,-505000000,0,858000000,250000000,None,USD,122520000000,1179000000,None,2571000000,75780000000,12353000000,None,667000000,8987000000,2234000000,4667000000,1109000000,2323000000,3288000000,10306000000,6370000000,6370000000,1132000000,87702000000,7114000000,23093000000,10065000000,None,1255000000,60807000000,None,2466000000,None,None,None,None,None,None,None,None,None,None,None,57942000000,None,None,None,None,None,None,None,3288000000,None,396000000,USD,412000000,0,-4422000000,-53000000,6097000000,5043000000,-856000000,166000000,232000000,844000000,209000000,None,79000000,-132000000,420000000,None,None,-268000000,15885000000,None,None,None,16.12,20.57
7,2018-09-30,USD,1893000000,1115000000,778000000,1115000000,778000000,144000000,0,0,685000000,34546000000,256000000,None,778000000,0,-632000000,None,None,None,0,0,0,-37000000,-93000000,0,722000000,163000000,None,USD,111583000000,1214000000,None,1492000000,65825000000,11212000000,None,651000000,8277000000,2131000000,4175000000,1124000000,1572000000,2444000000,8838000000,5430000000,5430000000,804000000,80820000000,4630000000,22223000000,8874000000,315000000,694000000,52812000000,None,1951000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,394000000,USD,53000000,0,-666000000,-63000000,880000000,1157000000,-103000000,102000000,144000000,844000000,369000000,None,81000000,-118000000,None,None,None,40000000,6781000000,None,None,None,20.89,16.12
8,2018-06-30,USD,1939000000,889000000,697000000,1242000000,1050000000,196000000,0,0,1197000000,28775000000,116000000,None,1050000000,0,-537000000,None,None,None,0,0,0,146000000,147000000,0,1051000000,226000000,None,USD,87971000000,1205000000,None,2524000000,51509000000,7687000000,None,1381000000,5756000000,2108000000,3457000000,1112000000,1477000000,1600000000,11352000000,7008000000,7008000000,-177000000,59819000000,4611000000,19747000000,5370000000,249000000,487000000,36700000000,None,1659000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,346000000,USD,-161000000,0,-1687000000,82000000,1335000000,945000000,-298000000,116000000,196000000,-369000000,401000000,None,76000000,-80000000,None,None,None,15000000,4392000000,None,None,None,19.02,20.89
9,2018-03-31,USD,1848000000,951000000,718000000,1130000000,897000000,192000000,0,0,963000000,28738000000,161000000,None,897000000,0,-520000000,None,None,None,0,0,0,-60000000,66000000,0,1023000000,223000000,None,USD,86626000000,1224000000,None,871000000,50360000000,7528000000,None,1308000000,5614000000,1996000000,3441000000,1111000000,1584000000,1969000000,11245000000,7303000000,7303000000,-82000000,59491000000,3316000000,19900000000,5193000000,283000000,476000000,35674000000,None,1578000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,343000000,USD,197000000,0,-1631000000,-74000000,1556000000,1728000000,252000000,124000000,192000000,478000000,378000000,None,72000000,-80000000,None,None,None,-10000000,2815000000,None,None,None,19.19,19.02
