,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,ILS,0,16087000.0,None,None,-16087000.0,-41978000.0,11948000.0,None,-41978000.0,None,4139000.0,None,-16087000.0,None,25891000.0,None,None,-25891000,None,None,None,None,None,None,-41978000.0,-41978000.0,None,ILS,85709000,None,None,None,147631000,-61922000.0,None,None,None,-366011000,12778000,None,891000,38752000,6355000.0,None,None,None,43599000,41219000,None,-61922000,None,None,None,None,4070000.0,None,None,None,None,None,None,None,44490000,None,44490000,7133000,None,141276000,141276000,None,None,None,None,None,None,None,None,ILS,None,None,None,None,None,None,None,None,-41978000,None,None,None,None,None,None,None,None,None,0.0,None,None,None,22.75,
1,2020-03-31,ILS,0,20049000.0,None,None,-3547000.0,-3695000.0,19068000.0,None,-3695000.0,None,981000.0,None,-20049000.0,None,148000.0,None,16502000,16354000,None,None,None,None,None,None,-3695000.0,-3695000.0,None,ILS,None,None,None,None,None,-61304000.0,None,None,None,-324033000,None,None,None,None,4769000.0,None,None,None,None,None,None,-65053000,None,None,None,None,3278000.0,None,None,None,None,None,None,None,None,None,None,7325000,None,144367000,144367000,None,None,None,None,None,None,None,None,ILS,None,0,None,None,None,None,None,None,-3695000,None,None,None,None,None,None,None,None,None,0.0,None,None,None,7.7,22.75
2,2019-12-31,ILS,0,32573000.0,None,None,-48691000.0,-43016000.0,31608000.0,None,-43016000.0,None,613000.0,None,-32573000.0,None,-5675000.0,None,-189000,5330000,None,None,None,None,None,None,-43016000.0,-43016000.0,None,ILS,115750000,None,None,None,180803000,-65053000.0,None,None,None,-320338000,31255000,None,510000,72467000,18959000.0,None,None,None,42117000,73123000,None,-65053000,None,None,123780000,None,17062000.0,None,None,None,None,None,None,None,477000,None,42627000,7503000,130589000,14812000,161844000,None,None,None,255285000,None,72467000,None,None,ILS,None,15510000,-991000,-3000,15699000,85214000,None,383000,-43016000,-3416000,-17053000,None,1645000,None,70458000,None,None,8273000,7429000.0,None,None,None,9.29,7.7
3,2019-09-30,ILS,0,18923000.0,0,0,-18754000.0,-19355000.0,16133000.0,0,-19355000.0,0,2790000.0,0,-18923000.0,0,601000.0,None,169000,-432000,0,0,0,0,-1.67,0,-19355000.0,-19355000.0,0,ILS,119336000,0,None,0,139769000,-20433000.0,0,0,0,-277322000,21449000,0,507000,75247000,3069000.0,0,0,0,41695000,77134000,0,-20433000,0,7.30,108353000,0,1552000.0,0,0,0,0,0,0,0,507000,0,42202000,7595000,115251000,14454000,136700000,0,0,0,256889000,0,75247000,0,9000000,ILS,0,-6425000,-2161000,3000,-314000,69635000,0,-528000,-19355000,-636000,-24926000,0,1079000,0,70578000,0,-2.44,1457000,6441000.0,0,0,0,5.9562,9.29
4,2019-06-30,ILS,0,19690000.0,0,0,-19690000.0,-47389000.0,15172000.0,0,-47389000.0,0,4518000.0,0,-19690000.0,0,27699000.0,None,0,-27699000,0,0,0,0,-79.74,0,-47389000.0,-47389000.0,0,ILS,75769000,0,None,0,148282000,-72513000.0,0,0,0,-257967000,20224000,0,510000,33916000,10011000.0,0,0,0,40085000,35174000,0,-72513000,0,3.62,110971000,0,7977000.0,0,0,0,0,0,0,0,510000,0,40595000,7762000,118047000,14621000,138271000,0,0,0,185454000,0,33916000,0,7000000,ILS,0,0,-2161000,3000,-314000,201.74,0,-528000,-47389000,118.99,-24926000,0,1.59,0,0,0,-1.81,1457000,6.23,0,0,0,5.76,5.9562
5,2019-03-31,ILS,0,7165000.0,0,0,2851000.0,566000.0,5732000.0,0,566000.0,0,1433000.0,0,-7165000.0,0,2023000.0,None,7731000,7731000,0,0,0,0,19.84,0,566000.0,566000.0,0,ILS,99359000,0,None,0,129950000,-30591000.0,0,676000,0,-210578000,16711000,0,711000,57532000,17200000.0,0,0,0,39262000,59386000,0,-30591000,0,4.76,88792000,0,15249000.0,0,0,0,0,0,0,0,711000,0,39973000,7923000,96039000,14568000,112750000,0,0,0,179987000,0,57532000,0,7000000,ILS,-3164000,-5474000,-3164000,29000,-314000,-314000,0,199000,566000,-18506000,-13228000,0,262000,0,0,0,-2.28,-7892000,3193000.0,0,0,0,5.43,5.76
6,2018-12-31,ILS,0,52.58,0,0,-52.58,-68.6,50.04,0,-68.6,0,2.54,0,-52.58,0,-16.64,None,None,None,0,0,0,0,-16.03,0,-68.6,-36490000.0,0,ILS,198.99,0,None,0,257.67,-58.69,0,2.02,0,-211144000,20893000,0,740000,142.67,40.98,0,0,0,28249000,144.48,0,-31215000,0,0.72,177.41,0,38.96,0,0,0,0,0,0,0,0,0,0,0,663.07,0,0,0,0,0,1264.36,0,533.23,0,7000000,ILS,0,18941000,-3863000,148000,33632000,63.23,0,95000,-68.60,43.05,-6452000,0,0.05,0,0,0,3.20,9276000,7.71,0,0,0,4.77,5.43
7,2018-09-30,USD,0,1600681.84,0,0,-1600681.84,-1848674.8,1195150.12,0,-1848674.8,0,405531.73,0,-1600681.84,0,-308753.99,None,None,None,0,0,0,0,-247992.96,0,-1848674.8,-1848674.8,0,ILS,126876.71,0,None,0,118681.03,8195.68,0,0,0,-274373.79,32628.76,0,1395.01,83237.12,4262.0,0,0,0,37977.87,87503.83,0,8195.68,0,4266.72,81790.26,0,2720.9,0,0,0,0,0,0,0,0,0,0,0,244382.73,0,0,0,0,0,1027761.68,0,302750.04,0,7000000,ILS,0,642.52,-9259.22,-12.57,39928.99,40786.74,857.74,315.76,-10563.11,24910.65,-5005.07,0,-281.20,0,0,0,2200.91,2680.05,9325.2,0,0,0,5.6001,4.77
8,2018-06-30,USD,0,0.0,0,0,-8367229.94,-8274685.38,7972755.32,0,-8274685.38,0,394474.63,0,-8367229.94,0,-306570.94,None,None,None,0,0,0,0,92544.57,0,-8274685.38,-8274685.38,0,USD,16616526.99,0,None,0,12054543.97,4561983.02,0,0,0,-44527858.92,5826758.76,0,240233.68,10135677.43,574103.9,0,0,0,5130354.07,11245939.23,0,4561983.02,0,1110261.80,5653681.31,0,361169.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,USD,0,-1952717.64,-1780459.17,-2183.94,6899074.55,6750020.47,-149054.08,3275.91,-8274685.38,-5063470.83,-10510769.57,0,72616.09,0,0,0,-298108.16,-61150.39,1780459.17,0,0,0,6.67,5.6001
9,2018-03-31,USD,0,3580866.51,0,0,-3580866.51,-4026879.89,3330214.36,0,-4026879.89,0,250652.15,None,-3580866.51,0,-446013.38,None,None,None,0,0,0,0,-446013.38,0,-4026879.89,-4026879.89,None,USD,20434104.57,0,None,0,8488998.53,11945106.05,0,0.06,0,-39020925.48,5853748.44,0,249517.98,15786265.17,2635250.09,0,0,0,3554780.54,16629806.06,0,11945106.05,0,843540.89,0,0,2417488.94,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7000000,USD,0,652999.89,-2034422.14,-2268.35,7165702.62,7010888.06,-154814.56,30622.66,-4026879.89,-4453328.80,-2566916.18,None,41964.39,0,0,0,268798.91,465577.86,2034422.14,None,None,None,5.4328,6.67
