,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,760000000,-160000000,-622000000,1382000000,1539000000,-481000000,None,None,-609000000,None,-132000000,-3000000,1542000000,None,-51000000,-128000000,None,-138000000,None,-28000000,None,128000000,-30000000,None,-737000000,-481000000,None,USD,21690000000,790000000,None,445000000,6722000000,-153000000,None,609000000,1000000,-1425000000,673000000,1077000000,1903000000,1258000000,2103000000,19000000,19000000,-223000000,729000000,2240000000,562000000,13101000000,None,537000000,3884000000,None,2084000000,None,None,1000000,None,-1425000000,-5176000000,None,227000000,None,1737000000,2739000000,3884000000,735000000,4619000000,None,None,None,6670000000,21690000000,1258000000,None,None,USD,1799000000,-2000000,1799000000,1486000000,-1171000000,-1186000000,-15000000,None,-481000000,593000000,-20000000,-633000000,8000000,None,0,None,None,-95000000,466000000,-406000000,None,593000000,22.89,
1,2020-03-31,USD,1753000000,-295000000,-1058000000,2811000000,3102000000,-158000000,None,None,-265000000,None,-251000000,-4000000,3106000000,None,-48000000,-107000000,-132000000,-131000000,None,-44000000,None,107000000,-39000000,None,-372000000,-158000000,None,USD,23552000000,794000000,None,536000000,6405000000,292000000,None,740000000,1000000,-944000000,695000000,1069000000,1948000000,679000000,2263000000,118000000,118000000,-256000000,767000000,1927000000,661000000,15284000000,None,712000000,3396000000,None,2145000000,None,None,1000000,None,-944000000,-5186000000,None,212000000,None,1797000000,2710000000,3396000000,746000000,4142000000,None,None,None,6677000000,23552000000,679000000,None,73000000,USD,-1482000000,-96000000,-1482000000,-1482000000,175000000,962000000,962000000,None,-158000000,-150000000,370000000,451000000,8000000,None,15000000,None,None,2000000,3794000000,163000000,None,-150000000,13.9,22.89
2,2019-12-31,USD,2162000000,-304000000,-1164000000,3326000000,3628000000,112000000,None,None,14000000,None,-290000000,-2000000,3630000000,None,-39000000,-128000000,-122000000,-122000000,None,-14000000,None,128000000,-7000000,None,-114000000,112000000,None,USD,23126000000,798000000,None,548000000,8587000000,656000000,2189000000,615000000,1000000,-785000000,730000000,1101000000,1815000000,686000000,2225000000,19000000,19000000,-157000000,792000000,2145000000,778000000,12640000000,None,911000000,3416000000,None,2206000000,None,None,1000000,None,-785000000,-5144000000,None,217000000,1662000000,5348000000,2619000000,3416000000,757000000,6362000000,None,None,None,6741000000,23126000000,686000000,None,76000000,USD,286000000,-192000000,286000000,-2759000000,30000000,-772000000,335000000,None,142000000,169000000,655000000,724000000,8000000,None,2000000,None,75000000,-102000000,2338000000,75000000,None,169000000,32.24,13.9
3,2019-09-30,USD,2753000000,-372000000,-1291000000,4044000000,4406000000,189000000,None,None,328000000,None,-350000000,-10000000,4416000000,None,-49000000,139000000,-139000000,-139000000,None,-22000000,None,-139000000,5000000,None,467000000,189000000,None,USD,23108000000,792000000,None,660000000,6426000000,495000000,None,595000000,1000000,-927000000,717000000,1083000000,1520000000,615000000,2290000000,95000000,95000000,-173000000,752000000,2147000000,905000000,14807000000,None,872000000,3388000000,None,2195000000,None,None,1000000,None,-927000000,-5141000000,None,221000000,1360000000,2058000000,2386000000,3388000000,748000000,4136000000,None,None,None,6735000000,23108000000,615000000,None,76000000,USD,108000000,-294000000,108000000,1000000,54000000,-937000000,5000000,None,189000000,137000000,966000000,1036000000,7000000,None,61000000,None,12000000,16000000,1967000000,12000000,None,133000000,28.26,32.24
4,2019-06-30,USD,2337000000,-336000000,-1172000000,3509000000,3845000000,62000000,None,None,81000000,None,-313000000,None,3845000000,23000000,-48000000,19000000,-138000000,-138000000,None,-23000000,None,-19000000,-162000000,None,100000000,62000000,None,USD,24455000000,806000000,None,832000000,6536000000,376000000,None,773000000,1000000,-1116000000,726000000,1107000000,2003000000,534000000,2669000000,420000000,420000000,-139000000,749000000,2286000000,432000000,16006000000,None,920000000,3115000000,None,2249000000,None,None,1000000,None,-1116000000,-5093000000,None,223000000,1438000000,2029000000,2428000000,3115000000,752000000,3867000000,None,None,None,6723000000,24455000000,534000000,None,76000000,USD,-1712000000,-292000000,-1712000000,4000000,89000000,1090000000,-17000000,None,62000000,-97000000,525000000,819000000,8000000,None,0,None,-79000000,7000000,4399000000,-79000000,6000000,-91000000,35.16,28.26
5,2019-03-31,USD,1920000000,-305000000,-1071000000,2991000000,3296000000,-91000000,None,None,-136000000,None,-284000000,None,3296000000,23000000,-42000000,-45000000,None,-123000000,None,-21000000,None,45000000,-18000000,None,-181000000,-91000000,None,USD,22902000000,809000000,None,682000000,6498000000,324000000,None,788000000,1000000,-1178000000,724000000,1086000000,1596000000,540000000,2258000000,23000000,23000000,-137000000,737000000,2137000000,627000000,14509000000,None,915000000,3501000000,None,2235000000,None,None,1000000,None,-1178000000,-5099000000,None,258000000,1389000000,1995000000,2520000000,3501000000,739000000,4240000000,None,None,None,6737000000,22902000000,540000000,None,76000000,USD,-1434000000,-119000000,-1434000000,2000000,78000000,937000000,-5000000,None,-91000000,-57000000,440000000,635000000,8000000,None,4000000,None,2000000,5000000,4433000000,2000000,-2000000,-59000000,34.86,35.16
6,2018-12-31,USD,2050000000,-275000000,-1078000000,3128000000,3389000000,217000000,0,0,3000000,0,-267000000,-14000000,3403000000,23000000,-49000000,None,None,None,0,-8000000,0,10000000,-150000000,0,-7000000,217000000,None,USD,19149000000,825000000,None,604000000,7972000000,414000000,1961000000,482000000,1000000,-1091000000,759000000,1092000000,1475000000,615000000,1716000000,23000000,23000000,-133000000,736000000,2174000000,631000000,9260000000,None,955000000,3528000000,None,1693000000,None,None,1000000,None,-1091000000,-5134000000,None,242000000,1301000000,4827000000,None,3528000000,767000000,6256000000,None,None,None,6771000000,19149000000,615000000,None,80000000,USD,-42000000,-90000000,251000000,8000000,72000000,-787000000,-12000000,None,13000000,-22000000,514000000,419000000,7000000,None,73000000,None,96000000,69000000,312000000,96000000,-11000000,-33000000,22.48,34.86
7,2018-09-30,USD,2778000000,-340000000,-1294000000,4072000000,4412000000,213000000,0,0,355000000,0,-336000000,None,4412000000,23000000,-44000000,None,None,None,0,-4000000,0,-142000000,-144000000,0,497000000,213000000,None,USD,19741000000,844000000,None,657000000,6213000000,521000000,0,510000000,1000000,-1103000000,767000000,1064000000,1312000000,605000000,1908000000,23000000,23000000,-78000000,719000000,2180000000,772000000,11620000000,12000000,918000000,3538000000,0,1885000000,521000000,0,1000000,0,-1103000000,-5065000000,None,267000000,1065000000,1775000000,None,3538000000,767000000,4305000000,None,None,None,6766000000,19741000000,605000000,None,80000000,USD,-94000000,-3000000,71000000,3000000,94000000,-935000000,1000000,None,213000000,110000000,974000000,822000000,8000000,0,65000000,0,-72000000,6000000,183000000,-72000000,-3000000,107000000,32.14,22.48
8,2018-06-30,USD,2328000000,-325000000,-1175000000,3503000000,3828000000,26000000,0,0,38000000,0,-321000000,None,3828000000,-61000000,-49000000,None,None,None,0,-4000000,0,-12000000,-136000000,0,50000000,26000000,None,USD,20919000000,843000000,None,832000000,6145000000,372000000,0,539000000,1000000,-1316000000,745000000,1049000000,1344000000,489000000,1856000000,24000000,24000000,-72000000,715000000,2223000000,253000000,12882000000,11000000,902000000,3544000000,0,1832000000,372000000,0,1000000,0,-1316000000,-5020000000,None,243000000,1120000000,1727000000,None,3544000000,745000000,4289000000,None,None,None,6779000000,20919000000,489000000,None,82000000,USD,-94000000,32000000,-2012000000,2000000,23000000,1365000000,1000000,None,26000000,-29000000,618000000,632000000,5000000,0,64000000,0,-84000000,7000000,1956000000,-84000000,-11000000,-40000000,32.5,32.14
9,2018-03-31,USD,1968000000,-302000000,-1092000000,3060000000,3357000000,-87000000,0,0,-129000000,0,-296000000,-5000000,3362000000,61000000,-46000000,None,None,None,0,-6000000,0,42000000,-133000000,0,-171000000,-87000000,None,USD,19222000000,849000000,None,699000000,6147000000,455000000,0,523000000,1000000,-1344000000,763000000,1085000000,1177000000,544000000,1803000000,26000000,26000000,-22000000,716000000,2123000000,332000000,11141000000,10000000,880000000,3581000000,0,1777000000,455000000,0,1000000,0,-1344000000,-4960000000,None,226000000,967000000,1567000000,None,3581000000,763000000,4344000000,None,None,None,6780000000,19222000000,544000000,None,81000000,USD,-94000000,109000000,-1736000000,4000000,-1000000,1024000000,1000000,-73000000,-87000000,-209000000,503000000,447000000,8000000,0,14000000,0,16000000,10000000,1711000000,16000000,9000000,-200000000,46.84,32.5
