,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,63255,655446,None,None,-589343,-369838,170007,None,-376545,5000364,485439,None,-592191,None,None,None,508811,508811,None,None,None,None,-293165.0,None,-376545,-369838,None,USD,4079237,None,None,56751,787335,-1708462,None,None,64163,-167663942,None,None,None,3409310,787335,None,None,-612124,9233,4070004,None,-1708462,357391,246552,None,None,301618,None,None,None,None,None,None,None,None,None,9233,None,None,None,0,None,None,None,None,None,None,None,None,USD,43245,-23957,43245,None,None,2783425,None,18667,-369838,2350499,-476411,None,2848,None,None,None,112083.0,-216214,0,None,None,None,2.57,
1,2020-03-31,USD,156042,600374,None,156042,-601728,-588532,218208,None,-601728,-13196,382166,-157396,-444332,None,None,None,2900,2900,None,None,None,None,-160296.0,None,-601728,-588532,None,USD,1864586,None,None,80028,1085222,-4213695,None,None,56540,-167294104,None,None,18667,1058811,1085222,44412,None,-642507,12434,1833485,None,-4213695,360210,334436,None,None,1040810,None,None,56540,None,-167294104,None,None,18667,None,31101,None,None,None,0,None,None,None,163666376,1864586,1419021,None,11403239,USD,0,4292,43245,None,None,382215,None,18667,-601728,-43378,-425593,8074,3080,None,382215,None,8074.0,160689,0,None,-23935,-67313,1.66,2.57
2,2019-12-31,USD,177681,649566,None,177681,-1168391,-1175297,281018,None,-1168391,6906,368548,-696506,-471885,None,None,None,-419720,-437250,None,None,None,None,17526.0,None,-1168391,-1175297,None,USD,2036852,None,None,45381,1520566,-4523592,None,None,56487,-167173572,None,None,18667,1126124,1520566,6414,None,-568030,15514,2002671,None,-4523592,452301,378865,None,None,1514152,None,None,56487,None,-167173572,None,None,18667,None,34181,None,None,None,0,None,None,None,163161523,2036852,1578425,None,11298239,USD,-7113,971022,-1761,6900,None,0,None,13,-1168391,-366215,-364454,-145617,3479,None,None,None,-145630.0,-24947,1548,None,4951,-361264,0.602,1.66
3,2019-09-30,USD,269635,788031,262410,269635,-467367,-449919,262410,None,-467367,-17448,525621,51029,-518396,None,None,None,14246,14246,None,None,None,None,36783.0,None,-467367,-449919,None,USD,2228772,None,None,67552,565682,-3363169,None,24461,56487,-165998275,None,None,18667,1487388,565682,24461,None,-582904,17445,2192660,None,-3363169,426915,210805,None,None,541221,None,None,56487,None,-165998275,None,None,18667,None,36112,None,None,None,0,None,None,None,163161523,2228772,1914303,None,11298239,USD,-37795,-339952,-31745,6050,None,0,None,9,-467367,-744785,-713040,134086,2774,None,None,None,134077.0,-42581,0,None,-5644,-750429,1.01,0.602
4,2019-06-30,USD,276967,1048569,599578,276967,-633594,-616828,599578,0,-633594,-16766,448991,138008,-771602,0,0,None,25930,25930,0,0,0,0,112078.0,0,-633594,-616828,0,USD,3085618,0,None,74625,943167,-2905089,0,60992,56487,-165548356,3659,0,18667,2237817,939508,60992,0,-574743,20218,3046733,0,-2905089,396350,337941,0,0,878516,0,0,56487,0,-165548356,0,0,18667,0,38885,0,0,0,3659,0,0,0,163161523,3085618,2634167,0,11298239,USD,153039,36531,190289,37250,0,0,0,12129,-633594,-567751,-758040,-13875,3614,0,0,0,-26004.0,-150716,0,0,16189,-551562,1.45,1.01
5,2019-03-31,USD,197919,988091,513421,197919,-893312,-872943,513421,0,-893312,-20369,474670,-103140,-790172,0,0,None,-103140,-7648,0,0,0,0,-95492.0,0,-893312,-872943,0,USD,3779738,0,None,115818,1018273,-2298129,0,173458,56487,-164931528,7159,0,30820,2800000,1011114,173458,0,-584611,23833,3725081,0,-2298129,540668,269778,0,0,837656,0,0,56487,0,-164931528,0,0,30824,0,54657,0,0,0,7159,0,0,0,163161523,3779738,3340668,0,11298239,USD,0,-3078,190289,0,0,0,0,-280,-893312,-827855,-827855,-31201,3915,0,0,0,-30921.0,95821,0,0,0,-827855,1.68,1.45
6,2018-12-31,USD,235713,863707,534313,235713,-448049,-431882,534313,0,-448049,-16167,329394,179945,-627994,0,0,None,None,None,0,0,0,0,179945.0,0,-448049,-431882,0,USD,4534407,0,None,103397,920380,-1451945,0,78637,56487,-164058585,8459,0,30373,3617234,911921,78637,0,-611370,27747,4476287,0,-1451945,503810,251846,0,0,833284,0,0,56487,0,-164058585,0,0,30373,0,58120,0,0,8459,8459,0,0,0,163161523,4534407,4121044,0,11298239,USD,412010,-516237,405884,375,0,55220,0,3222,-448049,-766455,-1172339,-449326,4091,0,55220,0,-51536.0,-194142,6501,431324,4950,-761505,1.01,1.68
7,2018-09-30,USD,283307,1551073,839413,283307,-1128361,-1104444,839413,0,-1128361,-23917,711660,139405,-1267766,0,0,None,None,None,0,0,0,0,139405.0,0,-1128361,-1104444,0,USD,5698148,0,None,104700,1601760,-997592,0,241400,56487,-163626703,8794,0,33540,4378739,1592966,241400,0,-588899,25349,5639259,0,-997592,956608,199212,0,0,1351566,0,0,56487,0,-163626703,0,0,33540,0,58889,0,0,0,8794,0,0,0,163161523,5698148,5335347,0,11298239,USD,1550299,-69668,1547934,3582130,0,55220,0,119,-1128361,388833,-1159101,155856,4514,0,55220,0,163633.0,-121442,2365,0,-17208,371625,2.01,1.01
8,2018-06-30,USD,391591,1459650,111215.30,391591,-872585,-851037,908907,0,-872585,-21548,550743,195474,-1068059,0,0,None,None,None,0,0,0,0,23918.51,0,-872585,-851037,0,USD,7056365,0,None,121565,1796691,130655,0,93342.55,56487,-162522259,0,0,4134.11,4007114,1796691,362842,0,-565096,27512,6995067,0,130655,2520376,346012,0,0,1433849,0,0,56487,0,-162522259,0,0,33786,0,61298,0,0,0,0,0,0,0,163161523,7056365,6527490,0,11298239,USD,511637,-183947,511671,0,0,0,0,-588.31,-872585,-570441,-1082112,139802,4689,0,0,0,19031.75,-170071,34,0,-8785,-579226,2.46,2.01
9,2018-03-31,USD,227576,2063663,1336470,227576,-1258452,-1224610,1336470,0,-1258452,-33842,727193,577635,-1836087,0,0,None,None,None,0,0,0,0,577635.0,0,-1258452,-1224610,None,USD,8369723,0,None,251630,2156240,1036489,0,532913,56487,-161671222,None,0,29405,4586340,2156240,532913,None,-510299,32258,8308060,None,1036489,3097266,372824,0,0,1623327,6213483,163161523,56487,0,-161671222,0,None,29405,None,61663,None,None,None,None,None,None,None,163161523,8369723,7683606,None,11298239,USD,1484420,444020,1501145,35770,None,55215,None,1303,-1258452,356497,-1199863,153504,4881,0,55215,0,163690.0,-543816,19045,None,-705,355792,3.07,2.46
