,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,13366733,0,0,-11801982,-13532089,10086204,None,-13532089,None,3280529,None,-13366733,None,None,0,22797,22797,None,None,None,None,-188153,None,-13532089,-13532089,None,USD,77568183,6747628,None,None,45035632,32532551,None,5722765,20482,-225046129,238435,7678789,7052583,13581952,28452118,None,19474822,-1853778,41113837,14975346,0,18106134,None,None,None,None,1517144,None,None,None,None,None,None,None,None,None,62592837,None,None,16583514,16583514,None,None,None,None,None,None,None,None,USD,-2990704,534563,-2990704,None,5456322,5456958,None,41082,-13532089,-8015408,-10522766,None,1564751,None,0,None,0,868927,0,None,None,None,14.97,
1,2020-03-31,USD,0,11430702,0,0,-11545722,-11547497,7759358,None,-11545722,None,3431344,-115020,-11430702,None,None,1775,12772,12772,None,240000,None,1775,-367792,None,-11547497,-11547497,None,USD,85888466,7035420,None,1707265,40737225,45151241,None,5509393,20427,-211514040,328859,7678789,6997391,21597360,23532537,14000000,14000000,-1897763,21338143,23558374,0,30437032,None,253749,None,None,4023144,None,None,20427,None,-211514040,-14992694,None,26277740,None,62330092,None,None,17204688,17204688,None,None,None,273535311,85888466,21597360,None,19371686,USD,-1634166,346445,-1634166,-51687,-315898,165900,None,223710,-11547497,-10762828,-9294562,-1356503,1593078,None,481798,None,0,1176062,1582479,493853,-83461,-10846289,15.82,14.97
2,2019-12-31,USD,290655,13089844,54291,290655,-12689043,-12686663,9512657,None,-12689043,None,3577187,110146,-12799189,None,-304201,-2380,177799,177799,None,None,None,-2380,-67653,None,-12686663,-12686663,None,USD,97324300,7376940,None,835048,41606609,55717691,None,5367708,20360,-199966543,333993,7678789,6458354,32443649,23672866,14334398,14334398,-1460950,21434414,34029640,240000,40661962,None,750943,None,None,3970760,None,None,20360,None,-199966543,-14992694,None,26564517,None,63294660,None,None,17933743,17933743,None,None,None,272117518,97324300,32443649,None,19304390,USD,-2117770,-2786023,-2117770,83325,-315898,-73263,-161491,2082290,-12686663,-13789027,-11597994,1403958,1539274,0,88228,None,11,961368,2201095,-29908,196999,-13592028,16.24,15.82
3,2019-09-30,USD,0,16491596,0,0,-15864231,-15863906,13126699,None,-15864231,None,3364897,627365,-16491596,None,-162279,-325,352935,352935,None,None,None,-325,274430,None,-15863906,-15863906,None,USD,105452174,7521523,None,1589479,38402080,67050094,None,4526594,20328,-187279880,262977,7678789,7640535,46035677,25856835,14138419,14138419,-1772412,19856287,48216427,240000,51849782,None,591271,None,None,7191822,None,None,20328,None,-187279880,-14992694,None,21939148,None,57235747,None,None,12545245,12545245,None,None,None,271074752,105452174,46035677,None,19272223,USD,-1056819,4393124,-1056819,-51593,-315898,-119308,-164251,-381865,-15863906,-10576569,-9400442,-204771,1439991,0,44943,None,-22,935624,1005226,-100504,-101500,-10678069,14.86,16.24
4,2019-06-30,USD,0,12284487,0,0,-12095347,-12096697,9062526,None,-12095347,None,3221961,189140,-12284487,None,-162279,1350,182017,182017,None,None,None,1350,7123,None,-12096697,-12096697,None,USD,117687246,7868803,None,2262527,35510244,82177002,None,5186335,20301,-171415974,183281,7678789,7286803,56713746,22171523,14546035,14546035,-1468591,19992728,59417120,240000,66629410,None,440847,None,None,2439153,None,None,20301,None,-171415974,-14992694,None,22489806,None,58270126,None,None,13338721,13338721,None,None,None,270033960,117687246,56713746,None,19245926,USD,-4056779,-867714,-4056779,-133284,8414312,9468881,-114653,-886402,-12096697,-5334257,-10746359,-216650,1329339,0,1169222,None,-3,1081483,3923495,23880,10486,-5323771,16.53,14.86
5,2019-03-31,USD,49265,9466177,8090,49265,-9334388,-9336788,5968096,None,-9334388,None,3498081,82524,-9416912,None,-162279,2400,97030,97034,None,None,None,2400,-14510,None,-9336788,-9336788,None,USD,121339097,8259257,None,2733614,28828068,92511029,None,5762778,20183,-159319277,187124,7678789,8951080,62037517,14686511,6131723,6131723,-1073066,15157707,65034289,240000,76572983,None,263158,13954433,None,2792010,None,None,20183,None,-159319277,-14992694,None,24969055,None,56304808,None,None,14141557,14141557,None,None,None,267875883,121339097,62037517,None,19127155,USD,-4164161,514377,-4164161,-619165,6131723,21209954,-30506,-1371702,-9336788,9140605,-7905188,-1494099,1329699,0,15108737,None,788,1124539,3544996,-42916,84032,9224637,17.3,16.53
6,2018-12-31,USD,25698,9837302,21585,25698,-8519154,-8519229,6164483,0,-8519154,0,3695119,1292450,-9811604,0,-162279,None,None,None,0,0,0,75,1292450,0,-8519229,-8519229,None,USD,91643146,7970692,None,1692135,6424754,85218392,None,3836308,19121,-149982489,257818,7678789,5952193,52812880,6166936,None,None,-1469192,15193761,54607711,240000,69568911,None,102696,None,None,2330628,None,None,19121,None,-149982489,-13953666,None,5952193,None,37035435,None,None,257818,257818,None,None,None,250604618,91643146,52812880,None,18119282,USD,10175479,176639,7862113,10013763,6131723,-7441418,-30506,461055,-8519229,-5332968,-5753663,65075,1259087,None,-7441418,None,37108,1079657,2151650,185108,220650,-5112318,17.66,17.3
7,2018-09-30,USD,70431,12868265,37483,70431,-12741285,-12743764,6545490,0,-12741285,0,3437879,56549,-12797834,0,0,None,None,None,0,2884896,0,2479,-2828347,0,-12743764,-12743764,None,USD,106414953,8153428,None,2132910,6371630,100043323,0,3960765,19093,-141463260,441093,7678789,5683464,57925198,5930537,None,None,-1526246,14313801,70345471,240000,84211106,10000000,287363,0,0,1969772,0,0,19093,0,-141463260,-6513993,None,5683464,None,36069482,None,None,441093,441093,None,None,None,249527729,106414953,67925198,None,18532475,USD,10175479,1074729,-2269639,677,6131723,41419500,-30506,1571161,-12743764,33446424,-5703437,518273,1304291,0,41419500,0,3704,4241228,2270316,-98194,-307093,33139331,18.15,17.66
8,2018-06-30,USD,77313,9464948,54393,77313,-9186076,-9186076,6166556,0,-9186076,0,3268968,201559,-9387635,0,0,None,None,None,0,29424,0,-2400,172135,0,-9186076,-9186076,None,USD,75814940,11538905,None,2409101,4883440,70931500,0,3300520,17503,-128719496,87601,7678789,4805996,24785867,4795839,None,None,-691864,14072278,37478972,240000,51713806,10000000,284004,0,0,1495319,0,0,17503,0,-128719496,-6513993,None,4805996,None,38335968,None,None,87601,87601,None,None,None,206839350,75814940,34785867,None,16942470,USD,-10000000,-872006,-11119064,-10034172,6131723,-1426505,-30506,-1607928,-9186076,-20589417,-8043848,-680010,1310657,0,-1426505,0,-15182,1373943,1084892,9644,-180607,-20770024,19.55,18.15
9,2018-03-31,USD,50961,8559633,22300,50961,-8494023,-8496423,5273951,0,-8494023,0,3263382,14649,-8508672,22300,0,None,None,None,0,0,0,2400,14649,0,-8496423,-8496423,None,USD,86726156,12029782,None,2033836,5404086,81322070,0,2986701,17454,-119533420,198849,7678789,3491710,45555891,5205237,None,None,428858,14600398,48656053,269424,61613499,0,1066326,0,0,2218536,0,0,17454,0,-119533420,-4693597,None,3491710,None,38070103,None,None,198849,198849,None,None,None,205102775,86726156,45555891,None,16989367,USD,-10000000,1044986,-1082635,0,None,30562725,None,462439,-8496423,23868039,-5612051,-548731,1175488,0,30562725,0,81633,1135816,1082635,76813,119430,23987469,17.55,19.55
10,2017-12-31,USD,68691,7505030,6645000,68691,-6922585,-6922585,4140097,0,-6922585,0,3333508,513754,-7436339,31425,0,None,None,None,0,0,0,888698,1183032,0,-6922585,-6922585,None,USD,61162296,12419692,None,1852695,3859770,57302526,0,2324632,15616,-111036997,183000,7678789,23662000,21568422,3676121,None,None,-389503,12973342,24526944,269424,37204045,0,1105827,0,0,1351489,0,0,15616,0,-111036997,-3977929,None,3294105,None,36635352,None,None,183649,183649,None,None,None,172691339,61162296,21568422,None,15188764,USD,175479,556606,-3191244,-458,None,13036694,None,-1273131,-6922585,5203805,-4641645,-211944,860572,0,13036694,142486,-160628,1104389,3190786,-28683,72586,5276391,11.25,17.55
11,2017-09-30,USD,106787,7240612,6485000,106787,-6202214,-6202214,4076186,0,-6202214,0,3109132,931611,-7133825,55294,0,None,None,None,0,0,0,-887248,913109,0,-6202214,-6202214,None,USD,53626626,12844078,None,1696082,3862411,49764215,0,1868371,14376,-104114412,None,7678789,23513000,16292031,3862411,None,None,-718906,11045150,19068603,269424,29241348,0,1080490,0,0,1994040,0,0,14376,0,-104114412,-2443122,None,2720582,None,34558023,None,None,None,None,None,None,None,157026279,53626626,16292031,None,14091181,USD,-10000000,-624518,-3964516,-223,None,-926060,None,-1518091,-6202214,-11064272,-6173696,-1381369,756223,0,-926060,-33398,-548268,1339075,3964293,-60893,57858,-11006414,10.65,11.25
