,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,316443000.0,None,None,None,None,39863000.0,None,None,48392000.0,302000.0,158824000.0,None,None,11869000.0,10266000.0,9661000,213323000,203057000,None,None,None,9661000.0,None,None,38731000.0,37260000.0,None,USD,30496121000.0,7179000.0,None,None,27137952000.0,3357867000.0,None,None,563978000.0,232082000.0,847699000,138921000.0,16523489000.0,1796236000.0,None,None,None,349261000,368565000.0,None,10468129000,3072608000,10317427000.0,None,1475000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-2657901000,0,-2657901000.0,None,-442561000,3426541000.0,3901974000,-2984000,39863000.0,918600000,149960000.0,None,10739000.0,-32424000.0,-448000,None,-1991000,78127000,6103000.0,None,None,None,25.37,
1,2020-03-31,USD,311427000.0,None,None,None,None,51857000.0,None,None,59776000.0,1449000.0,163129000.0,None,None,14000000.0,20420000.0,10173000,221485000,201065000,None,None,None,10173000.0,None,None,49603000.0,49137000.0,None,USD,26793017000.0,8433000.0,10292163000,None,23540553000.0,3251015000.0,None,None,563978000.0,224643000.0,559773000,138921000.0,15369417000.0,875341000.0,None,None,None,253136000,369745000.0,None,8861989000,2965645000,8678586000.0,None,756461000.0,None,None,None,None,None,None,None,-69149000,None,None,None,None,None,756461000,None,None,None,None,None,2133623000,None,None,None,None,USD,-281594000,0,-281594000.0,-274020000,331284000,193532000.0,-52065000,-2161000,51857000.0,-8294000,79768000.0,None,10581000.0,-32542000.0,-53145000,None,-1681000,29287000,7574000.0,None,None,None,25.37,25.37
2,2019-12-31,USD,345872000.0,193522000,None,330666000,None,106880000.0,None,None,135492000.0,3788000.0,161289000.0,None,137144000,43767000.0,24006000.0,28214000,226665000,202659000,None,None,None,28214000.0,-1652000,None,107278000.0,103607000.0,None,USD,26065789000.0,9534000.0,10040029000,194809000,22927317000.0,3134684000.0,None,None,563978000.0,201562000.0,516469000,138921000.0,14908966000.0,887465000.0,22387319000,None,None,110444000,385337000.0,1905774000,8698118000,2849194000,8571626000.0,None,2418000.0,365000,20520415000,None,None,None,None,None,-37548000,None,None,None,None,None,2418000,None,None,None,None,None,2151464000,None,None,None,None,USD,-275902000,0,-275902000.0,-687590000,-45467000,163870000.0,254454000,-352000,106880000.0,23428000,135460000.0,None,10416000.0,-30183000.0,-14934000,None,3087000,20203000,13134000.0,None,None,None,25.99,25.37
3,2019-09-30,USD,341164000.0,189399000,None,330201000,None,109242000.0,None,None,139181000.0,3414000.0,160068000.0,None,140802000,13718000.0,28231000.0,29101000,231743000,203512000,None,None,None,29101000.0,-1621000,None,110080000.0,105952000.0,None,USD,25876479000.0,9139000.0,10112893000,45164000,22770465000.0,3102600000.0,None,None,559432000.0,463231000.0,522819000,138921000.0,14658733000.0,856383000.0,22213181000,None,None,144173000,365949000.0,1925691000,8847734000,2816991000,8660419000.0,None,257383000.0,502000,20310151000,None,None,None,None,None,-251663000,None,None,None,None,None,257383000,None,None,None,None,None,2042643000,None,None,None,None,USD,-306233000,0,-306233000.0,-150000000,-500147000,103558000.0,817839000,1517000,109242000.0,-77075000,125600000.0,None,10432000.0,-30243000.0,-183891000,None,-647000,9131000,9152000.0,None,None,None,25.93,25.99
4,2019-06-30,USD,338783000.0,188086000,0,326977000,0,107971000.0,0,0,137198000.0,2632000.0,156293000.0,0,138891000,17551000.0,26778000.0,28899000,238412000,211634000,0,0,0,28899000.0,-1693000,0,108299000.0,104709000.0,0,USD,25772174000.0,8763000.0,10103297000,32967000,22600811000.0,3168731000.0,0,0,559432000.0,384232000.0,334770000,138921000.0,14652166000.0,948510000.0,22233914000,0,0,7111000,363554000.0,1825312000,8853593000,2882993000,8682303000.0,0,4510000.0,897000,19829608000,0,0,0,0,0,-106106000,0,0,0,0,0,4510000,0,0,0,0,0,2077491000,0,0,0,0,USD,-116708000,0,-148030000.0,-127741000,674031000,362178000.0,-199065000,1713000,107971000.0,355023000,109553000.0,0,10331000.0,-30932000.0,-46380000,0,2444000,-14972000,9006000.0,0,0,0,26.2,25.93
5,2019-03-31,USD,323803000.0,187915000,0,311340000,0,97138000.0,0,0,119915000.0,5458000.0,157160000.0,0,123425000,16493000.0,24377000.0,22860000,227865000,203488000,0,0,0,22860000.0,-3510000,0,97055000.0,93944000.0,0,USD,25033471000.0,8511000.0,9697712000,32185000,21990258000.0,3037755000.0,0,0,559432000.0,307193000.0,253026000,138921000.0,14385514000.0,594095000.0,21707404000,0,0,11981000,362679000.0,1409385000,8792515000,2751880000,8627890000.0,0,2022000.0,737000,19974353000,0,0,0,0,0,-60547000,0,0,0,0,0,2022000,0,0,0,0,0,2074912000,0,0,0,0,USD,-31322000,0,-31322000.0,-150000000,-240428000,-713667000.0,-402432000,2708000,97138000.0,-602808000,142181000.0,0,9966000.0,-31108000.0,-39699000,0,-1568000,8826000,11283000.0,0,0,0,26.91,26.2
6,2018-12-31,USD,325922000.0,186829000,0,325922000,0,109652000.0,0,0,137297000.0,5851000.0,143937000.0,0,139093000,42892000.0,0.0,None,None,None,0,0,0,26537000.0,-1796000,0,110760000.0,106265000.0,0,USD,25463842000.0,8794000.0,None,257194000,22526693000.0,2786514000.0,0,0,559432000.0,241163000.0,224522000,138921000.0,14292335000.0,972788000.0,22293469000,0,0,-64669000,349219000.0,1999664000,8674909000,2645277000,700000000.0,0,8702000.0,1413000,20323659000,0,0,0,0,0,-34236000,0,0,0,0,0,8702000,0,0,0,0,0,2084824000,0,0,0,0,USD,233706000,0,35770000.0,-150000000,101440000,262367000.0,223810000,1448000,109652000.0,404086000,105949000.0,0,9855000.0,-27227000.0,-75241000,0,0,11441000,11936000.0,0,0,0,25.24,26.91
7,2018-09-30,USD,4467260.88,2494233.80,0,4467260.88,0,1543723.0,0,0,1929598.9,64682.89,2256770.65,0,1973027.08,237463.15,0.0,None,None,None,0,0,0,365402.81,-43428.18,0,1564196.09,1496948.92,0,USD,343673527.6,116146.73,None,409873.16,305170819.33,36452643.13,0,0,7341885.5,6769160.1,3212876.24,1904984.57,195460761.06,6271909.5,301936907.78,0,0,-1941666.10,4550826.19,21338100.79,120302708.26,34513897.84,14189262.94,0,21035.31,16194.72,276086664.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,-4949948.58,0,-5206705.52,0,9428878.99,6563291.05,-2209914.30,17689.41,1543723.0,3531888.93,2175303.39,0,132245.46,-374480.63,0,0,0,206856.36,107411.72,0,0,0,25.75,25.24
8,2018-06-30,USD,322691000.0,178734000,0,322691000,0,110330000.0,0,0,140831000.0,3396000.0,162585000.0,None,143957000,16149000.0,0.0,None,None,None,0,0,0,29507000.0,-3126000,0,111324000.0,106941000.0,None,USD,24524742000.0,8083000.0,None,35152000,21753359000.0,2623203000.0,0,0,535407000.0,408374000.0,235906000,138921000.0,14243824000.0,417839000.0,21508162000,0,0,-108781000,331782000.0,1306372000,8495760000,2481662000,814947000.0,0,9291000.0,1039000,20321557000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,47997000,0,-30457000.0,0,34507000,-150986000.0,-156145000,131000,110330000.0,-37355000,144088000.0,None,9560000.0,-27346000.0,0,0,0,28183000,8543000.0,None,None,None,25.77,25.75
9,2018-03-31,USD,92895626.96,54004590.48,0,92895626.96,0,30497704.76,0,0,37847004.11,787025.85,49141398.89,None,38891036.48,4863191.59,3957175.65,None,None,None,0,0,0,7024039.62,-1044032.37,0,30822964.48,29479644.84,None,USD,7432725899.98,2383727.95,None,8043911.57,6615581662.24,772631674.32,0,6202727410,161695759.85,98269509.54,63157465.57,41954880.41,4298663626.48,132896834.98,6549641519.69,349696786.66,349696786.66,-27048502.05,100342172.02,404625815.41,2584755677.70,729834803.09,252082930.66,0,2782676.98,392606.91,6202727410,817144237.74,544450652.33,161695759.85,43725537.57,98269509.54,-4735745.35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,63055085.77,0,85576830.15,0,-110942558.59,-110762563.42,13595977.29,-221067.89,30497704.76,18299710.07,43485443.34,None,2905291.13,-8261657.41,0,0,0,9011838.61,1504590.48,None,None,None,25.89,25.77
