,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2019-12-31,CNY,150150000,None,84136000,66014000,None,183675000,None,None,183704000,None,-110324000,None,183704000,-4500.0,158000,29000,None,None,None,None,None,14500.0,None,None,None,91837500.0,None,CNY,362283000,None,None,5078000,89390000,272893000,None,None,397000,-300973000,None,None,None,8212000,89390000,None,None,-263818000,35000.0,362248000,None,272893000,None,177023000,None,165296000,22577000,None,None,None,None,None,None,None,35000,None,35000,5793000,None,None,0,None,None,None,None,None,8212000,None,None,CNY,None,-9253500,-1392500.0,-1392500,7000,-5907000,14000,-1383500,-9445000,-804000,-1734500,None,12000,None,7981000,None,None,-90729500,0.0,None,None,None,0.6797,
1,2019-09-30,CNY,None,None,None,None,None,None,None,None,None,None,None,None,None,-4500.0,None,None,None,None,None,None,None,14500.0,None,None,None,91837500.0,None,CNY,None,None,None,None,None,None,None,None,397000,-165630000,None,None,None,None,None,None,None,-263818000,35000.0,None,None,272893000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CNY,None,-9253500,-1392500.0,-1392500,7000,None,None,-1383500,None,None,-1734500,None,None,None,None,None,None,-90729500,0.0,None,None,None,0.81,0.6797
2,2019-06-30,CNY,177431000,0,162119000,15312000,0,-193176000,0,0,-193149000,0,215416000,0,-193149000,4500.0,157000,27000,None,None,0,0,0,13500.0,0,0,0,-96588000.0,0,CNY,197311000,0,None,11172000,113418000,83893000,0,0,327000,-484648000,0,0,0,9445000,113418000,0,0,-264065000,40000.0,197271000,0,83893000,0,78800000,0,91519000,41699000,0,0,0,0,0,0,0,40000,0,40000,5635000,0,0,0,0,0,0,0,0,9445000,0,0,CNY,0,8686500,859500.0,859500,-6951000,-10995000,0,87500,-193149000,429000,4878000,0,6000,0,2907000,0,0,97176000,0.0,0,0,0,0.8899,0.81
3,2019-03-31,CNY,0,0,0,0,0,0,0,0,0,0,0,0,0,4500.0,0,None,None,None,0,0,0,13500.0,0,0,0,-96588000.0,0,CNY,0,0,None,0,0,0,0,0,327000,-349305000,0,0,0,0,0,0,0,-264065000,40000.0,0,0,83893000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CNY,0,8686500,859500.0,859500,-6951000,0,0,87500,0,0,4878000,0,0,0,0,0,0,97176000,0.0,0,0,0,1.63,0.8899
4,2018-12-31,CNY,142559000,0,188570000,-46011000,0,-346768000,0,0,-346559000,0,222908000,0,-346559000,84000.0,0,209000,None,None,0,0,0,104500.0,0,0,0,-346768000.0,0,CNY,366941000,0,None,1719000,90923000,276018000,0,0,306000,275712000,0,0,0,0,90923000,0,0,-264321000,46000.0,366895000,0,276018000,0,224114000,0,127346000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9016000,0,0,CNY,0,-28774500,-1719000.0,-1719000,93000,15448000,186000,-344500,-418465000,6688000,-6234000,0,11500000,0,15262000,0,0,175791000,0.0,0,0,0,1.53,1.63
5,2018-09-30,CNY,0,0,0,0,0,0,0,0,0,0,0,0,0,84000.0,0,None,None,None,0,0,0,104500.0,0,0,0,-173384000.0,0,CNY,0,0,None,0,0,0,0,0,306000,-154015000,0,0,0,0,0,0,0,-264321000,46000.0,0,0,276018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CNY,0,-28774500,-859500.0,-859500,93000,0,0,-344500,0,0,-1197500,0,0,0,0,0,0,175791000,0.0,0,0,0,1.3606,1.53
6,2018-06-30,CNY,355630000,0,310785000,44845000,-19979.37,-71906000,0,0,-71906000,0,122546000,0,-71906000,327.03,0,None,None,None,0,0,0,0.0,1792.72,0,-18186.65,-71906000.0,0,CNY,770479000,4310000,None,5175.30,154917000,615562000,0,12850.49,248000,615314000,0,0,209000,3056.32,154917000,0,0,-133810.73,86557000.0,679403000,0,309198.89,0,479389000,0,183741000,41417.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6042000,0,0,CNY,0,5259.27,-434.77,-434.77,47.04,7952000,0,-1430.78,-71906000,3714000,-3839000,0,5753000,0,7952000,2004.66,-17332.28,26981.28,0.0,0,0,0,1.64,1.3606
7,2018-03-31,USD,28312236.29,0,24742058.75,3570177.53,-6288830.51,-5724544.22,0,0,-5724544.22,0,1286999.44,0,-6288830.51,102937.66,0,None,None,None,0,0,0,0.0,564286.28,0,-5724544.22,-5724544.22,0,USD,122677971.50,686251.09,None,1629010.43,24666348.22,98011623.28,0,4044900.88,39487.30,30690709.34,0,0,817610.06,962025.32,24666348.22,0,0,-42119098.80,12997532.04,108176578.30,0,97325372.18,0,76329750.82,0,29255791.74,13036860.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,0,1655441.45,-136852.16,-136852.16,14807.74,633070.62,0,-450362.23,-5724544.22,295677.10,-305628.53,0,458004.94,0,0,631000.72,-5455616.59,8492795.16,0.0,0,0,0,1.46,1.64
8,2017-12-31,CNY,485342000,22133.27,427579000,57763000,-1326.05,-82197000,12.35,0,-61180000,0,85924000,0,-61180000,118.75,0.09,21017000,None,None,0,0,0,901.03,-1296.81,0,-3523.89,-82197000.0,0,CNY,825418000,4364000,None,184.52,130682000,694736000,0,2092.80,206000,694530000,0,0,209000,199.61,130682000,0,3088.19,-22647.16,92310000.0,728535000,65.76,59194.21,0,532361000,0,191667000,5237.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328000,0,0,CNY,0,-8338.10,-5548000.0,70000,0,9537000,0,2484.33,-78285000,2218000,-2046000,0,15371000,0,9537000,1759.62,-11374.20,35367,5618000.0,0,0,0,2.39,1.46
9,2017-09-30,USD,36473231.73,38797682.39,32132368.41,4340863.32,-2324450.66,-6177067.36,0,0,-4597649.32,0,6457149.73,None,-2324450.66,208164.25,-37424.47,None,None,None,0,0,0,1579418.04,-2273198.67,0,-6177067.36,-6177067.36,None,USD,124059578.56,655905.25,None,323443.65,19641386.36,104418192.20,0,3668500.32,30961.61,42050229.96,0,0,782006.19,349896.29,19641386.36,5413322.51,5413322.51,-39698500.02,13123515.8,109498151.32,0,103762286.95,0,80017434.70,0,28807376.68,9180869.93,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,0,-2246295.13,-4659.27,0,0,419409.63,0,669281.87,-6177067.36,162398.17,-271891.06,None,539047.70,0,419409.63,474043.35,-3064222.80,9527910.54,4659.27,None,None,None,1.39,2.39
