,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,449600000,100600000,240800000,208800000,109900000,45600000,None,None,74800000,1200000,100600000,15900000,94000000,None,35100000,13600000,None,-35100000,None,None,None,13600000,1700000,-14400000,61200000,45600000,None,USD,2854100000,235200000,None,169900000,3434800000,-596100000,131200000,388700000,1600000,1045500000,200600000,1348500000,320200000,215700000,526800000,20700000,20700000,-25900000,109100000,685600000,None,-2179800000,None,300000000,2655100000,None,117400000,None,None,1600000,None,1045500000,-2305200000,None,475700000,None,2168500000,None,2655100000,121700000,2908000000,None,None,None,687900000,2854100000,215700000,None,121100000,USD,20000000,-11100000,-19600000,-35500000,-94100000,-112800000,-500000,-31300000,46800000,-69000000,63400000,29900000,27000000,-18300000,100000,None,38700000,-21100000,4100000,38700000,None,-69000000,41.42,
1,2020-03-31,USD,516300000,105800000,242500000,273800000,167500000,57600000,None,None,132400000,1900000,105800000,-500000,168000000,None,35100000,38000000,-35100000,-35100000,-34900000,None,None,38000000,-500000,-34900000,94400000,57600000,None,USD,2964800000,236300000,None,245700000,3586000000,-635500000,None,477100000,1600000,1018300000,228300000,1345500000,337100000,284500000,554600000,20900000,20900000,-34300000,116900000,869800000,None,-2217300000,None,339600000,2747300000,None,340700000,None,None,1600000,None,1018300000,-2306500000,None,396300000,None,2095000000,None,2747300000,123800000,2747300000,None,None,None,685400000,2964800000,284500000,None,121500000,USD,-15300000,21500000,-40600000,-18200000,4600000,-13000000,-600000,3200000,59500000,79400000,133000000,97600000,24500000,-18200000,1200000,None,-26800000,16200000,7100000,-26800000,None,79400000,32.85,41.42
2,2019-12-31,USD,499600000,115600000,235900000,263700000,149400000,22300000,None,None,113000000,1800000,115600000,1300000,148100000,None,36400000,43200000,-36400000,-36400000,-45700000,None,None,43200000,1300000,-45700000,69800000,22300000,None,USD,2935900000,232700000,None,308500000,3562900000,-639400000,None,505000000,1600000,979100000,226800000,1364300000,301200000,222400000,537800000,21100000,21100000,5400000,126600000,851800000,None,-2236400000,None,320900000,2741200000,None,295600000,None,None,1600000,None,979100000,-2308500000,None,360500000,None,2084100000,None,2741200000,114300000,2741200000,None,None,None,683000000,2935900000,222400000,None,121500000,USD,7300000,-8600000,-20200000,-18300000,-165200000,-186200000,-2700000,-4000000,24100000,-99900000,106500000,65800000,24600000,-20500000,2200000,None,-22800000,47500000,9200000,-22800000,None,-99900000,54.68,32.85
3,2019-09-30,USD,494600000,107900000,247300000,247300000,141700000,82000000,None,None,104000000,2100000,107900000,2300000,139400000,None,37700000,25600000,-37700000,-37700000,6900000,None,None,25600000,2300000,5700000,78400000,82000000,None,USD,3058900000,228000000,None,279300000,3730500000,-684400000,None,503800000,1600000,975300000,214500000,1344100000,296400000,313100000,805900000,271300000,271300000,-26600000,131400000,1002800000,None,-2256500000,None,410400000,2655200000,None,300200000,None,None,1600000,None,975300000,-2312400000,None,352600000,None,2056100000,None,2655200000,112900000,2655200000,None,None,None,677700000,3058900000,313100000,None,121400000,USD,-12000000,-5500000,-27900000,-12800000,-5200000,-33900000,-8800000,-33200000,84100000,10400000,72200000,45200000,23500000,-22600000,2700000,None,-8100000,17100000,3100000,-8100000,None,10400000,48.09,54.68
4,2019-06-30,USD,167800000,196300000,2500000,165300000,-45500000,-155100000,None,None,-82700000,2100000,99900000,-14500000,-31000000,6400000,37200000,-39500000,-53700000,-37200000,-109200000,90000000,None,-39500000,-20900000,-109800000,-43200000,-155100000,None,USD,2999000000,225900000,None,263400000,3713500000,-729600000,148900000,420500000,1600000,911600000,216200000,1356300000,284900000,311400000,837900000,270800000,270800000,-6700000,144800000,987100000,None,-2311800000,None,412300000,2659400000,None,146600000,None,None,1600000,None,911600000,-2324600000,None,284900000,None,2011900000,None,2659400000,67300000,2875600000,None,None,None,688500000,2999000000,311400000,None,121100000,USD,10000000,2000000,-36100000,-30900000,-2100000,-104100000,-3900000,-33200000,-153000000,3700000,143900000,326700000,18400000,-20300000,-77800000,None,25400000,56300000,15200000,25400000,None,3700000,49.44,48.09
5,2019-03-31,USD,602100000,124400000,305800000,296300000,172900000,99800000,None,None,137500000,1900000,123800000,1000000,171900000,600000,35400000,32000000,-35400000,-35400000,13000000,None,None,35800000,400000,-156200000,101700000,99800000,None,USD,3165800000,264800000,None,155700000,3641200000,-490500000,None,420500000,1600000,1084900000,237000000,1588400000,280500000,306800000,754900000,268500000,268500000,-2400000,133300000,898800000,10000000,-2343700000,None,436300000,2649300000,None,302900000,None,None,1600000,None,1084900000,-2248100000,None,280500000,None,2267000000,None,2649300000,69900000,2649300000,None,None,None,673500000,3165800000,306800000,None,122400000,USD,-22600000,13400000,-22600000,-10500000,55200000,-36300000,-4200000,-6600000,101700000,81000000,139900000,-6600000,26100000,-18600000,-68700000,None,-25700000,31000000,12100000,-25700000,None,81000000,58.82,49.44
6,2018-12-31,USD,590400000,126500000,309900000,280500000,155600000,89000000,None,None,121300000,1900000,122700000,1600000,154000000,3800000,34300000,None,None,None,18300000,None,None,30400000,-66500000,-156200000,90900000,89000000,None,USD,3017100000,245800000,None,126800000,3517200000,-513300000,None,413600000,1600000,1003800000,214500000,1587400000,267800000,228700000,710700000,268000000,268000000,-7000000,139000000,767100000,10000000,-2346500000,None,411600000,2592000000,None,243600000,None,None,1600000,None,1003800000,-2116500000,None,277800000,None,2250000000,None,2592000000,None,2592000000,None,None,None,604800000,3017100000,228700000,None,124700000,USD,400000,-7500000,-22400000,-4500000,165400000,-119100000,-2500000,-35300000,90900000,-82200000,59300000,-35300000,25600000,-22500000,-259500000,None,-32000000,17600000,18300000,-32000000,None,-82200000,47.88,58.82
7,2018-09-30,USD,554500000,115500000,281600000,272900000,160000000,90300000,None,None,127800000,2000000,98300000,2600000,157400000,17200000,32200000,None,None,None,None,None,None,35500000,-50300000,-156200000,92300000,90300000,None,USD,3090900000,259800000,None,115600000,3390500000,-314700000,None,443700000,1600000,933600000,216300000,1592400000,275500000,312800000,500600000,17900000,17900000,5100000,141200000,812000000,10000000,-2166900000,9200000,383600000,2673600000,None,255300000,None,None,1600000,None,933600000,-1909600000,None,285500000,None,2278900000,None,2673600000,None,2673600000,None,None,None,654600000,3090900000,312800000,None,128800000,USD,-10000000,-9500000,-542100000,-523300000,63300000,-89500000,-16000000,12800000,92300000,-491600000,140000000,12800000,19700000,-23700000,-113100000,None,12200000,12500000,8800000,12200000,None,-491600000,62.56,47.88
8,2018-06-30,USD,569200000,122500000,288500000,280700000,162200000,99400000,131300000,0,136900000,2200000,118200000,4000000,158200000,4300000,25300000,None,None,None,0,6200000,0,35300000,-30100000,0,101600000,99400000,None,USD,3008400000,126500000,None,188300000,3355700000,-364800000,167100000,367000000,1600000,753000000,231800000,1217200000,165500000,804400000,548400000,45200000,45000000,11500000,131900000,1367300000,None,-1708500000,None,374600000,2575500000,None,136200000,None,None,1600000,None,753000000,-1810700000,None,165500000,None,1641100000,None,2575500000,64700000,2807300000,None,None,None,679800000,3008400000,804400000,None,130100000,USD,-10000000,25400000,-37300000,-28200000,480900000,275200000,-1400000,-54500000,101600000,357000000,119100000,-54500000,20500000,-19700000,-184600000,None,17300000,8800000,9100000,17300000,-14000000,343000000,65.05,62.56
9,2018-03-31,USD,576600000,124200000,295000000,281600000,159100000,96100000,0,0,135000000,1700000,121700000,1700000,157400000,2500000,24100000,None,None,None,0,-800000,0,37200000,-36800000,0,97800000,96100000,None,USD,2697900000,116100000,None,188600000,2914900000,-232300000,101300000,545700000,1600000,673400000,240800000,1226800000,171900000,461400000,580700000,45500000,45000000,45600000,137300000,1045800000,None,-1575200000,None,395800000,2093400000,None,230300000,None,None,1600000,None,673400000,-1626900000,None,171900000,None,1652100000,None,2093400000,None,2093400000,None,None,None,674000000,2697900000,461400000,None,133000000,USD,-10000000,7400000,-18100000,-9600000,-11600000,-159500000,-1800000,40900000,97800000,12900000,190500000,40900000,19600000,-27600000,-118500000,None,13100000,11700000,8500000,13100000,4900000,17800000,63.34,65.05
