,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-04-30,USD,12550000,3528000,13849000,-1299000,-4768000,-4768000,None,None,-4768000,None,3528000,59000,-4827000,None,None,0,59000,59000,None,None,None,None,0,None,-4768000,-5128000,360000,USD,107620000,None,None,4012000,65724000,41896000,None,31156000,56000,-571071000,None,None,652000,36262000,44480000,4379000,None,None,27105000,59763000,None,41894000,None,8606000,None,10883000,8945000,None,None,56000,2000,-571071000,None,None,20752000,None,47857000,22472000,None,21244000,21244000,None,None,None,612909000,107620000,36262000,None,56483000,USD,-787000,851000,-787000,None,4301000,3315000,None,591000,-4768000,5575000,3047000,5272000,815000,-1081000,17000,-1318000,1545000,650000,787000,1545000,None,5575000,6.1,
1,2020-01-31,USD,13585000,2996000,12800000,785000,-2104000,-2104000,None,None,-2104000,None,2996000,107000,-2211000,None,None,0,107000,107000,None,None,None,None,107000,None,-2104000,-3546000,1442000,USD,105216000,None,None,6874000,58138000,47078000,None,28237000,56000,-566303000,None,None,652000,30687000,36554000,None,None,None,26850000,57277000,None,47076000,None,10151000,None,9565000,8317000,None,None,56000,2000,-566303000,None,None,21089000,None,47939000,22756000,None,21584000,21584000,None,None,None,613323000,105216000,30687000,None,56479000,USD,-2040000,231000,-2040000,None,4379000,-597000,None,-183000,-2104000,-3273000,-636000,4318000,809000,-1082000,485000,-1756000,-2729000,595000,2040000,-2729000,None,-3273000,6.61,6.1
2,2019-10-31,USD,18313000,3889000,14953000,3360000,-430000,-430000,None,None,-430000,None,3534000,99000,-529000,355000,None,0,99000,99000,None,None,None,None,-355000,None,-430000,-1872000,1442000,USD,105250000,None,None,7036000,33672000,49184000,None,24186000,56000,-564199000,None,None,652000,33960000,33672000,None,None,None,26990000,56227000,None,71576000,None,7422000,None,7809000,9486000,None,None,56000,2000,-564199000,None,None,22033000,None,49023000,23635000,None,None,22394000,None,None,None,613325000,105250000,33960000,None,56338000,USD,-947000,106000,-947000,None,4379000,-721000,None,-367000,-430000,4216000,5884000,3780000,741000,-1081000,360000,222000,801000,664000,947000,801000,None,4216000,5.35,6.61
3,2019-07-31,USD,15254000,4459000,14168000,1086000,-3164000,-3164000,None,None,-3164000,None,4459000,209000,-3373000,None,None,None,209000,209000,None,None,None,None,209000,None,-3164000,-4606000,1442000,USD,102070000,None,None,6366000,28935000,49684000,None,20247000,56000,-563769000,None,None,1452000,28944000,28935000,None,None,None,26453000,51564000,None,73133000,None,8223000,None,8031000,8688000,None,None,56000,2000,-563769000,None,None,24053000,None,50506000,24833000,None,None,23451000,None,None,None,613395000,102070000,28944000,None,56238000,USD,-38000,-433000,-38000,None,-78000,-901000,-78000,-91000,-3164000,-3407000,-2468000,2123000,726000,-1081000,258000,-1474000,-849000,603000,38000,-849000,None,-3407000,6.48,5.35
4,2019-04-30,USD,17055000,3562000,13407000,3648000,156000,336000,None,None,167000,None,3562000,81000,75000,None,None,-67000,92000,92000,102000,None,None,-67000,92000,102000,234000,-24000,360000,USD,78395000,None,None,5036000,25327000,53068000,2072000,15270000,56000,-560605000,2072000,None,1452000,32351000,23162000,None,None,None,25625000,51318000,None,53066000,None,7374000,None,6557000,7892000,None,None,56000,2000,-560605000,None,None,1452000,None,27077000,93000,93000,None,2165000,None,None,None,613615000,78395000,32351000,None,56135697,USD,-208000,7419000,-208000,46000,-78000,-847000,None,797000,336000,4593000,5648000,-1449000,740000,-1081000,234000,2103000,511000,-4012000,254000,511000,None,4593000,4.79,6.48
5,2019-01-31,USD,13781000,3242000,11731000,2050000,-1183000,-1139000,0,None,-1183000,None,3242000,9000,-1192000,None,0,-44000,None,None,None,None,None,-44000,9000,102000,-1139000,-2581000,1442000,USD,76110000,None,None,4479000,23046000,53064000,2105000,15383000,56000,-560941000,2105000,None,1452000,27758000,20848000,None,None,None,25876000,48782000,None,53062000,None,7885000,None,8660000,5465000,None,None,56000,2000,-560941000,None,None,1452000,None,27328000,93000,93000,None,2198000,None,None,None,613947000,76110000,27758000,None,56072291,USD,-802000,-1649000,-802000,6000000,-78000,-1052000,None,1111000,-1139000,-4936000,-3082000,1075000,681000,-1082000,30000,1076000,-3688000,562000,802000,-3688000,None,-4936000,3.85,4.79
6,2018-10-31,USD,10178000,2816000,9844000,334000,-2363000,-1451000,0,None,-2363000,None,2816000,119000,-2482000,None,0,-173000,None,None,739000,None,None,-173000,119000,739000,-2190000,-2893000,1442000,USD,80224000,0,None,5866000,25427000,54797000,2126000,18156000,56000,-559802000,2126000,0,1452000,32694000,23208000,None,None,None,26279000,52493000,None,54795000,0,4197000,93000,9736000,5052000,0,0,56000,2000,-559802000,0,None,1452000,None,27731000,93000,93000,None,2219000,None,None,None,614541000,80224000,32694000,None,56063488,USD,None,-3363000,2746000,3000000,-78000,-823000,None,-642000,-1451000,-4790000,-6713000,-93000,683000,-1081000,258000,-568000,-1563000,-675000,254000,-1246000,None,-4790000,5.24,3.85
7,2018-07-31,USD,12589000,3226000,11397000,1192000,-1950000,-1961000,0,None,-1961000,None,3226000,73000,-2023000,None,-11000,None,None,None,None,None,None,0,62000,739000,-1961000,-3403000,1442000,USD,84708000,0,None,7317000,27962000,56746000,2145000,20572000,55000,-558351000,2145000,0,1452000,37484000,25724000,171000,171000,None,26336000,56920000,None,56744000,0,2951000,93000,9168000,5152000,0,0,55000,2000,-558351000,0,None,1452000,None,27788000,93000,93000,None,2238000,None,None,None,615040000,84708000,37484000,None,55990274,USD,None,52000,2808000,3000000,-74000,-141000,None,-960000,-1961000,-4781000,-7448000,-6371000,642000,-1081000,1014000,-910000,-1084000,297000,192000,803000,None,-4781000,5.57,5.24
8,2018-04-30,USD,6943000,13087000,8904000,-1961000,-6144000,3020000,7022000,0,-6134000,0,4183000,None,-6144000,0,-9000,None,None,None,9154000,330000,0,0,10000,9154000,-6134000,1938000,None,USD,95760000,0,None,5679000,40022000,55738000,2159000,16377000,55000,-559129000,2159000,0,1454000,42265000,37863000,None,None,None,26479000,67827000,None,55736000,0,3754000,0,16129000,21486000,0,0,55000,2000,-559129000,0,None,1454000,None,27933000,None,None,None,2159000,None,None,None,614810000,95760000,42265000,-12372000,55689222,USD,None,4166000,2125000,3015000,-74000,20867000,-1669000,-2393000,3020000,24327000,1335000,None,617000,-1081000,45195000,-1911000,4213000,-6377000,890000,None,None,None,3.67,5.57
9,2018-01-31,USD,6819000,4838000,10951000,-4132000,-8914000,-11004000,-5475000,0,-8928000,0,4838000,42000,-8956000,0,-14000,None,None,None,0,2846000,0,0,28000,-2076000,-8928000,-12446000,1442000,USD,69857000,0,None,906000,38338000,31519000,2064000,7382000,45000,-562149000,2064000,0,2503000,17938000,36274000,None,None,None,26325000,41029000,None,31517000,0,7967000,0,14218000,28892000,0,0,45000,2000,-562149000,0,None,2503000,None,28828000,None,None,None,2064000,None,None,None,593621000,69857000,17938000,None,45257180,USD,None,-1556000,-335000,3015000,-26000,1384000,-1669000,4628000,-11004000,-9789000,-8633000,None,645000,-3244000,11604000,18881000,-4459000,813000,2129000,None,None,None,3.48,3.67
