,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,30037227,28686503,17024412,13012815,2410375,1558334,None,None,1558334,None,11521589,None,1350724,None,385181,None,92485,-292696,None,None,None,None,500306,None,1558334,1558334,None,USD,98899097,16888970,None,None,30279231,68619866,None,561617,69563,-61305046,None,10419321,8767728,20110815,30076130,None,8953266,-976691,922465,61900613,None,41311575,None,12221985,None,23512418,8792735,None,None,None,None,None,None,None,None,None,36998484,615047,None,None,203101,None,None,None,None,None,None,None,None,USD,1122606,126954,1122606,1331011,-157970,331347,None,513959,1558334,1016714,-428534,None,466860,None,None,-2607391,-1522134,1274448,208405,None,None,None,11.77,
1,2020-03-31,USD,28184889,27080134,15182706,13002183,1419839,546051,None,None,546051,None,11753900,None,1104755,None,439252,None,97534,-341718,None,None,None,None,-216986,None,546051,546051,None,USD,94927954,17029472,None,None,29422057,65505897,None,160646,69280,-62863380,None,10023806,10471478,19094101,29233268,None,8599750,-868010,741444,56661754,None,38452619,None,10699811,None,21038367,11169316,None,None,None,None,None,None,None,38266200,None,38266200,776479,124550,None,188789,None,None,None,129168010,None,19094100,None,70000000,USD,-107372,2729700,-107372,1331011,-64082,151265,None,-401023,546051,-3996581,-3817544,None,434536,None,215350,-5475308,-3146415,1494915,107372,None,None,None,4.21,11.77
2,2019-12-31,USD,24115120,25436733,14022765,10092355,-715654,-1173082,None,None,-1173082,None,11413968,None,-1321613,None,325664,None,93658,-232006,None,None,None,None,380537,None,-1173082,-1173082,None,USD,90382236,17173000,None,1,26923247,63458989,None,107399,68942,-63409431,None,10023806,10734174,23090682,26683399,8634279,8634279,-753520,942355,51508901,None,36262183,None,7774618,None,15292349,10159900,None,None,None,None,None,None,None,38873336,None,38873336,888922,132540,None,239848,None,None,None,127553000,None,23090680,None,64000000,USD,639290,2652230,639290,14849999,-26486,-26486,-1794559,395045,-1173082,2558791,2000452,None,131764,None,27179520,-4376149,2972446,1145896,22653,None,None,None,4.83,4.21
3,2019-09-30,USD,20423847,18919976,11801478,8622369,2141636,961042,None,None,961042,None,7118498,None,1503871,None,637241,None,96300,-540941,None,None,None,None,-1888,None,961042,961042,None,USD,74422394,None,None,None,11085379,63337015,None,117445,68876,-62236350,None,None,25198114,20531891,11072632,None,None,-571120,282143,48942137,None,63337015,None,14008998,None,8786975,5119452,None,None,None,None,None,None,None,14849999,None,25480257,159331,None,None,12747,None,None,None,126075610,None,20531890,None,63000000,USD,-14882244,1823995,-14882244,-14849999,-26486,27032093,-1794559,-584138,961042,15700200,3520879,None,543353,None,27179520,1687241,-1843705,1010244,32245,None,None,None,3.475,4.83
4,2019-06-30,USD,16121929,17250583,9255898,6866031,-1142728,-1473295,None,None,-1473295,None,7994685,None,-1128654,None,219614,None,95377,-124237,None,None,None,None,-220404,None,-1473295,-1473295,None,USD,43636765,None,None,None,18878404,24758361,None,100010,57371,-63197392,None,None,10775432,4831691,9356352,None,None,-23306,298753,32562580,None,24758361,None,12158648,9471536,10589216,4263314,None,None,None,None,None,None,None,11074185,None,11074185,193294,9471540,None,9522052,None,None,None,87921690,None,4831690,None,57000000,USD,-23076,218801,-23076,-14849999,-26486,122667,-1794559,-743820,-1473295,2068878,2306369,None,110953,None,147430,2782153,-73523,1570661,23080,None,None,None,4.44,3.475
5,2019-03-31,USD,14485650,14987697,8764590,5721060,11878509,11656590,None,None,11656590,None,6223110,None,-502050,None,114572,None,12158640,-114572,None,None,None,None,12273213,None,11656594,11656590,None,USD,43967910,None,None,None,18697740,25270170,None,65395,57200,-61724100,None,None,11020766,2762813,9231500,139042,139042,233670,327080,32620060,None,25270171,None,12154450,9378650,13556510,5749943,None,None,None,None,None,None,None,223991,None,11347850,226634,9378650,87592,9466246,None,None,None,86703400,None,2762810,None,62000000,USD,0,-2070134,-23076,-14849999,1500000,1524760,-1794559,-754750,11656590,-4980370,-6793710,None,107340,None,24760,-2332499,-2488198,-10805587,23076,None,None,None,4.26,4.44
6,2018-12-31,USD,14680367,14057579,9235873,5444494,622788,-849772,-74000,0,-849772,0,4821706,None,622788,0,-65912,None,None,None,0,0,0,0,-1472560,0,-849772,-893411,None,USD,34627507,None,None,None,22824525,11802982,None,19933,57003,-73380691,None,None,None,7743181,14865144,None,None,-26997,121854,34505653,None,11802982,None,12980396,7959381,11482701,5825446,None,None,None,None,None,None,None,None,None,None,None,7959380,None,None,None,None,None,85153670,None,7743180,None,50000000,USD,None,347450,-16935,-14849999,5000000,5121309,None,1033508,-849772,2429069,-2641556,None,37542,None,301010,-4633946,-143405,1567067,16935,None,None,None,3.47,4.26
7,2018-09-30,USD,16565316,20654098,9694932,6870384,-4088782,-4131714,74000,0,-4131714,0,10959166,None,-4088782,0,-42932,None,None,None,0,0,0,0,-42932,0,-4131714,-4175353,None,USD,28458036,None,None,3337000,18227948,10230085,None,226799,51125,-72487280,None,None,None,5314112,14727948,None,None,6752,121504,28336532,None,10230085,None,12836991,3500000,6848755,5106023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51000000,USD,None,6988687,-15419,None,5000000,5121309,None,-706842,-4131714,-3181799,-3232329,None,14972,None,None,-617726,-6212457,1432751,15419,None,None,None,4.03,3.47
8,2018-06-30,USD,9298327,12605232,5316508,3981819,-3306905,-3348658,118000,0,-3348658,0,7288724,None,-3306905,0,-41753,None,None,None,0,0,0,0,-41753,0,-3348658,-3391822,None,USD,24146597,None,None,2674000,11239858,12906736,None,207530,51063,-68311927,None,None,None,8495911,7739858,3500000,3500000,-59197,121057,24025540,None,12906736,None,6624534,3500000,6231029,3271683,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51000000,USD,None,-2714909,-66346,None,5000000,37681,None,488226,-3348658,-1491802,-1496822,None,11695,None,None,437713,2449346,1179765,66346,None,None,None,4.6,4.03
9,2018-03-31,USD,12059976,14898221,7296295,4763681,-2838245,-2876504,121000,0,-2876504,0,7601926,None,-2838245,0,-38259,None,None,None,0,0,0,0,-38259,0,-2876504,-2959195,None,USD,28954798,None,None,3158000,13907367,15047428,None,187442,50957,-64920105,None,None,None,9987713,10407367,3500000,3500000,-92882,66406,28888392,None,15047428,None,9073880,3500000,6668742,4817219,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47000000,USD,None,3912160,-11717,None,5000000,142023,None,-2028725,-2876504,-4198911,-4275713,None,7953,None,142023,-1363237,-2698222,770862,11717,None,None,None,4.35,4.6
