,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,833483000,157420000,571423000,262060000,101457000,68800000,None,None,89628000,537000,157420000,-3183000,104640000,None,11829000,20291000,358000,-11471000,None,None,None,-20291000,-3541000,None,109919000,68800000,None,USD,2263969000,138305000,None,29211000,1132159000,1059425000,None,31648000,546000,497192000,52994000,289854000,30166000,508875000,385250000,98000,98000,-1684000,239240000,1467293000,None,702724000,0,503288000,693915000,425919000,353504000,None,None,546000,None,497192000,None,None,129277000,None,796676000,103106000,693915000,52994000,746909000,None,None,None,563371000,2263969000,508875000,None,None,USD,-8878000,30885000,-7434000,-999000,-1095000,-9798000,-154000,36877000,69337000,164346000,181578000,10279000,13758000,-153000,-105729000,91221000,None,8439000,46283000,-42341000,None,164346000,35.99,
1,2020-03-31,USD,703229000,141012000,496112000,207117000,66543000,42704000,None,None,55790000,438000,141012000,438000,66105000,None,10753000,12648000,1417000,-9336000,None,None,None,-12648000,-979000,None,68438000,42704000,None,USD,2167407000,141686000,None,36160000,1103205000,993013000,None,32403000,547000,431486000,52483000,289854000,35963000,344576000,357100000,103000,103000,-1645000,241878000,1358928000,None,632233000,None,460985000,693622000,517207000,324594000,None,None,547000,None,431486000,None,None,135061000,None,808479000,103163000,693622000,52483000,746105000,None,None,None,562625000,2167407000,344576000,None,55000000,USD,4015000,13290000,-13987000,362000,28000,-25160000,-160000,3646000,43142000,-113783000,-74636000,1194000,13651000,57000,24972000,38856000,None,8203000,9610000,-192972000,None,-113783000,27.5,35.99
2,2019-12-31,USD,482828000,129201000,351562000,131266000,4374000,-4417000,None,None,-6267000,-122000,129201000,2309000,2065000,None,10641000,-1728000,2004000,-8637000,None,None,None,1728000,305000,None,-7995000,-4417000,None,USD,2135157000,145153000,None,37569000,1086702000,973124000,None,34320000,554000,403693000,49513000,289854000,31998000,458803000,343860000,107000,107000,-1240000,241795000,1321080000,None,613400000,0,268229000,693329000,556479000,309433000,None,None,554000,None,403693000,None,None,137275000,None,814077000,109603000,693329000,49513000,742842000,None,None,None,570117000,2135157000,458803000,None,55000000,USD,424000,31393000,-10376000,75000,31000,-24031000,-946000,-20636000,-4539000,-52429000,-18022000,-7816000,13586000,None,23054000,-89327000,32173000,6508000,9877000,32173000,None,-52429000,31.07,27.5
3,2019-09-30,USD,540744000,529881000,392220000,148524000,26719000,2440000,None,None,2518000,170000,137661000,None,10863000,None,10684000,573000,2584000,-8100000,None,None,None,573000,-245000,None,1945000,2440000,None,USD,2025020000,146100000,None,12952000,1028843000,996007000,None,None,561000,421742000,57281000,286077000,28108000,497749000,278525000,113000,113000,-1676000,245405000,1307193000,12100000,563793000,None,300135000,693037000,466197000,149246000,None,None,None,None,None,None,None,40208000,None,717790000,None,693037000,None,750318000,None,None,None,575380000,None,497749000,None,58000000,USD,-11256000,10745000,-11256000,-312000,-31000,-46639000,-1430000,-11294000,2440000,54145000,112170000,None,13517000,None,-45178000,154000,95260000,890000,10689000,None,None,None,29.23,31.07
4,2019-06-30,USD,706575000,150413000,487291000,219284000,71229000,46152000,None,None,60553000,189000,150413000,2358000,68871000,None,10676000,14212000,2178000,-8498000,None,None,None,-14212000,180000,None,74765000,46152000,None,USD,2064918000,139406000,None,32453000,1030595000,1033645000,None,None,577000,444645000,58834000,281177000,33561000,456556000,278813000,116000,116000,-1426000,238948000,1349626000,None,613062000,119000,395581000,692948000,464917000,278697000,None,None,577000,None,444645000,None,None,55761000,None,715292000,None,692948000,58834000,751782000,None,None,None,589849000,2064918000,456675000,None,58000000,USD,9000,-21100000,-37451000,30021000,9696000,-23855000,-102000,3037000,46341000,110817000,172123000,2533000,13540000,64000,14057000,55780000,66158000,8871000,6586000,66158000,None,110817000,26.95,29.23
5,2019-03-31,USD,673700000,143898000,467650000,206051000,64908000,42391000,None,None,54268000,331000,143898000,2755000,62153000,None,10640000,11546000,2255000,-8385000,None,None,None,-11546000,500000,None,65814000,42391000,None,USD,2046140000,142800000,None,33161000,1046838000,998749000,None,None,581000,407117000,55064000,281177000,52340000,345839000,299128000,5119000,5119000,-1280000,217538000,1352287000,None,574772000,None,456129000,692646000,517158000,294009000,None,None,581000,None,407117000,None,None,52340000,None,693855000,None,692646000,55064000,747710000,None,None,None,592331000,2046140000,345839000,None,58000000,USD,250000,23383000,-18169000,11087000,36432000,-39636000,-12000,23839000,42722000,-143924000,-86119000,8933000,12335000,None,3192000,6506000,-185511000,5513000,6464000,-185511000,None,-143924000,25.56,26.95
6,2018-12-31,USD,461990000,120001000,331808000,130182000,12526000,1803000,0,None,1912000,-164000,120001000,2345000,10181000,None,10614000,None,None,None,None,None,None,-273000,-8269000,None,2185000,1803000,None,USD,1950846000,148782000,None,38398000,994362000,956263000,None,None,578000,364726000,52482000,281177000,37303000,489658000,249548000,117000,117000,-1492000,211560000,1272024000,None,526304000,None,250223000,692332000,493745000,249431000,None,None,578000,None,364726000,None,None,37303000,None,678822000,None,692332000,52482000,744814000,None,None,None,592451000,1950846000,489658000,None,58000000,USD,1499000,38902000,-9387000,50000,34000,-635000,-54000,-5658000,1639000,-3222000,6800000,-11705000,12810000,None,547000,-66136000,25578000,5712000,7838000,25578000,None,-3222000,34.45,25.56
7,2018-09-30,USD,502314000,128808000,355296000,147018000,15489000,10568000,0,0,4870000,-201000,128808000,-2721000,18210000,0,10619000,None,None,None,0,0,0,5497000,-13340000,0,-627000,10568000,None,USD,1907209000,152265000,None,20562000,954375000,952449000,0,None,576000,362923000,49380000,281177000,20322000,493005000,212964000,122000,122000,-1218000,217647000,1217298000,18500000,519007000,0,275908000,692031000,427823000,212842000,952834000,590168000,576000,0,362923000,0,None,38822000,None,689911000,None,692031000,49380000,741411000,None,None,None,590168000,1907209000,493005000,None,53000000,USD,952000,-20973000,-13320000,4467000,22605000,194691000,-49000,-10436000,10367000,277721000,96350000,10760000,12785000,0,182689000,-231000,72867000,10775000,10842000,72867000,-3000,277718000,36.04,34.45
8,2018-06-30,USD,657943000,141245000,455879000,202064000,63529000,41545000,0,0,52932000,-8000,141245000,2710000,60819000,0,10597000,None,None,None,0,0,0,-11395000,-7887000,0,64327000,41545000,None,USD,1708405000,138610000,None,26735000,963684000,744135000,0,None,521000,352355000,40798000,268243000,67846000,218366000,231145000,119000,119000,-1153000,211817000,1021889000,None,337282000,0,348781000,691741000,428007000,231026000,744721000,392412000,521000,0,352355000,0,None,67846000,None,686516000,None,691741000,40798000,732539000,None,None,None,392412000,1708405000,218366000,None,53000000,USD,1493000,-39145000,-34840000,23405000,-294480000,-4590000,-86000,-1337000,41537000,72290000,111720000,-4017000,13044000,3194000,21415000,43109000,53104000,4088000,9437000,53104000,-167000,72123000,43.48,36.04
9,2018-03-31,USD,613094000,128671000,418637000,194457000,67984000,45234000,0,0,57409000,532000,128671000,2198000,65786000,0,10575000,None,None,None,0,0,0,-11643000,-8377000,0,69052000,45234000,None,USD,1703963000,141500000,None,26677000,998861000,704508000,0,None,519000,310810000,40368000,268243000,50064000,146165000,267409000,20000,20000,-673000,210563000,1033563000,None,294765000,0,395151000,691084000,465522000,267389000,705102000,393852000,519000,0,310810000,0,None,50064000,None,670370000,None,691084000,40368000,731452000,None,None,None,393852000,1703963000,146165000,None,53000000,USD,-1493000,32150000,-75261000,63598000,-560000,-6295000,-30000,6476000,45766000,-151301000,-69745000,-8021000,11578000,0,-5705000,287000,-157534000,6029000,9380000,-157534000,100000,-151201000,43.0,43.48
