,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,6245000,None,None,None,None,1079000,None,None,1370000,None,3129000,None,None,472000,1548000,291000,7255000,5707000,None,None,None,291000,None,None,1079000,1079000,None,USD,906367000,None,None,None,829123000,77244000,None,None,78000,47343000,None,None,650713000,194424000,None,None,None,-2336000,8861000,None,19387000,58209000,19387000,9881000,54323000,None,5329000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-115598000,0,-115598000,None,134241000,261689000,127448000,721000,1079000,146115000,24000,None,-126000,None,0,None,-2009000,359000,33000,None,None,None,8.33,
1,2020-03-31,USD,5711000,None,None,None,None,-1298000,None,None,-1841000,None,5103000,None,None,556000,1471000,-543000,6698000,5227000,None,None,None,-543000,None,None,-1298000,-1298000,None,USD,642797000,19083000,78194000,None,566857000,75940000,None,None,77000,46264000,None,None,535978000,48309000,None,None,None,-2411000,9478000,None,18455000,56857000,18455000,7888000,54388000,None,4607000,None,None,None,None,None,-1268000,None,None,None,None,None,None,None,None,None,None,None,33278000,None,None,None,8000000,USD,-33312000,0,-33312000,-33208000,25372000,36362000,10990000,-185000,-1298000,192000,-2858000,None,28000,None,0,None,-1784000,381000,104000,None,None,None,7.432,8.33
2,2019-12-31,USD,3434000,None,None,None,None,316000,None,None,381000,None,2107000,None,None,357000,651000,65000,3753000,3102000,None,None,None,65000,None,None,316000,316000,None,USD,319294000,None,55710000,None,242127000,77167000,None,None,77000,47562000,3188000,None,255418000,48117000,None,None,None,-2562000,8513000,None,3818000,77167000,3818000,3010000,None,None,3946000,None,None,None,None,None,-1268000,None,None,None,None,None,None,None,None,None,None,None,33358000,None,None,None,8000000,USD,84000,0,84000,302000,25372000,9125000,9125000,-14000,316000,10116000,907000,None,196000,None,0,None,-37000,446000,112000,None,None,None,11.45,7.432
3,2019-09-30,USD,3846000,4111000,None,3838000,None,-196000,None,None,-283000,None,2778000,None,-273000,379000,579000,-87000,3882000,3303000,None,None,None,-87000,-10000,None,-196000,-196000,None,USD,309727000,None,46407000,5168000,233180000,76547000,None,None,77000,47082000,None,None,255535000,38001000,233180000,None,None,-2595000,8590000,41277000,4047000,76547000,4047000,3136000,None,140000,4124000,None,None,None,None,None,-1268000,None,None,None,None,None,None,None,None,None,None,None,33251000,None,None,None,8000000,USD,13026000,0,13026000,302000,25372000,5973000,5973000,-1126000,-196000,18284000,-715000,None,254000,None,0,None,429000,-76000,45000,None,None,None,10.19,11.45
4,2019-06-30,USD,3655000,3493000,0,3593000,0,118000,0,0,131000,0,2363000,0,100000,410000,546000,13000,3800000,3254000,0,0,0,13000,31000,0,118000,118000,0,USD,305088000,0,44522000,5554000,228333000,76755000,0,0,77000,47278000,0,0,251988000,19717000,228333000,0,0,-2480000,8778000,23231000,21813000,76755000,20813000,3514000,0,0,5250000,0,0,0,0,0,-1268000,0,0,0,0,0,0,0,0,0,0,0,33148000,0,0,0,8000000,USD,-7499000,0,-7499000,302000,25372000,-3875000,-3875000,506000,118000,-10952000,422000,0,207000,0,0,0,-377000,-32000,152000,0,0,0,9.93,10.19
5,2019-03-31,USD,3418000,3302000,0,3384000,0,117000,0,0,98000,0,2207000,0,82000,359000,535000,-19000,3563000,3028000,0,0,0,-19000,16000,0,117000,117000,0,USD,308021000,0,55760000,5064000,231702000,76319000,0,0,75000,47160000,0,0,243669000,30669000,231702000,0,0,-68000,8782000,34149000,22143000,76319000,21143000,3197000,0,283000,4744000,0,0,0,0,0,-1268000,0,0,0,0,0,0,0,0,0,0,0,33079000,0,0,0,7000000,USD,-6989000,0,-6989000,-6921000,-7570000,-393000,207000,198000,117000,-6360000,1022000,0,228000,0,-600000,0,534000,-55000,68000,0,0,0,10.25,9.93
6,2018-12-31,USD,3402000,3157000,0,3402000,0,148000,None,None,191000,None,2807000,None,245000,350000,None,43000,3592000,3086000,None,None,None,43000,-54000,None,148000,148000,None,USD,307695000,None,63188000,5696000,231297000,76398000,None,None,75000,47043000,None,None,235675000,35195000,226167000,2440000,2440000,-3130000,8896000,41399000,21725000,76398000,None,None,5130000,508000,219181000,None,None,None,None,None,-668000,None,None,None,None,None,None,None,None,None,None,None,33078000,None,None,None,7000000,USD,534000,0,-4831000,-4831000,None,2374000,2794000,-1098000,148000,-3767000,-1310000,None,157000,None,-420000,None,None,16000,0,None,None,None,11.65,10.25
7,2018-09-30,USD,3700000,3086000,0,3700000,0,459000,0,0,594000,0,2661000,0,614000,425000,0,None,None,None,116000,0,0,135000,-20000,0,459000,459000,0,USD,305984000,0,None,5350000,229601000,76383000,0,0,75000,46895000,3650000,0,230680000,38907000,218381000,0,0,-3414000,9040000,44324000,21940000,76383000,0,0,7570000,67000,216387000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33075000,0,0,0,8000000,USD,568000,0,1082000,0,-7570000,12693000,12941000,27000,459000,14473000,698000,0,237000,0,0,0,0,404000,55000,0,0,0,11.7,11.65
8,2018-06-30,USD,3662000,3011000,0,3662000,0,618000,0,0,586000,0,2673000,0,651000,338000,0,None,None,None,0,0,0,-32000,-65000,0,618000,618000,0,USD,4.31,0,None,0.08,3.19,1.13,0,0,0,0.68,0,0,3.40,0.36,3.07,0,0,-0.03,0.12,0.44,0.33,1.13,0,0,0.10,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000,USD,539000,0,3462000,0,-7570000,1539000,1539000,314000,618000,6988000,1987000,0,234000,0,0,0,0,607000,30000,0,0,0,11.11,11.7
9,2018-03-31,USD,3470000,2359163.03,0.04,3470000,0,333000,0,0,388000,0,2780000,0,392000,298000,0,None,None,None,0,0,0,55000,-4000,0,333000,333000,0,USD,31.51,0,None,0.60,23.31,8.21,0,0,0.01,4.97,0.57,0,25.45,1.92,22.49,0,0.82,-0.36,1.01,2.51,2.54,8.21,0,0,0.82,0,21.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000000,USD,457000,0,-10974000,0,-7570000,4777000,4777000,-250000,333000,-5763000,434000,0,223000,0,0,0.01,0,-201000,714000,0,0,0,11.36,11.11
