,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,58566000,None,None,None,None,56158000,None,None,56158000,None,1520000,None,None,None,9443000,None,36228000,26785000,None,None,None,100000,None,None,56158000,55604000,None,USD,1958634000,None,None,None,1075330000,883304000,3749000,None,563000,-258876000,None,None,3749000,29916000,None,None,None,-1633000,None,None,1907555000,833304000,None,None,None,None,25972000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,-227249000,None,-13000,-2020000,56158000,-35609000,162486000,None,None,-20833000,0,None,None,107641000,0,None,None,None,8.57,
1,2020-03-31,USD,-119178000,1922000,25908000,24637000,None,-121100000,None,None,-121100000,None,1280000,None,23972000,None,12179000,None,44701000,32522000,None,None,None,52000,None,None,-121100000,-121100000,None,USD,2126826000,None,None,None,1328292000,798534000,4026000,None,563000,-293646000,None,None,4026000,65525000,None,None,None,-1633000,None,None,2024277000,798534000,None,None,1262960000,None,51269000,None,None,None,None,None,None,None,None,None,None,None,1262960000,None,None,None,None,None,1093250000,None,65525000,None,57000000,USD,None,0,None,None,87057000,38985000,-299000,-1577000,-121100000,28774000,-10211000,None,None,-31770000,-16003000,None,None,112610000,0,None,None,None,5.22,8.57
2,2019-12-31,USD,29813000,2977000,27272000,26193000,38933000,26836000,None,None,26836000,None,1447000,None,25377000,None,12026000,None,48186000,36160000,None,None,None,235000,-11862000,None,26836000,26836000,None,USD,2187533000,None,None,None,1231062000,956471000,4032000,31760000,578000,-151712000,None,None,4032000,36751000,53230000,None,None,-1633000,None,59537000,2123964000,956471000,None,22469000,1177832000,None,38524000,None,None,None,None,None,None,None,None,None,None,None,1177832000,None,None,None,None,None,1109238000,None,36751000,None,60000000,USD,None,0,None,None,-27312000,41457000,-216000,-1538000,26836000,-33530000,33029000,None,None,-21835000,-17196000,None,2205000,4593000,0,None,None,None,13.38,5.22
3,2019-09-30,USD,-7229000,1760000,28343000,27436000,40887000,-8989000,None,None,-8989000,None,1166000,None,26755000,None,13538000,None,50023000,36485000,None,None,None,49000,-49827000,None,-8989000,-8989000,None,USD,2225990000,None,None,None,1247389000,978601000,4687000,21825000,590000,-147201000,142000,None,4687000,70281000,44508000,None,None,-1633000,None,94615000,2126688000,978601000,None,24237000,1202739000,None,29516000,None,None,None,None,None,None,None,None,None,None,None,1202739000,None,None,None,None,None,1126845000,None,70281000,None,60000000,USD,None,0,None,None,107520000,108016000,-62000,-659000,-8989000,7957000,-55242000,None,None,-27092000,-17167000,None,-3560000,-42340000,0,None,None,None,14.4,13.38
4,2019-06-30,USD,11775000,2018000,28149000,28718000,41734000,9757000,None,None,9757000,None,1287000,None,27971000,None,13032000,None,50851000,37819000,None,None,None,60000,-31917000,None,9757000,9757000,None,USD,2172756000,None,None,None,1146164000,1026592000,4869000,27082000,602000,-116377000,228000,None,4869000,62324000,50373000,None,None,-1633000,None,92273000,2075614000,1026592000,None,29806000,1095563000,None,34645000,None,None,None,None,None,None,None,None,None,None,None,1095563000,None,None,None,None,None,1144000000,None,62324000,None,61000000,USD,None,0,None,None,-11562000,44817000,-1066000,-963000,9757000,22253000,73832000,None,None,-22682000,-16269000,None,-30000,64741000,0,None,None,None,15.24,14.4
5,2019-03-31,USD,55187000,2103000,26835000,28352000,40181000,33726000,None,None,33726000,None,730000,None,27562000,None,11991000,None,6164000,37168000,None,None,None,60000,-6395000,None,33726000,33726000,None,USD,2214279000,None,None,None,1154092000,1060187000,4069000,22681000,613000,-99051000,169000,None,4069000,40071000,46859000,None,None,-1633000,None,55001000,2155209000,1060187000,None,14922000,1107064000,None,30675000,None,None,None,None,None,None,None,None,None,None,None,1107064000,None,None,None,None,None,1160258000,None,40071000,None,62000000,USD,None,0,None,None,146324000,96396000,-355000,988000,33726000,-47115000,-143511000,None,None,-35488000,-14085000,None,-1661000,-176862000,0,None,None,None,14.48,15.24
6,2018-12-31,USD,56311000,15229000,26159000,56311000,41082000,-1160000,0,0,-1000000,0,15229000,None,41082000,0,-11142000,None,None,None,0,0,0,160000,-42082000,0,-1160000,-1160000,None,USD,2084743000,None,None,None,1021525000,1063218000,3950000,35497000,622000,-110105000,236000,None,3950000,87186000,60611000,None,None,-1633000,None,108636000,1972157000,1063218000,None,21321000,960678000,None,1870000,None,None,None,None,None,None,None,None,None,None,None,960678000,None,None,None,None,None,1174334000,None,87186000,None,63000000,USD,None,0,None,None,-39664000,-68411000,-730000,4675000,-1160000,-25725000,42686000,None,None,-22996470,-4882000,None,-1475000,40351000,0,None,None,None,12.4,14.48
7,2018-09-30,USD,51280000,14610000,14640000,51280000,36670000,6080000,0,0,6110000,0,14610000,None,36670000,0,-10582000,None,None,None,0,0,0,30000,-30560000,0,6080000,6080000,None,USD,2147841000,None,None,None,1043099000,1104742000,4126000,23150000,626000,-73683000,131000,None,4126000,112911000,42761000,None,None,-1633000,None,124717000,2018998000,1104742000,26489000,11786000,1000207000,None,13108000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,63000000,USD,None,0,None,None,145394000,119642000,-2601000,-1990000,6080000,84983000,-34659000,None,None,-22865224,None,None,814000,-40609000,0,None,None,None,16.7,12.4
8,2018-06-30,USD,52452000,14922000,14952000,52452000,37530000,13106000,0,0,13136000,0,14922000,None,37530000,0,-8961000,None,None,None,0,-525000,0,30000,-24394000,0,13106000,13106000,None,USD,2031168000,None,None,None,909356000,1121812000,3246000,23151000,626000,-56613000,134000,None,3246000,27928000,52963000,856259000,856259000,-1633000,None,81130000,1946792000,1121812000,151561000,52677000,856259000,None,8780000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,63000000,USD,None,0,None,None,57240000,34033000,-57000,1115000,13106000,-17682000,-51715000,None,None,-22432887,None,None,385000,-66624000,0,None,None,None,17.02,16.7
9,2018-03-31,USD,47483000,14003000,14013000,47483000,33480000,21089000,0,0,21099000,0,14003000,None,33480000,0,-8017000,None,None,None,0,525000,0,10000,-12381000,0,21089000,21089000,None,USD,1990655000,None,None,None,858798000,1131857000,3441000,23150000,626000,-46568000,104000,None,3441000,45610000,59726000,798968000,798968000,-1633000,None,73755000,1913459000,1131857000,136151000,27910000,798968000,None,16919000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,63000000,USD,None,0,None,None,-35028000,-58912000,-32000,-581000,21089000,13571000,72483000,None,-2138000,-18010694,-15000,None,-1896000,53619000,0,None,None,None,17.9,17.02
