,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,31054312,31466666,23074093,7980219,556905,-231509,None,None,-331022,-1969888,8392573,None,-412354,None,127387,57570,163588,36201,None,None,None,57570,45131,None,-388592,-231509,None,USD,100575570,4343563,None,None,72727864,29817594,None,None,37962,-36632346,83125,None,2263832,18477212,52176073,None,31137365,1533993,26446937,63557480,3963758,25474031,157644,8984595,3551507,11141411,16107594,None,None,None,None,None,None,None,816285,None,37018090,17383372,None,14145,20551791,None,None,None,None,None,None,None,None,USD,-1597437,-5505493,-1597437,None,162511,9470664,-56447,-1183808,-231509,2589722,-5478357,None,760540,None,None,1140697,444672,-133873,189282,None,None,None,1.38,
1,2020-03-31,USD,30329844,32883162,24841588,5488256,-1410777,-2985237,None,None,-3188477,-1812805,8041574,None,-2553318,None,None,-16,402587,-295931,None,None,None,-16,-339228,None,-3188461,-2985237,None,USD,99516233,3393960,None,1528540,80738104,20590934,None,2179448,32937,-36400837,134597,None,2250936,30982606,57437974,30303843,30303843,2749533,8376087,60987212,2544451,17196974,157159,16071903,4115958,12247004,24954683,None,None,32937,None,-36400837,None,None,24214523,None,38529021,20030665,4115958,19184172,23300130,None,None,None,54209301,99516233,31139765,None,32936786,USD,-3122437,6079349,-3122437,-2552730,6194291,6315674,121383,349865,-2985237,7088236,4366745,None,509892,None,9273080,-1504497,1013434,844450,555340,None,None,None,1.81,1.38
2,2019-12-31,USD,33363282,6730460,26079910,7283372,458105,531782,None,None,458105,-75861,6730460,-94807,552912,None,None,2184,272773,272773,None,None,None,2184,-367580,None,455921,531782,None,USD,85798498,3715629,None,1505995,63371032,24062006,71757,1986288,32937,-33415600,191757,None,2339503,23894370,45735467,26651337,24061151,3235368,8845210,55292813,9846,20346377,159946,18769825,4773114,10962677,17097842,None,None,32937,None,-33415600,None,None,17935000,None,22408257,13080450,12670694,120000,12862451,None,None,None,54209301,85798498,24054316,None,32936786,USD,-268911,-8335119,-268911,14370,6265855,6317351,51496,-2562030,531782,-5390799,-12248199,None,521018,None,9273080,1509262,-3136497,-806977,268824,None,None,None,1.82,1.81
3,2019-09-30,USD,28353779,29970198,21660415,6693364,-1063687,-1224963,None,None,-1341265,-1547939,8309783,None,-1616419,None,None,5702,340514,340514,None,None,None,5702,-65360,None,-1346967,-1224963,None,USD,87149801,4730176,None,11890050,65526384,23171356,None,4501302,32937,-33947382,131876,None,2201973,17395116,53180719,21383420,21616903,1567391,23749631,56456261,11760,18441180,156128,7243629,428047,12177952,23606067,None,None,None,None,None,None,None,834706,None,30693540,14053447,428050,77048,12345665,None,None,None,54209300,None,17551240,None,33000000,USD,-273722,10906183,-273722,14460,-1639642,-1637644,1998,-335240,-1224963,6135016,9138273,None,552732,None,9273080,-1876482,1514969,-119850,273521,None,None,None,1.2,1.82
4,2019-06-30,USD,25280784,28039509,19219346,6061438,-2259550,-2134951,None,None,-2369782,-1435643,8820163,-14612,-2758725,None,None,8388,47873,47873,None,None,None,8388,341070,None,-2378170,-2134951,None,USD,80217704,4954282,None,14808990,56720690,24932657,80081,5935510,32937,-32722416,141774,None,2905462,8341167,48660016,24574960,24574955,2103726,22184873,50156769,16318,19978375,162273,8590075,None,10806698,13674741,None,None,32937,None,-32722416,None,None,855243,None,30060935,12657532,7918900,80081,8060674,None,None,None,54209300,80217704,8503440,None,32000000,USD,-1171543,-8968168,-1171543,14660,-794752,8018325,-460000,63213,-2134951,-1595049,-8164764,-283645,499175,None,9273080,2851652,-959680,146017,1186201,-507300,-277067,-1595049,1.1,1.2
5,2019-03-31,USD,26452851,3102221,19894498,6558353,3545031,3188528,None,None,3218579,-1194039,3102221,88899,3456132,None,None,30050,-131810,20691,None,None,None,30051,-258244,None,3188528,3188528,None,USD,72730636,3597323,None,2063375,55759469,18165206,465248,1567121,28937,-30587468,547183,None,3353470,24745202,55212286,29148894,25951673,3818073,9552617,56202981,24243,14567883,180928,15258274,None,13955202,24496271,None,None,28937,None,-30587468,None,None,3353472,None,7800297,None,None,81935,547183,None,None,None,44905664,72730636,24926130,None,28936778,USD,36,1633972,-478896,62,99275,99090,-7714,-2838731,3188528,4339858,4719664,-1194697,739145,None,7529,1304459,3944888,-4396795,478994,3445052,-202186,4137672,2.62,1.1
6,2018-12-31,USD,30916549,9261439,23780763,7135786,-2159009,-2206967,0,None,-2159009,-437342,9261439,-33356,-2125653,None,0,47960,None,None,None,None,None,47958,-33356,None,-2206967,-2206967,None,USD,67025257,3570986,None,1468188,53320838,14141761,79957,2218341,28937,-33572688,392708,None,3025877,20607529,52928130,29122430,None,3937923,9154934,50876895,34208,10570775,176560,18141559,None,10483059,21587359,None,None,28937,None,-33572688,None,None,3388234,None,7720492,None,None,312751,392708,None,None,None,43747589,67025257,20784089,None,28936778,USD,-14904,-3929096,-6458355,-29879,12034789,12116833,82044,-3308555,-2206967,-1742946,-7401424,-2088778,379338,None,7540,3116665,-3227706,511653,6413572,-3184239,-891433,-2634379,2.0,2.62
7,2018-09-30,USD,27409046,7439007,21611945,5797101,-1603130,-1602715,0,None,-1603130,-634932,7439007,38776,-1641906,None,0,None,None,None,None,None,None,-415,38776,None,-1602715,-1602715,None,USD,64703020,3567044,None,1484108,49437020,15900932,227635,5162634,28937,-31894456,227635,0,3154568,23708969,49209385,20333010,None,4068542,3273852,54270964,42268,12333888,162224,15116225,0,13799438,23713741,0,0,28937,0,-31894456,0,None,3548892,None,7893155,None,None,None,227635,None,None,None,43697909,64703020,23871193,None,28936778,USD,106940,3494322,-131033,0,-886971,-886933,38,1347281,-1602715,-1357225,-339259,-102053,264835,0,0,-965677,-1911411,735450,237973,-2163421,-625835,-1983060,1.61,2.0
8,2018-06-30,USD,22772566,6181506,17155763,5616803,-639446,-696615,0,None,-639446,-50763,6181506,-74743,-564703,None,0,None,None,None,None,None,None,57169,-74743,None,-696615,-696615,None,USD,64576776,3919088,None,1509159,46357955,18887327,145770,4755695,28937,-30307042,145770,0,3380514,22942474,46212185,18131426,14314353,5517203,3500176,53198602,153573,14968239,172498,14871226,0,13703245,23325064,0,0,28937,0,-30307042,0,None,3805337,None,8669793,None,None,None,145770,None,None,None,43648229,64576776,23114972,None,25214678,USD,-109142,-2272816,-257897,0,-3258038,-3250409,7629,312769,-696615,-6090503,-2582197,451292,293095,0,0,-1233817,1077419,315393,148755,561271,-136720,-6227223,1.44,1.61
9,2018-03-31,USD,24139053,17538957,19320755,4818298,-12846526,-12846091,0,0,-12846526,-668506,15955771,-125867,-12720659,0,-533,None,None,None,0,1583186,0,-435,-1709053,0,-12846091,-12846091,None,USD,73812692,4056414,None,2116237,54950287,18862405,138796,4891209,28937,-29661190,138796,0,3316353,31452191,54811491,23452723,20030542,4895569,3639926,62320142,40890,14805991,175140,15147006,0,13429568,26467559,0,0,28937,0,-29661190,0,None,3755320,None,8648910,None,None,None,138796,None,None,None,43599089,73812692,31627331,None,28936778,USD,70162,4637438,-1220512,-14992,-600030,-600030,266227,2004979,-12846091,5548057,7368599,2103590,320640,0,0,2646032,2758447,8168685,1275682,2338305,1188523,6736580,1.349,1.44
