,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,609000.0,2316000.0,475000.0,134000.0,-1433000.0,-1601000.0,810000.0,None,-1601000.0,None,1031000.0,None,-1707000.0,None,4000.0,None,17000,13000,None,None,None,None,93000.0,None,-1601000.0,-1601000.0,None,USD,12878000.0,None,None,None,5609000.0,7269000.0,None,None,2712000.0,-68861000.0,51000.0,None,163000.0,5614000.0,2611000.0,None,18000,-969000,5372000.0,7343000.0,None,7269000.0,None,398000.0,None,1107000.0,629000.0,None,None,None,None,None,None,None,163000,None,5535000,3382000,None,None,2998000,None,None,None,None,None,None,None,7000000,USD,-85000,-540000.0,-85000.0,None,-6000,4509000.0,None,-304000.0,-1601000.0,1839000.0,-2585000.0,None,164000.0,None,None,-219000.0,-319000.0,234000.0,85000.0,None,None,None,9.2,
1,2019-12-31,USD,439000.0,3273000.0,395000.0,44000.0,-6023000.0,-4395000.0,1689000.0,None,-4395000.0,None,1156000.0,None,-2834000.0,None,-1628000.0,None,None,1618000,None,None,None,None,-3179000.0,None,-4395000.0,-4395000.0,None,USD,10752000.0,None,None,None,6664000.0,4088000.0,None,None,2368000.0,-67260000.0,68000.0,None,168000.0,3791000.0,3457000.0,24000,24000,-969000,5544000.0,5040000.0,None,4088000.0,None,79000.0,None,888000.0,833000.0,None,None,None,None,None,None,None,168000,None,5712000,3594000,None,None,3207000,None,None,None,None,None,None,None,5000000,USD,-452000,-119000.0,-452000.0,-145000,354000,337000.0,-17000,603000.0,-4395000.0,-2091000.0,-1976000.0,None,-269000.0,None,None,-96000.0,148000.0,2152000.0,307000.0,None,None,None,5.7,9.2
2,2019-09-30,USD,679000.0,2332000.0,626000.0,53000.0,-1490000.0,-3211000.0,1053000.0,None,-3211000.0,None,653000.0,None,-1653000.0,None,1454000.0,None,0,-1454000,None,None,None,None,-104000.0,None,-3211000.0,-3211000.0,None,USD,12866000.0,304000,None,11000,14238000.0,-1372000.0,None,1794000,1583000.0,-56714000.0,697000.0,None,167000.0,5741000.0,5115000.0,18000,18000,-1008000,5301000.0,7094000.0,None,-1676000.0,None,227000.0,5449000,792000.0,766000.0,None,None,None,None,None,None,None,167000,None,5772000,3587000,None,147000,9123000,None,None,None,None,None,None,None,5000000,USD,-94000,-372000.0,-94000.0,-145000,-166000,5274000.0,-17000,52000.0,-3211000.0,3995000.0,-1185000.0,None,267000.0,None,None,166000.0,384000.0,1529000.0,94000.0,None,None,None,4.03,5.7
3,2019-06-30,USD,606000.0,2194000.0,453000.0,153000.0,-1199000.0,-1520000.0,797000.0,None,-1520000.0,None,944000.0,None,-1588000.0,None,64000.0,None,325000,261000,None,None,None,None,-193000.0,None,-1520000.0,-1520000.0,None,USD,9547000.0,316000,None,11000,7719000.0,1828000.0,None,1235000,1583000.0,-53509000.0,1400000.0,None,163000.0,1740000.0,3297000.0,18000,18000,-1008000,5454000.0,3614000.0,None,1512000.0,None,611000.0,18000,958000.0,761000.0,None,None,None,None,None,None,None,163000,None,5933000,3608000,None,196000,4422000,None,None,None,None,None,None,None,5000000,USD,-204000,-613000.0,-204000.0,145000,-204000,-91000.0,106000,117000.0,-1520000.0,-1967000.0,-1672000.0,None,257000.0,None,None,-88000.0,165000.0,173000.0,349000.0,None,None,None,4.13,4.03
4,2019-03-31,USD,594000.0,2150000.0,405000.0,189000.0,-1256000.0,-2038000.0,875000.0,None,-2038000.0,None,870000.0,None,-1556000.0,None,498000.0,None,16000,-482000,None,None,None,None,-466000.0,None,-2038000.0,-2038000.0,None,USD,11645000.0,328000,None,156000,8543000.0,3102000.0,None,539000,1580000.0,-52228000.0,2082000.0,None,160000.0,3709000.0,3518000.0,23000,23000,-1008000,5316000.0,5841000.0,None,2774000.0,None,613000.0,17000,870000.0,1055000.0,None,None,None,None,None,None,None,160000,None,5804000,3465000,None,327000,5025000,None,None,None,None,None,None,None,5000000,USD,-711000,324000.0,-711000.0,145000,-4000,-110000.0,-106000,-108000.0,-2038000.0,-1691000.0,-870000.0,None,284000.0,None,None,-56000.0,-260000.0,821000.0,711000.0,None,None,None,5.5001,4.13
5,2018-12-31,USD,15789000.0,13282000.0,828000.0,14961000.0,2507000.0,3778000.0,9225000.0,0,3778000.0,0,3229000.0,None,2507000.0,0,-418000.0,None,None,None,0,0,0,0,1271000.0,0,3778000.0,3778000.0,None,USD,34082000.0,1273000,None,584000,16156000.0,17926000.0,0,3823000,5716000.0,-184660000.0,7655000.0,0,648000.0,20065000.0,8417000.0,84000,84000,0,5274000.0,26887000.0,0,16653000.0,0,2793000.0,84000,3052000.0,2331000.0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000,USD,0,7980000.0,-980000.0,-620000,-21000,-84000.0,-63000,956000.0,3778000.0,10623000.0,11403000.0,None,264000.0,0,0,-104000.0,-962000.0,-690000.0,360000.0,None,None,None,4.2,5.5001
6,2018-09-30,USD,813000.0,6399000.0,274000.0,539000.0,-5586000.0,-4847000.0,3413000.0,0,-4847000.0,0,2712000.0,None,-5586000.0,0,-418000.0,None,None,None,0,0,0,0,739000.0,0,-4847000.0,-4847000.0,None,USD,22463000.0,1318000,None,0,9016000.0,13447000.0,0,0,5710000.0,-189109000.0,5000000.0,0,589000.0,9442000.0,3911000.0,84000,84000,12460000,5314000.0,15242000.0,0,12129000.0,0,2852000.0,105000,2948000.0,1723000.0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5000000,USD,0,-564000.0,-294000.0,-620000,-21000,4477000.0,-63000,933000.0,-4847000.0,79000.0,-4362000.0,None,427000.0,0,0,-603000.0,573000.0,-281000.0,294000.0,None,None,None,5.2,4.2
7,2018-06-30,USD,653000.0,5667000.0,238000.0,415000.0,-5014000.0,-5578000.0,2335000.0,0,-5578000.0,0,3094000.0,None,-5014000.0,0,-418000.0,None,None,None,0,0,0,0,-564000.0,0,-5578000.0,-5578000.0,None,USD,22848000.0,1363000,None,0,9911000.0,12937000.0,0,0,5128000.0,-185059000.0,5801000.0,0,687000.0,9363000.0,3900000.0,6.48,6.48,0,5402000.0,15396000.0,0,11574000.0,0,3688000.0,210000,2345000.0,2350000.0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4000000,USD,0,-891000.0,-1574000.0,-620000,210000,3762000.0,-63000,-506000.0,-5578000.0,-4485000.0,-6713000.0,None,302000.0,0,0,-1307000.0,-615000.0,1882000.0,1574000.0,None,None,None,5.97,5.2
8,2018-03-31,USD,220880.12,2267778.16,24384.71,196495.41,-2046898.04,-2052852.44,1266587.27,0,-2052852.44,0,976806.17,None,-2046898.04,0,-115685.61,None,None,None,0,0,0,0,-5954.41,0,-2052852.44,-2052852.44,None,USD,7007202.0,399228.76,None,0,2045763.87,4961438.13,0,0,1454009.3,-51178972.44,400646.48,0,189123.28,3926505.61,1645117.39,0,0,3603266.42,1383123.51,5035726.44,0,4562209.37,0,814903.03,0,294317.8,1161676.31,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,0,108880.57,-214075.08,-175796.76,59544.06,499035.95,-17863.22,-70035.16,-2052852.44,-1125382.78,-1415730.97,None,84495.86,0,76.16,-95837.59,-163037.31,772655.1,214075.08,None,None,None,7.5,5.97
9,2017-12-31,USD,442926.72,7002968.21,14985.16,427941.56,-6132964.47,-6156594.91,4179706.64,0,-6156594.91,0,2381199.39,None,-6132964.47,0,-75502.15,None,None,None,0,0,0,0,-49566.29,0,-6156594.91,-6156594.91,None,USD,8081899.66,419008.10,None,0,5464395.84,2617503.82,0,54753.47,1440304.31,-50252730.47,404887.47,0,171464.8,5134434.17,1417250.22,3642258.15,3642258.15,0,1032246.91,6459179.85,7780.76,2198495.72,0,628223.97,3642258.15,201723.29,842050.66,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3000000,USD,0,-645226.36,-128814.73,-178669.20,48413.59,9335465.84,-72908.56,-143511.71,-6017117.66,4040229.39,-5153741.97,None,251577.76,0,9408374.40,-61381.52,-39480.13,1450390.48,128814.73,None,None,None,nan,7.5
