,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,2900000,35933000,5827000,-2927000,-30887000,-32263000,22862000,None,-35854000,37453000,9070000,None,-33033000,-111000,None,None,None,-2821000,None,None,None,None,None,None,-35854000,-32263000,None,USD,472696000,1071000,None,None,127637000,307606000,None,6121000,2768000,-508533000,9721000,None,7376000,260710000,53052000,None,None,-23730000,116322000,347927000,7376000,306535000,50378000,3976000,6640000,5710000,32674000,None,None,None,None,None,None,None,-1000,None,124769000,68641000,None,1000,74585000,None,None,None,None,None,None,None,None,USD,-5330000,3070000,-5330000,1000,-177000,2000,178000,5929000,-32263000,-27554000,-22224000,None,2146000,None,None,-2111000,-3233000,4277000,13977000,None,None,None,17.8,
1,2020-03-31,USD,50129000,35716000,4600000,45529000,20040000,20081000,20724000,None,16602000,38744000,12146000,None,14413000,25000,1385000,0,3574000,2189000,None,None,None,None,None,None,16602000,20081000,None,USD,471135000,1094000,None,1000,100548000,331843000,None,5940000,2767000,-508590000,2841000,None,7485000,287133000,49008000,None,1342000,-29254000,84625000,377931000,7484000,330749000,59005000,3004000,48699000,3591000,26873000,None,None,None,None,None,None,None,1000,None,93204000,50041000,48699000,None,51540000,None,None,None,846839000,None,346138000,None,42000000,USD,-48552000,-18455000,-48552000,1000,-1899000,-1899000,178000,-2239000,20081000,-48992000,1458000,None,2053000,None,None,-702000,1074000,-354000,7955000,None,None,None,9.2,17.8
2,2019-12-31,USD,4434000,43047000,5694000,-1260000,-39638000,-37388000,30438000,None,-41346000,40347000,8746000,None,-38613000,82000,-228000,0,-6922000,-6543000,None,None,None,None,-2733000,None,-41346000,-37388000,None,USD,467469000,1108000,None,15617000,111999000,315123000,None,1072000,2767000,-406390000,2855000,None,5517000,340522000,62604000,1067000,1067000,-22641000,69324000,391520000,5517000,314015000,20385000,2959000,46540000,2897000,29264000,None,None,None,None,None,None,None,75949000,None,75949000,47607000,46540000,None,49395000,None,None,None,843478000,None,360907000,None,42000000,USD,-2533000,5517000,-2533000,1000,-888000,-1025000,-137000,12371000,-37388000,-6441000,-2882000,None,1936000,None,-137000,478000,5476000,8728000,2649000,None,None,None,17.12,9.2
3,2019-09-30,USD,8488000,35138000,4256000,4232000,-24926000,-15999000,21596000,None,-19483000,41135000,10967000,None,-26650000,38000,-472000,0,7167000,7167000,None,None,None,None,7167000,None,-19483000,-15999000,None,USD,480475000,1120000,None,15321000,98704000,340636000,None,852000,2766000,-406347000,2857000,None,5468000,342485000,51381000,2996000,2996000,-30517000,63153000,410734000,5468000,339516000,20381000,8038000,44466000,3344000,19761000,None,None,None,None,None,None,None,1000,None,69740000,47462000,44466000,None,47323000,None,None,None,839437000,None,362866000,None,42000000,USD,-25794000,1655000,-25794000,1000,-757000,-838000,-81000,-746000,-15999000,-49278000,-22647000,None,1724000,None,-81000,-2396000,-4714000,-2258000,5469000,None,None,None,10.4,17.12
4,2019-06-30,USD,1152000,36277000,815000,337000,-33437000,-33447000,25421000,None,-36637000,41284000,11818000,None,-35125000,3000,-1512000,0,-1512000,-1512000,None,None,None,None,-1512000,None,-36637000,-33447000,None,USD,505323000,1209000,None,16496000,100215000,363824000,None,1109000,2766000,-406078000,2684000,None,4755000,396967000,51821000,2104000,2104000,-18903000,60196000,439163000,4755000,362615000,389000,2990000,45710000,986000,19760000,None,None,None,None,None,None,None,2000,None,66161000,47814000,45710000,None,48394000,None,None,None,834830000,None,397356000,None,42000000,USD,-3089000,5954000,-3089000,1000,-345000,-721000,-376000,-1786000,-33447000,-25026000,-21215000,None,1688000,None,-251000,79000,-1977000,8370000,3025000,None,None,None,15.6,10.4
5,2019-03-31,USD,3428000,24154000,587000,449000,-21591000,-15344000,14508000,None,-17824000,41156000,11491000,None,-23184000,-33000,-603000,0,5361000,5396000,None,None,None,None,5394000,None,-17722000,-15344000,None,USD,511938000,1222000,None,14534000,120787000,391151000,None,271000,2765000,-420512000,2315000,None,4684000,421839000,47054000,5385000,5385000,-22384000,46477000,459555000,4684000,389928000,382000,2801000,30263000,1054000,15698000,None,None,None,None,None,None,None,52382000,None,52382000,35648000,30263000,1000,32578000,None,None,None,831282000,None,421839000,None,42000000,USD,-4456000,-3530000,-4456000,-1000,-1403000,-1278000,125000,-2480000,-15248000,-28131000,-22398000,None,1527000,None,0,-788000,-1459000,-420000,1815000,None,None,None,18.34,15.6
6,2018-12-31,USD,2979000,32998000,723000,2256000,-30019000,-23268000,21398000,0,-26289000,40970000,10476000,None,-30019000,401000,-603000,None,None,None,0,0,0,0,3730000,0,-26289000,-23268000,None,USD,500840000,1268000,None,2425000,50569000,409301000,None,23321000,2765000,-405321000,2682000,None,1890000,451501000,46869000,None,None,-16668000,10041000,487641000,None,408033000,None,22067000,None,275000,15883000,None,None,None,None,None,None,None,None,None,None,None,1018000,None,None,None,None,None,828525000,None,451889000,None,41000000,USD,-830000,2518000,-2057000,1000,-62000,164000,277000,-1755000,-23268000,-24274000,-20602000,None,666000,None,186679000,-56000,-1947000,3259000,2296000,None,None,None,16.65,18.34
7,2018-09-30,USD,2192000,31094000,868000,1324000,-28902000,-22805000,18694000,0,-25313000,40672000,11562000,None,-28902000,-30000,-603000,None,None,None,0,0,0,0,3589000,0,-25313000,-22805000,None,USD,519799000,1352000,None,2427000,48479000,430648000,None,22783000,2765000,-381909000,2908000,None,657000,475775000,45362000,None,None,-13561000,8299000,509491000,None,429296000,139000,19221000,209000,223000,15597000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42000000,USD,19607000,3936000,18376000,1000,-20000,1913000,904000,-1416000,-22805000,4561000,-15012000,None,232000,None,None,7000,946000,4050000,1233000,None,None,None,28.22,16.65
8,2018-06-30,USD,8343000,30038000,559000,7784000,-21695000,-7256000,18042000,0,-9738000,41046000,11248000,None,-21695000,189000,-603000,None,None,None,0,0,0,0,11957000,0,-9738000,-7256000,None,USD,534066000,1386000,None,2640000,45292000,447728000,None,22618000,2764000,-359278000,3053000,None,667000,471215000,42008000,1003000,1003000,-11534000,7437000,524576000,None,446342000,19872000,19650000,231000,231000,12734000,None,None,None,None,None,-587000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42000000,USD,20393000,136000,19850000,-1000,-19000,230932000,48047000,-3260000,-7256000,229852000,-12544000,None,633000,None,None,-42000,428000,-3455000,551000,None,None,None,28.29,28.22
9,2018-03-31,USD,8065000,33190000,579000,7486000,-25125000,-25438000,18395000,0,-27038000,21414000,14013000,None,-25125000,203000,-132000,None,None,None,0,0,0,0,-1913000,0,-27038000,-25438000,None,USD,324048000,1505000,None,2560000,47310000,255324000,None,27621000,2374000,-378407000,3309000,None,897000,241363000,43736000,347000,347000,6096000,7688000,313958000,897000,253819000,40700000,17927000,265000,203000,11254000,None,None,None,None,None,-373000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36000000,USD,76000,-3696000,-546000,1000,-26000,3485000,714000,-1826000,-25438000,-15018000,-19979000,None,629000,None,2873000,54000,-3123000,13421000,635000,None,None,None,31.51,28.29
