,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,62254000,57441000,31782000,30472000,6688000,3312000,9299000,None,3310000,None,14660000,None,4813000,None,1525000,-2000,None,-1525000,None,None,None,-2000,22000,None,3312000,3312000,None,USD,168642000,17142000,None,3893000,124846000,43796000,None,7152000,3000,-60900000,5118000,9842000,1256000,37444000,66121000,None,9454000,-783000,13691000,126711000,None,16812000,None,51530000,49431000,30091000,20021000,None,None,None,None,None,None,None,415000,None,41931000,4176000,None,1184000,58725000,None,None,None,None,None,None,None,None,USD,-768000,3565000,-768000,None,-12500000,-12506000,46000,2487000,3312000,12951000,26225000,None,1853000,None,None,1713000,None,1520000,768000,None,None,None,7.36,
1,2020-03-31,USD,60429000,60056000,29797000,30632000,2434000,-838000,11814000,None,-756000,None,16750000,None,373000,None,1345000,82000,-1129000,-1345000,None,None,None,82000,216000,None,-838000,-838000,None,USD,170831000,17733000,None,4944000,131264000,39567000,None,7400000,3000,-64212000,4918000,9493000,1232000,24493000,59827000,None,9454000,-767000,14707000,127666000,None,12341000,None,62000000,61795000,32499000,16528000,None,None,None,None,None,-1041000,None,417000,None,43165000,4724000,61795000,520000,71437000,None,None,None,105584000,None,24493000,None,26000000,USD,-1544000,-8546000,-1544000,None,7500000,7552000,46000,-1086000,-838000,5147000,-791000,None,1845000,None,None,8698000,None,1171000,1210000,None,None,None,5.6,7.36
2,2019-12-31,USD,64062000,62175000,30767000,33295000,3638000,-1049000,12126000,None,190000,None,17381000,None,1887000,None,1402000,1239000,-1402000,-1402000,None,None,None,1239000,-295000,None,-1049000,-1049000,None,USD,172479000,18495000,None,4350000,132550000,39929000,None,6084000,3000,-63374000,5189000,8552000,929000,19346000,67868000,9454000,9454000,-379000,15186000,129317000,None,12882000,None,58774000,54158000,41670000,25214000,None,None,None,None,None,-1094000,None,43162000,None,43162000,5335000,54158000,None,64682000,None,None,None,104773000,None,19346000,None,20000000,USD,-3205000,3753000,-3205000,None,-2375000,-2556000,-181000,-336000,-1049000,396000,6145000,None,2046000,None,-181000,1028000,-31000,598000,539000,None,None,None,8.74,5.6
3,2019-09-30,USD,65703000,61574000,33871000,31832000,5636000,1960000,9895000,None,1963000,None,16359000,None,4129000,None,2105000,3000,-2166000,-2105000,None,None,None,3000,-61000,None,1960000,1960000,None,USD,176501000,19777000,None,4516000,136286000,40215000,None,5870000,3000,-62325000,5184000,8963000,496000,18950000,69036000,9329000,9329000,-361000,15214000,132051000,None,11475000,None,60078000,56522000,41933000,20894000,None,None,None,None,None,-1094000,None,44450000,None,44450000,5544000,56522000,None,67250000,None,None,None,103992000,None,18950000,None,26000000,USD,-2985000,-6223000,-2985000,None,-33087000,-37445000,-3556000,-11003000,1960000,-52296000,-11801000,None,1568000,None,-3428000,-1977000,2423000,788000,985000,None,None,None,9.7,8.74
4,2019-06-30,USD,69151000,78545000,34839000,34312000,-8057000,-20374000,15189000,None,-11751000,None,27290000,None,-9394000,None,2301000,8623000,-2357000,-2301000,None,None,None,8623000,-56000,None,-20374000,-20374000,None,USD,215046000,12015000,None,4138000,177113000,37933000,None,5787000,3000,-64285000,1916000,8060000,519000,71246000,79768000,9032000,9032000,-195000,15423000,179029000,None,17858000,None,62912000,89371000,36978000,28310000,None,None,None,None,None,-1133000,None,36017000,None,36017000,6058000,89371000,None,97345000,None,None,None,103543000,None,71246000,None,14000000,USD,-911000,2736000,-911000,None,-2375000,62398000,-1215000,1492000,-20374000,67445000,5954000,None,1393000,None,65988000,-4034000,1717000,22847000,911000,None,None,None,9.59,9.7
5,2019-03-31,USD,68112000,63433000,36322000,31790000,5905000,1862000,10482000,None,2277000,None,15348000,None,4679000,None,2268000,415000,-2268000,-2268000,None,None,None,415000,-134000,None,1862000,1862000,None,USD,154445000,12319000,None,6390000,173156000,-18711000,None,5192000,772000,-43911000,1633000,8060000,7708000,3801000,73117000,8961000,8961000,-223000,15882000,110476000,None,-39090000,None,63234000,91848000,32522000,25487000,None,None,None,None,None,None,None,48393000,None,48393000,6558000,91848000,None,100039000,None,None,None,24651000,None,3801000,None,14000000,USD,-1511000,1830000,-1511000,None,-2375000,-2375000,-1215000,3000000,1862000,-640000,3255000,None,882000,None,None,-2651000,-3487000,1176000,1511000,None,None,None,nan,9.59
6,2018-09-30,USD,58981000,60052000,31469000,27512000,-1071000,-2555000,9810000,None,-3220000,None,16325000,None,-1071000,None,-2033000,None,None,None,None,None,None,-665000,-2149000,None,-2555000,-2555000,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000,USD,None,4776000,-1810000,None,-1125000,-1125000,-1215000,4448000,-2555000,223000,3160000,None,2029000,None,None,-3996000,-1343000,-841000,1343000,None,None,None,nan,nan
7,2018-06-30,USD,61019000,58125000,31710000,29309000,2894000,525000,9688000,None,696000,None,14389000,None,2894000,None,-2088000,None,None,None,None,None,None,171000,-2198000,None,525000,525000,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000,USD,None,413000,-1906000,None,1837000,1837000,-1215000,-1650000,525000,-560000,-462000,None,1831000,None,None,-1084000,-1788000,548000,1482000,None,None,None,nan,nan
8,2018-03-31,USD,58453000,56745000,30250000,28203000,1708000,-227000,9385000,None,-281000,None,14740000,None,1708000,None,-1758000,None,None,None,None,None,None,-54000,-1989000,None,-227000,-227000,None,USD,125641000,15225000,None,3083000,144585000,-18944000,None,10045000,772000,-44487000,1255000,8060000,6547000,4492000,54996000,5058000,5058000,120000,5754000,90055000,None,-42229000,None,53746000,88334000,25897000,19445000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,877000,-1336000,None,5875000,5875000,-1215000,-5582000,-227000,-2885000,-7437000,None,1770000,None,None,-4373000,-761000,119000,985000,None,None,None,nan,nan
9,2017-03-31,USD,48808000,43667000,23099000,25709000,5141000,2672000,6950000,None,3613000,None,11530000,None,5141000,None,-1493000,None,None,None,None,None,None,771000,-1528000,None,2842000,2672000,None,USD,None,None,None,None,None,-49672000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-78613000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-4455000,-1024000,None,-6515000,-7780000,-1265000,-987000,2672000,-5066000,3735000,None,1588000,None,None,4108000,273000,30000,518000,None,None,None,nan,nan
