,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1402000,11688000,None,None,-10286000,-10016000,8578000,None,-10016000,None,3110000,None,-10286000,-1402000,-270000,None,270000,270000,None,None,None,None,None,None,-10016000,-10016000,None,USD,101673000,None,None,98528000,8538000,93135000,None,2302000,62000,-689274000,None,None,26000,53501000,6236000,None,None,130000,338000,98895000,None,93135000,42449000,367000,None,None,6236000,None,None,62000,None,-689274000,None,None,2440000,None,2778000,2302000,None,None,2302000,None,None,None,782217000,101673000,None,None,62172418,USD,36248000,-4000,36244000,None,None,578000,None,47000,-10016000,28948000,-7874000,25000,18000,None,578000,None,712000,1391000,4000,712000,None,28948000,3.1,
1,2020-03-31,USD,1241000,12154000,None,None,-10913000,-10420000,8949000,None,-10420000,None,3205000,None,-10913000,-1241000,-493000,None,493000,493000,None,None,None,None,None,None,-10420000,-10420000,None,USD,107769000,None,None,105661000,6728000,101041000,None,None,62000,-679258000,None,None,16000,24553000,6680000,None,None,-11000,435000,106740000,None,101041000,78469000,1079000,None,None,6680000,None,None,62000,None,-679258000,None,None,594000,None,1029000,48000,None,48000,48000,None,None,None,780248000,107769000,103022000,None,61930339,USD,18250000,-2542000,18243000,18250000,None,229000,229000,762000,-10420000,7652000,-10820000,741000,-79000,None,229000,None,154000,1326000,7000,154000,None,7652000,1.44,3.1
2,2019-12-31,USD,6767000,10640000,8118000,-1351000,-3873000,-3503000,7493000,None,-3533000,None,3147000,None,-3873000,-6767000,-340000,None,370000,370000,None,None,None,None,995000,None,-3533000,-3503000,None,USD,119376000,None,None,3385000,9424000,109952000,None,None,62000,-668838000,None,None,34000,16901000,9228000,None,None,35000,540000,118093000,None,109952000,96574000,1233000,None,None,9228000,None,None,62000,None,-668838000,None,None,743000,None,1283000,196000,None,196000,196000,None,None,None,778693000,119376000,113475000,None,61590013,USD,1028000,-1232000,1020000,10789000,None,1000,302000,-955000,-3503000,-2448000,-3469000,-974000,-172000,None,1000,None,589000,1823000,8000,589000,None,-2448000,2.03,1.44
3,2019-09-30,USD,1958000,76522000,7453000,-5495000,-74564000,-73730000,7453000,None,-73730000,None,4024000,None,-74564000,-1958000,-834000,None,834000,834000,None,65045000,None,None,-64211000,None,-73730000,-73730000,None,USD,127751000,None,None,124147000,15803000,111948000,None,5081000,61000,-665335000,None,None,36000,19349000,15434000,None,None,89000,910000,125969000,None,111948000,97366000,1822000,None,None,15434000,None,None,61000,None,-665335000,None,None,872000,None,1782000,369000,None,369000,369000,None,None,None,777133000,127751000,116715000,None,61382263,USD,39700000,-3364000,39700000,9761000,None,166000,301000,-221000,-73730000,-2295000,-42161000,-272000,-207000,None,166000,None,-1048000,36460000,150000,-1048000,None,-2295000,2.35,2.03
4,2019-06-30,USD,1438000,20139000,9249000,-7811000,-18701000,-17650000,13827000,None,-17628000,None,6312000,None,-18701000,-1438000,-1073000,None,1073000,1073000,None,None,None,None,-22000,None,-17628000,-17650000,None,USD,163441000,None,None,160599000,14323000,149118000,None,None,51000,-591605000,None,None,45000,21644000,13786000,None,None,125000,1054000,161373000,None,149118000,136755000,774000,None,None,13786000,None,None,51000,None,-591605000,None,None,1014000,None,2068000,537000,None,537000,537000,None,None,None,740547000,163441000,158399000,None,51230916,USD,15791000,926000,15738000,-29939000,None,18000,148000,340000,-17650000,1939000,-13817000,342000,-453000,None,18000,None,651000,2367000,53000,651000,None,1939000,4.32,2.35
5,2019-03-31,USD,2356000,21201000,13515000,-11159000,-18845000,-17693000,13515000,None,-17685000,None,7686000,None,-18845000,-2356000,-1160000,None,1160000,1160000,None,None,None,None,-8000,None,-17685000,-17693000,None,USD,177988000,None,None,154415000,13681000,164307000,None,None,51000,-573955000,None,None,53000,19705000,12881000,640000,640000,48000,1158000,175545000,None,164307000,151881000,1425000,800000,None,12881000,None,None,51000,None,-573955000,None,None,1285000,None,2443000,800000,None,800000,800000,None,None,None,738163000,177988000,19705000,None,51023842,USD,-45730000,-624000,-45827000,-45730000,None,160000,147000,59000,-17693000,-61401000,-15734000,51000,-446000,None,160000,None,-1095000,4073000,97000,-1095000,None,-61401000,2.1,4.32
6,2018-12-31,USD,4864000,20283000,15276000,-10412000,-15419000,-14956000,15276000,0,-14956000,0,5007000,None,-15419000,-5654000,-500000,None,None,None,0,0,0,0,463000,0,-14956000,-14956000,None,USD,190714000,None,None,2598000,13110000,177604000,None,None,51000,-556262000,None,None,46000,81106000,12966000,None,None,-92000,1210000,189458000,None,177604000,105424000,330000,None,None,12966000,None,None,51000,None,-556262000,None,None,46000,None,1256000,None,None,144000,144000,None,None,None,733907000,190714000,186530000,None,49000000,USD,66066000,3583000,66045000,105276000,None,370000,-39000,441000,-14956000,58115000,-8300000,463000,-236000,None,370000,None,2000,2844000,21000,2000,None,58115000,2.57,2.1
7,2018-09-30,USD,369000,17079000,11892000,-11523000,-16710000,-16079000,11892000,0,-15980000,0,5187000,None,-16710000,-369000,-730000,None,None,None,0,0,0,0,631000,0,-15980000,-16079000,None,USD,198696000,0,None,163395000,9552000,189144000,167000,7776000,51000,-541306000,167000,0,51000,22991000,9385000,None,None,-661000,1363000,186718000,10564000,189144000,160367000,332000,0,0,9385000,0,0,51000,0,-541306000,0,None,10615000,None,11978000,None,None,None,167000,None,None,None,731060000,198696000,22991000,None,50627237,USD,-2142000,-49000,-2206000,0,None,10625000,-83000,178000,-16079000,-4456000,-12875000,257000,-72000,0,10345000,0,-113000,3181000,64000,-113000,None,-4456000,3.89,2.57
8,2018-06-30,USD,1193000,20362000,13712000,-12519000,-19169000,-18613000,13712000,0,-18535000,0,6650000,None,-19169000,-1193000,-634000,None,None,None,0,0,0,0,556000,0,-18535000,-18613000,None,USD,200980000,0,None,150645000,9587000,191393000,185000,7976000,48000,-525227000,185000,0,52000,27447000,9402000,185000,185000,-842000,1502000,178311000,21115000,191393000,147316000,219000,0,0,9402000,0,0,48000,0,-525227000,0,None,21167000,None,22669000,None,None,None,185000,None,None,None,717414000,200980000,27447000,None,47855025,USD,19372000,396000,19318000,0,None,55000,-83000,-270000,-18613000,5335000,-14038000,-205000,141000,0,55000,0,207000,4036000,54000,207000,None,5335000,4.76,3.89
9,2018-03-31,USD,790000,21097000,14359000,790000,-20307000,-19826000,14359000,0,-19692000,0,6738000,None,-20307000,0,-615000,None,None,None,0,0,0,0,481000,0,-19692000,-19826000,None,USD,214898000,0,None,3051000,9207000,205691000,206000,7109000,48000,-506614000,206000,0,61000,22112000,9001000,206000,206000,-1066000,1688000,163924000,49225000,205691000,138335000,426000,0,0,9001000,0,0,48000,0,-506614000,0,None,61000,None,50974000,None,None,None,206000,None,None,None,713323000,214898000,160447000,None,47753300,USD,21980000,-3925000,21938000,0,-280000,138000,-280000,294000,-19826000,3564000,-18512000,417000,175000,0,418000,0,1256000,3391000,42000,1256000,None,3564000,5.2,4.76
