,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,550002000,78412000,461002000,89000000,10588000,7643000,None,None,10593000,None,77420000,None,10588000,None,-5000,2950000,None,5000,None,992000,None,2950000,-992000,None,7643000,7643000,None,USD,954340000,7698000,None,13450000,343127000,611213000,20170000,None,289000,537233000,23354000,73602000,1157000,165943000,308207000,None,None,-45937000,65387000,791741000,None,529913000,None,446716000,None,165632000,308207000,None,None,289000,None,537233000,None,None,15912000,None,162599000,11566000,None,14750000,34920000,None,None,None,119628000,954340000,165943000,None,None,USD,-3619000,34440000,-3619000,None,None,384000,384000,8268000,7643000,54620000,57855000,1827000,3355000,0,0,-28647000,37806000,1431000,3619000,37806000,None,54620000,46.36,
1,2020-03-31,USD,711850000,92468000,598732000,113118000,20650000,14896000,None,None,20742000,None,92468000,None,20650000,-32000,-92000,5846000,92000,92000,None,None,None,5846000,92000,None,14896000,14896000,None,USD,913192000,8002000,None,13971000,310630000,602562000,20170000,None,289000,529590000,20770000,73602000,1075000,111323000,277309000,None,None,-45937000,65754000,748983000,None,520958000,None,486704000,None,136985000,277309000,None,None,289000,None,529590000,-45937000,None,16851000,None,164209000,12551000,None,13151000,33321000,None,None,None,118620000,913192000,111323000,None,26000000,USD,-4595000,-22704000,-4595000,None,None,-18698000,-49000,-10603000,14896000,21263000,44556000,-3398000,3147000,-8427000,-10222000,-12319000,61477000,3457000,4595000,61477000,None,21263000,41.21,46.36
2,2019-12-31,USD,716627000,86510000,600514000,116113000,30310000,21966000,None,None,29866000,None,86510000,707000,29603000,-32000,-103000,7900000,263000,None,None,None,None,7900000,707000,None,21966000,21966000,None,USD,937335000,8307000,None,10671000,340023000,597312000,20170000,9244000,288000,514694000,20770000,73602000,947000,90060000,308923000,None,None,-35715000,64226000,776411000,None,515403000,None,551014000,None,124666000,308923000,None,None,288000,None,514694000,-35715000,None,14789000,None,160924000,14646000,None,10930000,31100000,None,None,None,118045000,937335000,90060000,None,26345000,USD,-5035000,42346000,-5035000,-25656000,None,25000,-1113000,-1014000,21966000,-8429000,-3419000,-2247000,3130000,0,1138000,1412000,-70563000,537000,22084000,-70563000,None,-8429000,49.66,41.21
3,2019-09-30,USD,729410000,86226000,610547000,118863000,32637000,23750000,None,None,32699000,None,86226000,None,32637000,-32000,-62000,8949000,62000,62000,None,None,None,8949000,62000,None,23750000,23750000,None,USD,870648000,8613000,None,6881000,287504000,583144000,17194000,3325000,288000,501155000,18648000,73602000,892000,98489000,257470000,None,None,-35600000,62336000,710355000,None,500929000,None,478907000,None,126078000,257470000,None,None,288000,None,501155000,-35600000,None,15742000,None,160293000,11386000,None,12840000,30034000,None,None,None,117301000,870648000,98489000,None,26000000,USD,-6744000,-62734000,-6744000,None,None,-1199000,-337000,-1069000,23750000,28750000,36693000,317000,3107000,0,-862000,49826000,21478000,949000,6744000,21478000,None,28750000,38.9,49.66
4,2019-06-30,USD,741076000,84664000,624089000,116987000,32323000,23668000,None,None,32507000,None,84664000,None,32323000,-36000,-184000,8839000,184000,184000,None,None,None,8839000,184000,None,23668000,23668000,None,USD,911802000,8918000,None,7054000,351635000,560167000,17194000,4724000,288000,477405000,18673000,73602000,980000,69739000,321235000,None,None,-34738000,59468000,753665000,None,477647000,None,500968000,None,175904000,321235000,None,None,288000,None,477405000,-34738000,None,16149000,None,158137000,11727000,None,13206000,30400000,None,None,None,117212000,911802000,69739000,None,26000000,USD,-7305000,62443000,-7305000,None,None,-1657000,550000,6646000,23668000,-23731000,-14769000,263000,3368000,0,-2207000,-38239000,-66362000,90000,7305000,-66362000,None,-23731000,34.98,38.9
5,2019-03-31,USD,632921000,81938000,533574000,99347000,17409000,12727000,None,None,17607000,None,81235000,None,17409000,-36000,-198000,4880000,198000,198000,None,703000,None,4880000,-703000,None,12727000,12727000,None,USD,828449000,9223000,None,7261000,290857000,537592000,17184000,4692000,288000,453737000,18761000,73602000,1092000,93470000,258881000,4536000,4536000,-32531000,55438000,672344000,None,454767000,None,433948000,13215000,137665000,258881000,None,None,288000,None,453737000,-32531000,None,17842000,None,156105000,13215000,None,14792000,31976000,None,None,None,116098000,828449000,93470000,None,27000000,USD,-6572000,2672000,-6572000,None,None,-9759000,-13000,3992000,12727000,1767000,18098000,3441000,3709000,-8452000,-1294000,-18470000,13494000,525000,6572000,13494000,None,1767000,36.67,34.98
6,2018-12-31,USD,709520000,80485000,602718000,106802000,29295000,21300000,0,0,28883000,0,79518000,2978000,26317000,-36000,-145000,None,None,None,0,967000,0,7583000,4577000,0,21300000,21300000,None,USD,805355000,9564000,None,9661000,279452000,525903000,17184000,26208000,288000,441010000,19653000,73602000,1211000,91703000,259799000,None,None,-31237000,51799000,669179000,None,442737000,None,448620000,None,119195000,259799000,None,None,288000,None,441010000,-31237000,None,1211000,None,136176000,None,None,2469000,19653000,None,None,None,115842000,805355000,91703000,None,26396000,USD,None,41589000,-5597000,-21238000,None,-10529000,-181000,6769000,21300000,-10540000,5586000,1751000,3701000,1000,-10349000,-13912000,-49009000,166000,18063000,-49009000,None,-10540000,29.73,36.67
7,2018-09-30,USD,658504000,81494000,558060000,100444000,18950000,13766000,0,0,19064000,0,81494000,None,18950000,-36000,-114000,None,None,None,0,0,0,5298000,114000,0,13766000,13766000,None,USD,750227000,9924000,None,6068000,226985000,523242000,16125000,2629000,287000,428162000,17961000,73602000,1442000,102243000,209024000,None,None,-20246000,48176000,617083000,None,439716000,0,403489000,0,105283000,209024000,0,0,287000,0,428162000,-20246000,None,1442000,None,133144000,None,None,1836000,17961000,None,None,None,115039000,750227000,102243000,None,27000000,USD,None,-44082000,-5714000,0,None,-458000,-457000,-7792000,13766000,33563000,39735000,766000,3633000,-1000,0,2166000,62429000,1057000,5714000,62429000,None,33563000,38.89,29.73
8,2018-06-30,USD,706570000,82521000,599102000,107468000,24947000,18226000,0,0,25129000,0,82521000,None,24947000,0,-182000,None,None,None,0,0,0,6903000,182000,0,18226000,18226000,None,USD,780954000,10284000,None,6279000,271293000,509661000,16125000,8433000,287000,414396000,17980000,73602000,3721000,68680000,253313000,None,None,-20246000,46012000,647335000,1890000,425775000,0,464927000,0,107449000,253313000,0,0,287000,0,414396000,-20246000,None,1831000,None,133619000,None,None,1855000,17980000,None,None,None,115224000,780954000,68680000,None,27000000,USD,None,60400000,-4920000,0,-859000,-1641000,-13000,11204000,18226000,-2287000,4274000,-512000,3429000,-9122000,-782000,-21867000,-55937000,535000,4920000,-55937000,None,-2287000,33.2,38.89
9,2018-03-31,USD,624895000,80900000,528523000,96372000,15472000,11300000,0,0,15588000,0,80900000,None,15472000,0,-116000,None,None,None,0,0,0,4288000,116000,0,11300000,11300000,None,USD,703570000,10645000,None,6437000,211611000,491959000,16125000,3087000,287000,396170000,17996000,73602000,3604000,70967000,193615000,859000,859000,-18859000,44019000,571700000,1890000,407712000,0,408714000,0,85582000,192756000,0,0,287000,0,396170000,-18859000,None,1714000,None,131870000,None,None,1871000,17996000,None,None,None,114361000,703570000,70967000,None,27000000,USD,None,-46941000,-5007000,0,859000,-11260000,None,-3579000,11300000,20977000,37244000,841000,3300000,-9122000,-2997000,10302000,57389000,1053000,5007000,57389000,None,20977000,25.0,33.2
