,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,37266000000,3838000000,32249000000,5017000000,1200000000,838000000,None,None,1163000000,14000000,3830000000,21000000,1179000000,None,37000000,311000000,10000000,-27000000,None,8000000,None,311000000,11000000,None,852000000,838000000,None,USD,51732000000,255000000,None,963000000,34529000000,16802000000,None,7223000000,4000000,11883000000,988000000,987000000,1215000000,10826000000,22779000000,1497000000,1497000000,-1678000000,21527000000,25254000000,None,16802000000,948000000,1507000000,7598000000,11010000000,14059000000,None,None,4000000,None,11883000000,None,None,4951000000,None,26478000000,2535000000,7598000000,4152000000,11750000000,None,None,None,6593000000,51732000000,11774000000,-12579000000,441523000,USD,-1850000000,-34000000,-1850000000,7000000,3364000000,2999000000,-43000000,-46000000,838000000,3040000000,1898000000,None,382000000,-287000000,-34000000,659000000,None,99000000,698000000,None,None,None,285.13,
1,2019-12-31,USD,39072000000,3750000000,34056000000,5016000000,1311000000,931000000,None,None,1277000000,16000000,3743000000,45000000,1266000000,None,34000000,330000000,30000000,-4000000,None,7000000,None,330000000,15000000,None,947000000,931000000,None,USD,48782000000,None,None,1150000000,31783000000,16614000000,None,7708000000,4000000,11384000000,999000000,None,1002000000,7786000000,22695000000,500000000,500000000,-1280000000,21481000000,23703000000,None,16614000000,929000000,1988000000,5099000000,11850000000,14487000000,None,None,4000000,None,11384000000,None,None,3598000000,None,25079000000,2446000000,5099000000,3989000000,9088000000,None,None,None,6506000000,48782000000,8715000000,-12380000000,441622000,USD,65000000,-3201000000,-470000000,10000000,-1339000000,-1392000000,-6000000,344000000,947000000,-1243000000,619000000,382000000,389000000,0,-47000000,1990000000,None,112000000,545000000,None,2000000,-1241000000,293.92,285.13
2,2019-11-30,USD,37040000000,35979000000,32233000000,4807000000,1465000000,844000000,None,None,1058000000,12000000,3732000000,35000000,1061000000,None,38000000,202000000,32000000,-6000000,None,14000000,None,202000000,3000000,None,856000000,844000000,None,USD,51431000000,None,None,1094000000,35207000000,15861000000,None,3956000000,4000000,10787000000,1005000000,None,954000000,9027000000,26265000000,1700000000,1700000000,-1321000000,21237000000,26643000000,None,15861000000,993000000,1711000000,5107000000,13818000000,14440000000,None,None,4000000,None,10787000000,None,None,954000000,None,24788000000,2442000000,5495000000,1393000000,8942000000,None,None,None,6391000000,51431000000,10020000000,-12074000000,444000000,USD,-630000000,2664000000,-630000000,9000000,122000000,-836000000,-355000000,236000000,844000000,643000000,2102000000,275000000,369000000,-573000000,-30000000,-2384000000,None,322000000,715000000,None,7000000,643000000,299.81,293.92
3,2019-09-30,USD,37040000000,3746000000,32233000000,4807000000,1096000000,844000000,None,None,1058000000,12000000,3732000000,35000000,1061000000,None,38000000,202000000,32000000,-6000000,-42000000,14000000,None,202000000,3000000,None,856000000,844000000,None,USD,51431000000,None,None,1094000000,35207000000,15861000000,None,6966000000,4000000,10787000000,1060000000,None,1025000000,9027000000,26265000000,1700000000,1700000000,-1321000000,21237000000,26643000000,None,15861000000,993000000,1711000000,5107000000,13818000000,17599000000,None,None,4000000,None,10787000000,None,None,3551000000,None,24788000000,2442000000,5107000000,3835000000,8942000000,None,None,None,6391000000,51431000000,10020000000,-12074000000,439625000,USD,76000000,2664000000,-630000000,9000000,122000000,-836000000,-355000000,223000000,856000000,636000000,2102000000,275000000,369000000,-573000000,-30000000,-2384000000,None,322000000,715000000,None,7000000,643000000,288.11,299.81
4,2019-06-30,USD,47498000000,46035000000,41310000000,6188000000,2010000000,1097000000,None,None,1492000000,None,4684000000,None,1463000000,None,45000000,382000000,45000000,0,None,None,None,None,29000000,None,1110000000,None,None,USD,45400000000,None,None,1111000000,29816000000,15243000000,None,3792000000,None,10258000000,None,None,None,8384000000,23237000000,None,1699000000,None,None,23485000000,None,None,1060000000,1535000000,5124000000,11395000000,11679000000,None,None,None,None,None,None,None,1025000000,None,21915000000,None,None,1455000000,6579000000,None,None,None,None,None,None,None,None,USD,-920000000,None,None,None,None,-1000000,None,None,1097000000,1371000000,2293000000,None,473000000,-286000000,-52000000,-127000000,None,None,1009000000,None,None,None,264.26,288.11
5,2019-03-31,USD,34740000000,3385000000,30233000000,4507000000,1158000000,906000000,None,None,1123000000,10000000,3371000000,36000000,1122000000,None,35000000,207000000,27000000,-8000000,73000000,14000000,None,207000000,9000000,None,916000000,906000000,None,USD,43752000000,None,None,1110000000,28932000000,14486000000,None,6914000000,4000000,9496000000,1301000000,None,992000000,7013000000,22832000000,1699000000,1699000000,-1321000000,20475000000,22285000000,None,14486000000,1154000000,1704000000,4799000000,11304000000,14219000000,None,None,4000000,None,9496000000,None,None,992000000,None,21467000000,None,4799000000,1301000000,6100000000,None,None,None,6307000000,43752000000,8167000000,-11749000000,443000000,USD,-774000000,684000000,-774000000,15000000,-96000000,-397000000,-3000000,38000000,906000000,933000000,2105000000,None,336000000,-251000000,-46000000,40000000,None,101000000,672000000,None,None,None,242.14,264.26
6,2018-12-31,USD,35396000000,3473000000,30720000000,4676000000,1249000000,889000000,0,None,1215000000,12000000,3464000000,46000000,1203000000,None,34000000,314000000,33000000,-1000000,63000000,9000000,None,314000000,13000000,None,901000000,889000000,None,USD,42799000000,None,None,1175000000,28616000000,13858000000,None,6868000000,4000000,8916000000,1372000000,None,1006000000,6080000000,22450000000,1698000000,1698000000,-1280000000,20145000000,21648000000,None,13858000000,1042000000,1995000000,4794000000,11356000000,13884000000,None,None,4000000,None,8916000000,None,None,1006000000,None,21151000000,None,4794000000,1372000000,6166000000,None,None,None,6218000000,42799000000,7122000000,-11557000000,442000000,USD,140000000,-2506000000,-434000000,13000000,69000000,-49000000,-1000000,26000000,901000000,-702000000,-219000000,26000000,352000000,-501000000,-117000000,875000000,None,133000000,587000000,None,4000000,-698000000,203.71,242.14
7,2018-11-25,USD,35069000000,34120000000,30623000000,4446000000,949000000,767000000,0,None,935000000,312000000,3475000000,22000000,949000000,None,-36000000,None,None,None,None,22000000,None,158000000,-14000000,None,777000000,767000000,None,USD,43814000000,0,None,1001000000,30335000000,13167000000,0,5281000000,4000000,8387000000,1382000000,0,981000000,6778000000,22473000000,None,None,-1331000000,19879000000,22954000000,None,13167000000,1175000000,1795000000,6480000000,12205000000,13133000000,13479000000,6107000000,4000000,0,8387000000,0,None,981000000,None,20860000000,None,6480000000,1382000000,7862000000,None,None,None,6107000000,43814000000,7953000000,-11265000000,443000000,USD,24000000,1822000000,-737000000,-31000000,104000000,-700000000,-1000000,336000000,767000000,723000000,2177000000,336000000,331000000,-501000000,-32000000,-1324000000,0,245000000,730000000,None,-17000000,723000000,220.06,203.71
8,2018-09-30,USD,35069000000,3497000000,30623000000,4446000000,971000000,767000000,0,0,935000000,10000000,3475000000,22000000,949000000,0,36000000,None,None,None,0,22000000,0,158000000,3000000,0,777000000,767000000,None,USD,43814000000,0,None,1001000000,30335000000,13167000000,0,6358000000,4000000,8387000000,924000000,0,860000000,6778000000,22473000000,90000000,90000000,-1331000000,19879000000,22954000000,None,13167000000,1175000000,1795000000,6480000000,12205000000,16115000000,13103000000,6107000000,4000000,0,8387000000,0,None,981000000,None,20860000000,None,6480000000,1382000000,7862000000,None,None,None,6107000000,43814000000,7953000000,-11265000000,438189000,USD,24000000,1822000000,-737000000,-31000000,104000000,-700000000,-271000000,72000000,777000000,740000000,2177000000,336000000,331000000,-501000000,-32000000,-1324000000,0,235000000,730000000,None,-17000000,723000000,234.88,220.06
9,2018-03-31,USD,32361000000,3163000000,28131000000,4230000000,1108000000,750000000,0,0,1071000000,12000000,3155000000,41000000,1067000000,0,37000000,None,None,None,0,8000000,0,309000000,4000000,0,762000000,750000000,None,USD,39605000000,0,None,430000000,27158000000,12143000000,0,6009000000,4000000,7176000000,1255000000,0,734000000,5877000000,19411000000,6492000000,6492000000,-1038000000,19178000000,19693000000,None,12143000000,1167000000,1593000000,6492000000,10626000000,13402000000,12447000000,0,4000000,0,7176000000,0,None,734000000,None,19912000000,None,6492000000,1255000000,7747000000,None,None,None,6001000000,39605000000,7044000000,-10932000000,438602000,USD,-117000000,674000000,-694000000,8000000,10000000,-266000000,-2000000,253000000,750000000,1096000000,2105000000,None,327000000,-219000000,0,-26000000,0,127000000,585000000,None,None,None,188.43,234.88
