,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,313809000,None,76570000,237239000,None,-9923000,None,None,-73284000,None,142134000,None,43864000,None,None,-1173000,-117148000,None,None,None,None,None,None,None,None,-11621000,None,USD,4732051000,31989000,None,131266000,3947248000,784803000,None,None,334000,-29869000,None,137728000,80848000,309800000,None,1582685000,None,-5000,122215000,None,None,None,None,986994000,468542000,None,None,None,None,None,None,None,-305192000,None,None,None,None,None,471233000,None,None,None,None,None,1119534000,None,309800000,None,None,USD,None,None,-8076000,-5591000,None,80802000,40067000,None,-72111000,-6131000,-78857000,None,5442000,-3126000,-18018000,None,None,None,2485000,None,None,None,18.86,
1,2019-12-31,USD,281135000,None,72106000,209029000,None,5223000,None,None,34512000,None,163967000,None,-21284000,None,None,5238000,55796000,None,None,None,None,5238000,None,None,None,3525000,None,USD,5162025000,35200000,None,107328000,4352170000,809855000,None,None,334000,-16809000,None,137728000,79166000,331997000,None,2076946000,None,-5000,126513000,None,None,None,None,813306000,400424000,None,None,None,None,None,None,None,-284301000,None,None,None,None,None,403071000,None,None,None,None,None,1110635000,None,331997000,None,None,USD,None,None,-47627000,-32745000,None,200438000,159413000,None,55870000,-27099000,-179910000,None,20460000,None,-15217000,None,None,None,14882000,None,None,None,25.81,18.86
2,2019-09-30,USD,252047000,None,86284000,165763000,None,3813000,None,None,7948000,None,138399000,None,-24394000,None,None,1365000,32342000,None,None,None,None,1365000,None,None,None,2115000,None,USD,4816754000,37358000,None,128782000,3999699000,817055000,None,None,334000,-20334000,None,137728000,84041000,264358000,None,1728161000,None,-5000,126641000,None,None,None,None,781667000,446874000,None,None,None,None,None,None,None,-266882000,None,None,None,None,None,450709000,None,None,None,None,None,1103941000,None,264358000,None,None,USD,None,None,-54239000,-46377000,None,177166000,131373000,None,26596000,-33728000,-156655000,None,14990000,None,-10153000,None,None,None,7862000,None,None,None,25.93,25.81
3,2019-06-30,USD,292164000,None,74414000,217750000,None,5812000,None,None,15216000,None,154716000,None,5524000,None,None,5073000,9692000,None,None,None,None,5073000,None,None,None,4114000,None,USD,4862182000,40604000,None,139070000,4044758000,817424000,None,None,334000,-22449000,None,137728000,86464000,185757000,None,1931570000,None,-3000,129356000,None,None,None,None,724372000,413450000,None,None,None,None,None,None,None,-254357000,None,None,None,None,None,417236000,None,None,None,None,None,1093898000,None,185757000,None,None,USD,None,None,-48893000,-45227000,None,161118000,139933000,None,22132000,-113546000,-225771000,None,9908000,None,-8079000,None,None,None,3666000,None,None,None,25.53,25.93
4,2019-03-31,USD,224097000,None,58728000,165369000,None,9783000,None,None,15166000,None,148191000,None,-25776000,None,None,3177000,None,None,None,None,None,3177000,None,None,None,8085000,None,USD,4160218000,43861000,None,136964000,3345436000,814782000,None,None,334000,-26563000,None,141828000,90208000,238016000,None,None,None,-5000,129333000,None,None,None,None,739342000,329071000,None,None,None,None,None,None,None,-243519000,None,None,None,None,None,332806000,None,None,None,None,None,1084534000,None,238016000,None,None,USD,None,None,-49377000,-47693000,None,116166000,142197000,None,11989000,-62891000,-129680000,None,4956000,-1698000,-4658000,None,None,None,1684000,None,None,None,25.39,25.53
5,2018-12-31,USD,259931000,None,59248000,200683000,None,5079000,None,None,4061000,None,134536000,None,3283000,None,None,None,None,None,None,None,None,-280000,None,None,None,3381000,None,USD,3346303000,24943000,None,176647000,2551896000,794407000,None,None,324000,-34648000,None,60678000,93057000,297266000,None,None,None,-5000,26443000,None,None,None,None,832299000,392429000,None,None,None,None,None,None,None,-234142000,None,None,None,None,None,397454000,None,None,None,None,None,1062877000,None,297266000,None,None,USD,None,None,-17882000,-9296000,None,-128389000,-168908000,None,79879000,177905000,324176000,None,12436000,None,-31762000,None,None,None,8586000,None,None,None,23.79,25.39
6,2018-03-31,USD,224933000,0,0,224933000,61383000,16853000,None,None,34932000,None,220610000,None,1098000,3225000,26451000,None,None,None,None,244000,None,6923000,33834000,None,16853000,15155000,None,USD,3288596000,28550000,None,None,2137483000,758787000,None,None,324000,-55520000,594695000,60678000,81927000,252790000,None,None,None,-7000,39827000,None,1835056000,669559000,None,880560000,403206000,None,1813814000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-4244000,-86779000,-5395000,None,86482000,40603000,None,37018000,16853000,-298000,-35506000,None,4989000,None,-45879000,None,-43633000,28261000,1151000,None,None,None,25.19,23.79
7,2017-12-31,USD,616896000,0,0,616896000,105597000,-53652000,0,0,36453000,0,695264000,None,-116853000,12862000,69144000,None,None,None,0,26624000,0,38291000,137267000,0,-69691000,-60444000,None,USD,3296252000,29955000,None,None,2107629000,748019000,None,None,324000,-70116000,589093000,60678000,88656000,268308000,None,None,None,-8000,40496000,None,1887529000,657386000,None,804307000,314960000,None,1898570000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,50788000,313326000,-2397000,-47199000,111075000,137851000,-393000,-200226000,-60882000,19062000,-116392000,None,21774000,None,27169000,None,-372116000,157941000,5986000,None,None,None,25.7,25.19
8,2017-09-30,USD,27005000,0,0,27005000,-14143000,-8702000,0,0,-29291000,0,52556000,None,-3290000,3140000,15148000,None,None,None,0,-24448000,0,10369000,-26001000,0,-8702000,-10400000,None,USD,2907411000,31705000,None,None,1642234000,843516000,None,None,324000,7554000,521452000,60678000,76018000,269636000,None,None,None,-8000,35817000,None,1741439000,751133000,None,533501000,237456000,None,1391320000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,7336000,-101569000,14305000,7850000,-6105000,638000,-126000,47097000,4666000,-47650000,-62593000,None,5682000,None,6869000,None,-89305000,65674000,881000,None,None,None,nan,25.7
9,2017-06-30,USD,156963000,0,0,-156963000,-41620000,-1512000,0,0,-14200000,0,-206280000,None,46728000,-5952000,-27420000,None,None,None,0,7335000,0,-6518000,-60928000,0,-1512000,1884000,None,USD,2588618000,33393000,None,None,1336704000,833905000,None,None,324000,4586000,260070000,60678000,69417000,287026000,None,None,None,-8000,42341000,None,1480229000,739834000,None,455081000,241219000,None,1203941000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,28714000,198584000,-27328000,-54017000,28254000,17419000,-100000,-111293000,7440000,86184000,96093000,None,5295000,None,-10735000,None,56434000,-81512000,2025000,None,None,None,nan,nan
