,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,36570000,22653000,20835000,15735000,24302000,8656000,None,None,8656000,None,1818000,None,13917000,None,5175000,None,None,-5175000,None,None,None,None,-86000,None,8656000,8497000,None,USD,843600000,None,None,708000,433795000,0,6305000,None,409805000,None,None,None,17806000,39156000,77328000,None,35774000,None,730466000,56200000,None,370677000,None,3102000,356467000,2368000,21865000,None,None,None,None,None,None,None,46128000,None,787400000,None,None,None,356467000,None,None,None,None,None,None,None,None,USD,-3417000,-937000,-3417000,None,28086000,19574000,-8512000,-8276000,8656000,30716000,14559000,None,10471000,-6641000,0,-375000,-833000,668000,3417000,None,None,None,8.08,
1,2020-03-31,USD,33687000,22539000,20750000,12937000,20977000,6674000,None,None,6674000,None,1789000,None,11148000,None,4672000,None,-4672000,-4672000,None,None,None,None,198000,None,6674000,6551000,None,USD,823370000,None,None,932000,416089000,0,5806000,None,407281000,None,None,None,16345000,16340000,87065000,None,36927000,407281000,740091000,24235000,None,364582000,None,2269000,329024000,1993000,15173000,None,None,None,None,None,None,None,49699000,None,799135000,None,329024000,None,329024000,None,None,None,None,None,16340000,None,18000000,USD,-171551000,3320000,-171551000,None,107796000,100020000,-1136000,7264000,6674000,-40124000,31407000,None,9631000,-6640000,0,-522000,421000,633000,171551000,None,None,None,7.32,8.08
2,2019-12-31,USD,27701000,18242000,16226000,11475000,17111000,5624000,None,None,5796000,8572000,2016000,None,9459000,None,3865000,None,-3865000,-3865000,-172000,None,None,None,202000,-172000,5796000,2664000,None,USD,703462000,46275000,None,1085000,296725000,0,3563000,8089000,398165000,None,None,None,14350000,57964000,64736000,26997000,26997000,406737000,576891000,65946000,None,351890000,None,2690000,231989000,1471000,12501000,None,None,None,None,None,None,None,51775000,None,637516000,None,231989000,None,231989000,None,None,None,None,None,57964000,None,18000000,USD,-3976000,140000,-3976000,-1110000,-7703000,-13557000,-5854000,-3026000,5624000,-724000,16809000,None,7450000,-5836000,0,-126000,2407000,496000,2866000,None,None,None,13.44,7.32
3,2019-09-30,USD,26439000,19345000,17846000,8593000,14833000,3394000,None,None,3360000,8572000,1499000,None,7094000,None,4137000,None,-4137000,-4137000,34000,None,None,None,403000,34000,3360000,3331000,None,USD,698669000,49900000,None,None,292621000,0,968000,5621000,406048000,None,None,None,12839000,58688000,55946000,29759000,29759000,406048000,568652000,67278000,None,356148000,None,5097000,236675000,1345000,10660000,None,None,None,None,None,None,None,55400000,None,631391000,None,236675000,None,236675000,None,None,None,None,None,58688000,None,18000000,USD,-679000,-2880000,-679000,-1110000,-7704000,-13540000,-5836000,900000,3394000,1128000,15347000,None,7336000,-5836000,0,142000,2290000,325000,679000,None,None,None,10.7,13.44
4,2019-06-30,USD,27417000,15263000,14283000,13134000,19694000,7832000,None,None,8035000,8628000,980000,None,12154000,None,4420000,None,-4420000,-4420000,-203000,None,None,None,301000,-203000,8035000,7680000,None,USD,704227000,53524000,None,230000,295539000,0,None,2886000,400060000,None,None,None,10605000,57560000,51418000,29737000,29737000,408688000,571790000,68308000,None,346536000,None,7387000,244121000,1487000,7930000,None,None,None,None,None,None,None,59024000,None,635919000,None,244121000,None,244121000,None,None,None,None,None,57560000,None,18000000,USD,-2912000,-14608000,-2912000,-374000,-7703000,-13539000,-5836000,-4235000,7832000,-15890000,561000,None,7239000,-5836000,0,114000,823000,-317000,2538000,None,None,None,10.5,10.7
5,2019-03-31,USD,26817000,15392000,534000,26283000,19080000,-139305000,None,None,7230000,8628000,1007000,None,11425000,None,4614000,None,-4614000,-4614000,-146535000,None,None,None,419000,-146535000,7230000,-146535000,None,USD,729991000,57109000,None,230000,323299000,406692000,None,10886000,406692000,None,47000,None,65028000,73450000,71687000,29716000,29716000,406692000,579028000,85935000,None,349583000,None,8210000,251565000,1601000,20691000,None,None,None,None,None,None,None,62609000,None,644056000,None,251565000,None,251612000,None,None,None,None,None,73450000,None,18000000,USD,-436000,4357000,-436000,-374000,-9623000,19722000,157458000,-18917000,7230000,40751000,21465000,None,7236000,-11263000,-116850000,-85000,7916000,156420000,436000,None,None,None,10.48,10.5
6,2018-12-31,USD,74751000,54867000,36178000,38573000,19884000,13041000,0,0,13238000,15436000,1191000,None,19884000,0,-5696000,None,None,None,6293000,0,0,0,-6646000,-146535000,13238000,10337000,None,USD,1385245000,68186000,None,1004000,503931000,755372000,2220000,12560000,755372000,None,96000,None,22717000,30199000,115159000,52348000,52348000,881314000,1229782000,64560000,None,687186000,1004000,16126000,388676000,8699000,15769000,None,None,None,None,None,None,None,None,None,None,None,253932000,None,None,None,None,None,None,None,21203000,None,18000000,USD,None,-2720000,7493000,-374000,-19173000,-32323000,-13150000,-5500000,13041000,888000,25718000,None,21804000,-11263000,None,208000,-1750000,199000,3434000,None,None,None,2.09,10.48
7,2018-09-30,USD,73422000,60483000,40552000,32870000,12939000,-22150000,0,0,-22629000,15436000,1339000,None,12939000,0,-6944000,None,None,None,0,0,0,0,-35568000,-146535000,-22629000,-24926000,None,USD,1408281000,72492000,None,11929000,527057000,881224000,2441000,38784000,881224000,None,146000,None,20947000,28811000,125648000,52661000,52661000,None,1246699000,68143000,None,808732000,556000,14376000,401263000,8461000,15374000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,None,-7439000,-870000,-374000,-13846000,-26996000,-13150000,7746000,-22150000,-3653000,24213000,None,22898000,-11263000,None,1424000,-7113000,28471000,332000,None,None,None,2.78,2.09
8,2018-06-30,USD,65542000,54967000,34836000,30706000,10575000,4003000,0,0,4027000,16108000,1464000,None,10575000,0,-6127000,None,None,None,0,0,0,0,-6548000,-146535000,4027000,1212000,None,USD,1456561000,76798000,None,1011000,539703000,790244000,2220000,17272000,790244000,None,916000,None,20433000,32464000,118658000,53102000,53102000,None,1304172000,55158000,None,713446000,1011000,7263000,420129000,10331000,17592000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,None,1772000,13311000,None,-27591000,-40804000,-13213000,-4889000,4003000,-8266000,19227000,None,22854000,-11263000,None,-4417000,-926000,252000,16089000,None,None,None,3.06,2.78
9,2018-03-31,USD,65539000,53857000,33803000,31736000,11682000,5213000,0,0,5260000,16108000,1722000,None,11682000,0,-6391000,None,None,None,0,0,0,0,-6422000,0,5260000,2438000,None,USD,1477743000,80489000,None,29518000,551990000,925753000,1716000,51379000,925753000,None,3429000,None,20574000,40730000,131291000,52979000,52979000,None,1290960000,85720000,None,845264000,516000,6337000,417270000,5774000,11635000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18000000,USD,None,-1816000,-24410000,None,-13208000,-26389000,-31000,4232000,5213000,-22067000,28732000,None,22423000,-13150000,None,-434000,-1565000,285000,24410000,None,None,None,3.12,3.06
