,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-04-30,USD,8748000,10325000,4924000,3824000,-1331000,-2047000,1818000,None,-1955000,None,3583000,None,-1577000,None,None,92000,None,None,None,None,None,92000,-378000,None,-2047000,-2047000,None,USD,20751000,None,None,None,15433000,5318000,None,None,13000,-72673000,178000,335000,128000,8342000,12085000,None,None,None,6791000,13497000,None,4983000,None,2655000,None,None,3140000,None,None,None,None,None,None,None,128000,None,7254000,3798000,None,178000,3348000,None,None,None,None,None,None,None,None,USD,-1527000,2474000,-1527000,None,16000,4042000,None,1547000,-2047000,5060000,2545000,None,246000,None,None,None,-336000,661000,1527000,None,None,None,7.72,
1,2020-01-31,USD,9012000,8579000,4325000,4687000,652000,407000,1391000,None,419000,None,2863000,None,433000,None,None,12000,None,None,None,None,None,12000,-14000,None,407000,407000,None,USD,15075000,None,None,355000,11898000,3177000,None,4586000,12000,-70625000,151000,669000,128000,3282000,8446000,None,None,None,6148000,8130000,None,2508000,None,3073000,None,None,2215000,None,None,None,None,None,None,None,128000,None,6945000,3968000,None,151000,3452000,None,None,None,73790000,None,3282000,None,14000000,USD,-171000,-132000,-171000,None,-37000,390000,None,31000,407000,498000,279000,None,219000,None,429000,None,-759000,514000,171000,None,None,None,7.59,7.72
2,2019-10-31,USD,7625000,7334000,3881000,3744000,469000,307000,1341000,None,318000,None,2112000,None,291000,None,None,11000,None,None,None,None,None,11000,27000,None,307000,307000,None,USD,13947000,None,None,None,11833000,2114000,None,4146000,12000,-71032000,151000,669000,128000,2784000,8253000,None,None,None,6085000,7065000,None,1445000,None,2298000,None,None,2787000,None,None,None,None,None,None,None,128000,None,6882000,3908000,None,151000,3580000,None,None,None,73134000,None,2784000,None,13000000,USD,227000,-82000,227000,None,-7000,-5000,None,-141000,307000,582000,360000,None,178000,None,2000,None,-55000,153000,522000,None,None,None,5.23,7.59
3,2019-07-31,USD,6737000,7351000,3752000,2985000,-432000,-641000,1303000,None,-626000,None,2296000,None,-614000,None,None,15000,None,None,None,None,None,15000,-12000,None,-641000,-641000,None,USD,13362000,None,None,256000,11634000,1728000,None,3969000,12000,-71339000,151000,669000,128000,2202000,7930000,None,None,None,6216000,6349000,None,1059000,None,1972000,None,None,2725000,None,None,None,None,None,None,None,128000,None,7013000,4019000,None,151000,3704000,None,None,None,73055000,None,2202000,None,12000000,USD,-749000,-135000,-749000,None,-7000,-7000,None,-400000,-641000,-1035000,-279000,None,182000,None,None,None,480000,235000,749000,None,None,None,6.47,5.23
4,2019-04-30,USD,7719000,7835000,4302000,3417000,57000,-253000,1248000,None,-150000,None,2285000,None,-116000,None,None,103000,None,None,None,None,None,103000,-34000,None,-253000,-253000,None,USD,11265000,None,None,None,9027000,2238000,None,4022000,12000,-70698000,1002000,669000,128000,3237000,8025000,None,None,None,2546000,7922000,None,1569000,None,4377000,None,None,2807000,None,None,None,None,None,None,None,128000,None,3343000,16000,None,1002000,1002000,None,None,None,72924000,None,3237000,None,14000000,USD,-141000,-2000,-834000,None,-209000,1203000,None,538000,128000,2231000,1862000,None,606000,None,1465000,None,-476000,272000,834000,None,None,None,9.08,6.47
5,2019-01-31,USD,6430000,3371000,3429000,3001000,-206000,-369000,1269000,None,-369000,None,2102000,None,-370000,None,0,None,None,None,None,None,None,0,1000,None,-369000,-369000,None,USD,10911000,None,None,None,8588000,2323000,None,4723000,12000,-70445000,884000,669000,137000,3310000,7704000,None,None,None,2578000,7527000,None,1654000,None,3919000,None,None,2116000,None,None,None,None,None,None,None,3384000,None,137000,None,None,151000,884000,None,None,None,72756000,None,3310000,None,12000000,USD,-207000,-10000,-693000,None,-13000,1387000,None,243000,381000,2304000,1610000,None,433000,None,1440000,None,731000,451000,693000,None,None,None,12.23,9.08
6,2018-10-31,USD,6693000,6418000,3451000,3242000,275000,267000,1193000,None,268000,None,1774000,None,275000,None,0,None,None,None,None,None,None,1000,-7000,None,267000,267000,None,USD,10239000,669000,None,262000,8247000,1992000,0,4828000,11000,-70076000,820000,669000,114000,1956000,7332000,None,None,None,2535000,6921000,None,1323000,0,4703000,95000,0,2021000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000,USD,None,467000,-275000,0,-33000,1001000,None,-41000,267000,790000,64000,None,151000,0,0,0,-934000,153000,275000,None,None,None,12.38,12.23
7,2018-07-31,USD,6225000,5744000,3083000,3142000,481000,482000,1088000,None,482000,None,1573000,None,481000,None,0,None,None,None,None,None,None,0,1000,None,482000,482000,None,USD,8391000,669000,None,246000,7789000,602000,0,4263000,11000,-70344000,756000,669000,266000,1016000,6885000,285000,285000,None,2425000,5031000,None,-67000,0,3769000,148000,0,2119000,0,0,0,0,0,-1252000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13000000,USD,None,-484000,-211000,0,-7000,35000,None,-162000,482000,160000,336000,None,118000,0,0,0,148000,234000,211000,None,None,None,8.0,12.38
8,2018-04-30,USD,4922000,5521000,2816000,2106000,-599000,-632000,1093000,0,-617000,0,1612000,None,-599000,0,0,None,None,None,0,0,0,15000,-18000,0,-632000,-632000,None,USD,8078000,669000,None,287000,8075000,3000,0,4704000,11000,-70826000,606000,669000,266000,856000,7453000,42000,42000,None,2083000,5060000,None,-666000,0,3917000,16000,0,2154000,0,0,0,0,0,-1252000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11000000,USD,None,1030000,-209000,3000,-6000,-6000,None,-153000,-632000,-206000,9000,None,107000,0,0,0,-931000,588000,212000,None,None,None,4.3352,8.0
9,2018-01-31,USD,5082000,5528000,2349000,2609000,-616000,18000,1044000,0,9000,0,2683000,None,3000,0,0,None,None,None,0,0,0,-9000,6000,0,-656000,-656000,None,USD,7095000,669000,None,185000,6623000,472000,0,4190000,11000,-70193000,423000,669000,926000,1062000,6177000,49000,49000,None,1980000,4189000,None,-197000,0,2942000,23000,0,1961000,0,0,0,0,0,-1252000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11000000,USD,None,399000,-75000,3000,-6000,19000,None,244000,-76000,402000,445000,None,121000,0,0,0,-406000,163000,1017000,None,None,None,3.82,4.3352
