,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,695846000,650378000,548634000,147212000,44533000,20604000,10924000,None,27573000,40903000,99817000,None,45468000,-8997000,16960000,8899000,2081000,-14879000,None,None,None,8899000,-3016000,None,20413000,20604000,None,USD,5258530000,81230000,None,653750000,3709570000,1508057000,None,122957000,686425000,924836000,317004000,None,851697000,578815000,2791227000,None,1667727000,-126193000,1049881000,3196400000,79322000,1426827000,None,421691000,580442000,547106000,460817000,None,None,None,None,None,None,None,673946000,None,2062130000,32741000,None,188207000,918343000,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,20604000,None,None,None,None,None,None,None,None,None,0,None,None,None,19.27,
1,2020-03-31,USD,825635000,712199000,602438000,223197000,101193000,110631000,10056000,None,82180000,41145000,105620000,None,113436000,-5915000,19013000,-29051000,2779000,-16234000,None,None,None,-29051000,-15022000,None,111247000,110631000,None,USD,5315607000,81426000,None,582737000,3822526000,1451936000,None,152546000,686001000,904232000,300266000,None,792051000,618643000,2833446000,None,1596436000,-157532000,1061241000,3312876000,68013000,1370510000,None,384816000,665753000,632362000,544944000,None,None,None,None,None,None,None,612084000,None,2002731000,35075000,None,173239000,989080000,None,None,None,None,None,None,None,60000000,USD,None,0,None,None,None,None,None,None,110631000,None,None,None,None,None,None,None,None,None,0,None,None,None,15.91,19.27
2,2019-12-31,USD,919707000,808281000,690205000,229502000,111948000,67737000,10179000,None,92214000,31924000,114232000,None,111426000,-5896000,19734000,25209000,2979000,-16755000,None,None,None,25208000,-2457000,None,67928000,67736000,None,USD,5467207000,83627000,None,604083000,4042149000,1393134000,None,132008000,703806000,793601000,295040000,0,841091000,668770000,3091997000,544991000,1764284000,-109607000,1136725000,3252936000,152828000,1309507000,None,436815000,619477000,554070000,585601000,None,None,None,None,None,-11845000,None,646231000,None,2214271000,39485000,619477000,167262000,950152000,None,None,None,17179000,None,668770000,None,61000000,USD,None,0,None,None,None,None,None,None,67737000,None,None,None,None,None,None,None,None,None,0,None,None,None,22.1,15.91
3,2019-09-30,USD,759882000,679775000,560968000,198914000,82597000,58331000,11567000,None,63357000,38487000,108426000,None,80107000,-1186000,19240000,10434000,2579000,-16661000,None,None,None,10434000,-89000,None,55226000,58331000,None,USD,5307640000,86858000,None,910101000,3942189000,1326964000,None,206505000,703806000,725864000,315397000,0,639662000,526175000,3079791000,476611000,1794241000,-122084000,1086533000,3344774000,149813000,1240106000,None,449347000,525935000,413036000,529416000,None,None,None,None,None,None,None,390081000,None,1962866000,38418000,525935000,165385000,862398000,None,None,None,19378000,None,526175000,None,61000000,USD,None,0,None,None,None,None,None,None,58331000,None,None,None,None,None,None,None,None,None,0,None,None,None,18.88,22.1
4,2019-06-30,USD,1036275000,975533000,853633000,182642000,71122000,62682000,12133000,None,50468000,42017000,111096000,None,60742000,-1329000,20654000,13951000,4452000,-16202000,None,None,None,13951000,5928000,None,60257000,62682000,None,USD,5038662000,84060000,None,690493000,3717319000,1279326000,None,225852000,703014000,667533000,300370000,0,851368000,438496000,2930509000,420399000,1677482000,-107775000,1054595000,2895322000,153317000,1195266000,None,454645000,462908000,337819000,505840000,None,None,None,None,None,None,None,567646000,None,2143340000,40768000,462908000,159299000,786810000,None,None,None,16554000,None,438496000,None,60000000,USD,None,0,None,None,None,None,None,None,62682000,None,None,None,None,None,None,None,None,None,0,None,None,None,21.83,18.88
5,2019-03-31,USD,484719000,478114000,377280000,107439000,-4667000,-17165000,13166000,None,-26366000,43045000,89354000,None,6605000,-1686000,21699000,-7529000,-32971000,-19670000,None,None,None,-7529000,-13301000,None,-16856000,-17165000,None,USD,5072867000,18539000,None,1441214000,3843219000,1229648000,None,334948000,703648000,604851000,270979000,1005000,793796000,370154000,3064377000,441270000,1792858000,-91898000,1041451000,3089844000,128232000,1144072000,None,388707000,433502000,385141000,492737000,None,None,None,None,None,None,None,545665000,None,1983023000,50596000,433502000,159264000,735797000,None,None,None,13047000,None,370154000,None,59000000,USD,None,0,None,None,None,None,None,None,-17165000,None,None,None,None,None,None,None,None,None,0,None,None,None,18.63,21.83
6,2018-12-31,USD,901041000,767041000,629732000,271309000,134000000,111582000,15417000,0,151231000,47372000,125681000,None,136565000,27179000,-23797000,36689000,14666000,None,0,0,0,36689000,16786000,0,114097000,111582000,None,USD,4892658000,14903000,None,1419300000,3667185000,1225473000,None,563148000,702931000,622016000,243589000,1005000,736450000,444298000,2948357000,497150000,564249000,-110149000,939884000,3074321000,129311000,1143847000,None,498269000,393614000,262022000,766031000,None,None,None,None,None,None,None,None,None,None,None,393614000,None,None,None,None,None,10675000,None,444298000,None,62000000,USD,None,0,None,None,None,None,None,None,111582000,None,None,None,None,None,None,None,None,None,0,None,None,None,14.34,18.63
7,2018-09-30,USD,767970000,672066000,567579000,200391000,95904000,66540000,10143000,0,81895000,41067000,97285000,None,95904000,-2941000,-26839000,None,None,None,0,0,0,13423000,-14009000,0,68472000,66540000,None,USD,5203870000,78146000,None,1727053000,4002098000,1160705000,None,783549000,702877000,510432000,236518000,4061000,447885000,519604000,3645422000,127188000,127188000,-60909000,919163000,3336507000,418108000,1078498000,459746000,451297000,120158000,322011000,856733000,None,None,None,None,None,None,None,None,None,None,None,120158000,None,None,None,None,None,8305000,None,519604000,None,62000000,USD,None,0,None,None,None,None,None,None,66540000,None,None,None,None,None,None,None,None,None,0,None,None,None,14.5,14.34
8,2018-06-30,USD,650590000,596652000,491155000,159435000,53938000,15569000,9134000,0,23739000,37846000,96708000,None,53938000,-345000,-26596000,None,None,None,0,0,0,7766000,-30199000,0,15973000,15569000,None,USD,5192954000,102411000,None,1812993000,4089761000,1065347000,None,720184000,702868000,443892000,205640000,4061000,410167000,452471000,3662775000,126946000,126946000,-87170000,855676000,3396484000,424155000,958875000,535769000,509304000,221346000,336468000,815378000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,59000000,USD,None,0,None,None,None,None,None,None,15569000,None,None,None,None,None,None,None,None,None,0,None,None,None,12.24,14.5
9,2018-03-31,USD,1424911000,1381570000,1280965000,143946000,43341000,43377000,9499000,0,47978000,39138000,91106000,None,43341000,-345000,-29594000,None,None,None,0,0,0,4092000,4637000,0,43886000,43377000,None,USD,5299674000,102777000,None,1675094000,4156138000,1104398000,None,721885000,702311000,428323000,207824000,4061000,499697000,567350000,3620194000,126712000,126712000,-28716000,853806000,3412907000,426426000,997560000,613410000,459799000,328120000,414090000,914022000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,62000000,USD,None,0,None,None,None,None,None,None,43377000,None,None,None,None,None,None,None,None,None,0,None,None,None,16.27,12.24
