,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,254801000,35323000,199478000,55323000,21935000,16674000,None,None,21680000,None,35323000,1935000,20000000,None,196000,5006000,None,-196000,None,None,None,5006000,1876000,None,16674000,16674000,None,USD,838256000,14923000,None,51270000,198851000,624007000,7488000,8714000,92000,371085000,7488000,75090000,335000,290147000,179056000,2205000,2205000,158000,77326000,547991000,84116000,549392000,16374000,83804000,12307000,106396000,176851000,None,None,92000,None,371085000,None,None,38810000,None,290265000,19495000,12307000,None,19795000,None,None,None,252672000,838256000,306521000,None,None,USD,1956000,7189000,105000,5000,-389000,-922000,-533000,4860000,16674000,34875000,35692000,10389000,1613000,None,-533000,7139000,4629000,-14497000,1856000,7185000,None,34875000,192.85,
1,2020-03-31,USD,255335000,37420000,203437000,51898000,13853000,12001000,None,None,13630000,None,37420000,-625000,14478000,None,217000,1629000,None,-217000,None,None,None,1629000,-631000,None,12001000,12001000,None,USD,810431000,15110000,None,42197000,192102000,607586000,7295000,7444000,92000,355144000,7295000,75090000,335000,255272000,172102000,2248000,2248000,90000,77190000,516185000,112627000,528129000,14582000,90599000,12705000,113535000,169854000,None,None,92000,None,355144000,None,None,14229000,None,294246000,14913000,12705000,None,20000000,None,None,None,252260000,810431000,269854000,None,9173242,USD,-4985000,9739000,-6370000,6468000,-405000,-1698000,-1067000,14826000,12001000,25349000,33417000,159175000,1575000,None,-1293000,-3317000,-3638000,6741000,7853000,-152497000,None,25349000,144.94,192.85
2,2019-12-31,USD,273722000,36844000,213867000,59855000,25208000,20898000,None,None,24732000,None,36844000,2197000,23011000,None,490000,3834000,None,-490000,None,None,None,3834000,2211000,None,20898000,20898000,None,USD,787409000,89962000,None,71427000,184354000,595260000,8439000,6178000,91000,343143000,8439000,74665000,350000,229908000,161790000,1862000,1862000,85000,71407000,501986000,84070000,513093000,13945000,76562000,14125000,110144000,159928000,None,None,91000,None,343143000,None,None,39984000,None,285423000,11604000,14125000,None,22564000,None,None,None,251941000,787409000,243853000,None,9141191,USD,1969000,-7530000,-565000,9000,-250000,287000,311000,2522000,20898000,24449000,24727000,-70364000,1560000,None,537000,5061000,5496000,-7790000,2543000,82892000,None,24449000,195.38,144.94
3,2019-09-30,USD,268675000,36083000,210208000,58467000,27586000,20885000,None,None,27255000,None,36083000,5202000,22384000,None,302000,6370000,None,-302000,None,None,None,6370000,5173000,None,20885000,20885000,None,USD,773838000,90509000,None,54509000,192099000,573004000,8043000,4512000,91000,322245000,8043000,75024000,350000,205459000,169697000,1875000,1875000,84000,70199000,486632000,114416000,491230000,13375000,98084000,14359000,115205000,167822000,None,None,91000,None,322245000,None,None,12082000,None,287206000,12521000,14359000,None,22402000,None,None,None,250584000,773838000,218834000,None,9127466,USD,957000,5616000,-16839000,-15915000,-18112000,-17171000,941000,-2259000,20885000,-7215000,26795000,35558000,1408000,None,941000,8835000,-2048000,-5642000,1881000,-39865000,None,-7215000,192.09,195.38
4,2019-06-30,USD,264042000,35264000,203744000,60298000,27959000,21282000,None,None,27362000,None,35264000,2925000,25034000,None,486000,6080000,None,-486000,None,None,None,6080000,2814000,None,21282000,21282000,None,USD,756083000,82616000,None,44933000,196486000,550337000,6957000,4503000,91000,301360000,6957000,72920000,351000,212673000,175330000,20143000,20143000,61000,64376000,479048000,117444000,476981000,13230000,89680000,14199000,118532000,155187000,None,None,91000,None,301360000,None,None,12599000,None,277035000,12886000,14199000,None,21156000,None,None,None,248825000,756083000,225903000,None,9111624,USD,552000,-1381000,-1469000,42000,-922000,-2174000,-1252000,2854000,21282000,13155000,16798000,41946000,1240000,None,-1252000,-2329000,-1252000,-3616000,2063000,-40344000,None,13155000,157.54,192.09
5,2019-03-31,USD,241113000,31487000,185320000,55793000,26795000,19971000,None,None,26076000,None,31487000,2489000,24306000,None,608000,6105000,None,-608000,-314000,None,None,6105000,2378000,None,19971000,19971000,None,USD,725216000,82696000,None,47715000,195628000,529588000,7002000,3810000,91000,280078000,7002000,72920000,351000,199518000,174008000,19522000,19522000,-28000,63484000,462049000,116636000,446892000,12620000,85993000,14618000,116203000,154486000,None,None,91000,None,280078000,None,None,351000,None,263167000,1075000,14618000,None,21620000,None,None,None,249447000,725216000,212138000,None,9098320,USD,663000,8022000,-640000,15000,-20576000,-20576000,-1252000,-3277000,19971000,-4738000,16478000,30744000,1230000,None,-114000,-794000,-4821000,-3853000,1318000,-38842000,None,-4738000,117.53,157.54
6,2018-12-31,USD,233700000,30833000,184679000,49021000,17932000,13384000,0,None,16947000,None,30833000,-256000,18188000,None,923000,3563000,None,None,None,None,None,3563000,-318000,None,13384000,13384000,None,USD,717201000,82776000,None,40096000,208129000,509072000,7001000,68584000,91000,260107000,7001000,72920000,454000,204153000,186108000,39596000,39596000,-144000,66378000,449737000,117856000,426296000,10558000,79521000,15020000,115409000,146512000,None,None,91000,None,260107000,None,None,454000,None,267464000,None,15020000,None,22021000,None,None,None,249018000,717201000,214711000,None,9098320,USD,391000,-9200000,-2005000,46000,-1692000,-1633000,59000,-4400000,13384000,-5088000,-1450000,29889000,1194000,None,59000,-3907000,2194000,-715000,2442000,-32095000,None,-5088000,130.38,117.53
7,2018-09-30,USD,241530000,30035000,192114000,49416000,20401000,15576000,0,None,19517000,None,30035000,1020000,19381000,None,941000,None,None,None,None,None,None,3941000,1077000,None,15576000,15576000,None,USD,715215000,82856000,None,34169000,220467000,494748000,8580000,74119000,91000,246723000,8580000,72920000,453000,209242000,196728000,40969000,40969000,-204000,65108000,448708000,118090000,411892000,13462000,80333000,15159000,111502000,155759000,0,0,91000,0,246723000,0,None,453000,None,266507000,None,15159000,None,23739000,None,None,None,248138000,715215000,222704000,None,9097359,USD,585000,4076000,-1597000,15000,-2097000,-102000,1995000,-1402000,15576000,18224000,19923000,29618000,1170000,0,1995000,-1065000,1822000,-254000,2197000,-29198000,None,18224000,253.0,130.38
8,2018-06-30,USD,246403000,29213000,194927000,51476000,25114000,19691000,0,None,24136000,None,29213000,2851000,22263000,None,972000,None,None,None,None,None,None,4445000,2845000,None,19691000,19691000,None,USD,693561000,82936000,None,28853000,217874000,475687000,8364000,75079000,91000,231147000,8364000,72920000,1066000,190405000,175626000,24237000,24237000,-178000,64005000,429237000,116317000,392751000,14268000,85274000,33884000,110437000,151389000,0,0,91000,0,231147000,0,None,1066000,None,264324000,None,33884000,None,42248000,None,None,None,244627000,693561000,204673000,None,9061306,USD,57000,1814000,-1573000,49000,-1931000,-4099000,-2168000,-16334000,19691000,-7787000,-2115000,27924000,1104000,0,-2168000,-1285000,-4879000,-2226000,1679000,-49137000,None,-7787000,207.65,253.0
9,2018-03-31,USD,242529000,28404000,188225000,54304000,33045000,22140000,0,0,30704000,0,28404000,7145000,25900000,0,1092000,None,None,None,0,0,0,8564000,3364000,0,22140000,22140000,None,USD,674780000,83020000,None,27961000,217674000,457106000,7577000,71951000,90000,209381000,7577000,72920000,1264000,197994000,176329000,26044000,26044000,1438000,63355000,418593000,108548000,374086000,11866000,71620000,33768000,109152000,150285000,0,0,90000,0,209381000,0,None,1264000,None,256187000,None,33768000,None,41345000,None,None,None,246197000,674780000,209860000,None,9044858,USD,7214000,6969000,1891000,38000,2325000,2514000,189000,18615000,22140000,47792000,43387000,-70841000,1051000,0,189000,-3335000,4796000,-6849000,5361000,94252000,None,47792000,173.75,207.65
